Industry,mean,median,min,max,count
Advertising Agencies,34.08571895408834,34.08571895408834,29.482640376476905,38.68879753169978,2
Aerospace & Defense,35.0900130334636,36.8180471248873,17.609483121618744,40.91369702624829,11
Agricultural - Machinery,36.437957936941075,37.91017626756713,30.326533219184316,41.07716432407178,3
Agricultural Farm Products,37.0123002079428,38.756187361867276,31.603443738854182,40.67726952310694,3
Agricultural Inputs,38.510250351577334,39.75442409753314,31.4056586857487,44.37066827145015,3
"Airlines, Airports & Air Services",35.959104044539416,36.82595049460233,30.056803053363122,40.9945585856528,3
Apparel - Footwear & Accessories,39.48913157844458,39.48913157844458,31.988644696090535,46.989618460798624,2
Apparel - Manufacturers,36.39205624425576,36.39205624425576,36.39205624425576,36.39205624425576,1
Apparel - Retail,36.49099263387844,32.564501646443,30.03527819940125,46.873198055791086,3
Asset Management,37.360910263303225,36.591719954246656,29.56077745624649,44.23272448554115,10
Asset Management - Global,37.43087550244248,37.43087550244248,37.43087550244248,37.43087550244248,1
Auto - Dealerships,37.03518724864595,37.03518724864595,31.189036448595285,42.88133804869661,2
Auto - Manufacturers,35.75283510379553,36.94144594687915,32.697084799933855,37.619974564573596,3
Auto - Parts,37.92359523730779,37.92359523730779,36.18146666766402,39.665723806951554,2
Banks - Diversified,34.61755194718751,34.33687633474202,30.04647097762545,39.74998414164053,4
Banks - Regional,36.97171506866251,36.82888928110466,28.901408130346063,45.799907038530705,9
Beverages - Alcoholic,39.764824998011264,39.764824998011264,39.764824998011264,39.764824998011264,1
Beverages - Non-Alcoholic,36.27248302407492,36.45676995872543,29.920286898103775,42.25610528074507,4
Beverages - Wineries & Distilleries,33.70014470883226,33.70014470883226,33.47286557222816,33.927423845436365,2
Biotechnology,38.61204118252901,38.35918357047801,28.958434251762995,49.56042010977731,5
Business Equipment & Supplies,34.971547135682165,34.971547135682165,34.971547135682165,34.971547135682165,1
Chemicals,33.9676326087374,33.9676326087374,33.9676326087374,33.9676326087374,1
Chemicals - Specialty,36.37238128249243,36.543147462723496,20.38810932698463,50.15061597873881,10
Communication Equipment,36.841299264981465,34.566939195858886,32.26457531297219,45.81534942273357,5
Computer Hardware,35.416795141903016,35.087514995676,21.434998847647275,44.885472071730135,7
Conglomerates,32.018289843635756,32.018289843635756,29.668760562583113,34.367819124688396,2
Construction,34.962254937104255,36.17500317594246,25.690583162688053,40.61155632082396,6
Construction Materials,37.42503397632471,37.42503397632471,32.900463014890896,41.94960493775854,2
Consulting Services,33.44252199162586,33.44252199162586,30.15211142346679,36.732932559784935,2
Consumer Electronics,35.49980384419866,35.49980384419866,33.838488456974716,37.1611192314226,2
