Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2019-05-24,29.75,32.0,28.5,29.0,44000,29.8125,-0.61,-47.540983606557376
2019-05-28,29.25,30.5,28.51,28.77,61544,29.2575,-0.61,-47.16393442622951
2019-05-29,29.9,29.9,27.66,28.5,207800,28.99,-0.61,-46.721311475409834
2019-05-30,28.99,29.16,28.22,28.8,666050,28.7925,-0.61,-47.21311475409836
2019-05-31,28.5,28.59,26.97,26.97,853801,27.7575,0.12,224.75
2019-06-03,26.54,27.0,24.37,24.81,19259630,25.68,0.12,206.75
2019-06-04,24.35,27.94,24.35,27.75,20135135,26.0975,0.12,231.25
2019-06-05,27.54,28.22,26.46,28.01,10740207,27.5575,0.12,233.41666666666669
2019-06-06,27.69,27.69,26.23,26.9,13986100,27.1275,0.12,224.16666666666666
2019-06-07,26.17,26.93,25.72,26.31,10049260,26.2825,0.12,219.25
2019-06-10,26.07,26.74,25.12,25.31,10247200,25.81,0.12,210.91666666666666
2019-06-11,25.01,25.36,24.53,24.95,11641364,24.9625,0.12,207.91666666666666
2019-06-12,25.11,25.45,24.48,25.07,13392038,25.0275,0.12,208.91666666666669
2019-06-13,25.06,25.19,24.7,24.97,9710800,24.98,0.12,208.08333333333334
2019-06-14,24.76,25.24,24.55,25.19,7036800,24.935,0.12,209.91666666666669
2019-06-17,25.53,26.9,25.45,25.95,13710322,25.9575,0.12,216.25
2019-06-18,26.03,27.57,25.75,27.3,14485407,26.6625,0.12,227.50000000000003
2019-06-19,27.48,27.48,26.87,27.15,10228800,27.245,0.12,226.25
2019-06-20,27.37,27.6,26.42,27.16,7728000,27.1375,0.12,226.33333333333334
2019-06-21,26.87,27.71,26.87,27.21,12548904,27.165,0.12,226.75000000000003
2019-06-24,27.14,28.45,27.05,28.01,6495057,27.6625,0.12,233.41666666666669
2019-06-25,28.02,28.09,27.48,27.67,6698600,27.815,0.12,230.58333333333334
2019-06-26,27.93,29.38,27.85,29.26,6735131,28.605,0.12,243.83333333333334
2019-06-27,29.38,30.33,29.26,29.57,5879610,29.635,0.12,246.41666666666669
2019-06-28,29.6,29.75,29.26,29.57,15517800,29.545,0.12,246.41666666666669
2019-07-01,29.58,30.75,28.95,29.68,5290363,29.74,0.12,247.33333333333334
2019-07-02,29.5,29.6,28.14,28.99,5438576,29.0575,0.12,241.58333333333334
2019-07-03,28.78,28.9,28.2,28.8,2234906,28.67,0.12,240.00000000000003
2019-07-05,28.45,29.32,28.26,28.64,2888235,28.6675,0.12,238.66666666666669
2019-07-08,28.39,28.39,27.64,27.77,3478698,28.0475,0.12,231.41666666666669
2019-07-09,27.47,27.77,26.83,26.99,5286013,27.265,0.12,224.91666666666666
2019-07-10,26.81,27.0,26.44,26.5,5133700,26.6875,0.12,220.83333333333334
2019-07-11,26.55,26.8,25.96,26.43,6066200,26.435,0.12,220.25
2019-07-12,26.42,27.73,26.26,27.6,5154558,27.0025,0.12,230.00000000000003
2019-07-15,27.41,28.27,27.4,28.08,3443100,27.79,0.12,234.0
2019-07-16,27.93,28.5,27.72,27.86,3735900,28.0025,0.12,232.16666666666666
2019-07-17,27.6,27.71,26.85,26.88,3999305,27.26,0.12,224.0
2019-07-18,26.58,26.98,26.41,26.65,3035241,26.655,0.12,222.08333333333334
2019-07-19,26.79,27.48,26.64,27.39,4694910,27.075,0.12,228.25
2019-07-22,27.34,27.85,27.21,27.76,2546126,27.54,0.12,231.33333333333334
2019-07-23,27.65,28.48,27.45,28.12,2921400,27.925,0.12,234.33333333333334
2019-07-24,27.77,28.52,27.63,28.32,2311843,28.06,0.12,236.0
2019-07-25,28.1,28.4,27.75,28.02,3532200,28.0675,0.12,233.5
2019-07-26,27.72,28.53,27.65,28.48,3052703,28.095,0.12,237.33333333333334
2019-07-29,28.36,28.95,28.32,28.78,6245243,28.6025,0.12,239.83333333333334
2019-07-30,28.0,29.29,27.8,29.13,7142300,28.555,0.12,242.75
2019-07-31,29.1,30.15,28.71,29.5,7662047,29.365,0.12,245.83333333333334
2019-08-01,29.5,32.78,29.45,31.25,11564200,30.745,0.12,260.4166666666667
2019-08-02,30.94,31.54,30.85,31.46,7305800,31.1975,0.12,262.1666666666667
2019-08-05,30.63,30.97,29.64,29.9,5552538,30.285,0.12,249.16666666666666
2019-08-06,30.06,30.22,29.47,30.05,5355900,29.95,-0.81,-37.098765432098766
2019-08-07,29.58,30.83,29.43,30.64,4925218,30.12,-0.81,-37.82716049382716
2019-08-08,30.71,31.79,30.67,31.61,3962600,31.195,-0.81,-39.02469135802469
2019-08-09,31.94,32.0,31.22,31.63,4761614,31.6975,-0.81,-39.04938271604938
2019-08-12,31.49,31.83,29.51,29.63,8206849,30.615,-0.81,-36.58024691358025
