Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2019-03-20,52.75,53.5,49.5,49.8,2350838,51.3875,1.0,49.8
2019-03-21,49.99,50.0,48.2,48.98,1764700,49.2925,1.0,48.98
2019-03-22,48.8,49.95,48.16,48.6,844700,48.8775,1.0,48.6
2019-03-25,48.6,49.4,48.0,49.15,440900,48.7875,1.0,49.15
2019-03-26,49.0,49.75,48.18,48.85,504734,48.945,1.0,48.85
2019-03-27,49.0,50.78,49.0,50.1,1788600,49.72,1.0,50.1
2019-03-28,50.9,51.0,49.92,50.85,585438,50.6675,1.0,50.85
2019-03-29,49.52,52.48,49.18,51.63,1769027,50.7025,1.0,51.63
2019-04-01,52.3,54.39,51.25,53.5,19663442,52.86,1.0,53.5
2019-04-02,55.12,57.39,54.3,56.25,17414200,55.765,1.0,56.25
2019-04-03,57.08,57.2,55.51,56.88,15066200,56.6675,1.0,56.88
2019-04-04,57.2,60.52,57.1,59.71,13311868,58.6325,1.0,59.71
2019-04-05,58.39,58.98,56.27,57.24,17000800,57.72,1.0,57.24
2019-04-08,56.5,58.39,56.27,57.15,10764600,57.0775,1.0,57.15
2019-04-09,56.8,57.2,56.08,56.27,9179922,56.5875,1.0,56.27
2019-04-10,55.99,56.41,55.1,55.71,9081900,55.8025,1.0,55.71
2019-04-11,55.7,56.21,54.83,54.89,7346100,55.4075,1.0,54.89
2019-04-12,55.93,58.33,55.93,58.3,9281700,57.1225,1.0,58.3
2019-04-15,58.57,58.85,57.29,57.78,5727300,58.1225,1.0,57.78
2019-04-16,58.71,58.99,57.84,58.5,6681600,58.51,1.0,58.5
2019-04-17,58.95,59.05,58.2,58.32,6420700,58.63,1.0,58.32
2019-04-18,58.36,58.61,57.55,57.77,5178855,58.0725,1.0,57.77
2019-04-22,57.48,58.41,57.26,57.89,4401749,57.76,1.0,57.89
2019-04-23,57.29,57.84,57.0,57.64,5687232,57.4425,1.0,57.64
2019-04-24,57.49,57.89,55.87,55.98,5431323,56.8075,1.0,55.98
2019-04-25,55.76,55.98,54.82,55.33,6260500,55.4725,1.0,55.33
2019-04-26,55.3,55.6,54.95,55.25,4009800,55.275,1.0,55.25
2019-04-29,55.05,55.69,54.8,55.5,5935245,55.26,1.0,55.5
2019-04-30,55.76,57.21,55.6,56.73,6454100,56.325,1.0,56.73
2019-05-01,56.82,57.48,55.88,56.13,7644453,56.5775,1.0,56.13
2019-05-02,55.54,56.49,52.03,52.7,13932700,54.19,1.0,52.7
2019-05-03,53.2,53.35,51.72,53.3,7401851,52.8925,0.74,72.02702702702702
2019-05-06,52.15,54.03,51.7,53.46,6089501,52.835,0.74,72.24324324324324
2019-05-07,52.86,53.33,52.65,52.95,7330800,52.9475,0.74,71.55405405405406
2019-05-08,53.33,53.4,52.31,52.48,5390700,52.88,0.74,70.91891891891892
2019-05-09,52.26,53.14,51.55,52.93,4579758,52.47,0.74,71.52702702702703
2019-05-10,52.94,53.71,52.49,53.07,4758371,53.0525,0.74,71.71621621621621
2019-05-13,52.28,52.55,50.76,50.95,4213102,51.635,0.74,68.85135135135135
2019-05-14,51.33,53.0,50.84,52.48,4204519,51.9125,0.74,70.91891891891892
2019-05-15,51.98,53.33,51.67,52.95,2928861,52.4825,0.74,71.55405405405406
2019-05-16,53.29,53.55,52.73,52.98,3689745,53.1375,0.74,71.5945945945946
2019-05-17,52.34,52.52,50.66,50.8,4440800,51.58,0.74,68.64864864864865
2019-05-20,50.4,50.54,49.92,50.08,5168422,50.235,0.74,67.67567567567568
2019-05-21,50.28,51.19,50.02,50.63,4968460,50.53,0.74,68.41891891891892
2019-05-22,50.46,50.61,49.97,50.21,3019120,50.3125,0.74,67.85135135135135
2019-05-23,49.5,49.86,48.21,48.71,4919200,49.07,0.74,65.82432432432432
2019-05-24,49.39,49.58,48.44,49.2,2918936,49.1525,0.74,66.48648648648648
2019-05-28,49.37,49.43,48.1,48.56,6613184,48.865,0.74,65.62162162162163
2019-05-29,48.2,49.43,48.01,48.71,3525900,48.5875,0.74,65.82432432432432
2019-05-30,48.12,48.59,48.02,48.47,3777607,48.3,0.74,65.5
2019-05-31,47.96,48.0,46.75,46.76,3396900,47.3675,0.74,63.189189189189186
2019-06-03,46.85,47.96,46.85,47.96,5905200,47.405,0.74,64.8108108108108
2019-06-04,48.68,49.93,48.64,49.93,7043092,49.295,0.74,67.47297297297297
2019-06-05,50.49,50.57,49.05,50.34,6413509,50.1125,0.74,68.02702702702703
2019-06-06,50.28,51.31,50.15,51.06,6228100,50.7,0.74,69.0
2019-06-07,51.13,51.69,50.87,51.3,5391100,51.2475,0.74,69.32432432432432
2019-06-10,51.72,52.1,51.58,51.62,5434400,51.755,0.74,69.75675675675676
2019-06-11,52.0,52.17,51.56,52.04,5144357,51.9425,0.74,70.32432432432432
2019-06-12,52.06,52.64,51.68,52.49,3103900,52.2175,0.74,70.93243243243244
2019-06-13,52.68,52.95,52.04,52.88,4179800,52.6375,0.74,71.45945945945947
2019-06-14,52.63,52.69,51.0,51.15,3919484,51.8675,0.74,69.12162162162161
2019-06-17,50.06,50.33,49.05,49.35,5787336,49.6975,0.74,66.6891891891892
2019-06-18,49.75,50.57,49.4,49.61,5014237,49.8325,0.74,67.04054054054055
2019-06-19,49.95,50.24,48.33,48.5,5404141,49.255,0.74,65.54054054054055
2019-06-20,49.1,49.59,48.62,48.93,4228328,49.06,0.74,66.12162162162163
2019-06-21,48.82,49.27,48.31,48.36,9478500,48.69,0.74,65.35135135135135
2019-06-24,48.51,49.7,48.32,49.58,4602352,49.0275,0.74,67.0
2019-06-25,49.49,50.22,49.05,49.69,4005218,49.6125,0.74,67.14864864864865
2019-06-26,49.85,51.22,49.81,50.45,5244400,50.3325,0.74,68.17567567567568
2019-06-27,50.61,51.14,50.53,50.91,4097246,50.7975,0.74,68.79729729729729
2019-06-28,51.04,51.2,49.08,49.31,6507400,50.1575,0.74,66.63513513513514
2019-07-01,50.0,50.2,49.52,50.16,4659633,49.97,0.74,67.78378378378378
2019-07-02,50.0,50.06,48.76,49.4,4726195,49.555,0.74,66.75675675675676
2019-07-03,49.46,49.65,49.2,49.33,2479400,49.41,0.74,66.66216216216216
2019-07-05,49.01,49.37,48.96,49.31,2529919,49.1625,0.74,66.63513513513514
2019-07-08,49.34,49.5,48.39,48.52,5936049,48.9375,0.74,65.56756756756758
2019-07-09,48.3,48.43,47.5,47.87,4967429,48.025,0.74,64.6891891891892
2019-07-10,48.34,48.42,47.52,47.55,3507432,47.9575,0.74,64.25675675675676
2019-07-11,47.73,48.06,47.18,47.78,4202113,47.6875,0.74,64.56756756756756
2019-07-12,48.46,50.04,48.08,49.71,4328444,49.0725,0.74,67.17567567567568
2019-07-15,49.77,50.95,49.66,50.93,4923844,50.3275,0.74,68.82432432432432
2019-07-16,50.95,52.64,50.95,52.32,6011246,51.715,0.74,70.70270270270271
2019-07-17,52.16,52.3,51.23,51.6,4417567,51.8225,0.74,69.72972972972973
2019-07-18,51.55,52.05,51.28,51.75,3662569,51.6575,0.74,69.93243243243244
2019-07-19,51.77,51.83,51.5,51.52,3221517,51.655,0.74,69.62162162162163
2019-07-22,51.5,51.57,50.6,50.88,2815169,51.1375,0.74,68.75675675675676
2019-07-23,51.0,52.9,50.95,52.62,4387700,51.8675,0.74,71.10810810810811
2019-07-24,52.5,52.99,52.04,52.79,3516493,52.58,0.74,71.33783783783784
2019-07-25,51.64,51.99,50.3,50.77,4254600,51.175,0.1,507.7
2019-07-26,50.27,50.3,48.92,49.11,5066020,49.65,0.1,491.09999999999997
2019-07-29,48.52,48.88,47.98,48.05,4219839,48.3575,0.1,480.49999999999994
2019-07-30,47.78,48.44,47.78,48.4,4194314,48.1,0.1,483.99999999999994
2019-07-31,48.49,49.43,47.95,48.44,5188502,48.5775,0.1,484.4
2019-08-01,48.15,48.6,46.78,46.85,5803209,47.595,0.1,468.5
2019-08-02,46.69,47.5,45.37,45.6,5346434,46.29,0.1,456.0
2019-08-05,45.06,45.13,44.07,44.77,5147308,44.7575,0.1,447.7
2019-08-06,45.11,45.45,43.74,44.43,4702804,44.6825,0.1,444.29999999999995
2019-08-07,44.1,45.0,43.91,44.89,4490100,44.475,0.1,448.9
2019-08-08,45.2,46.82,45.19,46.79,4573400,46.0,0.1,467.9
2019-08-09,46.42,46.99,46.1,46.64,4472721,46.5375,0.1,466.4
2019-08-12,46.39,46.8,45.52,45.69,6129069,46.1,0.1,456.9
2019-08-13,45.78,47.76,45.58,46.85,5415836,46.4925,0.1,468.5
2019-08-14,45.8,46.15,44.0,44.08,6178300,45.0075,0.1,440.79999999999995
2019-08-15,44.34,44.37,42.96,43.38,3494600,43.7625,0.1,433.8
2019-08-16,43.29,44.81,42.77,44.51,4586010,43.845,0.1,445.09999999999997
2019-08-19,45.36,45.86,45.15,45.6,3615500,45.4925,0.1,456.0
2019-08-20,45.25,45.25,43.07,43.16,5973272,44.1825,0.1,431.59999999999997
2019-08-21,43.85,44.24,43.24,43.28,4398365,43.6525,0.1,432.8
2019-08-22,43.32,43.9,42.02,42.05,6074608,42.8225,0.1,420.49999999999994
2019-08-23,42.0,42.02,40.44,40.71,6718214,41.2925,0.1,407.09999999999997
2019-08-26,41.27,41.35,40.61,40.82,3404507,41.0125,0.1,408.2
2019-08-27,41.19,41.73,40.92,41.17,4153371,41.2525,0.1,411.7
2019-08-28,41.15,42.64,40.76,42.52,4641840,41.7675,0.1,425.2
2019-08-29,42.33,43.0,42.21,42.37,3296607,42.4775,0.1,423.69999999999993
2019-08-30,42.83,43.0,42.27,42.63,4105361,42.6825,0.1,426.3
2019-09-03,42.14,42.23,41.15,41.8,3360303,41.83,0.1,417.99999999999994
2019-09-04,42.59,42.79,41.85,42.54,2668512,42.4425,0.1,425.4
2019-09-05,43.15,43.97,43.09,43.36,4044431,43.3925,0.1,433.59999999999997
2019-09-06,43.54,43.66,42.66,43.24,3217914,43.275,0.1,432.4
2019-09-09,43.53,44.63,43.26,44.45,3848017,43.9675,0.1,444.5
2019-09-10,45.1,46.37,44.78,46.32,4704049,45.6425,0.1,463.2
2019-09-11,46.52,47.05,45.58,46.88,4445017,46.5075,0.1,468.8
2019-09-12,47.07,47.19,45.57,46.97,3649704,46.7,0.1,469.7
2019-09-13,47.64,48.44,47.25,48.2,4027600,47.8825,0.1,482.0
2019-09-16,48.69,49.98,48.28,49.01,5040600,48.99,0.1,490.09999999999997
2019-09-17,48.67,49.09,47.61,48.0,4921708,48.3425,0.1,480.0
2019-09-18,47.9,47.9,47.02,47.51,2592587,47.5825,0.1,475.09999999999997
2019-09-19,48.12,48.41,47.49,47.64,2536357,47.915,0.1,476.4
2019-09-20,47.47,48.85,47.07,48.21,10589641,47.9,0.1,482.09999999999997
2019-09-23,47.39,48.22,47.12,47.91,3606911,47.66,0.1,479.09999999999997
2019-09-24,47.78,48.0,45.95,46.6,4524939,47.0825,0.1,466.0
2019-09-25,46.55,47.97,46.13,47.68,4416000,47.0825,0.1,476.79999999999995
2019-09-26,47.51,47.69,46.93,47.23,2998602,47.34,0.1,472.29999999999995
2019-09-27,47.4,47.88,47.01,47.07,3725668,47.34,0.1,470.7
2019-09-30,47.26,47.79,47.11,47.65,2568316,47.4525,0.1,476.49999999999994
2019-10-01,47.94,48.57,45.9,45.97,3844589,47.095,0.1,459.7
2019-10-02,44.67,45.17,44.36,44.93,4836305,44.7825,0.1,449.29999999999995
2019-10-03,44.85,45.39,44.37,45.31,3482650,44.98,0.1,453.1
2019-10-04,45.18,45.78,45.01,45.34,3589401,45.3275,0.1,453.40000000000003
2019-10-07,45.08,45.77,44.77,45.17,2984476,45.1975,0.1,451.7
2019-10-08,44.75,45.05,43.83,43.85,2999823,44.37,0.1,438.5
2019-10-09,44.39,44.54,44.0,44.01,2849583,44.235,0.1,440.09999999999997
2019-10-10,44.33,45.29,44.02,44.92,4494329,44.64,0.1,449.2
2019-10-11,45.75,47.72,45.5,47.13,3699395,46.525,0.1,471.3
2019-10-14,46.72,47.27,46.24,46.82,3250767,46.7625,0.1,468.2
2019-10-15,46.82,48.1,46.53,47.2,3352309,47.1625,0.1,472.0
2019-10-16,47.49,47.92,47.01,47.12,3630954,47.385,0.1,471.19999999999993
2019-10-17,47.44,48.54,47.14,47.81,2726017,47.7325,0.1,478.1
2019-10-18,47.91,48.19,47.36,47.96,3013731,47.855,0.1,479.59999999999997
2019-10-21,48.59,48.97,47.09,47.12,3999364,47.9425,0.1,471.19999999999993
2019-10-22,47.08,47.38,46.02,46.82,4940254,46.825,0.1,468.2
2019-10-23,46.78,47.51,46.55,47.23,4291653,47.0175,0.1,472.29999999999995
2019-10-24,48.65,49.99,47.84,49.47,6119276,48.9875,0.1,494.7
2019-10-25,49.78,50.76,48.9,50.48,5408419,49.98,0.45,112.17777777777776
2019-10-28,50.75,51.44,50.43,51.21,4545977,50.9575,0.45,113.8
2019-10-29,50.96,51.63,50.37,51.49,3471444,51.1125,0.45,114.42222222222222
2019-10-30,51.2,51.47,50.33,51.03,3605620,51.0075,0.45,113.4
2019-10-31,50.88,51.03,49.71,50.49,3793969,50.5275,0.45,112.2
2019-11-01,50.98,52.49,50.9,52.31,3241478,51.67,0.45,116.24444444444444
2019-11-04,52.65,54.41,52.46,54.17,5439516,53.4225,0.45,120.37777777777778
2019-11-05,54.01,55.0,53.65,54.2,6079448,54.215,0.45,120.44444444444444
2019-11-06,54.16,54.74,53.81,54.28,3864950,54.2475,0.45,120.62222222222222
2019-11-07,54.94,55.94,54.42,55.8,6686466,55.275,0.45,123.99999999999999
2019-11-08,55.5,55.99,55.02,55.99,4830964,55.625,0.45,124.42222222222222
2019-11-11,55.55,56.25,55.22,55.81,3199377,55.7075,0.45,124.02222222222223
2019-11-12,56.0,56.11,54.53,55.16,2742739,55.45,0.45,122.57777777777777
2019-11-13,54.19,54.48,53.46,53.66,3451109,53.9475,0.45,119.24444444444444
2019-11-14,53.3,54.14,53.15,53.95,2601055,53.635,0.45,119.88888888888889
2019-11-15,54.27,55.29,54.14,54.86,3869714,54.64,0.45,121.91111111111111
2019-11-18,54.75,54.91,54.12,54.32,3445289,54.525,0.45,120.71111111111111
2019-11-19,54.81,54.81,52.79,53.39,5230290,53.95,0.45,118.64444444444445
2019-11-20,53.14,53.45,52.1,52.67,5397019,52.84,0.45,117.04444444444445
2019-11-21,52.71,53.92,52.35,53.88,4621468,53.215,0.45,119.73333333333333
2019-11-22,53.98,54.66,53.6,54.2,3119237,54.11,0.45,120.44444444444444
2019-11-25,54.82,55.23,54.36,55.2,5100517,54.9025,0.45,122.66666666666667
2019-11-26,55.2,55.75,54.82,55.37,4681127,55.285,0.45,123.04444444444444
2019-11-27,54.68,54.9,53.9,54.28,3926099,54.44,0.45,120.62222222222222
2019-11-29,54.01,54.28,53.12,53.37,1887600,53.695,0.45,118.6
2019-12-02,53.0,53.75,52.89,53.16,3364773,53.2,0.45,118.13333333333333
2019-12-03,51.96,52.01,51.05,51.82,3990311,51.71,0.45,115.15555555555555
2019-12-04,53.49,53.49,52.21,52.28,3791442,52.8675,0.45,116.17777777777778
2019-12-05,52.53,52.65,51.68,52.0,2692693,52.215,0.45,115.55555555555556
2019-12-06,52.59,53.75,52.59,53.22,2852859,53.0375,0.45,118.26666666666667
2019-12-09,53.96,53.98,52.99,53.27,2390252,53.55,0.45,118.37777777777778
2019-12-10,53.36,53.39,52.69,53.13,2609700,53.1425,0.45,118.06666666666666
2019-12-11,53.5,54.07,53.05,53.1,3253354,53.43,0.45,118.0
2019-12-12,53.25,54.58,52.82,54.45,2882839,53.775,0.45,121.0
2019-12-13,54.64,54.82,53.25,53.28,3198875,53.9975,0.45,118.4
2019-12-16,53.61,54.54,53.51,54.17,4040000,53.9575,0.45,120.37777777777778
2019-12-17,54.1,54.74,53.93,54.66,2665310,54.3575,0.45,121.46666666666665
2019-12-18,54.36,54.69,53.54,54.25,3659100,54.21,0.45,120.55555555555556
2019-12-19,54.43,54.87,54.06,54.52,3358448,54.47,0.45,121.15555555555557
2019-12-20,55.05,55.25,54.02,54.61,10476700,54.7325,0.45,121.35555555555555
2019-12-23,54.49,55.05,54.22,54.93,2679650,54.6725,0.45,122.06666666666666
2019-12-24,55.0,55.25,54.65,54.9,926200,54.95,0.45,122.0
2019-12-26,54.98,55.23,54.52,55.22,1909600,54.9875,0.45,122.71111111111111
2019-12-27,55.29,55.55,54.72,54.83,1688528,55.0975,0.45,121.84444444444443
2019-12-30,54.86,55.05,54.24,54.34,1943757,54.6225,0.45,120.75555555555556
2019-12-31,54.02,54.78,53.93,54.73,2145816,54.365,0.45,121.6222222222222
2020-01-02,55.23,55.54,53.64,53.75,5145916,54.54,0.45,119.44444444444444
2020-01-03,53.11,53.6,52.41,52.42,5004338,52.885,0.45,116.4888888888889
2020-01-06,52.32,52.88,52.0,52.21,4297095,52.3525,0.45,116.02222222222223
2020-01-07,52.29,53.06,51.99,52.19,5126211,52.3825,0.45,115.97777777777777
2020-01-08,52.41,53.17,51.92,52.73,3629805,52.5575,0.45,117.17777777777776
2020-01-09,52.75,53.07,51.81,52.19,2668211,52.455,0.45,115.97777777777777
2020-01-10,52.86,52.87,51.4,51.5,3277354,52.1575,0.45,114.44444444444444
2020-01-13,51.5,52.4,51.47,52.35,2665522,51.93,0.45,116.33333333333333
2020-01-14,52.19,52.97,51.95,52.24,3689824,52.3375,0.45,116.08888888888889
2020-01-15,52.19,52.65,51.7,52.27,2235782,52.2025,0.45,116.15555555555557
2020-01-16,52.58,52.87,52.17,52.48,3765886,52.525,0.45,116.6222222222222
2020-01-17,52.53,53.36,52.43,53.34,3897500,52.915,0.45,118.53333333333333
2020-01-21,52.98,53.15,52.2,52.6,4156004,52.7325,0.45,116.88888888888889
2020-01-22,52.73,52.8,50.68,50.87,5149600,51.77,0.45,113.04444444444444
2020-01-23,50.22,50.75,49.15,50.25,5797697,50.0925,0.45,111.66666666666666
2020-01-24,49.88,50.27,48.04,48.49,5919607,49.17,0.45,107.75555555555556
2020-01-27,47.31,47.58,46.64,47.18,4827182,47.1775,0.45,104.84444444444443
2020-01-28,47.4,47.72,47.02,47.16,5813835,47.325,0.45,104.79999999999998
2020-01-29,48.98,49.95,48.6,49.67,6828078,49.3,0.45,110.37777777777778
2020-01-30,48.31,48.98,47.66,48.47,5644923,48.355,0.45,107.71111111111111
2020-01-31,47.7,47.87,45.92,46.07,7532256,46.89,0.45,102.37777777777778
2020-02-03,46.31,46.97,45.73,46.74,6366290,46.4375,0.45,103.86666666666667
2020-02-04,47.65,48.38,47.44,48.05,5287027,47.88,0.45,106.77777777777777
2020-02-05,48.88,49.74,48.52,49.61,5403247,49.1875,0.45,110.24444444444444
2020-02-06,49.61,49.66,48.56,49.2,5985231,49.2575,0.45,109.33333333333334
2020-02-07,48.54,48.54,47.45,48.03,3802288,48.14,-3.14,-15.296178343949045
2020-02-10,47.8,48.72,47.8,48.19,2488501,48.1275,-3.14,-15.347133757961782
2020-02-11,48.54,50.01,48.5,48.79,3705400,48.96,-3.14,-15.538216560509554
2020-02-12,49.69,50.37,48.99,49.38,2964200,49.6075,-3.14,-15.726114649681529
2020-02-13,48.9,48.99,48.02,48.3,3302628,48.5525,-3.14,-15.38216560509554
2020-02-14,48.51,48.94,48.38,48.63,3207000,48.615,-3.14,-15.487261146496815
2020-02-18,48.19,48.52,47.23,47.74,3594866,47.92,-3.14,-15.203821656050955
2020-02-19,47.82,48.29,47.41,47.56,5644900,47.77,-3.14,-15.146496815286625
2020-02-20,47.52,48.81,47.44,48.76,4154273,48.1325,-3.14,-15.528662420382163
2020-02-21,48.58,48.77,48.08,48.3,3972853,48.4325,-3.14,-15.38216560509554
