Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-04-03,2.2,2.2,2.2,2.2,523200,2.2,,
1972-04-04,2.27,2.27,2.27,2.27,683200,2.27,,
1972-04-05,2.3,2.3,2.3,2.3,392000,2.3,,
1972-04-06,2.29,2.29,2.29,2.29,412800,2.29,,
1972-04-07,2.31,2.31,2.31,2.31,208000,2.31,,
1972-04-10,2.3,2.3,2.3,2.3,323200,2.3,,
1972-04-11,2.3,2.3,2.3,2.3,532800,2.3,,
1972-04-12,2.31,2.31,2.31,2.31,164800,2.31,,
1972-04-13,2.31,2.31,2.31,2.31,68800,2.31,,
1972-04-14,2.34,2.34,2.34,2.34,260800,2.34,,
1972-04-17,2.33,2.33,2.33,2.33,217600,2.33,,
1972-04-18,2.34,2.34,2.34,2.34,136000,2.34,,
1972-04-19,2.35,2.35,2.35,2.35,192000,2.35,,
1972-04-20,2.36,2.36,2.36,2.36,233600,2.36,,
1972-04-21,2.38,2.38,2.38,2.38,88000,2.38,,
1972-04-24,2.41,2.41,2.41,2.41,276800,2.41,,
1972-04-25,2.41,2.41,2.41,2.41,1019200,2.41,,
1972-04-26,2.41,2.41,2.41,2.41,470400,2.41,,
1972-04-27,2.42,2.42,2.42,2.42,275200,2.42,,
1972-04-28,2.42,2.42,2.42,2.42,232000,2.42,,
1972-05-01,2.34,2.34,2.34,2.34,220800,2.34,,
1972-05-02,2.27,2.27,2.27,2.27,523200,2.27,,
1972-05-03,2.29,2.29,2.29,2.29,148800,2.29,,
1972-05-04,2.27,2.27,2.27,2.27,283200,2.27,,
1972-05-05,2.27,2.27,2.27,2.27,89600,2.27,,
1972-05-08,2.22,2.22,2.22,2.22,168000,2.22,,
1972-05-09,2.19,2.19,2.19,2.19,347200,2.19,,
1972-05-10,2.22,2.22,2.22,2.22,177600,2.22,,
1972-05-11,2.22,2.22,2.22,2.22,54400,2.22,,
1972-05-12,2.23,2.23,2.23,2.23,105600,2.23,,
1972-05-15,2.22,2.22,2.22,2.22,56000,2.22,,
1972-05-16,2.22,2.22,2.22,2.22,176000,2.22,,
1972-05-17,2.2,2.2,2.2,2.2,72000,2.2,,
1972-05-18,2.22,2.22,2.22,2.22,100800,2.22,,
1972-05-19,2.28,2.28,2.28,2.28,188800,2.28,,
1972-05-22,2.31,2.31,2.31,2.31,470400,2.31,,
1972-05-23,2.39,2.39,2.39,2.39,240000,2.39,,
1972-05-24,2.4,2.4,2.4,2.4,337600,2.4,,
1972-05-25,2.41,2.41,2.41,2.41,40000,2.41,,
1972-05-26,2.42,2.42,2.42,2.42,166400,2.42,,
1972-05-30,2.42,2.42,2.42,2.42,72000,2.42,,
1972-05-31,2.42,2.42,2.42,2.42,91200,2.42,,
1972-06-01,2.42,2.42,2.42,2.42,156800,2.42,,
1972-06-02,2.42,2.42,2.42,2.42,107200,2.42,,
1972-06-05,2.42,2.42,2.42,2.42,144000,2.42,,
1972-06-06,2.43,2.43,2.43,2.43,172800,2.43,,
1972-06-07,2.43,2.43,2.43,2.43,100800,2.43,,
1972-06-08,2.47,2.47,2.47,2.47,476800,2.47,,
1972-06-09,2.44,2.44,2.44,2.44,144000,2.44,,
1972-06-12,2.44,2.44,2.44,2.44,57600,2.44,,
1972-06-13,2.42,2.42,2.42,2.42,105600,2.42,,
1972-06-14,2.42,2.42,2.42,2.42,160000,2.42,,
1972-06-15,2.41,2.41,2.41,2.41,120000,2.41,,
1972-06-16,2.38,2.38,2.38,2.38,89600,2.38,,
1972-06-19,2.34,2.34,2.34,2.34,107200,2.34,,
1972-06-20,2.31,2.31,2.31,2.31,32000,2.31,,
1972-06-21,2.31,2.31,2.31,2.31,222400,2.31,,
1972-06-22,2.31,2.31,2.31,2.31,292800,2.31,,
1972-06-23,2.31,2.31,2.31,2.31,72000,2.31,,
1972-06-26,2.3,2.3,2.3,2.3,88000,2.3,,
1972-06-27,2.3,2.3,2.3,2.3,187200,2.3,,
1972-06-28,2.3,2.3,2.3,2.3,72000,2.3,,
1972-06-29,2.25,2.25,2.25,2.25,124800,2.25,,
1972-06-30,2.23,2.23,2.23,2.23,67200,2.23,,
1972-07-03,2.22,2.22,2.22,2.22,20800,2.22,,
