Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-12-14,22.63,22.75,21.44,22.63,1077400,22.3625,-0.32,-70.71875
1993-12-15,22.5,22.5,21.75,22.13,897800,22.22,-0.32,-69.15625
1993-12-16,22.19,22.19,22.0,22.13,571200,22.1275,-0.32,-69.15625
1993-12-17,22.13,22.13,21.63,21.63,1053000,21.88,-0.32,-67.59375
1993-12-20,21.63,22.31,21.63,22.31,1284800,21.97,-0.32,-69.71875
1993-12-21,22.25,22.88,22.25,22.63,882800,22.5025,-0.32,-70.71875
1993-12-22,22.69,22.69,22.44,22.63,200600,22.6125,-0.32,-70.71875
1993-12-23,22.69,23.13,22.69,23.06,195800,22.8925,-0.32,-72.0625
1993-12-27,23.19,23.75,23.19,23.63,68400,23.44,-0.32,-73.84375
1993-12-28,23.56,23.56,23.38,23.5,273600,23.5,-0.32,-73.4375
1993-12-29,23.63,23.81,23.63,23.81,264400,23.72,-0.32,-74.40625
1993-12-30,23.81,24.06,23.81,23.94,156200,23.905,-0.32,-74.8125
1993-12-31,23.81,23.88,23.63,23.75,133000,23.7675,-0.32,-74.21875
1994-01-03,23.81,23.81,23.13,23.44,467800,23.5475,-0.32,-73.25
1994-01-04,23.44,23.44,22.31,22.56,2250200,22.9375,-0.32,-70.5
1994-01-05,22.0,22.19,21.75,22.19,2933400,22.0325,-0.32,-69.34375
1994-01-06,22.0,22.19,21.5,21.75,2753200,21.86,-0.32,-67.96875
1994-01-07,21.69,21.69,20.75,20.88,3428400,21.2525,-0.32,-65.25
1994-01-10,20.94,21.5,20.88,21.44,1411000,21.19,-0.32,-67.0
1994-01-11,21.5,21.5,21.19,21.38,1185400,21.3925,-0.32,-66.8125
1994-01-12,21.31,21.31,20.88,21.0,2209200,21.125,-0.32,-65.625
1994-01-13,20.94,21.0,20.81,20.88,1033400,20.9075,-0.32,-65.25
1994-01-14,20.94,21.06,20.81,20.94,1366000,20.9375,-0.32,-65.4375
1994-01-17,20.88,21.0,20.75,20.94,1157400,20.8925,-0.32,-65.4375
1994-01-18,20.94,20.94,20.75,20.81,1118400,20.86,-0.32,-65.03125
1994-01-19,20.75,21.25,20.75,21.13,1327800,20.97,-0.32,-66.03125
1994-01-20,21.13,21.19,20.81,21.0,1121400,21.0325,-0.32,-65.625
1994-01-21,21.06,21.06,20.88,21.0,1460800,21.0,-0.32,-65.625
1994-01-24,21.0,21.0,20.75,20.81,2101400,20.89,-0.32,-65.03125
1994-01-25,20.75,20.94,20.63,20.81,1470400,20.7825,-0.32,-65.03125
1994-01-26,20.75,20.88,20.75,20.81,723600,20.7975,-0.32,-65.03125
1994-01-27,20.81,20.94,20.75,20.81,1610600,20.8275,-0.32,-65.03125
1994-01-28,20.94,21.56,20.88,21.5,1285200,21.22,-0.32,-67.1875
1994-01-31,21.5,22.19,21.5,21.88,1316000,21.7675,-0.32,-68.375
1994-02-01,21.13,21.25,21.0,21.13,3041400,21.1275,-0.32,-66.03125
1994-02-02,21.06,21.06,20.81,21.0,3352000,20.9825,-0.32,-65.625
1994-02-03,21.06,21.44,21.0,21.38,2135600,21.22,-0.32,-66.8125
1994-02-04,21.31,21.63,21.25,21.31,1256600,21.375,-0.32,-66.59375
1994-02-07,21.31,21.81,21.31,21.75,799400,21.545,-0.32,-67.96875
1994-02-08,21.5,21.63,21.38,21.44,916600,21.4875,-0.32,-67.0
1994-02-09,21.31,21.56,21.31,21.56,769800,21.435,-0.32,-67.375
1994-02-10,21.5,21.69,21.38,21.38,977600,21.4875,-0.32,-66.8125
1994-02-11,21.38,21.44,21.25,21.38,690800,21.3625,-0.32,-66.8125
1994-02-14,21.44,21.56,21.38,21.5,616800,21.47,-0.32,-67.1875
1994-02-15,21.44,21.75,21.44,21.56,701200,21.5475,-0.32,-67.375
1994-02-16,21.56,21.81,21.5,21.69,668800,21.64,-0.32,-67.78125
1994-02-17,21.81,22.0,21.69,21.69,995000,21.7975,-0.32,-67.78125
1994-02-18,21.69,21.75,21.5,21.56,434000,21.625,-0.32,-67.375
1994-02-22,21.25,21.44,21.06,21.25,1151800,21.25,-0.32,-66.40625
1994-02-23,21.25,21.44,21.25,21.44,1016000,21.345,-0.32,-67.0
1994-02-24,21.38,21.38,21.13,21.19,537800,21.27,-0.32,-66.21875
1994-02-25,21.06,21.13,21.0,21.0,651200,21.0475,-0.32,-65.625
1994-02-28,21.06,21.06,20.81,20.88,520400,20.9525,-0.32,-65.25
1994-03-01,20.81,20.88,20.75,20.88,751800,20.83,-0.32,-65.25
1994-03-02,20.75,20.81,20.56,20.56,1084800,20.67,-0.32,-64.25
1994-03-03,20.56,20.56,20.25,20.25,731600,20.405,-0.32,-63.28125
1994-03-04,20.25,20.31,20.0,20.13,1008400,20.1725,-0.32,-62.90624999999999
1994-03-07,20.13,20.13,20.06,20.06,600000,20.095,-0.32,-62.68749999999999
1994-03-08,20.06,20.13,20.0,20.06,1083600,20.0625,-0.32,-62.68749999999999
1994-03-09,19.81,20.06,19.81,20.06,268400,19.935,-0.32,-62.68749999999999
1994-03-10,20.0,20.13,19.81,19.88,1073200,19.955,-0.32,-62.12499999999999
1994-03-11,19.88,20.38,19.88,20.31,297400,20.1125,-0.32,-63.46874999999999
1994-03-14,20.44,20.44,20.25,20.38,343400,20.3775,-0.32,-63.68749999999999
