Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,6.67,6.67,6.67,6.67,17994,6.67,,
1968-01-03,6.58,6.58,6.58,6.58,23394,6.58,,
1968-01-04,6.56,6.56,6.56,6.56,28794,6.56,,
1968-01-05,6.58,6.58,6.58,6.58,19794,6.58,,
1968-01-08,6.51,6.51,6.51,6.51,9894,6.51,,
1968-01-09,6.56,6.56,6.56,6.56,34194,6.56,,
1968-01-10,6.46,6.46,6.46,6.46,59394,6.46,,
1968-01-11,6.53,6.53,6.53,6.53,31494,6.53,,
1968-01-12,6.67,6.67,6.67,6.67,70194,6.67,,
1968-01-15,6.64,6.64,6.64,6.64,41394,6.64,,
1968-01-16,6.47,6.47,6.47,6.47,27894,6.47,,
1968-01-17,6.42,6.42,6.42,6.42,18894,6.42,,
1968-01-18,6.42,6.42,6.42,6.42,28794,6.42,,
1968-01-19,6.47,6.47,6.47,6.47,37794,6.47,,
1968-01-22,6.25,6.25,6.25,6.25,51294,6.25,,
1968-01-23,6.21,6.21,6.21,6.21,20694,6.21,,
1968-01-24,6.31,6.31,6.31,6.31,75594,6.31,,
1968-01-25,6.35,6.35,6.35,6.35,26094,6.35,,
1968-01-26,6.37,6.37,6.37,6.37,44094,6.37,,
1968-01-29,6.5,6.5,6.5,6.5,22494,6.5,,
1968-01-30,6.43,6.43,6.43,6.43,13494,6.43,,
1968-01-31,6.33,6.33,6.33,6.33,14394,6.33,,
1968-02-01,6.22,6.22,6.22,6.22,17094,6.22,,
1968-02-02,6.07,6.07,6.07,6.07,56694,6.07,,
1968-02-05,6.03,6.03,6.03,6.03,25194,6.03,,
1968-02-06,5.94,5.94,5.94,5.94,43194,5.94,,
1968-02-07,5.94,5.94,5.94,5.94,23394,5.94,,
1968-02-08,5.76,5.76,5.76,5.76,109795,5.76,,
1968-02-09,5.76,5.76,5.76,5.76,44994,5.76,,
1968-02-13,5.6,5.6,5.6,5.6,72894,5.6,,
1968-02-14,5.62,5.62,5.62,5.62,119695,5.62,,
