Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2010-04-28,22.25,22.25,21.7,22.0,5244400,22.05,0.0177,1242.9378531073446
2010-04-29,22.0,23.25,21.9,23.0,8773600,22.5375,0.0177,1299.4350282485875
2010-04-30,22.95,23.0,22.25,22.3,1644400,22.625,0.0177,1259.8870056497176
2010-05-03,22.75,22.95,22.65,22.8,3302700,22.7875,0.0177,1288.135593220339
2010-05-04,22.8,22.8,21.5,21.5,2276500,22.15,0.0177,1214.689265536723
2010-05-05,22.0,22.0,20.0,20.59,7052945,21.1475,0.0177,1163.276836158192
2010-05-06,20.5,20.55,18.45,19.45,8029400,19.7375,0.0177,1098.870056497175
2010-05-07,19.5,19.55,17.9,18.6,3881500,18.8875,0.0177,1050.8474576271187
2010-05-10,19.75,19.85,18.7,19.01,3861100,19.3275,0.0177,1074.0112994350284
2010-05-11,18.75,19.28,18.75,18.9,2626900,18.92,0.0177,1067.7966101694915
2010-05-12,19.2,20.04,19.2,19.8,5714300,19.56,0.0177,1118.6440677966102
2010-05-13,19.85,20.1,19.6,19.65,2475900,19.8,0.0177,1110.1694915254236
2010-05-14,19.3,19.4,18.75,18.75,3133400,19.05,0.0177,1059.322033898305
2010-05-17,19.0,19.2,18.7,18.85,10117000,18.9375,0.0177,1064.9717514124295
2010-05-18,19.05,19.32,18.25,18.79,6219800,18.8525,0.0177,1061.5819209039548
2010-05-19,18.9,18.93,17.55,17.7,6227700,18.27,0.0177,999.9999999999999
2010-05-20,17.14,17.14,16.2,16.9,10248426,16.845,0.0177,954.8022598870056
2010-05-21,16.35,17.12,16.25,16.55,4560800,16.5675,0.0177,935.0282485875706
2010-05-24,16.7,17.15,16.68,16.9,1761300,16.8575,0.0177,954.8022598870056
2010-05-25,16.79,16.79,16.2,16.57,4649600,16.5875,0.0177,936.1581920903955
2010-05-26,16.99,17.4,16.8,17.15,2079300,17.085,0.0177,968.9265536723162
2010-05-27,17.65,18.0,17.65,17.9,3156100,17.8,0.0177,1011.2994350282485
2010-05-28,17.9,17.9,16.25,17.77,222200,17.455,0.0177,1003.954802259887
2010-06-01,17.65,17.8,17.2,17.5,900800,17.5375,0.0177,988.7005649717514
2010-06-02,17.61,17.66,17.22,17.33,829900,17.455,0.0177,979.09604519774
2010-06-03,17.45,17.5,17.15,17.33,2173600,17.3575,0.0177,979.09604519774
2010-06-04,17.05,17.1,16.75,17.05,3147200,16.9875,0.0177,963.276836158192
2010-06-07,17.15,17.2,16.74,16.89,2826800,16.995,0.0177,954.2372881355932
2010-06-08,17.03,17.03,16.5,16.75,2037700,16.8275,0.0177,946.3276836158192
2010-06-09,16.79,17.1,16.7,16.79,1410200,16.845,0.0177,948.5875706214689
2010-06-10,16.97,17.07,16.85,16.97,1401000,16.965,0.0177,958.7570621468926
2010-06-11,16.94,17.19,16.94,17.14,452500,17.0525,0.0177,968.361581920904
2010-06-14,17.19,17.58,17.19,17.49,1008500,17.3625,0.0177,988.1355932203388
2010-06-15,17.48,18.0,17.35,17.97,1974300,17.7,0.0177,1015.2542372881355
2010-06-16,17.93,17.97,17.63,17.64,1041500,17.7925,0.0177,996.6101694915254
2010-06-17,17.68,17.75,17.14,17.3,1090600,17.4675,0.0177,977.4011299435028
2010-06-18,17.33,17.35,17.15,17.21,1373700,17.26,0.0177,972.316384180791
2010-06-21,17.45,17.53,17.09,17.1,514100,17.2925,0.0177,966.1016949152543
2010-06-22,17.09,17.1,16.8,16.84,1502900,16.9575,0.0177,951.412429378531
2010-06-23,16.9,16.95,16.6,16.65,1125700,16.775,0.0177,940.6779661016948
2010-06-24,16.69,16.92,16.35,16.8,2151603,16.69,0.0177,949.1525423728814
2010-06-25,16.9,16.92,16.7,16.82,612000,16.835,0.0177,950.2824858757062
2010-06-28,16.87,16.87,16.7,16.87,355895,16.8275,0.0177,953.1073446327684
2010-06-29,16.74,16.74,16.25,16.25,2561000,16.495,0.0177,918.0790960451977
2010-06-30,16.27,16.5,16.15,16.15,1534100,16.2675,15.61,1.034593209481102
2010-07-01,16.24,16.3,15.4,15.55,4006100,15.8725,15.61,0.9961563100576555
2010-07-02,15.58,15.69,15.4,15.48,231700,15.5375,15.61,0.99167200512492
2010-07-06,15.5,15.59,14.9,15.06,833700,15.2625,15.61,0.9647661755285074
2010-07-07,15.05,15.15,14.86,15.0,2137200,15.015,15.61,0.9609224855861628
2010-07-08,14.95,15.15,14.95,15.05,2422200,15.025,15.61,0.9641255605381167
2010-07-09,15.1,16.02,15.0,15.8,1478700,15.48,15.61,1.0121716848174247
