Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1994-02-17,24.63,25.88,24.5,24.63,4478602,24.91,,
1994-02-18,24.63,25.0,24.25,24.63,777900,24.6275,,
1994-02-22,24.5,24.5,24.0,24.38,361900,24.345,,
1994-02-23,24.38,24.5,23.25,23.25,284500,23.845,,
1994-02-24,23.25,23.25,22.75,23.0,494600,23.0625,,
1994-02-25,23.0,23.88,23.0,23.75,102000,23.4075,,
1994-02-28,23.75,24.0,23.75,23.88,115200,23.845,,
1994-03-01,23.88,24.0,23.13,23.25,246600,23.565,,
1994-03-02,22.75,22.88,22.63,22.75,355900,22.7525,,
1994-03-03,22.75,23.0,22.75,22.88,51500,22.845,,
1994-03-04,23.0,23.38,22.75,23.13,145500,23.065,,
1994-03-07,23.13,23.25,23.0,23.0,102200,23.095,,
1994-03-08,23.0,23.13,22.88,23.0,34700,23.0025,,
1994-03-09,23.13,23.13,22.88,22.88,101100,23.005,,
1994-03-10,22.88,23.0,22.13,22.25,220400,22.565,,
1994-03-11,22.13,22.38,22.0,22.38,42100,22.2225,,
1994-03-14,22.25,22.5,22.13,22.25,11900,22.2825,,
1994-03-15,22.75,23.0,22.5,22.75,128500,22.75,,
1994-03-16,22.75,22.88,22.5,22.75,93800,22.72,,
1994-03-17,22.88,22.88,22.5,22.63,43700,22.7225,,
1994-03-18,22.5,22.88,22.5,22.88,125000,22.69,,
1994-03-21,22.75,23.13,22.75,23.13,81100,22.94,,
1994-03-22,23.0,23.63,23.0,23.5,91800,23.2825,,
1994-03-23,24.25,24.88,24.25,24.25,332700,24.4075,,
1994-03-24,24.38,24.38,24.0,24.0,113300,24.19,,
1994-03-25,24.0,24.25,24.0,24.0,54700,24.0625,,
1994-03-28,24.25,24.25,23.75,24.0,67900,24.0625,,
1994-03-29,23.88,24.0,22.5,22.5,174400,23.22,,
1994-03-30,22.25,22.25,22.0,22.13,198000,22.1575,,
1994-03-31,22.25,22.38,21.5,22.0,201000,22.0325,0.0022,10000.0
1994-04-04,21.63,21.63,21.0,21.5,206600,21.44,0.0022,9772.727272727272
1994-04-05,21.5,22.75,21.5,22.75,40500,22.125,0.0022,10340.90909090909
1994-04-06,22.75,22.88,22.5,22.88,31700,22.7525,0.0022,10399.999999999998
1994-04-07,22.88,22.88,22.63,22.88,14500,22.8175,0.0022,10399.999999999998
1994-04-08,22.88,22.88,22.13,22.5,29900,22.5975,0.0022,10227.272727272726
1994-04-11,22.75,22.75,22.25,22.63,28900,22.595,0.0022,10286.363636363636
1994-04-12,22.5,22.5,22.0,22.13,56200,22.2825,0.0022,10059.090909090908
1994-04-13,22.25,22.38,21.25,21.75,48100,21.9075,0.0022,9886.363636363636
1994-04-14,21.5,21.5,21.25,21.38,81800,21.4075,0.0022,9718.181818181818
1994-04-15,21.38,21.38,21.25,21.38,23400,21.3475,0.0022,9718.181818181818
1994-04-18,21.38,21.38,20.5,20.5,119100,20.94,0.0022,9318.181818181818
1994-04-19,20.5,20.5,20.0,20.13,23100,20.2825,0.0022,9149.999999999998
1994-04-20,20.13,20.13,19.5,19.75,72900,19.8775,0.0022,8977.272727272726
1994-04-21,19.63,19.88,19.5,19.75,67100,19.69,0.0022,8977.272727272726
1994-04-22,19.5,19.75,19.5,19.75,8000,19.625,0.0022,8977.272727272726
1994-04-25,19.5,19.63,18.25,19.63,130900,19.2525,0.0022,8922.727272727272
1994-04-26,19.63,21.0,19.63,20.75,172800,20.2525,0.0022,9431.818181818182
1994-04-28,21.0,21.13,20.75,20.88,73900,20.94,0.0022,9490.90909090909
1994-04-29,21.0,23.0,21.0,23.0,166100,22.0,0.0022,10454.545454545454
1994-05-02,22.75,23.75,22.63,23.75,87800,23.22,0.0022,10795.454545454544
1994-05-03,23.5,23.75,23.25,23.38,55000,23.47,0.0022,10627.272727272726
1994-05-04,23.5,24.0,23.38,23.5,81500,23.595,0.0022,10681.818181818182
1994-05-05,23.25,23.5,23.25,23.38,14200,23.345,0.0022,10627.272727272726
1994-05-06,23.13,23.25,22.38,22.5,67900,22.815,0.0022,10227.272727272726
1994-05-09,22.25,22.5,21.75,22.0,65200,22.125,0.0022,10000.0
1994-05-10,22.0,22.0,21.75,21.88,18000,21.9075,0.0022,9945.454545454544
1994-05-11,21.88,21.88,21.38,21.38,24200,21.63,0.0022,9718.181818181818
1994-05-12,21.5,21.5,21.25,21.25,18400,21.375,0.0022,9659.090909090908
1994-05-13,21.25,21.25,20.88,20.88,68700,21.065,0.0022,9490.90909090909
1994-05-16,20.75,20.75,20.0,20.13,13800,20.4075,0.0022,9149.999999999998
1994-05-17,20.13,20.13,19.88,19.88,18300,20.005,0.0022,9036.363636363636
1994-05-18,19.88,19.88,19.5,19.75,40900,19.7525,0.0022,8977.272727272726
1994-05-19,19.5,19.63,18.0,19.0,772400,19.0325,0.0022,8636.363636363636
1994-05-20,18.88,20.0,18.88,19.88,58400,19.41,0.0022,9036.363636363636
1994-05-23,20.0,20.25,20.0,20.13,12600,20.095,0.0022,9149.999999999998
1994-05-24,20.25,20.25,19.88,20.0,92000,20.095,0.0022,9090.90909090909
1994-05-25,19.75,20.0,19.75,20.0,36600,19.875,0.0022,9090.90909090909
1994-05-26,20.13,20.25,20.13,20.25,3700,20.19,0.0022,9204.545454545454
