Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,10.3,10.3,10.3,10.3,22465,10.3,,
1968-01-03,10.06,10.06,10.06,10.06,36194,10.06,,
1968-01-04,10.12,10.12,10.12,10.12,81750,10.12,,
1968-01-05,9.98,9.98,9.98,9.98,49923,9.98,,
1968-01-08,10.02,10.02,10.02,10.02,30578,10.02,,
1968-01-09,10.08,10.08,10.08,10.08,33074,10.08,,
1968-01-10,10.12,10.12,10.12,10.12,23089,10.12,,
1968-01-11,10.14,10.14,10.14,10.14,32450,10.14,,
1968-01-12,10.22,10.22,10.22,10.22,33074,10.22,,
1968-01-15,10.22,10.22,10.22,10.22,33698,10.22,,
1968-01-16,10.26,10.26,10.26,10.26,18721,10.26,,
1968-01-17,10.38,10.38,10.38,10.38,53044,10.38,,
1968-01-18,10.28,10.28,10.28,10.28,19969,10.28,,
1968-01-19,10.2,10.2,10.2,10.2,26834,10.2,,
1968-01-22,10.06,10.06,10.06,10.06,31202,10.06,,
1968-01-23,9.79,9.79,9.79,9.79,32450,9.79,,
1968-01-24,9.65,9.65,9.65,9.65,51796,9.65,,
1968-01-25,9.77,9.77,9.77,9.77,37442,9.77,,
1968-01-26,9.69,9.69,9.69,9.69,21841,9.69,,
1968-01-29,9.73,9.73,9.73,9.73,51796,9.73,,
1968-01-30,9.77,9.77,9.77,9.77,35570,9.77,,
1968-01-31,9.75,9.75,9.75,9.75,16225,9.75,,
1968-02-01,9.59,9.59,9.59,9.59,31826,9.59,,
1968-02-02,9.61,9.61,9.61,9.61,53044,9.61,,
1968-02-05,9.55,9.55,9.55,9.55,20593,9.55,,
1968-02-06,9.39,9.39,9.39,9.39,39939,9.39,,
1968-02-07,9.25,9.25,9.25,9.25,116697,9.25,,
1968-02-08,8.97,8.97,8.97,8.97,70517,8.97,,
1968-02-09,8.97,8.97,8.97,8.97,38066,8.97,,
1968-02-13,9.13,9.13,9.13,9.13,68021,9.13,,
1968-02-14,9.29,9.29,9.29,9.29,152267,9.29,,
1968-02-15,9.23,9.23,9.23,9.23,53668,9.23,,
1968-02-16,9.33,9.33,9.33,9.33,34322,9.33,,
1968-02-19,9.39,9.39,9.39,9.39,18097,9.39,,
1968-02-20,9.41,9.41,9.41,9.41,24961,9.41,,
1968-02-21,9.45,9.45,9.45,9.45,31202,9.45,,
1968-02-23,9.47,9.47,9.47,9.47,15601,9.47,,
1968-02-26,9.53,9.53,9.53,9.53,26834,9.53,,
1968-02-27,9.59,9.59,9.59,9.59,58660,9.59,,
1968-02-28,9.59,9.59,9.59,9.59,21841,9.59,,
1968-02-29,9.69,9.69,9.69,9.69,29954,9.69,,
1968-03-01,10.16,10.16,10.16,10.16,92359,10.16,,
1968-03-04,10.18,10.18,10.18,10.18,220913,10.18,,
1968-03-05,9.83,9.83,9.83,9.83,53044,9.83,,
1968-03-06,10.0,10.0,10.0,10.0,17473,10.0,,
1968-03-07,10.04,10.04,10.04,10.04,24961,10.04,,
1968-03-08,10.28,10.28,10.28,10.28,80502,10.28,,
1968-03-11,10.08,10.08,10.08,10.08,185342,10.08,,
1968-03-12,10.14,10.14,10.14,10.14,36818,10.14,,
1968-03-13,10.18,10.18,10.18,10.18,71765,10.18,,
1968-03-14,9.94,9.94,9.94,9.94,107960,9.94,,
1968-03-15,9.98,9.98,9.98,9.98,302663,9.98,,
1968-03-18,9.77,9.77,9.77,9.77,87990,9.77,,
1968-03-19,9.75,9.75,9.75,9.75,34322,9.75,,
1968-03-20,9.63,9.63,9.63,9.63,25585,9.63,,
1968-03-21,9.45,9.45,9.45,9.45,34322,9.45,,
1968-03-22,9.45,9.45,9.45,9.45,14977,9.45,,
1968-03-25,9.55,9.55,9.55,9.55,88614,9.55,,
1968-03-26,9.53,9.53,9.53,9.53,21217,9.53,,
1968-03-27,9.55,9.55,9.55,9.55,18097,9.55,,
1968-03-28,9.61,9.61,9.61,9.61,18097,9.61,,
1968-03-29,9.65,9.65,9.65,9.65,76757,9.65,,
1968-04-01,9.53,9.53,9.53,9.53,30578,9.53,,
1968-04-02,9.45,9.45,9.45,9.45,35570,9.45,,
1968-04-03,9.35,9.35,9.35,9.35,39939,9.35,,
1968-04-04,9.45,9.45,9.45,9.45,72389,9.45,,
1968-04-05,9.51,9.51,9.51,9.51,24961,9.51,,
1968-04-08,9.59,9.59,9.59,9.59,56788,9.59,,
1968-04-10,9.47,9.47,9.47,9.47,99223,9.47,,
1968-04-11,9.31,9.31,9.31,9.31,51171,9.31,,
1968-04-15,9.41,9.41,9.41,9.41,38690,9.41,,
1968-04-16,9.37,9.37,9.37,9.37,16225,9.37,,
1968-04-17,9.45,9.45,9.45,9.45,38690,9.45,,
