Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,1.36,1.36,1.36,1.36,86384,1.36,,
1968-01-03,1.36,1.36,1.36,1.36,100784,1.36,,
1968-01-04,1.39,1.39,1.39,1.39,316784,1.39,,
1968-01-05,1.42,1.42,1.42,1.42,460784,1.42,,
1968-01-08,1.47,1.47,1.47,1.47,355184,1.47,,
1968-01-09,1.46,1.46,1.46,1.46,263984,1.46,,
1968-01-10,1.47,1.47,1.47,1.47,134384,1.47,,
1968-01-11,1.48,1.48,1.48,1.48,287984,1.48,,
1968-01-12,1.48,1.48,1.48,1.48,143984,1.48,,
1968-01-15,1.45,1.45,1.45,1.45,139184,1.45,,
1968-01-16,1.44,1.44,1.44,1.44,201584,1.44,,
1968-01-17,1.42,1.42,1.42,1.42,196784,1.42,,
1968-01-18,1.41,1.41,1.41,1.41,86384,1.41,,
1968-01-19,1.43,1.43,1.43,1.43,187184,1.43,,
1968-01-22,1.44,1.44,1.44,1.44,201584,1.44,,
1968-01-23,1.43,1.43,1.43,1.43,119984,1.43,,
1968-01-24,1.43,1.43,1.43,1.43,139184,1.43,,
1968-01-25,1.44,1.44,1.44,1.44,201584,1.44,,
1968-01-26,1.45,1.45,1.45,1.45,167984,1.45,,
1968-01-29,1.45,1.45,1.45,1.45,158384,1.45,,
1968-01-30,1.46,1.46,1.46,1.46,230384,1.46,,
1968-01-31,1.46,1.46,1.46,1.46,225584,1.46,,
1968-02-01,1.46,1.46,1.46,1.46,139184,1.46,,
1968-02-02,1.44,1.44,1.44,1.44,283184,1.44,,
1968-02-05,1.39,1.39,1.39,1.39,201584,1.39,,
1968-02-06,1.38,1.38,1.38,1.38,191984,1.38,,
1968-02-07,1.38,1.38,1.38,1.38,76784,1.38,,
1968-02-08,1.36,1.36,1.36,1.36,91184,1.36,,
1968-02-09,1.32,1.32,1.32,1.32,191984,1.32,,
1968-02-13,1.31,1.31,1.31,1.31,52784,1.31,,
1968-02-14,1.33,1.33,1.33,1.33,95984,1.33,,
1968-02-15,1.34,1.34,1.34,1.34,28784,1.34,,
1968-02-16,1.34,1.34,1.34,1.34,110384,1.34,,
1968-02-19,1.34,1.34,1.34,1.34,86384,1.34,,
1968-02-20,1.34,1.34,1.34,1.34,52784,1.34,,
1968-02-21,1.35,1.35,1.35,1.35,115184,1.35,,
1968-02-23,1.35,1.35,1.35,1.35,86384,1.35,,
1968-02-26,1.34,1.34,1.34,1.34,177584,1.34,,
1968-02-27,1.35,1.35,1.35,1.35,81584,1.35,,
1968-02-28,1.35,1.35,1.35,1.35,57584,1.35,,
1968-02-29,1.34,1.34,1.34,1.34,62384,1.34,,
1968-03-01,1.31,1.31,1.31,1.31,57584,1.31,,
1968-03-04,1.33,1.33,1.33,1.33,134384,1.33,,
1968-03-05,1.32,1.32,1.32,1.32,148784,1.32,,
1968-03-06,1.31,1.31,1.31,1.31,124784,1.31,,
1968-03-07,1.32,1.32,1.32,1.32,163184,1.32,,
1968-03-08,1.3,1.3,1.3,1.3,110384,1.3,,
1968-03-11,1.3,1.3,1.3,1.3,91184,1.3,,
1968-03-12,1.31,1.31,1.31,1.31,115184,1.31,,
1968-03-13,1.32,1.32,1.32,1.32,86384,1.32,,
1968-03-14,1.3,1.3,1.3,1.3,105584,1.3,,
1968-03-15,1.31,1.31,1.31,1.31,81584,1.31,,
1968-03-18,1.32,1.32,1.32,1.32,287984,1.32,,
1968-03-19,1.34,1.34,1.34,1.34,124784,1.34,,
1968-03-20,1.34,1.34,1.34,1.34,76784,1.34,,
1968-03-21,1.34,1.34,1.34,1.34,100784,1.34,,
1968-03-22,1.34,1.34,1.34,1.34,220784,1.34,,
1968-03-25,1.34,1.34,1.34,1.34,105584,1.34,,
1968-03-26,1.34,1.34,1.34,1.34,57584,1.34,,
1968-03-27,1.35,1.35,1.35,1.35,119984,1.35,,
1968-03-28,1.36,1.36,1.36,1.36,76784,1.36,,
1968-03-29,1.36,1.36,1.36,1.36,43184,1.36,,
1968-04-01,1.38,1.38,1.38,1.38,225584,1.38,,
1968-04-02,1.38,1.38,1.38,1.38,134384,1.38,,
1968-04-03,1.4,1.4,1.4,1.4,177584,1.4,,
1968-04-04,1.39,1.39,1.39,1.39,115184,1.39,,
1968-04-05,1.39,1.39,1.39,1.39,76784,1.39,,
1968-04-08,1.41,1.41,1.41,1.41,379184,1.41,,
1968-04-10,1.4,1.4,1.4,1.4,499184,1.4,,
1968-04-11,1.43,1.43,1.43,1.43,355184,1.43,,
1968-04-15,1.44,1.44,1.44,1.44,316784,1.44,,
1968-04-16,1.46,1.46,1.46,1.46,331184,1.46,,
1968-04-17,1.46,1.46,1.46,1.46,283184,1.46,,
1968-04-18,1.5,1.5,1.5,1.5,436784,1.5,,
