Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.5,0.5,0.5,0.5,182400,0.5,,
1968-01-03,0.4974,0.4974,0.4974,0.4974,240000,0.4974,,
1968-01-04,0.5,0.5,0.5,0.5,422400,0.5,,
1968-01-05,0.51823,0.51823,0.51823,0.51823,441600,0.51823,,
1968-01-08,0.51823,0.51823,0.51823,0.51823,547200,0.51823,,
1968-01-09,0.51823,0.51823,0.51823,0.51823,480000,0.51823,,
1968-01-10,0.52604,0.52604,0.52604,0.52604,470400,0.52604,,
1968-01-11,0.53646,0.53646,0.53646,0.53646,1468801,0.53646,,
1968-01-12,0.53385,0.53385,0.53385,0.53385,345600,0.53385,,
1968-01-15,0.53906,0.53906,0.53906,0.53906,172800,0.53906,,
1968-01-16,0.53906,0.53906,0.53906,0.53906,220800,0.53906,,
1968-01-17,0.53385,0.53385,0.53385,0.53385,288000,0.53385,,
1968-01-18,0.54427,0.54427,0.54427,0.54427,288000,0.54427,,
1968-01-19,0.54557,0.54557,0.54557,0.54557,220800,0.54557,,
1968-01-22,0.54167,0.54167,0.54167,0.54167,134400,0.54167,,
1968-01-23,0.53385,0.53385,0.53385,0.53385,268800,0.53385,,
1968-01-24,0.52604,0.52604,0.52604,0.52604,163200,0.52604,,
1968-01-25,0.52083,0.52083,0.52083,0.52083,316800,0.52083,,
1968-01-26,0.51432,0.51432,0.51432,0.51432,336000,0.51432,,
1968-01-29,0.51302,0.51302,0.51302,0.51302,172800,0.51302,,
1968-01-30,0.50781,0.50781,0.50781,0.50781,153600,0.50781,,
1968-01-31,0.50781,0.50781,0.50781,0.50781,86400,0.50781,,
1968-02-01,0.50781,0.50781,0.50781,0.50781,297600,0.50781,,
1968-02-02,0.50521,0.50521,0.50521,0.50521,134400,0.50521,,
1968-02-05,0.50781,0.50781,0.50781,0.50781,182400,0.50781,,
1968-02-06,0.50521,0.50521,0.50521,0.50521,240000,0.50521,,
1968-02-07,0.50781,0.50781,0.50781,0.50781,76800,0.50781,,
1968-02-08,0.50521,0.50521,0.50521,0.50521,249600,0.50521,,
1968-02-09,0.4987,0.4987,0.4987,0.4987,153600,0.4987,,
