Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1996-11-22,4.38,4.66,4.22,4.66,16753600,4.48,-0.0569,-81.89806678383128
1996-11-25,4.53,4.63,4.25,4.47,3246400,4.47,-0.0569,-78.55887521968366
1996-11-26,4.53,4.53,4.34,4.41,1731600,4.4525,-0.0569,-77.50439367311073
1996-11-27,4.5,4.5,4.38,4.38,626400,4.44,-0.0569,-76.97715289982425
1996-11-29,4.5,4.56,4.38,4.56,374000,4.5,-0.0569,-80.14059753954305
1996-12-02,4.56,4.56,4.38,4.41,490400,4.4775,-0.0569,-77.50439367311073
1996-12-03,4.5,4.5,4.38,4.5,803200,4.47,-0.0569,-79.08611599297012
1996-12-04,4.44,4.5,4.31,4.5,299200,4.4375,-0.0569,-79.08611599297012
1996-12-05,4.56,4.56,4.38,4.44,568000,4.485,-0.0569,-78.03163444639719
1996-12-06,4.31,4.47,4.19,4.47,551600,4.36,-0.0569,-78.55887521968366
1996-12-09,4.38,4.5,4.38,4.38,886800,4.41,-0.0569,-76.97715289982425
1996-12-10,4.38,4.56,4.38,4.41,971200,4.4325,-0.0569,-77.50439367311073
1996-12-11,4.53,4.53,4.38,4.5,202800,4.485,-0.0569,-79.08611599297012
1996-12-12,4.38,4.5,4.38,4.47,398000,4.4325,-0.0569,-78.55887521968366
1996-12-13,4.38,4.5,4.38,4.47,465200,4.4325,-0.0569,-78.55887521968366
1996-12-16,4.41,4.56,4.38,4.38,862000,4.4325,-0.0569,-76.97715289982425
1996-12-17,4.34,4.53,4.34,4.44,696800,4.4125,-0.0569,-78.03163444639719
1996-12-18,4.56,4.66,4.47,4.66,224000,4.5875,-0.0569,-81.89806678383128
1996-12-19,4.69,5.25,4.56,4.88,1774800,4.845,-0.0569,-85.76449912126537
1996-12-20,5.0,5.0,4.81,4.94,679600,4.9375,-0.0569,-86.81898066783832
1996-12-23,4.94,4.94,4.81,4.91,422800,4.9,-0.0569,-86.29173989455185
1996-12-24,4.91,4.91,4.75,4.81,64400,4.845,-0.0569,-84.53427065026361
1996-12-26,4.81,4.81,4.69,4.75,166400,4.765,-0.0569,-83.47978910369069
1996-12-27,4.75,4.88,4.75,4.78,346000,4.79,-0.0569,-84.00702987697716
1996-12-30,4.75,4.84,4.75,4.84,136400,4.795,-0.0569,-85.06151142355009
1996-12-31,4.84,4.84,4.69,4.78,77200,4.7875,-0.0569,-84.00702987697716
1997-01-02,4.78,4.78,4.69,4.75,267200,4.75,-0.0569,-83.47978910369069
1997-01-03,4.75,4.94,4.75,4.88,223600,4.83,-0.0569,-85.76449912126537
1997-01-06,4.91,5.09,4.84,5.06,296800,4.975,-0.0569,-88.92794376098418
1997-01-07,5.06,5.66,5.03,5.44,1013600,5.2975,-0.0569,-95.60632688927944
1997-01-08,5.5,5.5,5.22,5.44,1590800,5.415,-0.0569,-95.60632688927944
1997-01-09,5.34,5.63,5.34,5.53,778800,5.46,-0.0569,-97.18804920913884
1997-01-10,5.63,5.97,5.5,5.94,946000,5.76,-0.0569,-104.39367311072057
1997-01-13,5.88,6.03,5.84,5.97,761200,5.93,-0.0569,-104.92091388400702
1997-01-14,6.0,6.0,5.81,5.88,253200,5.9225,-0.0569,-103.33919156414763
1997-01-15,5.88,5.88,5.63,5.69,448000,5.77,-0.0569,-100.00000000000001
1997-01-16,5.78,5.78,5.69,5.78,556400,5.7575,-0.0569,-101.58172231985941
1997-01-17,5.78,5.84,5.72,5.84,83200,5.795,-0.0569,-102.63620386643234
1997-01-20,5.88,6.13,5.75,6.09,396000,5.9625,-0.0569,-107.0298769771529
1997-01-21,6.19,6.34,6.06,6.16,768400,6.1875,-0.0569,-108.26010544815466
1997-01-22,6.19,6.19,5.63,5.81,508000,5.955,-0.0569,-102.10896309314586
1997-01-23,5.69,5.81,5.31,5.41,603200,5.555,-0.0569,-95.07908611599298
1997-01-24,5.44,5.44,5.19,5.44,884800,5.3775,-0.0569,-95.60632688927944
1997-01-27,5.5,5.56,5.41,5.56,192000,5.5075,-0.0569,-97.7152899824253
1997-01-28,5.56,5.56,5.44,5.56,149200,5.53,-0.0569,-97.7152899824253
1997-01-29,5.44,5.56,5.44,5.56,127200,5.5,-0.0569,-97.7152899824253
1997-01-30,5.5,5.56,5.41,5.5,50800,5.4925,-0.0569,-96.66080843585237
1997-01-31,5.56,5.81,5.44,5.81,1196400,5.655,-0.0569,-102.10896309314586
1997-02-03,5.78,5.81,5.56,5.66,522800,5.7025,-0.0569,-99.47275922671353
1997-02-04,5.66,5.66,5.44,5.5,152400,5.565,-0.0569,-96.66080843585237
1997-02-05,5.53,5.56,5.44,5.47,47600,5.5,-0.0569,-96.13356766256591
1997-02-06,5.56,5.75,5.5,5.66,218800,5.6175,-0.0569,-99.47275922671353
1997-02-07,5.63,5.75,5.63,5.69,336800,5.675,-0.0569,-100.00000000000001
1997-02-10,5.69,5.69,5.38,5.44,195200,5.55,-0.0569,-95.60632688927944
1997-02-11,5.5,5.5,5.19,5.38,484000,5.3925,-0.0569,-94.5518453427065
1997-02-12,5.38,5.63,5.31,5.5,170400,5.455,-0.0569,-96.66080843585237
1997-02-13,5.5,5.5,5.0,5.03,955600,5.2575,-0.0569,-88.40070298769773
1997-02-14,5.16,5.16,4.98,4.98,491200,5.07,-0.0569,-87.5219683655536
1997-02-18,5.0,5.09,4.94,5.06,577200,5.0225,-0.0569,-88.92794376098418
1997-02-19,5.06,5.06,4.88,5.0,516800,5.0,-0.0569,-87.87346221441125
1997-02-20,5.0,5.0,4.88,4.98,1075200,4.965,-0.0569,-87.5219683655536
1997-02-21,4.91,5.13,4.91,5.0,331200,4.9875,-0.0569,-87.87346221441125
1997-02-24,5.13,5.13,4.91,5.0,334800,5.0425,-0.0569,-87.87346221441125
1997-02-25,4.91,5.03,4.91,5.03,153600,4.97,-0.0569,-88.40070298769773
1997-02-26,5.03,5.06,4.91,5.06,631200,5.015,-0.0569,-88.92794376098418
1997-02-27,5.06,5.06,5.0,5.06,97600,5.045,-0.0569,-88.92794376098418
1997-02-28,5.06,5.06,5.0,5.0,172000,5.03,-0.0569,-87.87346221441125
1997-03-03,5.06,5.06,5.0,5.02,102000,5.035,-0.0569,-88.22495606326889
1997-03-04,5.06,5.06,4.88,4.94,335200,4.985,-0.0569,-86.81898066783832
1997-03-05,5.0,5.06,4.88,4.97,384800,4.9775,-0.0569,-87.34622144112478
1997-03-06,4.94,5.06,4.88,4.88,284400,4.94,-0.0569,-85.76449912126537
1997-03-07,5.0,5.0,4.75,4.84,187200,4.8975,-0.0569,-85.06151142355009
1997-03-10,4.88,4.94,4.78,4.88,244400,4.87,-0.0569,-85.76449912126537
1997-03-11,4.84,4.91,4.69,4.81,620000,4.8125,-0.0569,-84.53427065026361
1997-03-12,4.81,4.81,4.72,4.81,248400,4.7875,-0.0569,-84.53427065026361
1997-03-13,4.81,4.81,4.72,4.72,81600,4.765,-0.0569,-82.95254833040421
1997-03-14,4.81,4.81,4.72,4.73,290000,4.7675,-0.0569,-83.12829525483305
1997-03-17,4.81,4.81,4.69,4.69,270800,4.75,-0.0569,-82.42530755711776
1997-03-18,4.78,4.78,4.72,4.75,164800,4.7575,-0.0569,-83.47978910369069
1997-03-19,4.78,4.78,4.59,4.66,334400,4.7025,-0.0569,-81.89806678383128
1997-03-20,4.66,4.66,4.56,4.66,84800,4.635,-0.0569,-81.89806678383128
1997-03-21,4.66,4.66,4.56,4.66,150400,4.635,-0.0569,-81.89806678383128
1997-03-24,4.66,4.66,4.5,4.5,382400,4.58,-0.0569,-79.08611599297012
1997-03-25,4.53,4.53,4.38,4.41,578800,4.4625,-0.0569,-77.50439367311073
1997-03-26,4.41,4.5,4.34,4.38,1470400,4.4075,-0.0569,-76.97715289982425
1997-03-27,4.41,4.47,4.41,4.41,322000,4.425,-0.0569,-77.50439367311073
1997-03-31,4.47,4.47,4.38,4.38,289600,4.425,-0.0063,-695.2380952380952
1997-04-01,4.38,4.47,4.13,4.34,3528000,4.33,-0.0063,-688.8888888888889
1997-04-02,4.28,4.34,4.22,4.34,301600,4.295,-0.0063,-688.8888888888889
1997-04-03,4.34,4.34,4.22,4.25,107600,4.2875,-0.0063,-674.6031746031746
1997-04-04,4.22,4.38,4.22,4.38,141600,4.3,-0.0063,-695.2380952380952
1997-04-07,4.38,4.44,4.28,4.44,163200,4.385,-0.0063,-704.7619047619048
1997-04-08,4.72,5.06,4.56,5.0,412400,4.835,-0.0063,-793.6507936507936
