Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2020-12-09,182.0,195.5,163.8,189.51,30117940,181.63,-0.14,-1353.6428571428569
2020-12-10,179.71,187.6951,172.6361,186.0,9452894,178.23,-0.14,-1328.5714285714284
2020-12-11,176.52,182.0,168.25,175.0,4805547,173.84,-0.14,-1249.9999999999998
2020-12-14,169.1,170.0,151.2,160.0,7908653,157.92,-0.14,-1142.8571428571427
2020-12-15,157.1,161.42,153.76,158.89,5037907,156.69,-0.14,-1134.9285714285713
2020-12-16,161.18,167.47,157.2,158.05,3079054,161.12,-0.14,-1128.9285714285713
2020-12-17,159.1,161.66,149.95,154.21,6380647,154.62,-0.14,-1101.5
2020-12-18,154.21,169.95,147.32,166.35,8192168,161.22,-0.14,-1188.2142857142856
2020-12-21,169.07,173.46,155.0,160.23,3907242,161.84,-0.14,-1144.4999999999998
2020-12-22,161.05,163.21,153.4215,156.79,2399309,157.06,-0.14,-1119.9285714285713
2020-12-23,155.0,161.56,150.25,158.22,1775415,156.87,-0.14,-1130.142857142857
2020-12-24,157.38,158.6,153.07,158.46,678995,155.63,-0.14,-1131.857142857143
2020-12-28,158.25,158.45,141.505,147.89,3819358,147.95,-0.14,-1056.3571428571427
2020-12-29,146.12,147.4,139.64,141.27,3862477,141.47,-0.14,-1009.0714285714286
2020-12-30,144.4,147.98,139.8,140.2,3138842,142.5,-0.14,-1001.4285714285712
2020-12-31,140.2,146.5,135.38,142.75,2644608,141.27,-0.14,-1019.642857142857
2021-01-04,142.5,143.62,137.17,139.19,2044452,139.99,-0.14,-994.2142857142856
2021-01-05,138.0,146.12,137.835,144.43,1037545,143.56,-0.14,-1031.642857142857
2021-01-06,141.27,142.0,138.21,140.01,1950586,139.78,-0.14,-1000.0714285714284
2021-01-07,140.0,154.64,139.435,152.77,3225070,149.93,-0.14,-1091.2142857142858
2021-01-08,152.0,158.31,147.3,156.09,2569988,155.23,-0.14,-1114.9285714285713
2021-01-11,153.19,169.0,153.19,167.0,2560818,163.55,-0.14,-1192.8571428571427
2021-01-12,165.5,201.93,162.615,191.99,7099638,188.6,-0.14,-1371.357142857143
2021-01-13,192.41,215.5,188.07,198.0,6082458,201.13,-0.14,-1414.2857142857142
2021-01-14,196.62,221.4,195.33,207.24,4531367,211.4,-0.14,-1480.2857142857142
2021-01-15,207.0,212.09,186.95,187.15,3365962,195.06,-0.14,-1336.7857142857142
2021-01-19,191.19,202.3,185.5404,198.75,3505444,196.41,-0.14,-1419.642857142857
2021-01-20,200.0,203.82,189.04,189.46,2078768,194.57,-0.14,-1353.2857142857142
