Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2013-07-01,29.1,29.87,28.5,29.53,1121970,29.46,,
2013-07-02,29.81,29.87,29.265,29.34,1503474,29.46,,
2013-07-03,29.38,29.83,28.93,29.75,718978,29.47,,
2013-07-05,30.64,30.65,30.02,30.32,1618971,30.33,,
2013-07-08,30.28,30.63,30.18,30.41,1998022,30.35,,
2013-07-09,30.62,30.62,30.03,30.2,1436111,30.23,,
2013-07-10,30.3,30.4,29.73,30.06,2030131,30.0,,
2013-07-11,30.06,30.52,29.9,30.08,1773984,30.14,,
2013-07-12,30.07,30.38,30.04,30.29,1585583,30.25,,
2013-07-15,30.4,30.4,30.05,30.15,1247154,30.16,,
2013-07-16,30.25,30.46,30.15,30.31,1031096,30.31,,
2013-07-17,30.35,30.49,30.06,30.31,1079899,30.23,,
2013-07-18,30.28,31.23,30.25,31.03,2332483,30.92,,
2013-07-19,30.87,31.13,30.65,30.77,1269569,30.79,,
2013-07-22,31.18,31.2,30.61,30.88,979386,30.85,,
2013-07-23,30.87,31.02,30.605,30.84,3347988,30.78,,
2013-07-24,30.75,30.97,30.31,30.475,1720752,30.52,,
2013-07-25,30.26,30.53,30.16,30.45,866701,30.38,,
2013-07-26,30.18,30.5,30.18,30.48,1077175,30.41,,
2013-07-29,30.45,30.45,29.87,29.99,1147556,30.01,,
2013-07-30,29.97,30.21,29.53,29.53,2256547,29.74,,
2013-07-31,29.73,30.22,29.6,29.99,1927128,29.96,,
2013-08-01,30.34,30.73,30.21,30.67,855099,30.53,,
2013-08-02,30.73,31.58,30.65,31.54,1978466,31.32,,
2013-08-05,31.54,32.1,31.3,31.39,1571491,31.53,,
2013-08-06,31.49,31.65,31.15,31.29,1619968,31.33,,
2013-08-07,31.62,32.8499,31.5,31.82,5071880,31.84,,
2013-08-08,31.88,33.88,31.8,32.83,4525891,32.82,,
2013-08-09,32.85,33.19,32.7,32.8,1063340,32.91,,
2013-08-12,32.69,32.867,32.59,32.71,939194,32.71,,
2013-08-13,32.73,32.75,32.37,32.54,850052,32.58,,
2013-08-14,32.56,32.76,32.2,32.35,1536323,32.35,,
2013-08-15,32.04,32.16,31.61,31.945,1202626,31.93,,
2013-08-16,32.14,32.27,31.89,32.06,660556,32.07,,
2013-08-19,32.12,32.12,31.51,31.54,945357,31.71,,
2013-08-20,31.57,32.05,31.5,31.99,512938,31.84,,
2013-08-21,31.73,32.0,31.51,31.54,838905,31.76,,
2013-08-22,31.65,32.25,31.52,32.15,1161175,32.08,,
2013-08-23,32.23,32.4,32.1,32.25,1807909,32.24,,
2013-08-26,32.24,32.6,32.09,32.18,930216,32.33,,
2013-08-27,31.83,31.99,31.47,31.65,1564430,31.69,,
2013-08-28,31.73,31.87,31.33,31.66,1365104,31.59,,
2013-08-29,31.41,31.92,31.37,31.51,1524956,31.7,,
2013-08-30,31.6,31.73,31.18,31.39,1325500,31.42,,
2013-09-03,32.38,32.39,31.67,31.79,2641956,31.91,,
2013-09-04,31.74,32.22,31.66,32.03,1049030,32.06,,
2013-09-05,31.97,32.19,31.81,32.01,667825,32.0,,
2013-09-06,32.23,32.41,31.48,32.16,1516791,32.09,,
2013-09-09,32.04,32.43,31.82,32.17,1253931,32.02,,
2013-09-10,32.41,32.46,32.13,32.25,555515,32.28,,
2013-09-11,32.33,32.65,32.29,32.51,976220,32.45,,
2013-09-12,32.59,32.59,32.19,32.34,886141,32.39,,
2013-09-13,32.5,32.68,32.14,32.65,922152,32.41,,
2013-09-16,33.24,33.33,32.57,32.64,1195156,32.79,,
2013-09-17,32.8,32.81,32.49,32.6,1403863,32.65,,
2013-09-18,32.5,33.02,32.33,32.77,978246,32.61,,
2013-09-19,32.91,32.925,32.45,32.82,851244,32.76,,
2013-09-20,32.77,33.29,32.77,33.0,1471955,33.1,,
2013-09-23,33.24,33.24,32.68,32.73,1372018,32.84,,
2013-09-24,32.83,32.92,32.51,32.55,1135415,32.76,,
2013-09-25,32.39,32.78,32.27,32.66,1321889,32.54,,
2013-09-26,32.74,33.025,32.73,32.99,1042162,32.91,,
2013-09-27,32.9,33.42,32.86,33.27,1784685,33.26,,
2013-09-30,33.11,33.53,32.86,33.4,1498458,33.37,,
2013-10-01,33.38,34.04,33.06,33.94,2066267,33.8,,
2013-10-02,33.89,33.939,33.53,33.64,2102162,33.72,,
2013-10-03,33.58,33.71,32.98,33.17,2516093,33.25,,
2013-10-04,33.27,33.67,33.02,33.59,2236718,33.56,,
