Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2005-12-21,11.0,11.05,10.55,10.85,5796900,10.82,0.39,27.820512820512818
2005-12-22,10.6,11.12,10.59,10.6,4152500,10.84,0.39,27.17948717948718
2005-12-23,10.9,12.78,10.9,11.95,8844700,11.45,0.39,30.64102564102564
2005-12-27,12.2,12.79,12.13,12.5,3324100,12.38,0.39,32.05128205128205
2005-12-28,12.25,14.0,12.25,13.3,3187700,13.0,0.39,34.1025641025641
2005-12-29,13.8,13.83,13.21,13.21,1092100,13.39,0.39,33.871794871794876
2005-12-30,13.65,13.65,12.66,13.1,1208400,13.1,0.39,33.58974358974359
2006-01-03,12.9,13.5,12.81,13.5,1875500,13.14,0.39,34.61538461538461
2006-01-04,13.47,13.85,13.0,13.0,2342000,13.53,0.39,33.333333333333336
2006-01-05,13.3,13.31,12.95,13.0,2880600,13.04,0.39,33.333333333333336
2006-01-06,13.0,13.08,12.77,12.93,1627700,12.96,0.39,33.15384615384615
2006-01-09,12.83,13.75,12.82,13.75,1133600,13.15,0.39,35.256410256410255
2006-01-10,13.85,13.85,13.45,13.65,1382200,13.64,0.39,35.0
2006-01-11,13.6,14.6,13.48,14.32,2884200,13.98,0.39,36.717948717948715
2006-01-12,14.0,14.65,13.9,14.4,2363900,14.29,0.39,36.92307692307692
2006-01-13,14.4,14.77,14.37,14.77,2023000,14.59,0.39,37.87179487179487
2006-01-17,14.45,15.14,14.4,14.87,1737300,14.84,0.39,38.128205128205124
2006-01-18,14.4,14.65,14.31,14.49,1714500,14.51,0.39,37.15384615384615
2006-01-19,14.4,15.22,14.295,15.22,4355100,14.57,0.39,39.02564102564103
2006-01-20,15.4,16.75,15.3,16.56,3528300,16.26,0.39,42.46153846153846
2006-01-23,16.57,18.4999,16.57,17.59,3040500,17.67,0.39,45.1025641025641
2006-01-24,17.39,17.8,17.3,17.59,1375600,17.51,0.39,45.1025641025641
2006-01-25,17.65,17.65,16.36,16.73,1517700,17.21,0.39,42.8974358974359
2006-01-26,16.8,17.45,16.45,16.57,811900,16.63,0.39,42.48717948717949
2006-01-27,16.57,17.4,16.57,17.05,1063900,17.13,0.39,43.717948717948715
2006-01-30,17.06,17.3,16.78,17.24,941200,17.1,0.39,44.2051282051282
2006-01-31,17.2,18.0,17.2,17.75,1478000,17.46,0.39,45.51282051282051
