Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2012-05-18,42.05,45.0,38.0,38.23,580587776,40.82,0.0641,596.4118564742589
2012-05-21,36.53,36.66,33.0,34.03,168309808,35.055,0.0641,530.8892355694228
2012-05-22,32.61,33.59,30.94,31.0,102053808,32.035,0.0641,483.61934477379094
2012-05-23,31.37,32.5,31.36,32.0,73721120,31.8075,0.0641,499.2199687987519
2012-05-24,32.95,33.21,31.77,33.03,50275872,32.74,0.0641,515.2886115444618
2012-05-25,32.9,32.95,31.11,31.91,37189632,32.2175,0.0641,497.8159126365054
2012-05-29,31.48,31.69,28.65,28.84,78063400,30.165,0.0641,449.92199687987517
2012-05-30,28.7,29.55,27.86,28.19,57267900,28.575,0.0641,439.7815912636505
2012-05-31,28.55,29.67,26.83,29.6,111639200,28.6625,0.0641,461.77847113884553
2012-06-01,28.89,29.15,27.39,27.72,41855504,28.2875,0.0641,432.44929797191884
2012-06-04,27.2,27.65,26.44,26.9,35230300,27.0475,0.0641,419.6567862714508
2012-06-05,26.7,27.76,25.75,25.87,42473400,26.52,0.0641,403.58814352574103
2012-06-06,26.07,27.17,25.52,26.81,61489200,26.3925,0.0641,418.2527301092043
2012-06-07,27.0,27.35,26.15,26.31,26167760,26.7025,0.0641,410.4524180967238
2012-06-08,26.55,27.76,26.44,27.1,38034000,26.9625,0.0641,422.77691107644307
2012-06-11,27.18,28.07,26.84,27.01,28225888,27.275,0.0641,421.3728549141966
2012-06-12,27.48,27.77,26.96,27.4,15822414,27.4025,0.0641,427.4570982839313
2012-06-13,27.66,28.1,27.1,27.27,17118672,27.5325,0.0641,425.4290171606864
2012-06-14,27.65,28.32,27.38,28.29,16855000,27.91,0.0641,441.3416536661466
2012-06-15,28.51,30.1,28.35,30.01,43563800,29.2425,0.0641,468.17472698907955
2012-06-18,29.96,32.08,29.41,31.41,42978900,30.715,0.0641,490.01560062402496
2012-06-19,31.54,32.18,30.7,31.91,30849000,31.5825,0.0641,497.8159126365054
2012-06-20,31.92,31.93,31.15,31.6,15558922,31.65,0.0641,492.97971918876755
2012-06-21,31.67,32.5,31.51,31.84,21875300,31.88,0.0641,496.72386895475813
2012-06-22,32.41,33.45,32.06,33.05,74834000,32.7425,0.0641,515.6006240249609
2012-06-25,32.86,33.02,31.55,32.06,24352900,32.3725,0.0641,500.1560062402496
2012-06-26,32.69,33.44,32.5,33.1,24858700,32.9325,0.0641,516.380655226209
2012-06-27,32.46,32.9,31.9,32.23,28599504,32.3725,0.0641,502.8081123244929
2012-06-28,31.96,32.19,30.9,31.36,17713300,31.6025,0.0641,489.23556942277685
2012-06-29,31.92,31.99,30.76,31.1,19526900,31.4425,0.0641,485.17940717628704
2012-07-02,31.25,31.73,30.55,30.77,14131477,31.075,0.0641,480.0312012480499
2012-07-03,30.91,31.44,30.8,31.2,8765496,31.0875,0.0641,486.7394695787831
2012-07-05,31.32,31.63,31.02,31.47,10036688,31.36,0.0641,490.95163806552256
2012-07-06,31.44,31.9,31.26,31.73,10949008,31.5825,0.0641,495.0078003120125
2012-07-09,32.1,32.88,31.99,32.17,17785200,32.285,0.0641,501.8720748829953
2012-07-10,32.43,32.48,31.16,31.47,14276996,31.885,0.0641,490.95163806552256
2012-07-11,31.48,31.56,30.55,30.97,13030300,31.14,0.0641,483.15132605304206
2012-07-12,30.7,31.4,30.6,30.81,11306637,30.8775,0.0641,480.6552262090483
2012-07-13,31.04,31.07,30.56,30.72,8117348,30.8475,0.0641,479.2511700468018
2012-07-16,30.5,30.5,28.21,28.25,24672100,29.365,0.0641,440.7176287051482
2012-07-17,28.48,28.59,27.15,28.09,30438600,28.0775,0.0641,438.2215288611544
2012-07-18,28.31,29.29,28.15,29.11,16841800,28.715,0.0641,454.13416536661464
2012-07-19,29.41,29.5,28.63,29.0,13685100,29.135,0.0641,452.4180967238689
2012-07-20,29.0,29.47,28.72,28.76,11869100,28.9875,0.0641,448.6739469578783
2012-07-23,28.12,29.0,28.01,28.75,12393863,28.47,0.0641,448.5179407176287
2012-07-24,28.82,29.45,28.1,28.45,11539801,28.705,0.0641,443.8377535101404
2012-07-25,28.39,29.49,28.08,29.34,17230200,28.825,0.0641,457.72230889235567
2012-07-26,27.75,28.23,26.73,26.85,64597400,27.39,0.0641,418.8767550702028
2012-07-27,23.19,24.54,22.28,23.71,123102300,23.43,0.0641,369.89079563182526
2012-07-30,24.0,24.04,23.03,23.15,29285900,23.555,0.0641,361.1544461778471
2012-07-31,23.37,23.37,21.61,21.71,56179400,22.515,-0.0836,-259.688995215311
2012-08-01,21.5,21.58,20.84,20.88,44604400,21.2,-0.0836,-249.76076555023923
2012-08-02,20.77,20.84,19.82,20.04,56374500,20.3675,-0.0836,-239.7129186602871
2012-08-03,20.36,22.16,19.9,21.09,80647008,20.8775,-0.0836,-252.27272727272728
2012-08-06,21.39,22.15,21.3,21.92,27778900,21.69,-0.0836,-262.2009569377991
2012-08-07,22.2,22.45,20.5,20.72,36782900,21.4675,-0.0836,-247.8468899521531
2012-08-08,20.71,21.15,20.22,20.72,29537400,20.7,-0.0836,-247.8468899521531
2012-08-09,20.75,21.17,20.61,21.01,15618516,20.885,-0.0836,-251.31578947368425
2012-08-10,21.41,21.82,21.13,21.81,25794700,21.5425,-0.0836,-260.88516746411483
2012-08-13,22.15,22.45,21.4,21.6,24973100,21.9,-0.0836,-258.3732057416268
2012-08-14,21.41,21.6,20.25,20.38,39308800,20.91,-0.0836,-243.7799043062201
2012-08-15,20.64,21.41,20.4,21.2,47861100,20.9125,-0.0836,-253.5885167464115
2012-08-16,20.44,20.48,19.69,19.87,157565300,20.12,-0.0836,-237.6794258373206
2012-08-17,20.01,20.08,19.0,19.05,129293400,19.535,-0.0836,-227.8708133971292
2012-08-20,19.05,20.13,18.75,20.01,101186600,19.485,-0.0836,-239.35406698564597
2012-08-21,19.58,19.98,19.09,19.16,70640600,19.4525,-0.0836,-229.1866028708134
2012-08-22,19.36,19.53,18.96,19.44,49892200,19.3225,-0.0836,-232.53588516746416
2012-08-23,19.5,19.73,19.36,19.44,32813700,19.5075,-0.0836,-232.53588516746416
2012-08-24,19.52,19.68,19.25,19.41,29622200,19.465,-0.0836,-232.17703349282297
2012-08-27,19.49,19.53,19.1,19.15,20704000,19.3175,-0.0836,-229.06698564593302
2012-08-28,19.1,19.38,18.95,19.34,25425792,19.1925,-0.0836,-231.3397129186603
2012-08-29,19.32,19.38,19.07,19.1,16124700,19.2175,-0.0836,-228.46889952153114
2012-08-30,19.27,19.45,19.06,19.09,30647500,19.2175,-0.0836,-228.34928229665073
2012-08-31,18.68,18.7,18.03,18.06,58764200,18.3675,-0.0836,-216.0287081339713
2012-09-04,18.08,18.27,17.55,17.73,46622400,17.9075,-0.0836,-212.0813397129187
2012-09-05,18.27,18.75,18.18,18.58,60781800,18.445,-0.0836,-222.2488038277512
2012-09-06,18.74,19.26,18.72,18.96,46066500,18.92,-0.0836,-226.79425837320576
2012-09-07,19.1,19.42,18.78,18.98,36371700,19.07,-0.0836,-227.03349282296654
2012-09-10,19.06,19.2,18.55,18.81,24797800,18.905,-0.0836,-225.0
2012-09-11,18.92,19.58,18.85,19.43,50508200,19.195,-0.0836,-232.41626794258374
2012-09-12,20.76,21.16,20.28,20.93,121584000,20.7825,-0.0836,-250.35885167464116
2012-09-13,20.96,21.48,20.61,20.71,65041600,20.94,-0.0836,-247.72727272727275
2012-09-14,21.13,22.08,20.9,22.0,72819800,21.5275,-0.0836,-263.15789473684214
2012-09-17,22.67,22.75,21.5,21.52,50667600,22.11,-0.0836,-257.4162679425838
2012-09-18,21.6,21.98,21.37,21.87,36760500,21.705,-0.0836,-261.60287081339715
2012-09-19,21.99,23.37,21.77,23.29,78782816,22.605,-0.0836,-278.58851674641147
2012-09-20,23.02,23.24,22.54,22.59,57248900,22.8475,-0.0836,-270.2153110047847
2012-09-21,22.97,23.24,22.6,22.86,51218100,22.9175,-0.0836,-273.44497607655506
2012-09-24,21.78,21.98,20.36,20.79,79106500,21.2275,-0.0836,-248.6842105263158
2012-09-25,21.2,21.21,20.22,20.28,46291700,20.7275,-0.0836,-242.5837320574163
2012-09-26,20.15,20.78,19.8,20.62,38271900,20.3375,-0.0836,-246.6507177033493
2012-09-27,20.99,21.0,20.16,20.32,30215900,20.6175,-0.0836,-243.06220095693783
2012-09-28,20.57,21.95,20.5,21.66,65486000,21.17,-0.0836,-259.0909090909091
2012-10-01,22.08,22.59,21.73,21.99,51262700,22.0975,-0.0836,-263.0382775119617
2012-10-02,22.08,22.49,21.82,22.27,29341400,22.165,-0.0836,-266.3875598086125
2012-10-03,22.3,22.49,21.8,21.83,32000100,22.105,-0.0836,-261.1244019138756
2012-10-04,22.32,22.4,21.41,21.95,46894592,22.02,-0.0836,-262.5598086124402
2012-10-05,21.49,21.63,20.88,20.91,40529300,21.2275,-0.0836,-250.11961722488041
2012-10-08,20.4,20.75,20.16,20.4,32236700,20.4275,-0.0836,-244.01913875598086
2012-10-09,20.39,20.55,19.97,20.23,27161800,20.285,-0.0836,-241.98564593301438
2012-10-10,19.93,19.94,19.45,19.64,39321800,19.74,-0.0836,-234.9282296650718
2012-10-11,19.88,19.96,19.61,19.75,21817300,19.8,-0.0836,-236.244019138756
2012-10-12,19.75,19.8,19.48,19.52,18809400,19.6375,-0.0836,-233.4928229665072
2012-10-15,19.68,19.88,19.49,19.52,20189700,19.6425,-0.0836,-233.4928229665072
2012-10-16,19.68,19.69,19.3,19.48,21834700,19.5375,-0.0836,-233.01435406698567
2012-10-17,19.5,20.48,19.37,19.88,44074500,19.8075,-0.0836,-237.79904306220095
2012-10-18,19.7,19.79,18.89,18.98,52157400,19.34,-0.0836,-227.03349282296654
2012-10-19,19.0,19.06,18.8,19.0,34835000,18.965,-0.0836,-227.27272727272728
2012-10-22,19.2,19.43,19.05,19.32,32447300,19.25,-0.0836,-231.10047846889955
2012-10-23,19.25,19.8,19.1,19.5,78381200,19.4125,-0.0836,-233.25358851674642
2012-10-24,24.13,24.25,22.85,23.23,228949900,23.615,-0.0244,-952.0491803278688
2012-10-25,23.29,23.31,22.47,22.56,76142000,22.9075,-0.0244,-924.5901639344261
2012-10-26,22.4,22.88,21.88,21.94,73259504,22.275,-0.0244,-899.1803278688525
2012-10-31,20.82,21.5,20.73,21.11,99378200,21.04,-0.0244,-865.1639344262294
2012-11-01,21.08,21.44,21.01,21.21,37713900,21.185,-0.0244,-869.2622950819672
2012-11-02,21.26,21.69,21.07,21.18,38344400,21.3,-0.0244,-868.0327868852459
2012-11-05,21.1,21.48,20.92,21.25,31806700,21.1875,-0.0244,-870.9016393442622
2012-11-06,21.24,21.37,20.99,21.17,29062700,21.1925,-0.0244,-867.6229508196722
2012-11-07,20.85,20.95,20.37,20.47,33396800,20.66,-0.0244,-838.9344262295081
2012-11-08,20.52,20.73,19.98,19.99,34254600,20.305,-0.0244,-819.2622950819671
2012-11-09,19.95,20.0,19.13,19.21,42295500,19.5725,-0.0244,-787.2950819672132
2012-11-12,19.15,20.17,18.87,20.07,67349200,19.565,-0.0244,-822.5409836065573
2012-11-13,19.61,20.11,19.56,19.86,71775100,19.785,-0.0244,-813.9344262295082
2012-11-14,20.1,22.5,19.93,22.36,229751000,21.2225,-0.0244,-916.3934426229507
2012-11-15,22.34,22.5,21.65,22.17,78857700,22.165,-0.0244,-908.6065573770492
2012-11-16,22.25,23.93,22.18,23.56,107182200,22.98,-0.0244,-965.5737704918032
2012-11-19,23.96,24.12,22.82,22.92,85021300,23.455,-0.0244,-939.344262295082
2012-11-20,22.73,23.9,22.7,23.1,46655300,23.1075,-0.0244,-946.7213114754098
2012-11-21,23.22,24.53,23.05,24.32,89862400,23.78,-0.0244,-996.7213114754098
2012-11-23,24.58,24.68,23.88,24.0,29520900,24.285,-0.0244,-983.6065573770492
2012-11-26,24.94,26.09,24.81,25.94,123865000,25.445,-0.0244,-1063.1147540983607
2012-11-27,26.04,26.5,25.46,26.15,85760600,26.0375,-0.0244,-1071.7213114754097
