Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2013-06-19,15.28,16.25,15.2,15.8,31981500,15.6325,0.56,28.21428571428571
2013-06-20,16.37,16.37,15.25,15.3,9274200,15.8225,0.56,27.32142857142857
2013-06-21,15.7,15.8,15.4,15.62,8323500,15.63,0.56,27.89285714285714
2013-06-24,15.64,15.84,15.2,15.53,4279700,15.5525,0.56,27.732142857142854
2013-06-25,15.55,15.74,15.35,15.72,3577300,15.59,0.56,28.07142857142857
2013-06-26,15.69,15.69,15.18,15.4,14755100,15.49,0.56,27.499999999999996
2013-06-27,15.34,15.87,14.85,15.5,12121700,15.39,0.56,27.678571428571427
2013-06-28,15.5,15.77,15.25,15.25,16988100,15.4425,0.56,27.232142857142854
2013-07-01,15.59,15.59,14.75,14.79,25839400,15.18,0.56,26.41071428571428
2013-07-02,14.69,15.12,14.69,15.0,30520100,14.875,0.56,26.785714285714285
2013-07-03,14.95,15.09,14.73,14.87,8542600,14.91,0.56,26.553571428571423
2013-07-05,14.95,15.95,14.89,15.66,12427000,15.3625,0.56,27.96428571428571
2013-07-08,15.63,16.04,15.5,15.96,15345100,15.7825,0.56,28.5
2013-07-09,15.79,15.97,15.5,15.71,9936400,15.7425,0.56,28.053571428571427
2013-07-10,15.5,15.57,15.15,15.39,16327000,15.4025,0.56,27.482142857142854
2013-07-11,15.6,15.6,14.96,15.13,17029600,15.3225,0.56,27.017857142857142
2013-07-12,15.07,15.12,14.9,14.93,10426300,15.005,0.56,26.66071428571428
2013-07-15,14.93,15.03,14.39,14.67,20636400,14.755,0.56,26.19642857142857
2013-07-16,14.57,15.34,14.57,15.28,9328500,14.94,0.56,27.28571428571428
2013-07-17,15.36,15.96,15.29,15.89,13411100,15.625,0.56,28.375
2013-07-18,15.94,16.1,15.33,15.47,10825700,15.71,0.56,27.625
2013-07-19,15.35,16.08,15.26,15.97,11658700,15.665,0.56,28.517857142857142
2013-07-22,16.09,16.13,15.61,15.73,6141600,15.89,0.56,28.08928571428571
2013-07-23,15.69,15.87,15.54,15.65,9298400,15.6875,0.56,27.94642857142857
2013-07-24,15.65,15.89,15.42,15.71,6205200,15.6675,0.56,28.053571428571427
2013-07-25,15.66,15.87,15.45,15.57,7069700,15.6375,0.56,27.803571428571427
2013-07-26,15.54,15.97,15.31,15.89,5885789,15.6775,0.56,28.375
2013-07-29,15.87,15.87,15.4,15.51,9020281,15.6625,0.56,27.69642857142857
2013-07-30,15.6,15.96,15.46,15.95,12798200,15.7425,0.56,28.482142857142854
2013-07-31,16.0,16.21,15.83,15.93,7681500,15.9925,0.56,28.44642857142857
2013-08-01,15.94,16.28,15.94,16.22,10311195,16.095,0.56,28.964285714285708
2013-08-02,16.15,16.47,16.12,16.34,8267141,16.27,0.56,29.178571428571427
2013-08-05,16.33,16.33,15.89,16.0,8754133,16.1375,0.56,28.57142857142857
2013-08-06,15.99,16.25,15.82,16.18,6232000,16.06,0.56,28.89285714285714
2013-08-07,16.15,16.15,15.85,15.95,4755992,16.025,0.56,28.482142857142854
2013-08-08,16.07,16.31,15.91,16.13,7110400,16.105,0.56,28.803571428571423
2013-08-09,16.09,16.16,15.96,15.98,4293840,16.0475,0.56,28.535714285714285
2013-08-12,15.88,16.06,15.74,15.92,4882400,15.9,0.56,28.428571428571427
2013-08-13,15.91,15.95,15.8,15.83,3615400,15.8725,0.56,28.26785714285714
2013-08-14,15.83,16.01,15.66,15.9,3941047,15.85,0.56,28.392857142857142
2013-08-15,15.79,16.19,15.7,16.1,5160000,15.945,0.56,28.75
2013-08-16,16.04,16.25,15.96,15.98,6373200,16.0575,0.56,28.535714285714285
2013-08-19,16.05,16.06,15.69,15.7,6123600,15.875,0.56,28.03571428571428
2013-08-20,15.83,15.83,15.52,15.7,4266117,15.72,0.56,28.03571428571428
2013-08-21,15.61,15.78,15.49,15.76,5040000,15.66,0.56,28.14285714285714
2013-08-22,15.76,15.83,15.63,15.71,3731700,15.7325,0.56,28.053571428571427
2013-08-23,15.71,15.79,15.57,15.75,3982556,15.705,0.56,28.124999999999996
2013-08-26,15.79,15.9,15.71,15.86,4126313,15.815,0.56,28.32142857142857
2013-08-27,15.75,16.0,15.69,15.73,9064441,15.7925,0.56,28.08928571428571
2013-08-28,15.76,15.81,15.68,15.76,11099320,15.7525,0.56,28.14285714285714
2013-08-29,15.73,15.89,15.64,15.77,2795510,15.7575,0.56,28.16071428571428
2013-08-30,15.75,15.78,15.59,15.7,5386300,15.705,0.56,28.03571428571428
2013-09-03,15.89,16.03,15.69,15.78,3783600,15.8475,0.56,28.178571428571423
2013-09-04,15.79,16.08,15.76,16.03,4994055,15.915,0.56,28.625
2013-09-05,15.97,16.27,15.88,16.24,3521221,16.09,0.56,28.999999999999993
2013-09-06,16.31,16.34,16.08,16.19,3358728,16.23,0.56,28.910714285714285
2013-09-09,16.16,16.34,16.16,16.34,3668936,16.25,0.56,29.178571428571427
2013-09-10,16.38,16.57,16.25,16.55,4301730,16.4375,0.56,29.553571428571427
2013-09-11,16.65,17.06,16.5,17.05,7562727,16.815,0.56,30.44642857142857
2013-09-12,17.12,17.26,16.94,17.11,4836504,17.1075,0.56,30.553571428571423
2013-09-13,17.06,17.08,16.77,16.89,2717700,16.95,0.56,30.160714285714285
2013-09-16,17.12,17.2,16.78,16.96,5759969,17.015,0.56,30.285714285714285
2013-09-17,17.03,17.17,16.89,17.0,2538530,17.0225,0.56,30.357142857142854
2013-09-18,16.99,17.18,16.84,17.05,3862600,17.015,0.56,30.44642857142857
2013-09-19,17.1,17.1,16.66,16.87,3286100,16.9325,0.56,30.125
2013-09-20,16.92,17.0,16.47,16.63,4594000,16.755,-1.94,-8.572164948453608
2013-09-23,16.62,16.64,16.37,16.53,2360000,16.54,-1.94,-8.520618556701033
2013-09-24,16.53,17.2,16.51,17.04,5611800,16.82,-1.94,-8.783505154639174
2013-09-25,17.03,17.04,16.68,16.8,4389700,16.8875,-1.94,-8.659793814432991
2013-09-26,16.77,16.87,16.1,16.29,12737906,16.5075,-1.94,-8.396907216494846
2013-09-27,16.1,16.25,15.99,16.17,7098324,16.1275,-1.94,-8.335051546391753
2013-09-30,16.2,16.26,15.91,16.06,6239559,16.1075,-1.94,-8.278350515463917
2013-10-01,16.05,16.14,15.8,15.91,8816277,15.975,-1.94,-8.201030927835053
2013-10-02,15.85,16.27,15.7,16.14,17758240,15.99,-1.94,-8.31958762886598
2013-10-03,16.14,16.25,15.79,15.87,17833504,16.0125,-1.94,-8.18041237113402
2013-10-04,15.84,16.01,15.79,15.84,13660008,15.87,-1.94,-8.164948453608247
2013-10-07,15.7,15.98,15.69,15.91,8663200,15.82,-1.94,-8.201030927835053
2013-10-08,15.51,15.98,15.51,15.8,4825313,15.7,-1.94,-8.144329896907218
2013-10-09,15.8,15.95,15.75,15.88,4210328,15.845,-1.94,-8.18556701030928
2013-10-10,15.98,16.25,15.94,16.22,5506700,16.0975,-1.94,-8.360824742268042
2013-10-11,16.16,16.6,16.14,16.41,5085738,16.3275,-1.94,-8.458762886597938
2013-10-14,16.31,16.62,16.23,16.56,3606300,16.43,-1.94,-8.536082474226804
2013-10-15,16.46,16.67,16.42,16.58,4406800,16.5325,-1.94,-8.54639175257732
2013-10-16,16.72,16.79,16.57,16.78,4511900,16.715,-1.94,-8.649484536082475
2013-10-17,16.64,16.81,16.63,16.8,3972000,16.72,-1.94,-8.659793814432991
2013-10-18,16.85,16.9,16.75,16.85,5809137,16.8375,-1.94,-8.68556701030928
2013-10-21,16.86,16.98,16.79,16.85,3107000,16.87,-1.94,-8.68556701030928
2013-10-22,16.89,17.06,16.79,17.0,7274300,16.935,-1.94,-8.762886597938145
2013-10-23,16.8,17.24,16.8,17.11,5145800,16.9875,-1.94,-8.81958762886598
2013-10-24,17.07,17.4,17.02,17.29,4734938,17.195,-1.94,-8.912371134020619
2013-10-25,17.55,17.55,17.09,17.15,6197900,17.335,-1.94,-8.840206185567009
2013-10-28,17.12,17.32,17.03,17.29,4131803,17.19,-1.94,-8.912371134020619
2013-10-29,17.3,17.51,17.24,17.46,6582747,17.3775,-1.94,-9.0
2013-10-30,17.46,17.51,17.31,17.35,8032529,17.4075,-1.94,-8.943298969072165
2013-10-31,17.37,17.77,17.34,17.6,4698013,17.52,-1.94,-9.07216494845361
2013-11-01,17.62,17.81,17.45,17.77,3714018,17.6625,-1.94,-9.15979381443299
2013-11-04,17.73,17.86,17.67,17.76,2870800,17.755,-1.94,-9.154639175257733
2013-11-05,17.57,17.85,17.48,17.68,3820200,17.645,-1.94,-9.11340206185567
2013-11-06,17.73,17.82,17.35,17.41,3923619,17.5775,-1.94,-8.974226804123711
2013-11-07,17.51,17.62,17.25,17.26,3888200,17.41,-1.94,-8.896907216494846
2013-11-08,17.31,17.62,17.17,17.6,1787543,17.425,-1.94,-9.07216494845361
2013-11-11,17.6,17.65,17.35,17.42,5392283,17.505,-1.94,-8.979381443298971
2013-11-12,16.85,17.31,16.72,17.15,12944430,17.0075,0.05,342.99999999999994
2013-11-13,17.02,17.29,16.95,17.22,3673400,17.12,0.05,344.4
2013-11-14,17.24,17.38,17.18,17.25,2920600,17.2625,0.05,345.0
2013-11-15,17.32,17.81,17.32,17.76,4606300,17.5525,0.05,355.2
2013-11-18,17.77,17.82,17.37,17.42,4431400,17.595,0.05,348.40000000000003
2013-11-19,17.43,17.66,17.38,17.48,2967698,17.4875,0.05,349.59999999999997
2013-11-20,17.54,17.79,17.45,17.67,6256421,17.6125,0.05,353.40000000000003
2013-11-21,17.71,17.75,17.54,17.56,4075019,17.64,0.05,351.19999999999993
2013-11-22,17.61,17.69,17.5,17.55,3624533,17.5875,0.05,351.0
2013-11-25,17.63,17.68,17.36,17.48,3397638,17.5375,0.05,349.59999999999997
2013-11-26,17.43,17.71,17.37,17.69,5585700,17.55,0.05,353.8
2013-11-27,17.66,17.94,17.51,17.86,5083302,17.7425,0.05,357.2
2013-11-29,17.85,17.97,17.84,17.96,1506100,17.905,0.05,359.2
2013-12-02,17.92,17.97,17.6,17.65,4610200,17.785,0.05,352.99999999999994
2013-12-03,17.63,17.63,17.4,17.5,3120100,17.54,0.05,350.0
2013-12-04,17.44,17.62,17.38,17.58,2676046,17.505,0.05,351.59999999999997
2013-12-05,16.54,17.55,16.54,17.46,2563731,17.0225,0.05,349.2
2013-12-06,17.66,17.86,17.52,17.78,4483700,17.705,0.05,355.6
2013-12-09,17.89,17.9,17.46,17.52,4088800,17.6925,0.05,350.4
2013-12-10,17.49,17.72,17.44,17.64,2618012,17.5725,0.05,352.8
2013-12-11,17.65,17.74,17.48,17.6,3262911,17.6175,0.05,352.0
2013-12-12,17.64,17.66,17.49,17.49,4073040,17.57,0.05,349.79999999999995
2013-12-13,17.49,17.7,17.32,17.66,4320848,17.5425,0.05,353.2
2013-12-16,17.77,17.8,17.58,17.77,1885145,17.73,0.05,355.4
2013-12-17,17.57,17.57,17.17,17.35,4028950,17.415,0.05,347.0
2013-12-18,17.3,17.53,17.07,17.5,2539208,17.35,0.05,350.0
2013-12-19,17.41,17.47,17.29,17.36,2475945,17.3825,0.05,347.2
2013-12-20,17.43,17.97,17.31,17.75,7055200,17.615,0.05,355.0
2013-12-23,17.93,17.97,17.73,17.9,1974600,17.8825,0.05,357.99999999999994
2013-12-24,17.96,18.01,17.78,17.9,683123,17.9125,0.05,357.99999999999994
2013-12-26,17.99,18.07,17.65,17.77,2259900,17.87,0.05,355.4
2013-12-27,17.74,17.82,17.56,17.73,2691300,17.7125,0.05,354.59999999999997
2013-12-30,17.78,17.93,17.7,17.91,1918413,17.83,0.05,358.2
2013-12-31,17.98,18.09,17.84,18.02,2612000,17.9825,0.05,360.4
2014-01-02,18.05,18.17,17.82,17.95,3673400,17.9975,0.05,358.99999999999994
2014-01-03,17.93,18.01,17.78,17.82,2016620,17.885,0.05,356.4
2014-01-06,17.88,17.96,17.48,17.58,3388300,17.725,0.05,351.59999999999997
2014-01-07,17.65,17.65,17.33,17.4,3266000,17.5075,0.05,347.99999999999994
2014-01-08,17.35,17.4,17.15,17.29,4109618,17.2975,0.05,345.79999999999995
2014-01-09,17.38,17.48,17.27,17.34,2852717,17.3675,0.05,346.79999999999995
2014-01-10,17.41,17.52,17.28,17.4,2063714,17.4025,0.05,347.99999999999994
2014-01-13,17.41,17.44,17.07,17.15,2655626,17.2675,0.05,342.99999999999994
2014-01-14,17.2,17.35,17.13,17.3,1935000,17.245,0.05,346.0
2014-01-15,17.24,17.33,17.1,17.21,2209416,17.22,0.05,344.2
2014-01-16,17.2,17.26,17.05,17.08,2833400,17.1475,0.05,341.59999999999997
2014-01-17,17.09,17.18,16.94,17.08,2102746,17.0725,0.05,341.59999999999997
2014-01-21,17.15,17.15,16.69,16.76,4664700,16.9375,0.05,335.2
2014-01-22,16.75,16.99,16.56,16.65,3109910,16.7375,0.05,332.99999999999994
2014-01-23,16.5,16.58,16.36,16.53,3085400,16.4925,0.05,330.6
2014-01-24,16.27,16.33,16.01,16.17,7001621,16.195,0.05,323.40000000000003
2014-01-27,16.25,16.56,16.19,16.39,6241000,16.3475,0.05,327.8
2014-01-28,16.38,16.46,16.23,16.24,4468413,16.3275,0.05,324.79999999999995
2014-01-29,16.09,16.28,16.01,16.22,5574400,16.15,0.05,324.4
2014-01-30,16.28,16.3,16.16,16.2,9436500,16.235,0.05,323.99999999999994
2014-01-31,16.14,16.24,15.95,15.96,3040227,16.0725,0.05,319.2
2014-02-03,16.0,16.06,15.48,15.52,4955391,15.765,0.05,310.4
2014-02-04,15.55,15.72,15.44,15.52,8117543,15.5575,0.05,310.4
2014-02-05,15.56,15.9,15.55,15.61,5805731,15.655,0.05,312.2
2014-02-06,15.64,16.11,15.61,16.02,4985190,15.845,0.05,320.4
2014-02-07,17.48,18.0,17.07,17.41,13191600,17.49,0.26,66.96153846153845
2014-02-10,17.03,17.59,16.97,17.51,6085100,17.275,0.26,67.34615384615385
2014-02-11,17.53,18.0,17.41,17.93,6908500,17.7175,0.26,68.96153846153845
2014-02-12,17.93,18.05,17.6,17.65,3310200,17.8075,0.26,67.88461538461537
2014-02-13,17.55,17.82,17.41,17.66,2168637,17.61,0.26,67.92307692307692
2014-02-14,17.62,17.84,17.54,17.68,1837844,17.67,0.26,68.0
2014-02-18,17.72,17.82,17.56,17.75,2359300,17.7125,0.26,68.26923076923077
2014-02-19,17.7,17.86,17.56,17.59,2217534,17.6775,0.26,67.65384615384615
2014-02-20,17.6,17.64,17.31,17.5,2549700,17.5125,0.26,67.3076923076923
2014-02-21,17.45,17.76,17.44,17.68,3193600,17.5825,0.26,68.0
2014-02-24,17.75,18.05,17.74,17.94,2474039,17.87,0.26,69.0
2014-02-25,17.93,18.11,17.9,17.96,2396900,17.975,0.26,69.07692307692308
2014-02-26,17.95,18.14,17.83,18.03,2275700,17.9875,0.26,69.34615384615385
2014-02-27,17.95,18.06,17.86,18.02,2363334,17.9725,0.26,69.3076923076923
2014-02-28,18.06,18.4,17.92,18.33,2515100,18.1775,0.26,70.49999999999999
2014-03-03,18.19,18.34,17.95,18.12,3592234,18.15,0.26,69.6923076923077
2014-03-04,18.2,18.41,18.15,18.4,3160615,18.29,0.26,70.76923076923076
2014-03-05,18.43,18.53,18.13,18.3,2321700,18.3475,0.26,70.38461538461539
2014-03-06,18.32,18.43,18.19,18.28,1897600,18.305,0.26,70.3076923076923
2014-03-07,18.3,18.36,17.84,17.91,2501200,18.1025,0.26,68.88461538461539
2014-03-10,17.96,18.0,17.71,17.76,1937815,17.8575,0.26,68.3076923076923
2014-03-11,17.76,17.81,17.52,17.71,1971000,17.7,0.26,68.11538461538461
2014-03-12,17.7,17.89,17.4,17.83,2782306,17.705,0.26,68.57692307692307
2014-03-13,17.82,17.91,17.31,17.34,2515200,17.595,0.26,66.6923076923077
2014-03-14,17.37,17.64,17.25,17.43,2372330,17.4225,0.26,67.03846153846153
2014-03-17,17.55,17.81,17.29,17.39,1708350,17.51,0.26,66.88461538461539
2014-03-18,17.42,17.74,17.38,17.71,3081146,17.5625,0.26,68.11538461538461
2014-03-19,17.67,17.8,17.46,17.55,2405636,17.62,0.26,67.5
2014-03-20,17.45,17.57,17.32,17.51,1290800,17.4625,0.26,67.34615384615385
2014-03-21,17.73,17.73,17.33,17.58,4658500,17.5925,0.26,67.61538461538461
2014-03-24,17.6,17.67,17.39,17.47,2295534,17.5325,0.26,67.19230769230768
2014-03-25,17.57,17.59,17.27,17.36,2258922,17.4475,0.26,66.76923076923076
2014-03-26,17.37,17.42,17.02,17.03,3216400,17.21,0.26,65.5
2014-03-27,17.09,17.23,16.99,17.02,4109800,17.0825,0.26,65.46153846153845
2014-03-28,17.01,17.28,17.0,17.03,2012336,17.08,0.26,65.5
2014-03-31,17.15,17.25,17.0,17.22,2399300,17.155,0.26,66.23076923076923
2014-04-01,17.34,17.5,17.2,17.44,3302729,17.37,0.26,67.07692307692308
2014-04-02,17.4,17.52,17.27,17.44,2373600,17.4075,0.26,67.07692307692308
2014-04-03,17.47,17.52,17.09,17.11,3712837,17.2975,0.26,65.8076923076923
2014-04-04,17.23,17.54,17.11,17.12,2828948,17.25,0.26,65.84615384615385
2014-04-07,17.11,17.38,17.0,17.08,3028742,17.1425,0.26,65.69230769230768
2014-04-08,17.18,17.21,16.92,17.05,2520200,17.09,0.26,65.57692307692308
2014-04-09,17.06,17.22,16.96,17.2,1704500,17.11,0.26,66.15384615384615
2014-04-10,17.23,17.32,16.83,16.83,2395313,17.0525,0.26,64.73076923076923
2014-04-11,16.78,17.16,16.47,16.54,3203000,16.7375,0.26,63.61538461538461
2014-04-14,16.66,16.81,16.5,16.77,2453413,16.685,0.26,64.5
2014-04-15,16.78,16.95,16.32,16.63,2191937,16.67,0.26,63.96153846153845
2014-04-16,16.72,16.9,16.45,16.79,1600408,16.715,0.26,64.57692307692307
2014-04-17,16.72,17.02,16.72,16.88,1113032,16.835,0.26,64.92307692307692
2014-04-21,16.87,17.04,16.55,16.95,1777320,16.8525,0.26,65.1923076923077
2014-04-22,16.94,17.05,16.73,17.01,1297400,16.9325,0.26,65.42307692307692
2014-04-23,17.03,17.24,16.93,17.23,1563300,17.1075,0.26,66.26923076923077
2014-04-24,17.29,17.44,17.01,17.28,1958138,17.255,0.26,66.46153846153847
2014-04-25,17.26,17.26,17.08,17.13,1166800,17.1825,0.26,65.88461538461537
2014-04-28,17.17,17.22,16.82,17.13,1787100,17.085,0.26,65.88461538461537
2014-04-29,17.25,17.42,17.11,17.21,2230228,17.2475,0.26,66.1923076923077
2014-04-30,17.2,17.2,16.78,17.02,2780900,17.05,0.26,65.46153846153845
2014-05-01,17.21,17.39,17.06,17.3,2417947,17.24,0.26,66.53846153846153
2014-05-02,17.23,17.44,17.02,17.31,2118000,17.25,0.26,66.57692307692307
2014-05-05,17.26,17.43,17.14,17.4,1567198,17.3075,0.26,66.92307692307692
2014-05-06,17.32,17.34,17.13,17.14,1908901,17.2325,0.26,65.92307692307692
2014-05-07,17.14,17.2,16.92,17.08,2508847,17.085,0.26,65.69230769230768
2014-05-08,17.09,17.17,16.88,17.11,3885700,17.0625,0.26,65.8076923076923
2014-05-09,17.51,18.02,17.27,18.0,4623941,17.7,0.08,225.0
2014-05-12,18.05,18.18,17.76,17.85,2926312,17.96,0.08,223.125
2014-05-13,17.84,17.94,17.65,17.72,2205200,17.7875,0.08,221.49999999999997
2014-05-14,17.74,17.79,17.17,17.19,3964200,17.4725,0.08,214.875
2014-05-15,17.18,17.23,16.87,16.87,2974000,17.0375,0.08,210.875
2014-05-16,16.89,17.1,16.67,17.05,2826649,16.9275,0.08,213.125
2014-05-19,16.98,17.16,16.92,17.03,1613308,17.0225,0.08,212.875
2014-05-20,16.98,17.0,16.66,16.75,3511200,16.8475,0.08,209.375
2014-05-21,16.79,17.04,16.77,16.91,3463200,16.8775,0.08,211.375
2014-05-22,16.98,17.22,16.83,17.17,2657700,17.05,0.08,214.62500000000003
2014-05-23,17.16,17.22,17.0,17.09,3382044,17.1175,0.08,213.625
2014-05-27,17.13,17.29,17.06,17.22,1829509,17.175,0.08,215.24999999999997
2014-05-28,17.19,17.24,16.78,17.11,2019826,17.08,0.08,213.875
2014-05-29,17.09,17.17,16.97,17.12,2734800,17.0875,0.08,214.0
2014-05-30,17.09,17.18,17.01,17.06,2971600,17.085,0.08,213.24999999999997
2014-06-02,17.1,17.33,17.03,17.26,2176847,17.18,0.08,215.75000000000003
2014-06-03,17.13,17.48,17.13,17.37,1993700,17.2775,0.08,217.125
2014-06-04,17.3,17.6,17.28,17.47,1802308,17.4125,0.08,218.37499999999997
2014-06-05,17.54,17.74,17.33,17.72,1616447,17.5825,0.08,221.49999999999997
2014-06-06,17.72,17.92,17.6,17.69,2294000,17.7325,0.08,221.125
2014-06-09,17.64,17.94,17.6,17.66,1958614,17.71,0.08,220.75
2014-06-10,17.66,17.75,17.48,17.61,1789309,17.625,0.08,220.125
2014-06-11,17.63,17.68,17.51,17.63,1201801,17.6125,0.08,220.37499999999997
2014-06-12,17.56,17.56,17.3,17.3,7379602,17.43,0.08,216.25
2014-06-13,17.38,17.6,17.14,17.23,2298500,17.3375,0.08,215.375
2014-06-16,17.14,17.23,16.92,17.12,2710509,17.1025,0.08,214.0
2014-06-17,17.06,17.28,17.01,17.25,1869200,17.15,0.08,215.625
2014-06-18,17.25,17.58,17.19,17.58,3342300,17.4,0.08,219.74999999999997
2014-06-19,17.52,17.68,17.23,17.67,3407300,17.525,0.08,220.87500000000003
2014-06-20,17.76,17.81,17.34,17.63,4562300,17.635,0.08,220.37499999999997
2014-06-23,17.69,17.71,17.27,17.37,3982900,17.51,0.08,217.125
2014-06-24,17.38,17.64,17.19,17.49,3323129,17.425,0.08,218.62499999999997
2014-06-25,17.41,17.78,17.26,17.71,3172600,17.54,0.08,221.375
2014-06-26,17.8,18.03,17.55,18.02,6005500,17.85,0.08,225.25
2014-06-27,17.9,18.08,17.81,17.98,17508800,17.9425,0.08,224.75
2014-06-30,17.97,18.12,17.77,17.94,3933100,17.95,0.08,224.25
2014-07-01,18.02,18.18,16.72,18.1,2928004,17.755,0.08,226.25
2014-07-02,18.03,18.3,17.98,18.26,2973411,18.1425,0.08,228.25000000000003
2014-07-03,18.27,18.34,18.18,18.28,1421400,18.2675,0.08,228.5
2014-07-07,18.24,18.25,18.09,18.12,1954000,18.175,0.08,226.5
2014-07-08,18.17,18.3,17.99,18.14,3532745,18.15,0.08,226.75
2014-07-09,18.24,18.37,18.11,18.22,4516819,18.235,0.08,227.74999999999997
2014-07-10,18.1,18.13,17.92,17.99,4187707,18.035,0.08,224.87499999999997
2014-07-11,18.0,18.18,17.96,18.09,2522201,18.0575,0.08,226.125
2014-07-14,18.19,18.24,18.02,18.18,2144948,18.1575,0.08,227.25
2014-07-15,18.18,18.39,18.13,18.27,4050116,18.2425,0.08,228.375
2014-07-16,18.26,18.41,18.17,18.23,2717000,18.2675,0.08,227.875
2014-07-17,18.2,18.24,18.04,18.05,2809400,18.1325,0.08,225.625
2014-07-18,18.12,18.28,18.0,18.22,1713414,18.155,0.08,227.74999999999997
2014-07-21,18.08,18.3,18.0,18.13,1932917,18.1275,0.08,226.62499999999997
2014-07-22,18.23,18.27,18.03,18.1,1590100,18.1575,0.08,226.25
2014-07-23,18.04,18.13,17.92,18.11,2878820,18.05,0.08,226.375
2014-07-24,18.19,18.31,18.09,18.29,2703200,18.22,0.08,228.62499999999997
2014-07-25,18.25,18.29,18.12,18.14,3757205,18.2,0.08,226.75
2014-07-28,18.1,18.11,17.9,18.06,2637800,18.0425,0.08,225.74999999999997
2014-07-29,18.11,18.2,17.85,17.87,3143222,18.0075,0.08,223.375
2014-07-30,17.9,18.03,17.71,17.85,3688900,17.8725,0.08,223.125
2014-07-31,17.77,17.93,17.62,17.65,2700700,17.7425,0.08,220.62499999999997
2014-08-01,17.63,17.85,17.58,17.77,2618600,17.7075,0.08,222.125
2014-08-04,17.8,17.88,17.61,17.84,2317247,17.7825,0.08,223.0
2014-08-05,17.46,17.81,17.46,17.65,2893835,17.595,0.08,220.62499999999997
2014-08-06,17.6,17.71,17.5,17.63,2169501,17.61,0.08,220.37499999999997
2014-08-07,17.72,17.72,17.37,17.42,6681600,17.5575,0.08,217.75000000000003
2014-08-08,16.46,17.27,16.33,17.15,13430800,16.8025,0.08,214.37499999999997
2014-08-11,17.17,17.46,17.16,17.34,5998325,17.2825,0.08,216.75
2014-08-12,17.36,17.5,17.22,17.25,5013217,17.3325,0.08,215.625
2014-08-13,16.5,17.33,16.42,17.11,4534336,16.84,0.08,213.875
2014-08-14,17.17,17.32,17.13,17.31,1905800,17.2325,0.02,865.4999999999999
2014-08-15,17.36,17.38,17.15,17.25,2948800,17.285,0.02,862.5
2014-08-18,17.27,17.41,17.15,17.2,4254500,17.2575,0.02,860.0
2014-08-19,17.16,17.24,17.07,17.15,3164437,17.155,0.02,857.4999999999999
2014-08-20,17.14,17.5,17.08,17.45,2803400,17.2925,0.02,872.5
2014-08-21,17.47,17.6,17.39,17.58,3522400,17.51,0.02,878.9999999999999
2014-08-22,17.6,17.6,17.39,17.49,2242800,17.52,0.02,874.4999999999999
2014-08-25,17.55,17.66,17.47,17.66,1954039,17.585,0.02,883.0
2014-08-26,17.71,17.71,17.59,17.62,1349400,17.6575,0.02,881.0
2014-08-27,17.61,17.68,17.54,17.68,1802325,17.6275,0.02,884.0
2014-08-28,17.65,17.75,17.51,17.67,2239400,17.645,0.02,883.5000000000001
2014-08-29,17.68,17.72,17.54,17.63,2377200,17.6425,0.02,881.4999999999999
2014-09-02,17.65,17.74,17.42,17.43,4195635,17.56,0.02,871.5
2014-09-03,17.52,17.64,17.52,17.6,2224629,17.57,0.02,880.0
2014-09-04,17.67,17.8,17.57,17.6,1900400,17.66,0.02,880.0
2014-09-05,17.54,17.75,17.54,17.75,2047200,17.645,0.02,887.5
2014-09-08,17.7,17.74,17.56,17.62,2089400,17.655,0.02,881.0
2014-09-09,17.61,17.62,17.27,17.29,2595016,17.4475,0.02,864.4999999999999
2014-09-10,17.27,17.51,17.2,17.47,1652100,17.3625,0.02,873.4999999999999
2014-09-11,17.41,17.47,17.26,17.28,1507638,17.355,0.02,864.0
2014-09-12,17.27,17.27,17.05,17.12,1782300,17.1775,0.02,856.0
2014-09-15,17.15,17.29,16.87,17.05,2548344,17.09,0.02,852.5
2014-09-16,17.02,17.18,16.98,17.04,1766900,17.055,0.02,851.9999999999999
2014-09-17,17.03,17.14,16.91,17.04,2411838,17.03,0.02,851.9999999999999
2014-09-18,17.07,17.16,16.94,17.03,2598726,17.05,0.02,851.5
2014-09-19,17.12,17.25,17.02,17.22,3239731,17.1525,0.02,860.9999999999999
2014-09-22,17.14,17.22,17.01,17.05,2704241,17.105,0.02,852.5
2014-09-23,16.98,17.09,16.92,16.92,3013400,16.9775,0.02,846.0000000000001
2014-09-24,16.89,16.99,16.79,16.91,2351830,16.895,0.02,845.5
2014-09-25,16.78,16.88,16.68,16.71,2239600,16.7625,0.02,835.5
2014-09-26,16.71,17.0,16.69,16.98,1981407,16.845,0.02,849.0
2014-09-29,16.88,16.96,16.72,16.8,6009300,16.84,0.02,840.0
