Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2007-04-19,50.2,55.18,49.0,54.8,15889351,52.295,0.0533,1028.1425891181989
2007-04-20,54.8,57.6,54.2,57.1,3054749,55.925,0.0533,1071.2945590994373
2007-04-23,57.2,57.88,56.58,57.5,1876400,57.29,0.0533,1078.7992495309568
2007-04-24,57.02,58.8,57.02,58.4,1532950,57.81,0.0533,1095.6848030018762
2007-04-25,59.1,59.5,57.02,57.22,1225949,58.21,0.0533,1073.5459662288931
2007-04-26,58.5,58.58,54.6,56.4,639700,57.02,0.0533,1058.1613508442776
2007-04-27,56.4,57.0,55.3,56.8,178150,56.375,0.0533,1065.6660412757974
2007-04-30,56.96,57.92,56.0,56.1,182500,56.745,0.0533,1052.532833020638
2007-05-01,56.0,57.0,55.6,55.8,459200,56.1,0.0533,1046.9043151969981
2007-05-02,55.6,57.24,55.52,56.32,428500,56.17,0.0533,1056.6604127579737
2007-05-03,56.3,57.46,56.12,57.3,185599,56.795,0.0533,1075.046904315197
2007-05-04,57.54,58.2,56.82,57.6,139850,57.54,0.0533,1080.675422138837
2007-05-07,57.4,58.2,57.0,58.14,293300,57.685,0.0533,1090.8067542213885
2007-05-08,58.36,58.8,58.0,58.6,259600,58.44,0.0533,1099.4371482176361
2007-05-09,58.94,62.54,58.58,61.7,594800,60.44,0.0533,1157.5984990619138
2007-05-10,61.7,61.7,59.46,60.82,568650,60.92,0.0533,1141.0881801125704
2007-05-11,61.7,63.22,61.4,61.82,646250,62.035,0.0533,1159.8499061913697
2007-05-14,63.0,64.0,62.0,63.84,390950,63.21,0.0533,1197.7485928705441
2007-05-15,68.0,69.4,67.38,68.42,1224750,68.3,0.22,311.0
2007-05-16,69.5,69.78,68.3,68.72,239550,69.075,0.22,312.3636363636364
2007-05-17,68.9,73.36,68.88,72.8,594199,70.985,0.22,330.9090909090909
2007-05-18,73.0,74.5,71.5,73.16,905199,73.04,0.22,332.5454545454545
2007-05-21,73.36,73.78,67.08,69.08,708900,70.825,0.22,314.0
2007-05-22,69.6,70.0,63.68,67.42,1950650,67.675,0.22,306.45454545454544
2007-05-23,68.5,69.74,67.0,67.16,620950,68.1,0.22,305.27272727272725
2007-05-24,67.56,69.0,67.4,67.86,600050,67.955,0.22,308.45454545454544
2007-05-25,67.86,70.4,67.7,70.02,381600,68.995,0.22,318.27272727272725
2007-05-29,72.28,72.28,67.1,67.8,443099,69.865,0.22,308.1818181818182
2007-05-30,67.94,71.74,67.32,71.64,431599,69.66,0.22,325.6363636363636
2007-05-31,71.9,74.0,70.6,71.32,543199,71.955,0.22,324.18181818181813
2007-06-01,71.16,73.48,71.1,73.18,406650,72.23,0.22,332.6363636363637
2007-06-04,72.86,73.36,70.3,73.36,287050,72.47,0.22,333.45454545454544
2007-06-05,73.18,73.9,70.44,70.52,431100,72.01,0.22,320.5454545454545
2007-06-06,69.42,69.6,66.34,67.78,653350,68.285,0.22,308.0909090909091
2007-06-07,68.5,68.64,65.0,65.06,614900,66.8,0.22,295.72727272727275
2007-06-08,65.4,66.0,64.24,65.1,258850,65.185,0.22,295.9090909090909
2007-06-11,66.04,68.5,65.8,67.54,492000,66.97,0.22,307.0
2007-06-12,66.8,67.44,65.0,66.24,580600,66.37,0.22,301.09090909090907
2007-06-13,65.0,67.7,65.0,67.58,364149,66.32,0.22,307.1818181818182
2007-06-14,68.0,68.34,65.12,65.86,547800,66.83,0.22,299.3636363636364
2007-06-15,66.0,71.7,65.8,71.2,936100,68.675,0.22,323.6363636363636
2007-06-18,71.62,73.7,69.62,71.24,809249,71.545,0.22,323.8181818181818
2007-06-19,71.6,71.6,67.74,67.98,429849,69.73,0.22,309.0
2007-06-20,67.82,68.14,65.12,65.28,598599,66.59,0.22,296.72727272727275
2007-06-21,65.74,67.96,65.1,67.24,380400,66.51,0.22,305.6363636363636
2007-06-22,66.74,68.0,65.56,67.66,1329000,66.99,0.22,307.5454545454545
2007-06-25,67.54,70.1,66.88,70.0,301550,68.63,0.22,318.1818181818182
2007-06-26,69.62,69.9,67.5,69.52,264750,69.135,0.22,316.0
2007-06-27,69.52,70.62,68.32,69.7,282650,69.54,0.22,316.8181818181818
2007-06-28,69.86,69.86,67.3,67.3,213300,68.58,0.22,305.9090909090909
2007-06-29,67.34,68.16,65.7,66.08,383900,66.82,0.22,300.3636363636364
2007-07-02,66.12,67.0,65.92,66.06,207200,66.275,0.22,300.2727272727273
2007-07-03,66.06,69.3,66.06,68.68,179449,67.525,0.22,312.1818181818182
2007-07-05,68.96,69.04,67.1,68.38,119700,68.37,0.22,310.8181818181818
2007-07-06,68.7,70.4,68.32,70.34,329050,69.44,0.22,319.72727272727275
2007-07-09,70.06,71.56,68.54,70.36,310650,70.13,0.22,319.8181818181818
2007-07-10,69.9,72.0,69.76,71.22,197400,70.72,0.22,323.72727272727275
2007-07-11,71.66,72.98,70.98,72.34,353750,71.99,0.22,328.8181818181818
2007-07-12,72.54,75.4,72.54,74.32,323400,73.7,0.22,337.8181818181818
2007-07-13,72.6,75.14,72.4,74.42,189000,73.64,0.22,338.27272727272725
2007-07-16,75.14,78.8,74.42,76.72,375200,76.27,0.22,348.72727272727275
2007-07-17,75.96,80.8,75.9,80.66,755550,78.33,0.22,366.6363636363636
2007-07-18,78.02,79.66,76.2,78.64,610750,78.13,0.22,357.45454545454544
2007-07-19,78.96,80.04,78.3,79.1,264299,79.1,0.22,359.5454545454545
2007-07-20,79.2,81.74,78.1,78.74,278200,79.445,0.22,357.9090909090909
2007-07-23,79.4,80.58,77.38,78.02,193200,78.845,0.22,354.6363636363636
2007-07-24,77.1,77.42,74.74,75.5,390300,76.19,0.22,343.1818181818182
