Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1983-11-21,3.88,3.91,3.84,3.88,5181452,3.8775,,
1983-11-22,3.88,3.88,3.84,3.84,3887283,3.86,,
1983-11-23,3.84,3.85,3.81,3.83,2144763,3.8325,,
1983-11-25,3.83,3.85,3.83,3.84,4478722,3.8375,,
1983-11-28,3.84,3.84,3.8,3.8,5717245,3.82,,
1983-11-29,3.79,3.79,3.73,3.73,3041458,3.76,,
1983-11-30,3.73,3.75,3.7,3.71,5178272,3.7225,,
1983-12-01,3.72,3.76,3.72,3.75,12657122,3.7375,,
1983-12-02,3.75,3.75,3.73,3.73,2554951,3.74,,
1983-12-05,3.73,3.74,3.72,3.72,1988950,3.7275,,
1983-12-06,3.72,3.73,3.7,3.7,3930209,3.7125,,
1983-12-07,3.7,3.72,3.66,3.69,8348516,3.6925,,
1983-12-08,3.69,3.7,3.68,3.69,8580643,3.69,,
1983-12-09,3.69,3.69,3.66,3.66,9138695,3.675,,
1983-12-12,3.66,3.68,3.66,3.67,4477132,3.6675,,
1983-12-13,3.67,3.72,3.66,3.7,9672898,3.6875,,
1983-12-14,3.7,3.76,3.7,3.71,6605997,3.7175,,
1983-12-15,3.71,3.72,3.68,3.69,4917533,3.7,,
1983-12-16,3.69,3.71,3.66,3.69,4413537,3.6875,,
1983-12-19,3.69,3.7,3.68,3.69,4971588,3.69,,
1983-12-20,3.69,3.7,3.68,3.7,3194092,3.6925,,
1983-12-21,3.7,3.71,3.68,3.71,9912970,3.7,,
1983-12-22,3.71,3.72,3.69,3.69,10017902,3.7025,,
1983-12-23,3.69,3.7,3.66,3.7,5116267,3.6875,,
1983-12-27,3.7,3.7,3.67,3.69,3373747,3.69,,
1983-12-28,3.69,3.73,3.69,3.73,7098863,3.71,,
1983-12-29,3.73,3.73,3.71,3.72,5946193,3.7225,,
1983-12-30,3.72,3.74,3.7,3.7,3872974,3.715,,
1984-01-03,3.71,3.84,3.71,3.84,3300613,3.775,,
1984-01-04,3.88,4.06,3.88,4.03,8601312,3.9625,,
1984-01-05,4.03,4.1,3.99,4.01,5367473,4.0325,,
1984-01-06,4.01,4.03,3.91,3.92,6046355,3.9675,,
1984-01-09,3.92,3.92,3.88,3.9,4281577,3.905,,
1984-01-10,3.9,3.92,3.88,3.9,4357891,3.9,,
1984-01-11,3.91,3.95,3.91,3.92,5625033,3.9225,,
1984-01-12,3.92,3.95,3.91,3.93,3551814,3.9275,,
1984-01-13,3.93,3.99,3.93,3.99,5361113,3.96,,
1984-01-16,3.99,4.11,3.96,4.07,4489851,4.0325,,
1984-01-17,4.07,4.09,4.05,4.09,3494578,4.075,,
1984-01-18,4.09,4.15,4.09,4.14,5915985,4.1175,,
1984-01-19,4.14,4.15,4.1,4.1,3993804,4.1225,,
1984-01-20,4.1,4.1,4.06,4.1,3284714,4.09,,
1984-01-23,4.1,4.1,4.07,4.09,2345087,4.09,,
1984-01-24,4.09,4.12,4.07,4.07,2845903,4.0875,,
1984-01-25,4.07,4.08,4.0,4.01,2106601,4.04,,
1984-01-26,3.99,3.99,3.92,3.93,4068528,3.9575,,
1984-01-27,3.93,3.95,3.88,3.92,5799919,3.92,,
1984-01-30,3.92,4.0,3.92,3.99,6536042,3.9575,,
1984-01-31,3.99,4.0,3.95,3.95,2912678,3.9725,,
1984-02-01,3.95,3.98,3.93,3.93,2523153,3.9475,,
1984-02-02,3.93,3.94,3.91,3.91,5653650,3.9225,,
1984-02-03,3.91,3.93,3.9,3.92,4302245,3.915,,
1984-02-06,3.92,3.92,3.88,3.88,3626538,3.9,,
1984-02-07,3.88,3.93,3.83,3.86,4295886,3.875,,
1984-02-08,3.86,3.88,3.84,3.84,2655118,3.855,,
1984-02-09,3.83,3.83,3.77,3.77,3531145,3.8,,
1984-02-10,3.77,3.78,3.74,3.76,2920628,3.7625,,
1984-02-13,3.76,3.84,3.76,3.84,4432615,3.8,,
1984-02-14,3.84,3.92,3.83,3.86,4299066,3.8625,,
1984-02-15,3.86,3.88,3.82,3.84,5400860,3.85,,
1984-02-16,3.84,3.86,3.77,3.83,4915943,3.825,,
1984-02-17,3.83,3.84,3.8,3.81,1725031,3.82,,
1984-02-21,3.81,3.82,3.79,3.81,4388099,3.8075,,
1984-02-22,3.81,3.85,3.8,3.82,4434205,3.82,,
1984-02-23,3.81,3.81,3.75,3.77,7470899,3.785,,
1984-02-24,3.77,3.78,3.71,3.74,7028909,3.75,,
1984-02-27,3.74,3.78,3.73,3.76,4520058,3.7525,,
1984-02-28,3.76,3.77,3.73,3.73,2486586,3.7475,,
1984-02-29,3.73,3.78,3.71,3.78,6198983,3.75,,
1984-03-01,3.78,3.85,3.77,3.85,4403998,3.8125,,
1984-03-02,3.85,3.86,3.81,3.82,3418264,3.835,,
1984-03-05,3.81,3.81,3.78,3.79,2062084,3.7975,,
1984-03-06,3.79,3.79,3.76,3.77,2947655,3.7775,,
1984-03-07,3.77,3.77,3.71,3.73,3108233,3.745,,
1984-03-08,3.73,3.77,3.71,3.77,3017610,3.745,,
1984-03-09,3.77,3.77,3.72,3.75,2543822,3.7525,,
1984-03-12,3.75,3.77,3.72,3.73,3561353,3.7425,,
1984-03-13,3.73,3.75,3.71,3.74,4833269,3.7325,,
1984-03-14,3.74,3.76,3.7,3.75,4588423,3.7375,,
1984-03-15,3.75,3.78,3.73,3.74,5152834,3.75,,
1984-03-16,3.74,3.77,3.69,3.7,4607502,3.725,,
1984-03-19,3.7,3.7,3.66,3.7,3629717,3.69,,
1984-03-20,3.7,3.7,3.66,3.67,8676036,3.6825,,
1984-03-21,3.67,3.69,3.66,3.69,5033594,3.6775,,
1984-03-22,3.69,3.7,3.65,3.66,11059281,3.675,,
1984-03-23,3.66,3.69,3.61,3.69,6041585,3.6625,,
1984-03-26,3.69,3.7,3.57,3.6,4384919,3.64,,
1984-03-27,3.6,3.63,3.59,3.6,5601184,3.605,,
1984-03-28,3.6,3.62,3.6,3.61,3496168,3.6075,,
1984-03-29,3.61,3.64,3.61,3.62,2149533,3.62,,
1984-03-30,3.62,3.62,3.6,3.6,5882598,3.61,,
1984-04-02,3.6,3.62,3.55,3.55,5742683,3.58,,
1984-04-03,3.55,3.57,3.49,3.52,5640931,3.5325,,
1984-04-04,3.52,3.56,3.52,3.52,5731554,3.53,,
1984-04-05,3.52,3.54,3.49,3.5,3348309,3.5125,,
1984-04-06,3.5,3.51,3.49,3.5,2415042,3.5,,
1984-04-09,3.5,3.51,3.49,3.49,2465918,3.4975,,
1984-04-10,3.49,3.52,3.49,3.49,4760130,3.4975,,
1984-04-11,3.49,3.52,3.49,3.49,3658335,3.4975,,
1984-04-12,3.49,3.55,3.49,3.54,4195718,3.5175,,
1984-04-13,3.54,3.55,3.51,3.52,5561438,3.53,,
1984-04-16,3.52,3.53,3.51,3.52,2763230,3.52,,
1984-04-17,3.53,3.55,3.53,3.54,3413494,3.5375,,
1984-04-18,3.54,3.59,3.54,3.54,4696535,3.5525,,
1984-04-19,3.54,3.58,3.54,3.55,3949288,3.5525,,
1984-04-23,3.55,3.59,3.55,3.58,2496126,3.5675,,
1984-04-24,3.6,3.67,3.6,3.66,4485081,3.6325,,
1984-04-25,3.68,3.71,3.68,3.7,3969956,3.6925,,
1984-04-26,3.7,3.74,3.7,3.73,3227479,3.7175,,
1984-04-27,3.72,3.72,3.7,3.71,2155892,3.7125,,
1984-04-30,3.71,3.76,3.7,3.74,3058947,3.7275,,
1984-05-01,3.75,3.81,3.75,3.78,4524828,3.7725,,
1984-05-02,3.71,3.71,3.66,3.69,13859083,3.6925,,
1984-05-03,3.7,3.74,3.7,3.72,5683858,3.715,,
1984-05-04,3.72,3.73,3.71,3.71,4454874,3.7175,,
1984-05-07,3.71,3.72,3.7,3.7,4652018,3.7075,,
1984-05-08,3.7,3.72,3.67,3.7,2386424,3.6975,,
1984-05-09,3.7,3.73,3.7,3.7,2438890,3.7075,,
1984-05-10,3.7,3.71,3.68,3.68,4586833,3.6925,,
1984-05-11,3.67,3.67,3.63,3.63,3232249,3.65,,
1984-05-14,3.62,3.62,3.56,3.56,3437342,3.59,,
1984-05-15,3.56,3.56,3.54,3.55,2857033,3.5525,,
1984-05-16,3.55,3.57,3.54,3.55,3733065,3.5525,,
1984-05-17,3.55,3.56,3.52,3.52,2636035,3.5375,,
1984-05-18,3.52,3.53,3.49,3.51,1637587,3.5125,,
1984-05-21,3.51,3.53,3.49,3.51,1610559,3.51,,
1984-05-22,3.51,3.51,3.48,3.5,2690096,3.5,,
1984-05-23,3.51,3.55,3.51,3.55,1690053,3.53,,
1984-05-24,3.55,3.55,3.52,3.52,2917448,3.535,,
1984-05-25,3.52,3.55,3.5,3.5,2130454,3.5175,,
1984-05-29,3.5,3.51,3.48,3.48,1570807,3.4925,,
1984-05-30,3.48,3.49,3.46,3.47,1605790,3.475,,
1984-05-31,3.47,3.49,3.47,3.48,1443617,3.4775,,
1984-06-01,3.49,3.59,3.49,3.58,1909456,3.5375,,
1984-06-04,3.58,3.62,3.57,3.58,5287974,3.5875,,
1984-06-05,3.58,3.59,3.55,3.57,1887198,3.5725,,
1984-06-06,3.57,3.59,3.56,3.59,3221119,3.5775,,
1984-06-07,3.59,3.62,3.56,3.59,4268858,3.59,,
1984-06-08,3.59,3.64,3.59,3.62,6020917,3.61,,
1984-06-11,3.62,3.63,3.61,3.62,3105053,3.62,,
1984-06-12,3.62,3.66,3.62,3.63,2472277,3.6325,,
1984-06-13,3.63,3.64,3.62,3.62,1960332,3.6275,,
1984-06-14,3.62,3.62,3.58,3.58,2411862,3.6,,
1984-06-15,3.58,3.59,3.56,3.59,2820465,3.58,,
1984-06-18,3.59,3.64,3.55,3.61,3755323,3.5975,,
1984-06-19,3.61,3.65,3.6,3.64,9141875,3.625,,
1984-06-20,3.64,3.68,3.59,3.66,2281492,3.6425,,
1984-06-21,3.66,3.7,3.64,3.7,5998659,3.675,,
1984-06-22,3.7,3.7,3.66,3.67,20959537,3.6825,,
1984-06-25,3.61,3.61,3.58,3.58,2826825,3.595,,
1984-06-26,3.58,3.59,3.56,3.58,1073176,3.5775,,
1984-06-27,3.58,3.59,3.51,3.52,2174971,3.55,,
1984-06-28,3.52,3.55,3.52,3.53,1044553,3.53,,
1984-06-29,3.53,3.54,3.49,3.51,3432573,3.5175,,
1984-07-02,3.51,3.51,3.49,3.51,1880838,3.505,,
1984-07-03,3.51,3.55,3.51,3.54,1969871,3.5275,,
1984-07-05,3.54,3.55,3.52,3.53,1946023,3.535,,
1984-07-06,3.53,3.54,3.51,3.52,2012798,3.525,,
1984-07-09,3.52,3.57,3.52,3.55,1297349,3.54,,
1984-07-10,3.55,3.6,3.55,3.56,2421401,3.565,,
1984-07-11,3.57,3.63,3.57,3.61,5755402,3.595,,
1984-07-12,3.62,3.67,3.62,3.66,5109908,3.6425,,
1984-07-13,3.67,3.72,3.67,3.7,2054135,3.69,,
1984-07-16,3.7,3.73,3.69,3.7,2518384,3.705,,
1984-07-17,3.7,3.75,3.67,3.73,1933304,3.7125,,
1984-07-18,3.73,3.77,3.73,3.75,5440607,3.745,,
1984-07-19,3.75,3.77,3.73,3.73,1238523,3.745,,
1984-07-20,3.73,3.77,3.73,3.74,2063674,3.7425,,
1984-07-23,3.74,3.76,3.7,3.74,4389689,3.735,,
1984-07-24,3.75,3.8,3.75,3.77,2052545,3.7675,,
1984-07-25,3.77,3.86,3.77,3.82,2422991,3.805,,
1984-07-26,3.82,3.9,3.8,3.81,6548761,3.8325,,
1984-07-27,3.8,3.8,3.77,3.77,1376842,3.785,,
1984-07-30,3.77,3.79,3.74,3.77,1543779,3.7675,,
1984-07-31,3.77,3.82,3.76,3.82,1403870,3.7925,,
1984-08-01,3.82,3.92,3.8,3.92,3766452,3.865,,
1984-08-02,3.92,4.08,3.81,4.04,5092419,3.9625,,
1984-08-03,4.04,4.07,3.98,4.01,4106685,4.025,,
1984-08-06,3.99,3.99,3.9,3.9,3944518,3.945,,
1984-08-07,3.9,3.95,3.88,3.9,4637709,3.9075,,
1984-08-08,3.9,3.92,3.88,3.88,2664658,3.895,,
1984-08-09,3.88,3.95,3.88,3.92,1953973,3.9075,,
1984-08-10,3.93,3.98,3.93,3.95,3079615,3.9475,,
1984-08-13,3.95,3.95,3.92,3.95,1663025,3.9425,,
1984-08-14,3.95,3.96,3.93,3.94,1488134,3.945,,
1984-08-15,3.94,3.97,3.92,3.93,2111370,3.94,,
1984-08-16,3.93,3.96,3.91,3.95,992087,3.9375,,
1984-08-17,3.95,3.98,3.92,3.95,1114513,3.95,,
1984-08-20,3.95,4.0,3.95,4.0,1998489,3.975,,
1984-08-21,4.0,4.07,3.98,4.05,3338770,4.025,,
1984-08-22,4.05,4.06,4.03,4.04,1214675,4.045,,
1984-08-23,4.03,4.03,4.01,4.02,1726620,4.0225,,
1984-08-24,4.02,4.02,3.99,4.0,4550266,4.0075,,
1984-08-27,4.0,4.01,3.97,3.99,1060457,3.9925,,
1984-08-28,3.99,4.01,3.99,3.99,890335,3.995,,
1984-08-29,3.99,4.02,3.99,3.99,1640767,3.9975,,
1984-08-30,3.99,3.99,3.97,3.99,1139951,3.985,,
1984-08-31,3.99,3.99,3.98,3.99,1513572,3.9875,,
1984-09-04,3.99,3.99,3.97,3.98,647084,3.9825,,
1984-09-05,3.97,3.97,3.95,3.95,2181330,3.96,,
1984-09-06,3.96,4.01,3.96,3.99,12105429,3.98,,
1984-09-07,3.99,4.01,3.98,3.98,1127232,3.99,,
1984-09-10,3.98,4.0,3.95,3.99,7849290,3.98,,
1984-09-11,3.99,3.99,3.97,3.97,6571019,3.98,,
1984-09-12,3.97,3.99,3.97,3.99,690011,3.98,,
1984-09-13,3.99,4.04,3.98,4.03,11776325,4.01,,
1984-09-14,4.03,4.06,4.03,4.05,2278313,4.0425,,
1984-09-17,4.05,4.06,4.02,4.04,10761974,4.0425,,
1984-09-18,4.04,4.06,4.03,4.03,1583526,4.04,,
1984-09-19,4.03,4.11,4.03,4.08,13747787,4.0625,,
1984-09-20,4.08,4.14,4.07,4.11,5497843,4.1,,
1984-09-21,4.11,4.15,4.11,4.13,23099531,4.125,,
1984-09-24,4.07,4.07,4.04,4.04,5985940,4.055,,
1984-09-25,4.04,4.06,4.01,4.05,1375253,4.04,,
1984-09-26,4.05,4.07,4.03,4.05,1168569,4.05,,
1984-09-27,4.05,4.07,4.04,4.05,3249737,4.0525,,
1984-09-28,4.05,4.07,4.05,4.06,1456336,4.0575,,
1984-10-01,4.06,4.08,4.06,4.06,3534325,4.065,,
1984-10-02,4.06,4.07,4.05,4.06,3550224,4.06,,
1984-10-03,4.06,4.06,4.05,4.05,1572397,4.055,,
1984-10-04,4.05,4.06,4.04,4.05,855358,4.05,,
1984-10-05,4.05,4.06,4.02,4.03,1887198,4.04,,
1984-10-08,4.03,4.03,3.99,3.99,513529,4.01,,
1984-10-09,3.99,4.02,3.98,3.99,923723,3.995,,
1984-10-10,3.99,4.0,3.98,3.99,1532650,3.99,,
1984-10-11,3.99,4.03,3.99,4.01,1252832,4.005,,
1984-10-12,4.03,4.06,4.03,4.06,1527881,4.045,,
1984-10-15,4.06,4.13,4.05,4.12,3229069,4.09,,
1984-10-16,4.12,4.15,4.12,4.15,2030287,4.135,,
1984-10-17,4.15,4.21,4.14,4.2,1464286,4.175,,
