Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1983-11-21,8.09,8.14,7.55,8.09,5020667,7.9675,,
1983-11-22,8.09,8.2,8.04,8.06,2666896,8.0975,,
1983-11-23,8.06,8.09,7.97,8.01,1151978,8.0325,,
1983-11-25,8.01,8.03,7.93,7.93,1772000,7.975,,
1983-11-28,7.88,7.88,7.68,7.71,2368004,7.7875,,
1983-11-29,7.7,7.7,7.61,7.63,1630560,7.66,,
1983-11-30,7.63,7.68,7.6,7.63,2423157,7.635,,
1983-12-01,7.63,7.68,7.58,7.64,6249147,7.6325,,
1983-12-02,7.64,7.71,7.57,7.61,1763994,7.6325,,
1983-12-05,7.61,7.63,7.52,7.52,1084372,7.57,,
1983-12-06,7.52,7.58,7.52,7.55,2176749,7.5425,,
1983-12-07,7.55,7.68,7.55,7.63,4856099,7.6025,,
1983-12-08,7.63,7.67,7.61,7.64,7360205,7.6375,,
1983-12-09,7.64,7.7,7.64,7.65,5222597,7.6575,,
1983-12-12,7.65,7.7,7.64,7.67,2835022,7.665,,
1983-12-13,7.68,7.81,7.68,7.78,6693036,7.7375,,
1983-12-14,7.78,7.84,7.78,7.81,2521008,7.8025,,
1983-12-15,7.81,7.81,7.76,7.76,2323526,7.785,,
1983-12-16,7.76,7.83,7.76,7.8,2452512,7.7875,,
1983-12-19,7.8,7.8,7.77,7.77,1610990,7.785,,
1983-12-20,7.77,7.8,7.71,7.73,1937458,7.7525,,
1983-12-21,7.73,7.76,7.65,7.68,3628035,7.705,,
1983-12-22,7.67,7.67,7.58,7.58,4871221,7.625,,
1983-12-23,7.58,7.6,7.52,7.54,2338649,7.56,,
1983-12-27,7.52,7.52,7.48,7.5,3004928,7.505,,
1983-12-28,7.5,7.57,7.5,7.55,4580336,7.53,,
1983-12-29,7.55,7.58,7.54,7.54,2998701,7.5525,,
1983-12-30,7.54,7.55,7.5,7.51,1745313,7.525,,
1984-01-03,7.55,7.74,7.55,7.73,1973930,7.6425,,
1984-01-04,7.77,8.1,7.77,7.96,3632956,7.9,,
1984-01-05,8.01,8.19,8.01,8.03,3759273,8.06,,
1984-01-06,8.03,8.23,8.0,8.17,4508281,8.1075,,
1984-01-09,8.17,8.17,8.07,8.07,1791570,8.12,,
1984-01-10,8.07,8.1,8.04,8.1,1571849,8.0775,,
1984-01-11,8.1,8.14,8.1,8.11,1258725,8.1125,,
1984-01-12,8.11,8.17,8.1,8.17,1421514,8.1375,,
1984-01-13,8.22,8.32,8.22,8.23,3148147,8.2475,,
1984-01-16,8.29,8.46,8.29,8.3,2448954,8.335,,
1984-01-17,8.33,8.4,8.33,8.37,2151841,8.3575,,
1984-01-18,8.37,8.4,8.33,8.4,2929315,8.375,,
1984-01-19,8.4,8.45,8.36,8.4,1812920,8.4025,,
1984-01-20,8.4,8.46,8.4,8.46,2088683,8.43,,
1984-01-23,8.46,8.46,8.42,8.42,1159984,8.44,,
1984-01-24,8.42,8.43,8.4,8.4,1173327,8.4125,,
1984-01-25,8.4,8.46,8.4,8.42,1711510,8.42,,
1984-01-26,8.42,8.45,8.37,8.37,2941769,8.4025,,
1984-01-27,8.37,8.6,8.37,8.49,3006707,8.4575,,
1984-01-30,8.49,8.52,8.42,8.46,2378679,8.4725,,
1984-01-31,8.46,8.5,8.45,8.5,1618996,8.4775,,
1984-02-01,8.5,8.58,8.45,8.53,1755988,8.515,,
1984-02-02,8.53,8.63,8.49,8.6,3181060,8.5625,,
1984-02-03,8.6,8.65,8.47,8.47,2632203,8.5475,,
1984-02-06,8.46,8.46,8.39,8.43,1496237,8.435,,
1984-02-07,8.42,8.42,8.37,8.42,2166074,8.4075,,
1984-02-08,8.39,8.39,8.11,8.11,3898044,8.25,,
1984-02-09,8.11,8.2,8.11,8.13,2035309,8.1375,,
1984-02-10,8.1,8.1,8.01,8.09,1963255,8.075,,
1984-02-13,8.09,8.11,8.01,8.07,2589504,8.07,,
1984-02-14,8.07,8.2,8.07,8.17,2308404,8.1275,,
1984-02-15,8.17,8.23,8.1,8.23,3431916,8.1825,,
1984-02-16,8.29,8.35,8.29,8.35,2198098,8.32,,
1984-02-17,8.35,8.43,8.3,8.35,2092241,8.3575,,
1984-02-21,8.35,8.35,8.24,8.26,902012,8.3,,
1984-02-22,8.26,8.27,8.16,8.16,2302177,8.2125,,
1984-02-23,8.16,8.17,7.97,8.07,3991448,8.0925,,
1984-02-24,8.07,8.2,8.04,8.19,2883058,8.125,,
1984-02-27,8.17,8.17,8.11,8.16,1393048,8.1525,,
1984-02-28,8.16,8.19,7.97,8.01,1844054,8.0825,,
1984-02-29,8.01,8.17,8.01,8.14,1538936,8.0825,,
1984-03-01,8.14,8.29,8.13,8.27,1686602,8.2075,,
1984-03-02,8.33,8.46,8.33,8.39,2618860,8.3775,,
1984-03-05,8.37,8.37,8.23,8.23,1004311,8.3,,
1984-03-06,8.23,8.29,8.19,8.24,1658137,8.2375,,
1984-03-07,8.24,8.27,8.2,8.22,1157315,8.2325,,
1984-03-08,8.22,8.24,8.16,8.2,1531819,8.205,,
1984-03-09,8.2,8.2,8.07,8.13,1591420,8.15,,
1984-03-12,8.13,8.2,8.09,8.13,2020187,8.1375,,
1984-03-13,8.13,8.2,8.1,8.14,3405229,8.1425,,
1984-03-14,8.14,8.19,8.11,8.16,2823458,8.15,,
1984-03-15,8.16,8.27,8.14,8.14,2071781,8.1775,,
1984-03-16,8.2,8.29,8.2,8.24,2681129,8.2325,,
1984-03-19,8.23,8.23,8.14,8.16,2359109,8.19,,
1984-03-20,8.16,8.22,8.11,8.22,1940127,8.1775,,
1984-03-21,8.22,8.22,8.16,8.19,1823594,8.1975,,
1984-03-22,8.19,8.2,8.14,8.17,3875805,8.175,,
