Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2020-12-10,146.0,165.0,141.25,144.71,70447500,150.32,0.37,391.1081081081081
2020-12-11,146.55,151.5,135.1,139.25,26980800,141.95,0.37,376.35135135135135
2020-12-14,135.0,135.3,125.16,130.0,16966100,130.15,0.37,351.35135135135135
2020-12-15,126.69,127.6,121.5,124.8,10914400,124.63,0.37,337.2972972972973
2020-12-16,125.83,142.0,124.91,137.99,20409600,134.97,0.37,372.945945945946
2020-12-17,143.0,152.45,142.67,147.05,15054700,147.39,0.37,397.43243243243245
2020-12-18,150.45,159.0,150.3,157.3,15954200,155.53,0.37,425.13513513513516
2020-12-21,155.31,172.0,145.11,163.02,17788100,160.04,0.37,440.59459459459464
2020-12-22,170.0,174.97,161.05,163.19,9872600,166.4,0.37,441.05405405405406
2020-12-23,162.81,168.25,155.5,158.01,5852500,160.59,0.37,427.054054054054
2020-12-24,159.16,162.79,154.11,154.84,3621400,157.25,0.37,418.4864864864865
2020-12-28,158.6,163.64,147.52,149.0,6229200,153.39,0.37,402.7027027027027
2020-12-29,150.0,151.65,143.12,150.0,5402300,148.26,0.37,405.4054054054054
2020-12-30,151.34,152.81,145.6,148.43,3462400,148.95,0.37,401.1621621621622
2020-12-31,146.9,147.89,144.51,146.8,2795800,146.4,0.37,396.7567567567568
2021-01-04,150.99,151.01,137.0,139.15,6409900,142.38,0.37,376.0810810810811
2021-01-05,138.28,149.0,137.25,148.3,5974200,144.85,0.37,400.81081081081084
2021-01-06,145.75,148.35,141.11,142.77,4213900,144.08,0.37,385.8648648648649
2021-01-07,146.37,154.42,145.26,151.27,4482800,150.32,0.37,408.83783783783787
2021-01-08,153.45,155.54,147.25,149.77,4615600,150.85,0.37,404.7837837837838
2021-01-11,147.99,150.5,144.02,148.13,2801900,147.55,0.37,400.35135135135135
2021-01-12,148.08,163.88,143.61,160.8,8123600,156.1,0.37,434.59459459459464
2021-01-13,160.81,178.62,159.35,169.99,12529700,169.32,0.37,459.43243243243245
2021-01-14,175.54,187.42,174.98,180.5,9926500,180.97,0.37,487.83783783783787
2021-01-15,184.58,185.99,164.86,169.27,8575700,173.38,0.37,457.4864864864865
2021-01-19,173.0,178.6,166.6,173.69,4685400,172.96,0.37,469.43243243243245
2021-01-20,176.01,176.31,161.0,161.83,8517400,166.38,0.37,437.37837837837844
2021-01-21,164.99,183.47,155.33,180.4,17618400,173.07,0.37,487.5675675675676
2021-01-22,178.09,185.31,175.19,181.87,7136800,180.79,0.37,491.5405405405406
2021-01-25,186.05,192.47,170.03,177.53,7472900,180.01,0.37,479.81081081081084
2021-01-26,180.0,193.0,177.3,192.74,6460900,187.68,0.37,520.918918918919
2021-01-27,187.64,216.0,185.5,201.25,11019800,200.92,0.37,543.918918918919
2021-01-28,202.6,212.84,187.05,187.37,7077700,195.75,0.37,506.4054054054054
2021-01-29,190.71,193.5,179.31,183.63,4529800,185.48,0.37,496.2972972972973
2021-02-01,187.48,188.82,179.74,180.44,3877400,183.0,0.37,487.6756756756757
2021-02-02,183.22,186.48,177.11,179.17,4413600,180.92,0.37,484.2432432432432
2021-02-03,181.98,190.9,180.0,185.72,4169000,185.54,0.37,501.94594594594594
2021-02-04,187.07,195.99,186.19,195.8,3631500,192.66,0.37,529.1891891891893
2021-02-05,197.0,197.25,190.25,195.31,2869700,194.27,0.37,527.8648648648649
2021-02-08,199.93,201.96,191.5,200.43,3488100,197.96,0.37,541.7027027027027
2021-02-09,199.2,209.22,196.16,199.88,4725800,201.75,0.37,540.2162162162163
2021-02-10,205.48,214.72,202.1,211.66,5257200,209.49,0.37,572.0540540540541
2021-02-11,213.5,219.94,207.0,216.84,3595200,214.59,0.37,586.0540540540541
2021-02-12,214.46,216.94,209.0,212.68,3041700,212.87,0.37,574.8108108108108
2021-02-16,216.24,218.78,209.09,209.86,3487900,212.58,0.37,567.1891891891893
2021-02-17,207.05,208.76,196.02,201.96,4090600,202.25,0.37,545.8378378378378
2021-02-18,199.01,200.36,192.17,198.04,2791400,196.86,0.37,535.2432432432432
2021-02-19,203.95,205.55,200.18,201.07,2605800,202.27,0.37,543.4324324324324
2021-02-22,200.7,205.0,193.5,195.34,3674200,197.95,0.37,527.9459459459459
2021-02-23,189.0,191.67,175.0,187.59,5902400,184.75,0.37,507.0
2021-02-24,190.98,208.15,189.0,200.2,5983500,199.12,0.37,541.081081081081
2021-02-25,197.41,199.8,180.0,182.06,11568500,187.29,0.37,492.05405405405406
2021-02-26,194.18,214.1,185.75,206.35,19368600,202.07,-11.24,-18.358540925266905
2021-03-01,195.82,199.69,192.62,196.42,15798500,196.24,-11.24,-17.47508896797153
2021-03-02,195.63,200.0,188.5,189.9,9144900,192.8,-11.24,-16.895017793594306
2021-03-03,186.97,188.48,178.8,180.4,10592900,182.56,-11.24,-16.04982206405694
2021-03-04,178.64,183.9,170.87,180.23,9993700,178.33,-11.24,-16.034697508896794
2021-03-05,182.52,183.5,161.9,179.81,8788500,175.07,-11.24,-15.997330960854093
2021-03-08,179.99,186.4,177.03,180.81,4988500,181.41,-11.24,-16.08629893238434
2021-03-09,184.99,189.46,180.72,183.11,6079900,184.43,-11.24,-16.290925266903916
2021-03-10,184.57,191.0,181.55,183.79,6145600,185.45,-11.24,-16.351423487544483
2021-03-11,189.9,201.0,188.5,197.87,6031200,195.79,-11.24,-17.60409252669039
2021-03-12,196.27,208.7,192.2,206.74,5556500,202.55,-11.24,-18.393238434163703
2021-03-15,209.54,213.74,203.81,209.99,4329400,209.18,-11.24,-18.68238434163701
2021-03-16,209.11,215.49,198.18,200.01,4605600,204.56,-11.24,-17.794483985765122
2021-03-17,195.63,203.46,194.44,201.36,3781900,199.75,-11.24,-17.914590747330962
2021-03-18,196.8,199.9,190.68,191.45,3711500,194.01,-11.24,-17.03291814946619
2021-03-19,193.01,196.49,187.81,194.39,4444600,192.9,-11.24,-17.294483985765122
2021-03-22,196.85,203.3,194.71,195.0,3740400,197.67,-11.24,-17.348754448398576
2021-03-23,195.5,196.75,185.74,187.14,3460600,189.88,-11.24,-16.649466192170816
2021-03-24,189.0,189.78,178.51,178.85,3756100,182.38,-11.24,-15.911921708185053
2021-03-25,173.1,179.54,170.5,176.16,5264100,175.4,-11.24,-15.672597864768683
2021-03-26,178.42,181.0,168.0,174.4,3562900,174.47,-11.24,-15.516014234875446
2021-03-29,175.36,185.46,173.5,182.5,4508800,180.49,-11.24,-16.23665480427046
2021-03-30,182.35,185.23,178.38,183.1,2903300,182.24,-11.24,-16.290035587188612
2021-03-31,185.43,192.27,185.13,187.94,3079500,188.45,-11.24,-16.720640569395016
2021-04-01,192.5,193.99,185.37,188.24,2921400,189.2,-11.24,-16.747330960854093
2021-04-05,191.66,192.1,185.81,186.69,2591400,188.2,-11.24,-16.609430604982204
2021-04-06,188.7,194.48,187.52,190.03,3565600,190.68,-11.24,-16.906583629893237
2021-04-07,189.38,190.62,179.47,179.94,6663500,183.34,-11.24,-16.008896797153024
2021-04-08,181.65,183.9,179.3,180.18,2625300,181.13,-11.24,-16.030249110320284
2021-04-09,179.62,182.46,177.25,179.5,2910200,179.74,-11.24,-15.969750889679714
2021-04-12,179.68,181.49,176.25,176.49,2619800,178.08,-11.24,-15.701957295373665
2021-04-13,175.26,178.61,172.14,177.95,3573600,176.23,-11.24,-15.831850533807827
2021-04-14,179.5,181.47,175.31,176.43,2938600,177.74,-11.24,-15.696619217081851
2021-04-15,177.0,178.24,174.25,175.35,2894900,175.95,-11.24,-15.60053380782918
2021-04-16,176.01,179.51,172.94,178.69,3058300,177.05,-11.24,-15.897686832740213
2021-04-19,177.32,178.72,171.5,174.58,3125700,174.93,-11.24,-15.532028469750891
2021-04-20,173.18,175.0,165.52,169.57,4575000,170.03,-11.24,-15.086298932384341
2021-04-21,168.09,170.32,164.12,167.07,3878600,167.17,-11.24,-14.863879003558718
2021-04-22,168.49,176.92,168.43,170.71,3856500,172.02,-11.24,-15.187722419928827
2021-04-23,172.92,178.25,172.0,174.25,3329900,174.83,-11.24,-15.502669039145907
2021-04-26,175.21,176.03,171.07,174.88,2549400,173.99,-11.24,-15.558718861209965
2021-04-27,176.16,179.61,174.8,177.94,2883000,177.45,-11.24,-15.830960854092526
2021-04-28,174.44,181.67,173.35,180.0,2409700,178.34,-11.24,-16.01423487544484
2021-04-29,182.75,183.22,173.35,177.68,3116000,178.08,-11.24,-15.807829181494663
2021-04-30,173.0,176.45,172.01,172.71,3580000,173.72,-11.24,-15.365658362989324
2021-05-03,173.19,173.44,167.8,168.11,3149700,169.78,-11.24,-14.95640569395018
2021-05-04,167.01,169.04,161.96,168.9,4658000,166.63,-11.24,-15.026690391459075
2021-05-05,169.3,170.18,162.12,162.33,3590100,164.88,-11.24,-14.442170818505339
2021-05-06,161.91,162.1,150.7,153.64,8529000,155.48,-11.24,-13.669039145907472
2021-05-07,156.5,157.05,148.78,151.21,7134000,152.35,-11.24,-13.452846975088969
2021-05-10,150.28,150.5,144.52,146.73,5827200,147.25,-11.24,-13.05427046263345
2021-05-11,139.1,144.35,136.01,142.73,8257400,141.03,-11.24,-12.698398576512455
2021-05-12,140.9,144.77,138.75,140.25,5307500,141.26,-11.24,-12.477758007117437
2021-05-13,142.25,142.33,131.28,135.75,13005400,136.45,-11.24,-12.077402135231317
2021-05-14,137.68,142.25,131.67,141.2,20325400,138.37,-1.95,-72.41025641025641
2021-05-17,137.16,137.79,130.25,132.5,39755000,133.51,-1.95,-67.94871794871796
2021-05-18,134.0,138.4,131.49,135.02,18555600,134.97,-1.95,-69.24102564102564
2021-05-19,129.95,138.38,129.71,138.19,15565500,135.43,-1.95,-70.86666666666666
2021-05-20,138.84,138.89,135.65,136.2,8903600,136.91,-1.95,-69.84615384615384
2021-05-21,136.55,137.17,132.88,134.71,10056500,134.92,-1.95,-69.08205128205128
2021-05-24,135.5,137.98,134.39,135.91,8543600,136.09,-1.95,-69.6974358974359
2021-05-25,137.4,137.85,133.56,133.99,10435800,135.13,-1.95,-68.71282051282051
2021-05-26,134.94,135.76,133.72,134.75,8179200,134.74,-1.95,-69.1025641025641
2021-05-27,135.07,143.82,134.5,143.17,21270200,140.5,-1.95,-73.42051282051281
2021-05-28,144.76,145.0,140.25,140.4,12000600,141.88,-1.95,-72.0
2021-06-01,143.89,146.09,141.59,144.31,16552100,144.0,-1.95,-74.0051282051282
2021-06-02,145.35,152.7,144.4,151.0,16245100,149.37,-1.95,-77.43589743589743
2021-06-03,149.55,151.12,143.8,144.19,11083300,146.37,-1.95,-73.94358974358974
2021-06-04,145.83,151.57,145.0,150.73,8534900,149.1,-1.95,-77.29743589743589
2021-06-07,150.96,150.96,146.4,148.97,7780200,148.78,-1.95,-76.39487179487179
2021-06-08,150.6,150.75,145.8,147.01,7125800,147.85,-1.95,-75.38974358974359
2021-06-09,148.57,149.36,144.46,144.85,5606500,146.22,-1.95,-74.28205128205128
2021-06-10,142.15,147.45,141.04,146.12,9482500,144.87,-1.95,-74.93333333333334
2021-06-11,145.87,148.95,145.2,148.44,4819900,147.53,-1.95,-76.12307692307692
2021-06-14,149.25,149.6,146.85,149.21,6107500,148.55,-1.95,-76.51794871794873
2021-06-15,149.2,153.74,148.84,151.78,12007700,151.45,-1.95,-77.83589743589744
2021-06-16,150.95,152.35,146.92,149.15,9632800,149.47,-1.95,-76.48717948717949
2021-06-17,148.99,152.29,148.61,150.7,8171300,150.53,-1.95,-77.28205128205128
2021-06-18,150.38,154.8,149.4,152.52,11628900,152.24,-1.95,-78.21538461538462
2021-06-21,152.52,152.61,145.83,149.7,8040200,149.38,-1.95,-76.76923076923076
2021-06-22,149.75,151.65,148.4,149.68,5790400,149.91,-1.95,-76.75897435897437
2021-06-23,149.76,154.59,147.8,151.58,9335700,151.32,-1.95,-77.73333333333335
2021-06-24,152.67,153.63,149.86,150.73,8173400,151.41,-1.95,-77.29743589743589
2021-06-25,151.23,153.17,149.28,149.67,6452400,150.71,-1.95,-76.75384615384615
2021-06-28,148.62,150.93,147.08,149.94,6451000,149.32,-1.95,-76.8923076923077
2021-06-29,149.75,149.94,145.77,146.08,7479000,147.26,-1.95,-74.91282051282052
2021-06-30,145.54,154.09,144.24,153.14,9798600,150.49,-1.95,-78.53333333333333
2021-07-01,154.5,157.41,151.41,153.08,9787100,153.97,-1.95,-78.50256410256411
2021-07-02,153.31,154.95,149.56,150.23,4826500,151.58,-1.95,-77.04102564102564
2021-07-06,150.08,152.8,147.81,148.37,5069400,149.66,-1.95,-76.0871794871795
2021-07-07,148.15,148.94,143.6,143.72,5650900,145.42,-1.95,-73.70256410256411
2021-07-08,140.43,143.73,139.53,142.53,4827200,141.93,-1.95,-73.0923076923077
2021-07-09,143.3,150.26,143.3,149.64,7065100,147.73,-1.95,-76.73846153846154
2021-07-12,148.99,150.42,146.01,146.69,3276300,147.71,-1.95,-75.22564102564102
2021-07-13,147.7,147.7,143.0,143.41,5871500,144.7,-1.95,-73.54358974358975
2021-07-14,143.86,144.2,139.04,139.09,8545500,140.78,-1.95,-71.32820512820513
2021-07-15,139.18,140.52,136.54,137.5,6576100,138.19,-1.95,-70.51282051282051
2021-07-16,139.69,139.79,133.51,134.31,6094600,135.87,-1.95,-68.87692307692308
2021-07-19,131.36,133.77,130.31,131.88,7215700,131.99,-1.95,-67.63076923076923
2021-07-20,132.75,137.43,131.7,136.09,6274600,135.07,-1.95,-69.7897435897436
2021-07-21,136.71,140.15,135.73,139.25,5269600,138.38,-1.95,-71.41025641025641
2021-07-22,141.29,141.29,137.66,139.47,4628400,139.47,-1.95,-71.52307692307693
2021-07-23,139.8,140.0,137.41,138.73,2811100,138.71,-1.95,-71.14358974358974
2021-07-26,139.13,142.19,137.2,142.0,6489500,140.46,-1.95,-72.82051282051282
2021-07-27,141.26,142.52,138.31,141.58,5113100,140.8,-1.95,-72.60512820512821
2021-07-28,141.31,143.73,141.03,143.3,4466800,142.69,-1.95,-73.48717948717949
2021-07-29,143.65,145.0,141.71,143.47,5005500,143.39,-1.95,-73.57435897435897
2021-07-30,141.75,144.69,141.74,144.01,4167100,143.48,-1.95,-73.85128205128206
2021-08-02,143.85,146.27,143.4,145.49,4522400,145.05,-1.95,-74.61025641025641
2021-08-03,147.73,147.79,143.28,145.65,5491000,145.57,-1.95,-74.6923076923077
2021-08-04,145.1,147.46,145.01,147.4,4631400,146.62,-1.95,-75.58974358974359
2021-08-05,146.67,150.41,146.4,150.32,4737500,149.04,-1.95,-77.08717948717948
2021-08-06,148.99,150.19,147.55,149.99,4043500,149.24,-1.95,-76.91794871794872
2021-08-09,148.74,151.0,148.7,149.44,5541900,149.71,-1.95,-76.63589743589743
2021-08-10,149.37,150.76,147.85,147.95,5149800,148.85,-1.95,-75.87179487179486
2021-08-11,147.54,149.28,145.16,148.16,6717700,147.53,-1.95,-75.97948717948718
2021-08-12,148.86,151.68,146.55,151.15,8794100,149.79,-1.95,-77.51282051282051
2021-08-13,146.66,152.76,144.51,152.76,16789100,150.01,-0.11,-1388.7272727272727
