Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1985-04-18,0.16667,0.16667,0.16667,0.16667,15957000,0.16667,,
1985-04-19,0.16821,0.16821,0.16821,0.16821,13065300,0.16821,,
1985-04-22,0.16667,0.16667,0.16667,0.16667,2891700,0.16667,,
1985-04-23,0.16358,0.16358,0.16358,0.16358,5718600,0.16358,,
1985-04-24,0.16358,0.16358,0.16358,0.16358,2122200,0.16358,,
1985-04-25,0.15587,0.15587,0.15587,0.15587,6172200,0.15587,,
1985-04-26,0.15432,0.15432,0.15432,0.15432,2381400,0.15432,,
1985-04-29,0.14815,0.14815,0.14815,0.14815,2502900,0.14815,,
1985-04-30,0.14969,0.14969,0.14969,0.14969,2745900,0.14969,,
1985-05-01,0.14198,0.14198,0.14198,0.14198,5030100,0.14198,,
1985-05-02,0.13889,0.13889,0.13889,0.13889,1806300,0.13889,,
1985-05-03,0.14507,0.14507,0.14507,0.14507,1741500,0.14507,,
1985-05-06,0.14661,0.14661,0.14661,0.14661,218700,0.14661,,
1985-05-07,0.14969,0.14969,0.14969,0.14969,1984500,0.14969,,
1985-05-08,0.14969,0.14969,0.14969,0.14969,307800,0.14969,,
1985-05-09,0.15587,0.15587,0.15587,0.15587,1701000,0.15587,,
1985-05-10,0.1605,0.1605,0.1605,0.1605,2357100,0.1605,,
1985-05-13,0.16204,0.16204,0.16204,0.16204,1247400,0.16204,,
1985-05-14,0.16204,0.16204,0.16204,0.16204,437400,0.16204,,
1985-05-15,0.16204,0.16204,0.16204,0.16204,1701000,0.16204,,
1985-05-16,0.16667,0.16667,0.16667,0.16667,3102300,0.16667,,
1985-05-17,0.17902,0.17902,0.17902,0.17902,3102300,0.17902,,
1985-05-20,0.17593,0.17593,0.17593,0.17593,1895400,0.17593,,
1985-05-21,0.16976,0.16976,0.16976,0.16976,1879200,0.16976,,
1985-05-22,0.17284,0.17284,0.17284,0.17284,2948400,0.17284,,
1985-05-23,0.16976,0.16976,0.16976,0.16976,2907900,0.16976,,
1985-05-24,0.16976,0.16976,0.16976,0.16976,785700,0.16976,,
1985-05-28,0.17284,0.17284,0.17284,0.17284,575100,0.17284,,
1985-05-29,0.17284,0.17284,0.17284,0.17284,526500,0.17284,,
1985-05-30,0.17284,0.17284,0.17284,0.17284,1652400,0.17284,,
1985-05-31,0.17902,0.17902,0.17902,0.17902,1304100,0.17902,,
1985-06-03,0.1821,0.1821,0.1821,0.1821,1360800,0.1821,,
1985-06-04,0.1821,0.1821,0.1821,0.1821,1587600,0.1821,,
1985-06-05,0.1821,0.1821,0.1821,0.1821,712800,0.1821,,
1985-06-06,0.18519,0.18519,0.18519,0.18519,1838700,0.18519,,
1985-06-07,0.18828,0.18828,0.18828,0.18828,826200,0.18828,,
1985-06-10,0.18828,0.18828,0.18828,0.18828,486000,0.18828,,
1985-06-11,0.18982,0.18982,0.18982,0.18982,2608200,0.18982,,
1985-06-12,0.18828,0.18828,0.18828,0.18828,1466100,0.18828,,
1985-06-13,0.17284,0.17284,0.17284,0.17284,1717200,0.17284,,
1985-06-14,0.17593,0.17593,0.17593,0.17593,113400,0.17593,,
1985-06-17,0.17284,0.17284,0.17284,0.17284,761400,0.17284,,
1985-06-18,0.17284,0.17284,0.17284,0.17284,558900,0.17284,,
1985-06-19,0.17284,0.17284,0.17284,0.17284,307800,0.17284,,
1985-06-20,0.17284,0.17284,0.17284,0.17284,1271700,0.17284,,
1985-06-21,0.1605,0.1605,0.1605,0.1605,1595700,0.1605,,
1985-06-24,0.15741,0.15741,0.15741,0.15741,356400,0.15741,,
1985-06-25,0.16667,0.16667,0.16667,0.16667,1449900,0.16667,,
1985-06-26,0.16358,0.16358,0.16358,0.16358,720900,0.16358,,
1985-06-27,0.1605,0.1605,0.1605,0.1605,429300,0.1605,,
1985-06-28,0.15741,0.15741,0.15741,0.15741,737100,0.15741,,
1985-07-01,0.15741,0.15741,0.15741,0.15741,810000,0.15741,,
1985-07-02,0.15741,0.15741,0.15741,0.15741,931500,0.15741,,
1985-07-03,0.1605,0.1605,0.1605,0.1605,1547100,0.1605,,
1985-07-05,0.1605,0.1605,0.1605,0.1605,356400,0.1605,,
1985-07-08,0.16358,0.16358,0.16358,0.16358,1150200,0.16358,,
1985-07-09,0.16358,0.16358,0.16358,0.16358,1725300,0.16358,,
1985-07-10,0.1605,0.1605,0.1605,0.1605,259200,0.1605,,
1985-07-11,0.17593,0.17593,0.17593,0.17593,2826900,0.17593,,
1985-07-12,0.1821,0.1821,0.1821,0.1821,2211300,0.1821,,
1985-07-15,0.17902,0.17902,0.17902,0.17902,866700,0.17902,,
1985-07-16,0.18828,0.18828,0.18828,0.18828,4649400,0.18828,,
1985-07-17,0.19445,0.19445,0.19445,0.19445,3304800,0.19445,,
1985-07-18,0.18828,0.18828,0.18828,0.18828,4835700,0.18828,,
1985-07-19,0.1821,0.1821,0.1821,0.1821,955800,0.1821,,
1985-07-22,0.1821,0.1821,0.1821,0.1821,2292300,0.1821,,
1985-07-23,0.17902,0.17902,0.17902,0.17902,1514700,0.17902,,
1985-07-24,0.17902,0.17902,0.17902,0.17902,664200,0.17902,,
1985-07-25,0.17902,0.17902,0.17902,0.17902,421200,0.17902,,
1985-07-26,0.17902,0.17902,0.17902,0.17902,81000,0.17902,,
1985-07-29,0.17902,0.17902,0.17902,0.17902,234900,0.17902,,
1985-07-30,0.17902,0.17902,0.17902,0.17902,1441800,0.17902,,
1985-07-31,0.1821,0.1821,0.1821,0.1821,858600,0.1821,,
1985-08-01,0.18519,0.18519,0.18519,0.18519,194400,0.18519,,
1985-08-02,0.18519,0.18519,0.18519,0.18519,145800,0.18519,,
1985-08-05,0.1821,0.1821,0.1821,0.1821,170100,0.1821,,
1985-08-06,0.17902,0.17902,0.17902,0.17902,494100,0.17902,,
1985-08-07,0.17593,0.17593,0.17593,0.17593,834300,0.17593,,
1985-08-08,0.17902,0.17902,0.17902,0.17902,380700,0.17902,,
1985-08-09,0.1821,0.1821,0.1821,0.1821,712800,0.1821,,
1985-08-12,0.1821,0.1821,0.1821,0.1821,186300,0.1821,,
1985-08-13,0.1821,0.1821,0.1821,0.1821,340200,0.1821,,
1985-08-14,0.18828,0.18828,0.18828,0.18828,818100,0.18828,,
1985-08-15,0.19136,0.19136,0.19136,0.19136,672300,0.19136,,
1985-08-16,0.18519,0.18519,0.18519,0.18519,688500,0.18519,,
1985-08-19,0.18519,0.18519,0.18519,0.18519,364500,0.18519,,
1985-08-20,0.18828,0.18828,0.18828,0.18828,599400,0.18828,,
1985-08-21,0.18828,0.18828,0.18828,0.18828,502200,0.18828,,
1985-08-22,0.18828,0.18828,0.18828,0.18828,1271700,0.18828,,
1985-08-23,0.18828,0.18828,0.18828,0.18828,405000,0.18828,,
1985-08-26,0.18828,0.18828,0.18828,0.18828,72900,0.18828,,
1985-08-27,0.19445,0.19445,0.19445,0.19445,1725300,0.19445,,
1985-08-28,0.20679,0.20679,0.20679,0.20679,2592000,0.20679,,
1985-08-29,0.20988,0.20988,0.20988,0.20988,1466100,0.20988,,
1985-08-30,0.21297,0.21297,0.21297,0.21297,1571400,0.21297,,
1985-09-03,0.22223,0.22223,0.22223,0.22223,1984500,0.22223,,
1985-09-04,0.21297,0.21297,0.21297,0.21297,3588300,0.21297,,
1985-09-05,0.21605,0.21605,0.21605,0.21605,891000,0.21605,,
1985-09-06,0.21914,0.21914,0.21914,0.21914,1539000,0.21914,,
1985-09-09,0.22223,0.22223,0.22223,0.22223,777600,0.22223,,
1985-09-10,0.21914,0.21914,0.21914,0.21914,583200,0.21914,,
1985-09-11,0.21605,0.21605,0.21605,0.21605,1733400,0.21605,,
1985-09-12,0.21605,0.21605,0.21605,0.21605,737100,0.21605,,
1985-09-13,0.20679,0.20679,0.20679,0.20679,1733400,0.20679,,
1985-09-16,0.20371,0.20371,0.20371,0.20371,599400,0.20371,,
1985-09-17,0.20371,0.20371,0.20371,0.20371,445500,0.20371,,
1985-09-18,0.20371,0.20371,0.20371,0.20371,243000,0.20371,,
1985-09-19,0.20371,0.20371,0.20371,0.20371,648000,0.20371,,
1985-09-20,0.20371,0.20371,0.20371,0.20371,477900,0.20371,,
1985-09-23,0.20679,0.20679,0.20679,0.20679,810000,0.20679,,
1985-09-24,0.20679,0.20679,0.20679,0.20679,486000,0.20679,,
1985-09-25,0.20679,0.20679,0.20679,0.20679,996300,0.20679,,
1985-09-26,0.20679,0.20679,0.20679,0.20679,299700,0.20679,,
1985-09-30,0.21297,0.21297,0.21297,0.21297,1304100,0.21297,0.0044,48.402272727272724
1985-10-01,0.21297,0.21297,0.21297,0.21297,1393200,0.21297,0.0044,48.402272727272724
1985-10-02,0.21297,0.21297,0.21297,0.21297,275400,0.21297,0.0044,48.402272727272724
1985-10-03,0.21297,0.21297,0.21297,0.21297,194400,0.21297,0.0044,48.402272727272724
1985-10-04,0.20988,0.20988,0.20988,0.20988,315900,0.20988,0.0044,47.7
1985-10-07,0.20988,0.20988,0.20988,0.20988,502200,0.20988,0.0044,47.7
1985-10-08,0.21297,0.21297,0.21297,0.21297,340200,0.21297,0.0044,48.402272727272724
1985-10-09,0.21605,0.21605,0.21605,0.21605,1182600,0.21605,0.0044,49.10227272727272
1985-10-10,0.21605,0.21605,0.21605,0.21605,32400,0.21605,0.0044,49.10227272727272
1985-10-11,0.23149,0.23149,0.23149,0.23149,3701700,0.23149,0.0044,52.611363636363635
1985-10-14,0.23457,0.23457,0.23457,0.23457,688500,0.23457,0.0044,53.31136363636363
1985-10-15,0.23457,0.24692,0.23457,0.23766,2162700,0.23843,0.0044,54.013636363636365
1985-10-16,0.23766,0.25,0.23766,0.24075,2251800,0.24152,0.0044,54.715909090909086
1985-10-17,0.24383,0.25,0.24383,0.25,1231200,0.24692,0.0044,56.81818181818181
1985-10-18,0.25,0.25309,0.24383,0.24692,2608200,0.24846,0.0044,56.11818181818182
1985-10-21,0.24692,0.24692,0.23766,0.24075,2470500,0.24306,0.0044,54.715909090909086
1985-10-22,0.24075,0.24692,0.24075,0.24383,1474200,0.24306,0.0044,55.41590909090908
1985-10-23,0.24383,0.24383,0.24075,0.24383,575100,0.24306,0.0044,55.41590909090908
1985-10-24,0.24383,0.24383,0.24075,0.24075,1012500,0.24229,0.0044,54.715909090909086
1985-10-25,0.24075,0.24383,0.23766,0.23766,469800,0.23998,0.0044,54.013636363636365
1985-10-28,0.24075,0.24383,0.24075,0.24075,437400,0.24152,0.0044,54.715909090909086
1985-10-29,0.24075,0.24229,0.24075,0.24075,421200,0.24114,0.0044,54.715909090909086
1985-10-30,0.24075,0.24229,0.24075,0.24075,1028700,0.24114,0.0044,54.715909090909086
1985-10-31,0.24075,0.24692,0.24075,0.24692,955800,0.24384,0.0044,56.11818181818182
1985-11-01,0.24692,0.25618,0.24075,0.25,1279800,0.24846,0.0044,56.81818181818181
1985-11-04,0.25,0.25618,0.24692,0.25309,1158300,0.25155,0.0044,57.52045454545454
1985-11-05,0.25309,0.2747,0.25309,0.2747,2114100,0.2639,0.0044,62.43181818181818
1985-11-06,0.27161,0.27161,0.26544,0.26544,1692900,0.26853,0.0044,60.32727272727273
1985-11-07,0.26544,0.28087,0.26235,0.28087,1846800,0.27238,0.0044,63.834090909090904
1985-11-08,0.28087,0.28396,0.27161,0.28396,2745900,0.2801,0.0044,64.53636363636363
1985-11-11,0.28087,0.28087,0.2747,0.28087,631800,0.27933,0.0044,63.834090909090904
1985-11-12,0.28087,0.28396,0.27778,0.28087,1344600,0.28087,0.0044,63.834090909090904
1985-11-13,0.28087,0.28704,0.27778,0.28087,2373300,0.28164,0.0044,63.834090909090904
1985-11-14,0.28396,0.30556,0.28396,0.30248,2178900,0.29399,0.0044,68.74545454545455
1985-11-15,0.30248,0.30248,0.29322,0.29322,1854900,0.29785,0.0044,66.64090909090908
1985-11-18,0.29322,0.29939,0.29322,0.29939,996300,0.29631,0.0044,68.04318181818181
1985-11-19,0.29939,0.29939,0.29322,0.29322,1150200,0.29631,0.0044,66.64090909090908
1985-11-20,0.29322,0.29939,0.28704,0.29322,1587600,0.29322,0.0044,66.64090909090908
1985-11-21,0.29322,0.2963,0.28704,0.29322,858600,0.29245,0.0044,66.64090909090908
1985-11-22,0.29322,0.29939,0.29322,0.29939,607500,0.29631,0.0044,68.04318181818181
1985-11-25,0.29939,0.29939,0.29322,0.2963,2033100,0.29707,0.0044,67.3409090909091
1985-11-26,0.2963,0.29939,0.29322,0.2963,688500,0.2963,0.0044,67.3409090909091
1985-11-27,0.2963,0.29939,0.29322,0.29322,413100,0.29553,0.0044,66.64090909090908
1985-11-29,0.29322,0.30556,0.29322,0.29939,461700,0.29785,0.0044,68.04318181818181
1985-12-02,0.29939,0.30865,0.29939,0.30248,996300,0.30248,0.0044,68.74545454545455
1985-12-03,0.30248,0.32408,0.30248,0.31791,1466100,0.31174,0.0044,72.25227272727273
1985-12-04,0.31791,0.34569,0.31791,0.33951,3726000,0.33026,0.0044,77.16136363636363
