Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1987-07-24,3.92,3.94,3.88,3.94,15566400,3.92,0.025,157.6
1987-07-27,3.94,3.94,3.88,3.91,1931200,3.91,0.025,156.4
1987-07-28,3.91,3.91,3.88,3.88,2074800,3.89,0.025,155.2
1987-07-29,3.88,3.91,3.88,3.88,4930800,3.89,0.025,155.2
1987-07-30,3.88,3.91,3.81,3.81,4654400,3.84,0.025,152.4
1987-07-31,3.81,3.81,3.56,3.63,3006800,3.66,0.025,145.2
1987-08-03,3.63,3.84,3.5,3.84,1277600,3.73,0.025,153.6
1987-08-04,3.84,3.91,3.75,3.78,698400,3.81,0.025,151.2
1987-08-05,3.78,3.81,3.75,3.78,262000,3.78,0.025,151.2
1987-08-06,3.78,3.78,3.72,3.75,480400,3.75,0.025,150.0
1987-08-07,3.75,3.84,3.75,3.84,582400,3.81,0.025,153.6
1987-08-10,3.84,3.97,3.81,3.91,1524800,3.9,0.025,156.4
1987-08-11,3.91,3.94,3.88,3.94,2395200,3.92,0.025,157.6
1987-08-12,3.94,3.94,3.91,3.94,1514400,3.93,0.025,157.6
1987-08-13,3.94,3.94,3.84,3.88,516000,3.89,0.025,155.2
1987-08-14,3.88,3.94,3.84,3.88,324000,3.89,0.025,155.2
1987-08-17,3.88,3.88,3.84,3.88,183600,3.86,0.025,155.2
1987-08-18,3.88,3.88,3.72,3.72,554400,3.77,0.025,148.8
1987-08-19,3.72,3.75,3.66,3.75,304400,3.72,0.025,150.0
1987-08-20,3.75,3.81,3.75,3.75,516000,3.77,0.025,150.0
1987-08-21,3.75,3.84,3.72,3.81,620400,3.79,0.025,152.4
1987-08-24,3.81,3.94,3.81,3.94,1596800,3.91,0.025,157.6
1987-08-25,3.94,4.16,3.94,4.13,1371600,4.07,0.025,165.2
1987-08-26,4.13,4.38,4.13,4.31,1897200,4.29,0.025,172.39999999999998
1987-08-27,4.31,4.31,4.19,4.22,604800,4.24,0.025,168.79999999999998
1987-08-28,4.22,4.25,4.19,4.25,171200,4.23,0.025,170.0
1987-08-31,4.25,4.25,4.16,4.22,192000,4.2,0.0275,153.45454545454544
1987-09-01,4.22,4.28,4.19,4.19,1219600,4.22,0.0275,152.36363636363637
1987-09-02,4.19,4.22,3.97,4.0,1449600,4.06,0.0275,145.45454545454547
1987-09-03,4.0,4.09,3.94,4.0,252400,4.01,0.0275,145.45454545454547
1987-09-04,4.0,4.0,3.91,3.97,225600,3.96,0.0275,144.36363636363637
1987-09-08,3.97,3.97,3.78,3.88,536000,3.88,0.0275,141.0909090909091
1987-09-09,3.88,3.88,3.81,3.84,376800,3.84,0.0275,139.63636363636363
1987-09-10,3.84,3.88,3.78,3.84,803600,3.83,0.0275,139.63636363636363
1987-09-11,3.84,3.97,3.84,3.94,519600,3.92,0.0275,143.27272727272728
1987-09-14,3.94,4.0,3.91,3.97,206400,3.96,0.0275,144.36363636363637
1987-09-15,3.97,4.0,3.94,3.97,78000,3.97,0.0275,144.36363636363637
1987-09-16,3.97,4.0,3.94,4.0,390400,3.98,0.0275,145.45454545454547
1987-09-17,4.0,4.0,3.94,3.94,134400,3.95,0.0275,143.27272727272728
1987-09-18,3.94,3.97,3.91,3.91,95600,3.93,0.0275,142.1818181818182
1987-09-21,3.91,3.97,3.91,3.97,485600,3.96,0.0275,144.36363636363637
1987-09-22,3.97,4.0,3.91,3.97,520800,3.96,0.0275,144.36363636363637
1987-09-23,3.97,4.0,3.94,3.97,25200,3.97,0.0275,144.36363636363637
1987-09-24,3.97,3.97,3.94,3.94,46400,3.95,0.0275,143.27272727272728
1987-09-25,3.94,3.97,3.94,3.97,161600,3.96,0.0275,144.36363636363637
1987-09-28,3.97,4.06,3.97,4.03,600000,4.02,0.0275,146.54545454545456
1987-09-29,4.03,4.03,3.97,3.97,178400,3.99,0.0275,144.36363636363637
1987-09-30,3.97,4.0,3.94,4.0,235200,3.98,0.0275,145.45454545454547
1987-10-01,4.0,4.0,3.97,3.97,192000,3.98,0.0275,144.36363636363637
1987-10-02,3.97,4.0,3.97,4.0,655600,3.99,0.0275,145.45454545454547
1987-10-05,4.0,4.03,3.94,4.0,408000,3.99,0.0275,145.45454545454547
1987-10-06,4.0,4.03,3.91,3.91,310400,3.95,0.0275,142.1818181818182
1987-10-07,3.91,3.94,3.72,3.84,150400,3.83,0.0275,139.63636363636363
1987-10-08,3.84,3.84,3.72,3.75,486000,3.77,0.0275,136.36363636363637
1987-10-09,3.75,3.75,3.56,3.56,240400,3.63,0.0275,129.45454545454547
1987-10-12,3.56,3.56,3.25,3.34,558800,3.39,0.0275,121.45454545454545
1987-10-13,3.34,3.47,3.34,3.47,371200,3.43,0.0275,126.18181818181819
1987-10-14,3.47,3.47,3.25,3.31,755600,3.34,0.0275,120.36363636363636
1987-10-15,3.31,3.31,3.16,3.16,269600,3.2,0.0275,114.90909090909092
1987-10-16,3.16,3.22,2.94,3.03,620400,3.06,0.0275,110.18181818181817
1987-10-19,3.03,3.03,2.25,2.28,1634400,2.41,0.0275,82.9090909090909
1987-10-20,2.28,2.63,2.03,2.63,1648800,2.43,0.0275,95.63636363636363
1987-10-21,2.63,2.81,2.63,2.72,1183200,2.72,0.0275,98.90909090909092
1987-10-22,2.72,2.72,2.25,2.34,652400,2.35,0.0275,85.09090909090908
1987-10-23,2.34,2.38,2.25,2.34,3120400,2.32,0.0275,85.09090909090908
1987-10-26,2.34,2.34,2.13,2.16,744800,2.18,0.0275,78.54545454545455
1987-10-27,2.16,2.38,2.13,2.22,875200,2.24,0.0275,80.72727272727273
1987-10-28,2.22,2.22,2.13,2.19,768000,2.18,0.0275,79.63636363636364
1987-10-29,2.19,2.19,2.13,2.16,126000,2.16,0.0275,78.54545454545455
1987-10-30,2.16,2.56,2.16,2.56,2579200,2.45,0.0275,93.0909090909091
1987-11-02,2.56,2.69,2.41,2.63,653600,2.57,0.0275,95.63636363636363
1987-11-03,2.63,2.63,2.34,2.53,583200,2.48,0.0275,91.99999999999999
1987-11-04,2.53,2.53,2.31,2.34,307200,2.35,0.0275,85.09090909090908
1987-11-05,2.34,2.34,2.25,2.28,544800,2.28,0.0275,82.9090909090909
1987-11-06,2.28,2.31,2.28,2.31,405200,2.3,0.0275,84.0
1987-11-09,2.31,2.31,2.25,2.28,394000,2.28,0.0275,82.9090909090909
1987-11-10,2.28,2.31,2.22,2.25,718800,2.26,0.0275,81.81818181818181
1987-11-11,2.25,2.31,2.22,2.28,308000,2.27,0.0275,82.9090909090909
1987-11-12,2.28,2.38,2.28,2.31,277600,2.32,0.0275,84.0
1987-11-13,2.31,2.31,2.22,2.25,385200,2.26,0.0275,81.81818181818181
1987-11-16,2.25,2.31,2.22,2.22,145200,2.25,0.0275,80.72727272727273
1987-11-17,2.22,2.25,2.13,2.25,353600,2.21,0.0275,81.81818181818181
1987-11-18,2.25,2.25,2.16,2.22,338400,2.21,0.0275,80.72727272727273
1987-11-19,2.22,2.22,2.13,2.16,204000,2.17,0.0275,78.54545454545455
1987-11-20,2.16,2.16,2.09,2.16,606400,2.14,0.0275,78.54545454545455
1987-11-23,2.16,2.25,2.16,2.25,260000,2.22,0.0275,81.81818181818181
1987-11-24,2.25,2.38,2.22,2.34,557200,2.31,0.0275,85.09090909090908
1987-11-25,2.34,2.34,2.25,2.31,268400,2.29,0.0275,84.0
1987-11-27,2.31,2.34,2.28,2.31,124800,2.31,0.0275,84.0
1987-11-30,2.31,2.31,2.16,2.25,623200,2.23,0.0638,35.26645768025079
1987-12-01,2.25,2.25,2.16,2.19,350800,2.2,0.0638,34.326018808777434
1987-12-02,2.19,2.19,2.09,2.19,328000,2.16,0.0638,34.326018808777434
1987-12-03,2.19,2.19,2.06,2.09,306000,2.11,0.0638,32.758620689655174
1987-12-04,2.09,2.09,2.06,2.09,492800,2.08,0.0638,32.758620689655174
1987-12-07,2.09,2.13,2.06,2.09,286000,2.09,0.0638,32.758620689655174
1987-12-08,2.09,2.13,2.06,2.09,472400,2.09,0.0638,32.758620689655174
1987-12-09,2.09,2.41,2.09,2.38,503600,2.29,0.0638,37.30407523510972
1987-12-10,2.38,2.47,2.28,2.38,391200,2.38,0.0638,37.30407523510972
1987-12-11,2.38,2.41,2.34,2.38,292800,2.38,0.0638,37.30407523510972
1987-12-14,2.38,2.47,2.34,2.47,596800,2.43,0.0638,38.714733542319756
1987-12-15,2.47,2.5,2.44,2.47,234000,2.47,0.0638,38.714733542319756
1987-12-16,2.47,2.75,2.47,2.69,930400,2.65,0.0638,42.16300940438872
1987-12-17,2.69,2.88,2.69,2.78,820800,2.78,0.0638,43.573667711598745
1987-12-18,2.78,2.84,2.66,2.81,468400,2.77,0.0638,44.043887147335425
1987-12-21,2.81,2.84,2.69,2.75,322000,2.76,0.0638,43.10344827586207
1987-12-22,2.75,2.75,2.56,2.63,308400,2.65,0.0638,41.22257053291536
1987-12-23,2.63,2.75,2.56,2.75,243200,2.69,0.0638,43.10344827586207
1987-12-24,2.75,2.94,2.75,2.88,215200,2.88,0.0638,45.141065830721004
1987-12-28,2.88,2.88,2.78,2.81,151600,2.82,0.0638,44.043887147335425
1987-12-29,2.81,2.81,2.75,2.81,194800,2.79,0.0638,44.043887147335425
1987-12-30,2.81,2.81,2.75,2.75,267600,2.77,0.0638,43.10344827586207
1987-12-31,2.75,3.0,2.66,3.0,553200,2.89,0.0638,47.02194357366771
1988-01-04,3.0,3.0,2.97,3.0,258800,2.99,0.0638,47.02194357366771
1988-01-05,3.0,3.06,3.0,3.03,300400,3.03,0.0638,47.492163009404386
1988-01-06,3.03,3.38,3.0,3.25,366800,3.21,0.0638,50.940438871473354
1988-01-07,3.25,3.5,3.22,3.5,2301200,3.41,0.0638,54.858934169279
1988-01-08,3.5,3.5,3.31,3.31,1037600,3.38,0.0638,51.880877742946716
1988-01-11,3.31,3.38,3.22,3.34,199200,3.31,0.0638,52.35109717868339
1988-01-12,3.34,3.34,3.25,3.31,512000,3.29,0.0638,51.880877742946716
1988-01-13,3.31,3.31,3.19,3.28,224800,3.25,0.0638,51.410658307210035
1988-01-14,3.28,3.38,3.22,3.25,103600,3.28,0.0638,50.940438871473354
1988-01-15,3.25,3.41,3.25,3.31,679200,3.34,0.0638,51.880877742946716
1988-01-18,3.31,3.31,3.22,3.28,116000,3.26,0.0638,51.410658307210035
1988-01-19,3.28,3.28,3.19,3.22,351200,3.22,0.0638,50.47021943573668
1988-01-20,3.22,3.22,3.16,3.22,202800,3.2,0.0638,50.47021943573668
1988-01-21,3.22,3.22,3.09,3.16,146800,3.16,0.0638,49.529780564263326
1988-01-22,3.16,3.19,3.13,3.16,104800,3.16,0.0638,49.529780564263326
1988-01-25,3.16,3.25,3.13,3.25,368800,3.21,0.0638,50.940438871473354
1988-01-26,3.25,3.31,3.22,3.31,167600,3.28,0.0638,51.880877742946716
1988-01-27,3.31,3.31,3.25,3.31,192000,3.29,0.0638,51.880877742946716
1988-01-28,3.31,3.34,3.28,3.31,68800,3.31,0.0638,51.880877742946716
1988-01-29,3.31,3.34,3.28,3.34,270800,3.32,0.0638,52.35109717868339
1988-02-01,3.34,3.34,3.22,3.25,108800,3.26,0.0638,50.940438871473354
1988-02-02,3.25,3.25,3.19,3.19,42000,3.21,0.0638,50.0
1988-02-03,3.19,3.25,3.19,3.22,176800,3.22,0.0638,50.47021943573668
1988-02-04,3.22,3.22,3.09,3.13,309600,3.15,0.0638,49.059561128526646
1988-02-05,3.13,3.13,3.0,3.03,86800,3.05,0.0638,47.492163009404386
1988-02-08,3.03,3.03,2.94,3.0,202400,2.99,0.0638,47.02194357366771
1988-02-09,3.0,3.0,2.88,2.91,148800,2.92,0.0638,45.611285266457685
1988-02-10,2.91,3.06,2.91,3.0,319200,2.99,0.0638,47.02194357366771
1988-02-11,3.0,3.06,3.0,3.0,141600,3.02,0.0638,47.02194357366771
1988-02-12,3.0,3.19,3.0,3.09,79200,3.1,0.0638,48.43260188087774
1988-02-16,3.09,3.09,3.0,3.03,49200,3.04,0.0638,47.492163009404386
1988-02-17,3.03,3.03,2.94,2.97,524800,2.97,0.0638,46.55172413793104
1988-02-18,2.97,2.97,2.91,2.94,179600,2.94,0.0638,46.08150470219436
1988-02-19,2.94,3.0,2.91,2.97,144400,2.96,0.0638,46.55172413793104
1988-02-22,2.97,3.13,2.97,3.13,185600,3.08,0.0638,49.059561128526646
1988-02-23,3.13,3.13,3.06,3.06,53200,3.07,0.0638,47.96238244514107
