Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2014-09-18,13.1,14.0,12.93,13.8,2276147,13.72,0.0627,220.0956937799043
2014-09-19,13.82,14.22,13.43,14.19,2277295,13.96,0.0627,226.3157894736842
2014-09-22,14.08,14.4,13.83,14.11,1726052,14.14,0.0627,225.03987240829343
2014-09-23,14.02,14.09,13.52,13.6,1194637,13.8,0.0627,216.9059011164274
2014-09-24,13.62,13.88,13.11,13.62,977821,13.48,0.0627,217.2248803827751
2014-09-25,13.6,13.67,13.15,13.2,944972,13.31,0.0627,210.52631578947364
2014-09-26,13.24,13.7,13.2155,13.4,922095,13.5,0.0627,213.71610845295055
2014-09-29,13.18,13.6,13.04,13.17,805528,13.3,0.0627,210.04784688995213
2014-09-30,13.19,13.24,12.58,12.58,1221812,12.8,0.0627,200.63795853269536
2014-10-01,12.58,12.7,12.11,12.32,1775889,12.35,0.0627,196.49122807017542
2014-10-02,12.26,12.45,11.81,12.08,2423798,12.07,0.0627,192.66347687400318
2014-10-03,12.18,12.28,11.91,11.98,877907,12.09,0.0627,191.06858054226475
2014-10-06,12.0,12.27,11.64,11.65,1395912,11.8,0.0627,185.8054226475279
2014-10-07,11.6,11.66,11.39,11.4,965277,11.5,0.0627,181.8181818181818
2014-10-08,11.38,11.4772,10.66,11.25,1637338,11.03,0.0627,179.42583732057415
2014-10-09,11.18,11.36,10.95,11.06,1279145,11.14,0.0627,176.39553429027112
2014-10-10,11.0,11.105,9.13,9.14,3520363,9.85,0.0627,145.77352472089314
2014-10-13,9.15,9.18,8.58,8.59,2193539,8.86,0.0627,137.0015948963317
2014-10-14,8.6,9.4,8.51,9.39,2555032,8.95,0.0627,149.76076555023923
2014-10-15,9.2,10.07,9.0,10.04,2003567,9.7,0.0627,160.12759170653905
2014-10-16,9.8,10.6,9.8,10.39,1760531,10.27,0.0627,165.7097288676236
2014-10-17,10.23,11.75,10.0,11.71,3549999,11.25,0.0627,186.76236044657097
2014-10-20,11.64,12.39,11.24,11.41,1476581,11.57,0.0627,181.97767145135566
2014-10-21,11.47,12.58,11.44,12.44,2230243,12.16,0.0627,198.40510366826155
2014-10-22,12.41,12.6,11.53,11.57,1543690,11.75,0.0627,184.52950558213715
2014-10-23,11.66,11.99,11.5411,11.73,724616,11.74,0.0627,187.08133971291866
2014-10-24,11.71,12.14,11.515,12.07,695779,11.84,0.0627,192.50398724082933
2014-10-27,11.96,12.01,11.48,11.56,1088132,11.59,0.0627,184.3700159489633
