Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1992-06-05,1.65,1.69,1.65,1.65,14561059,1.66,0.0145,113.79310344827584
1992-06-08,1.65,1.69,1.65,1.65,1306967,1.66,0.0145,113.79310344827584
1992-06-09,1.65,1.65,1.58,1.58,1942140,1.615,0.0145,108.96551724137932
1992-06-10,1.58,1.63,1.58,1.58,666466,1.5925,0.0145,108.96551724137932
1992-06-11,1.58,1.58,1.5,1.5,1383534,1.54,0.0145,103.44827586206895
1992-06-12,1.5,1.56,1.5,1.5,502679,1.515,0.0145,103.44827586206895
1992-06-15,1.5,1.56,1.5,1.56,209727,1.53,0.0145,107.58620689655172
1992-06-16,1.52,1.58,1.5,1.52,340890,1.53,0.0145,104.82758620689654
1992-06-17,1.52,1.58,1.52,1.52,523985,1.535,0.0145,104.82758620689654
1992-06-18,1.5,1.58,1.5,1.5,323579,1.52,0.0145,103.44827586206895
1992-06-19,1.5,1.58,1.5,1.5,986716,1.52,0.0145,103.44827586206895
1992-06-22,1.5,1.54,1.5,1.5,630513,1.51,0.0145,103.44827586206895
1992-06-23,1.5,1.54,1.5,1.5,332235,1.51,0.0145,103.44827586206895
1992-06-24,1.54,1.54,1.5,1.5,302273,1.52,0.0145,103.44827586206895
1992-06-25,1.5,1.54,1.5,1.5,351543,1.51,0.0145,103.44827586206895
1992-06-26,1.5,1.54,1.5,1.54,424115,1.52,0.0145,106.20689655172413
1992-06-29,1.52,1.54,1.5,1.5,215719,1.515,0.0145,103.44827586206895
1992-06-30,1.54,1.54,1.5,1.54,191085,1.53,0.0248,62.09677419354839
1992-07-01,1.5,1.58,1.5,1.54,289623,1.53,0.0248,62.09677419354839
1992-07-02,1.58,1.58,1.5,1.5,518659,1.54,0.0248,60.483870967741936
1992-07-06,1.5,1.54,1.5,1.54,95875,1.52,0.0248,62.09677419354839
1992-07-07,1.5,1.54,1.5,1.5,229701,1.51,0.0248,60.483870967741936
1992-07-08,1.5,1.5,1.43,1.43,450081,1.465,0.0248,57.66129032258065
1992-07-09,1.43,1.48,1.39,1.39,96541,1.4225,0.0248,56.04838709677419
1992-07-10,1.39,1.46,1.39,1.39,177103,1.4075,0.0248,56.04838709677419
1992-07-13,1.41,1.46,1.39,1.46,150471,1.43,0.0248,58.87096774193549
1992-07-14,1.43,1.5,1.39,1.46,383501,1.445,0.0248,58.87096774193549
1992-07-15,1.54,1.54,1.46,1.54,95875,1.52,0.0248,62.09677419354839
1992-07-16,1.46,1.5,1.46,1.5,15313,1.48,0.0248,60.483870967741936
1992-07-17,1.46,1.54,1.46,1.54,169779,1.5,0.0248,62.09677419354839
1992-07-20,1.52,1.54,1.46,1.54,217717,1.515,0.0248,62.09677419354839
1992-07-21,1.46,1.54,1.46,1.46,45940,1.48,0.0248,58.87096774193549
1992-07-22,1.46,1.54,1.46,1.46,58590,1.48,0.0248,58.87096774193549
1992-07-23,1.5,1.54,1.5,1.5,65248,1.51,0.0248,60.483870967741936
1992-07-24,1.5,1.54,1.43,1.5,151137,1.4925,0.0248,60.483870967741936
1992-07-27,1.43,1.45,1.43,1.45,234362,1.44,0.0248,58.46774193548387
1992-07-28,1.5,1.5,1.43,1.5,259662,1.4825,0.0248,60.483870967741936
