Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-08-20,2.35,2.35,2.35,2.35,21251,2.35,,
1968-08-22,2.36,2.36,2.36,2.36,7583,2.36,,
1968-08-23,2.3,2.3,2.3,2.3,39476,2.3,,
1968-08-26,2.29,2.29,2.29,2.29,1508,2.29,,
1968-08-27,2.27,2.27,2.27,2.27,3026,2.27,,
1968-08-29,2.27,2.27,2.27,2.27,6064,2.27,,
1968-08-30,2.24,2.24,2.24,2.24,4546,2.24,,
1968-09-04,2.24,2.24,2.24,2.24,1508,2.24,,
1968-09-05,2.26,2.26,2.26,2.26,1508,2.26,,
1968-09-06,2.24,2.24,2.24,2.24,28846,2.24,,
1968-09-09,2.22,2.22,2.22,2.22,6064,2.22,,
1968-09-10,2.24,2.24,2.24,2.24,7583,2.24,,
1968-09-12,2.21,2.21,2.21,2.21,4546,2.21,,
1968-09-13,2.21,2.21,2.21,2.21,6064,2.21,,
1968-09-16,2.19,2.19,2.19,2.19,1508,2.19,,
1968-09-17,2.21,2.21,2.21,2.21,1508,2.21,,
1968-09-19,2.21,2.21,2.21,2.21,10621,2.21,,
1968-09-20,2.21,2.21,2.21,2.21,3026,2.21,,
1968-09-23,2.23,2.23,2.23,2.23,33401,2.23,,
1968-09-24,2.23,2.23,2.23,2.23,7583,2.23,,
1968-09-26,2.26,2.26,2.26,2.26,3026,2.26,,
1968-09-30,2.26,2.26,2.26,2.26,3026,2.26,,
1968-10-01,2.26,2.26,2.26,2.26,3026,2.26,,
1968-10-03,2.27,2.27,2.27,2.27,6064,2.27,,
1968-10-04,2.31,2.31,2.31,2.31,6064,2.31,,
1968-10-07,2.35,2.35,2.35,2.35,6064,2.35,,
1968-10-08,2.32,2.32,2.32,2.32,4546,2.32,,
1968-10-10,2.29,2.29,2.29,2.29,28846,2.29,,
1968-10-11,2.27,2.27,2.27,2.27,1508,2.27,,
1968-10-15,2.25,2.25,2.25,2.25,1508,2.25,,
1968-10-17,2.28,2.28,2.28,2.28,3026,2.28,,
1968-10-18,2.3,2.3,2.3,2.3,13658,2.3,,
1968-10-21,2.3,2.3,2.3,2.3,7583,2.3,,
1968-10-22,2.24,2.24,2.24,2.24,7583,2.24,,
1968-10-24,2.29,2.29,2.29,2.29,15176,2.29,,
1968-10-25,2.3,2.3,2.3,2.3,153381,2.3,,
1968-10-28,2.29,2.29,2.29,2.29,1508,2.29,,
1968-10-29,2.3,2.3,2.3,2.3,1508,2.3,,
1968-10-31,2.32,2.32,2.32,2.32,18214,2.32,,
1968-11-01,2.3,2.3,2.3,2.3,121488,2.3,,
1968-11-04,2.33,2.33,2.33,2.33,9101,2.33,,
1968-11-06,2.35,2.35,2.35,2.35,12139,2.35,,
1968-11-07,2.37,2.37,2.37,2.37,9101,2.37,,
1968-11-08,2.4,2.4,2.4,2.4,7583,2.4,,
1968-11-12,2.44,2.44,2.44,2.44,4546,2.44,,
1968-11-13,2.46,2.46,2.46,2.46,3026,2.46,,
1968-11-14,2.53,2.53,2.53,2.53,16696,2.53,,
1968-11-15,2.49,2.49,2.49,2.49,9101,2.49,,
1968-11-18,2.49,2.49,2.49,2.49,3026,2.49,,
1968-11-21,2.5,2.5,2.5,2.5,12139,2.5,,
1968-11-22,2.53,2.53,2.53,2.53,27326,2.53,,
1968-11-26,2.54,2.54,2.54,2.54,4546,2.54,,
1968-11-27,2.54,2.54,2.54,2.54,42514,2.54,,
1968-11-29,2.57,2.57,2.57,2.57,9101,2.57,,
1968-12-02,2.58,2.58,2.58,2.58,37958,2.58,,
1968-12-03,2.63,2.63,2.63,2.63,45551,2.63,,
1968-12-05,2.63,2.63,2.63,2.63,4546,2.63,,
1968-12-06,2.63,2.63,2.63,2.63,12139,2.63,,
1968-12-09,2.62,2.62,2.62,2.62,51626,2.62,,
1968-12-10,2.6,2.6,2.6,2.6,33401,2.6,,
1968-12-12,2.67,2.67,2.67,2.67,12139,2.67,,
1968-12-13,2.65,2.65,2.65,2.65,22771,2.65,,
1968-12-16,2.67,2.67,2.67,2.67,1508,2.67,,
1968-12-19,2.7,2.7,2.7,2.7,3026,2.7,,
1968-12-20,2.7,2.7,2.7,2.7,13658,2.7,,
1968-12-23,2.6,2.6,2.6,2.6,85039,2.6,,
1968-12-24,2.63,2.63,2.63,2.63,3026,2.63,,
1968-12-26,2.66,2.66,2.66,2.66,1508,2.66,,
1968-12-27,2.63,2.63,2.63,2.63,4546,2.63,,
1968-12-30,2.63,2.63,2.63,2.63,19733,2.63,,
1968-12-31,2.63,2.63,2.63,2.63,6064,2.63,,
1969-01-02,2.63,2.63,2.63,2.63,3026,2.63,,
1969-01-03,2.63,2.63,2.63,2.63,10621,2.63,,
1969-01-06,2.63,2.63,2.63,2.63,7583,2.63,,
1969-01-07,2.57,2.57,2.57,2.57,18214,2.57,,
1969-01-08,2.62,2.62,2.62,2.62,10621,2.62,,
1969-01-09,2.61,2.61,2.61,2.61,12139,2.61,,
1969-01-10,2.61,2.61,2.61,2.61,21251,2.61,,
1969-01-13,2.58,2.58,2.58,2.58,4546,2.58,,
1969-01-14,2.58,2.58,2.58,2.58,12139,2.58,,
1969-01-15,2.61,2.61,2.61,2.61,6064,2.61,,
1969-01-16,2.63,2.63,2.63,2.63,9101,2.63,,
1969-01-17,2.63,2.63,2.63,2.63,1508,2.63,,
1969-01-20,2.63,2.63,2.63,2.63,21251,2.63,,
1969-01-22,2.63,2.63,2.63,2.63,1508,2.63,,
1969-01-23,2.59,2.59,2.59,2.59,21251,2.59,,
1969-01-24,2.6,2.6,2.6,2.6,1508,2.6,,
1969-01-27,2.61,2.61,2.61,2.61,4546,2.61,,
1969-01-28,2.6,2.6,2.6,2.6,19733,2.6,,
1969-01-29,2.49,2.49,2.49,2.49,616591,2.49,,
1969-01-31,2.5,2.5,2.5,2.5,33401,2.5,,
1969-02-03,2.5,2.5,2.5,2.5,1508,2.5,,
1969-02-04,2.49,2.49,2.49,2.49,1508,2.49,,
1969-02-05,2.49,2.49,2.49,2.49,9101,2.49,,
1969-02-06,2.43,2.43,2.43,2.43,18214,2.43,,
1969-02-07,2.42,2.42,2.42,2.42,1508,2.42,,
1969-02-11,2.44,2.44,2.44,2.44,3026,2.44,,
1969-02-12,2.46,2.46,2.46,2.46,6064,2.46,,
1969-02-13,2.49,2.49,2.49,2.49,10621,2.49,,
1969-02-14,2.48,2.48,2.48,2.48,1508,2.48,,
1969-02-17,2.47,2.47,2.47,2.47,6064,2.47,,
1969-02-18,2.47,2.47,2.47,2.47,4546,2.47,,
1969-02-20,2.46,2.46,2.46,2.46,3026,2.46,,
1969-02-24,2.44,2.44,2.44,2.44,9101,2.44,,
1969-02-25,2.41,2.41,2.41,2.41,4546,2.41,,
1969-02-26,2.38,2.38,2.38,2.38,6064,2.38,,
1969-02-27,2.36,2.36,2.36,2.36,24289,2.36,,
1969-02-28,2.36,2.36,2.36,2.36,7583,2.36,,
1969-03-03,2.37,2.37,2.37,2.37,1508,2.37,,
1969-03-04,2.37,2.37,2.37,2.37,1508,2.37,,
1969-03-05,2.39,2.39,2.39,2.39,1508,2.39,,
1969-03-06,2.4,2.4,2.4,2.4,1508,2.4,,
1969-03-07,2.39,2.39,2.39,2.39,1508,2.39,,
1969-03-10,2.37,2.37,2.37,2.37,1508,2.37,,
1969-03-11,2.4,2.4,2.4,2.4,1508,2.4,,
1969-03-12,2.38,2.38,2.38,2.38,6064,2.38,,
1969-03-13,2.34,2.34,2.34,2.34,7583,2.34,,
1969-03-14,2.32,2.32,2.32,2.32,1508,2.32,,
1969-03-17,2.29,2.29,2.29,2.29,10621,2.29,,
1969-03-18,2.24,2.24,2.24,2.24,7583,2.24,,
1969-03-19,2.26,2.26,2.26,2.26,4546,2.26,,
1969-03-21,2.25,2.25,2.25,2.25,6064,2.25,,
1969-03-25,2.26,2.26,2.26,2.26,1508,2.26,,
1969-03-26,2.29,2.29,2.29,2.29,92633,2.29,,
1969-03-27,2.31,2.31,2.31,2.31,4546,2.31,,
1969-03-28,2.31,2.31,2.31,2.31,31883,2.31,,
1969-04-01,2.32,2.32,2.32,2.32,1508,2.32,,
1969-04-03,2.3,2.3,2.3,2.3,4546,2.3,,
1969-04-07,2.27,2.27,2.27,2.27,15176,2.27,,
1969-04-08,2.3,2.3,2.3,2.3,3026,2.3,,
1969-04-09,2.29,2.29,2.29,2.29,1508,2.29,,
1969-04-10,2.31,2.31,2.31,2.31,6064,2.31,,
1969-04-11,2.31,2.31,2.31,2.31,4546,2.31,,
1969-04-14,2.29,2.29,2.29,2.29,1508,2.29,,
1969-04-16,2.3,2.3,2.3,2.3,4546,2.3,,
1969-04-17,2.27,2.27,2.27,2.27,6064,2.27,,
1969-04-21,2.24,2.24,2.24,2.24,4546,2.24,,
1969-04-22,2.26,2.26,2.26,2.26,6064,2.26,,
1969-04-23,2.24,2.24,2.24,2.24,1508,2.24,,
1969-04-24,2.26,2.26,2.26,2.26,3026,2.26,,
1969-04-25,2.25,2.25,2.25,2.25,1508,2.25,,
1969-04-29,2.21,2.21,2.21,2.21,7583,2.21,,
1969-04-30,2.18,2.18,2.18,2.18,15176,2.18,,
1969-05-01,2.21,2.21,2.21,2.21,16696,2.21,,
1969-05-02,2.26,2.26,2.26,2.26,21251,2.26,,
1969-05-05,2.3,2.3,2.3,2.3,12139,2.3,,
1969-05-06,2.3,2.3,2.3,2.3,40996,2.3,,
1969-05-07,2.3,2.3,2.3,2.3,3026,2.3,,
1969-05-08,2.31,2.31,2.31,2.31,1508,2.31,,
1969-05-09,2.39,2.39,2.39,2.39,15176,2.39,,
1969-05-12,2.42,2.42,2.42,2.42,50108,2.42,,
1969-05-13,2.44,2.44,2.44,2.44,27326,2.44,,
1969-05-14,2.44,2.44,2.44,2.44,355369,2.44,,
1969-05-15,2.47,2.47,2.47,2.47,9101,2.47,,
1969-05-16,2.44,2.44,2.44,2.44,54664,2.44,,
1969-05-20,2.44,2.44,2.44,2.44,4546,2.44,,
1969-05-21,2.45,2.45,2.45,2.45,220206,2.45,,
1969-05-22,2.37,2.37,2.37,2.37,18214,2.37,,
