Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1997-02-04,11.0,11.0,10.3125,10.5625,26677600,10.63,,
1997-02-05,10.625,10.75,10.125,10.125,6762800,10.33,,
1997-02-06,10.1875,10.375,10.125,10.3125,2238200,10.27,,
1997-02-07,10.25,10.3125,10.25,10.25,1405800,10.27,,
1997-02-10,10.25,10.625,10.25,10.5,1666800,10.46,,
1997-02-11,10.5,10.625,10.4375,10.5,1444200,10.52,,
1997-02-12,10.5,10.5625,10.3125,10.375,780000,10.42,,
1997-02-13,10.4375,10.4375,10.0,10.0,1518600,10.15,,
1997-02-14,10.0625,10.125,10.0,10.0,511600,10.04,,
1997-02-18,10.0625,10.0625,10.0,10.0625,746000,10.04,,
1997-02-19,10.0,10.0625,10.0,10.0,1593000,10.02,,
1997-02-20,10.0,10.0625,10.0,10.0,614000,10.02,,
1997-02-21,10.0,10.0625,10.0,10.0,756400,10.02,,
1997-02-24,10.0,10.0625,10.0,10.0,244400,10.02,,
1997-02-25,10.0,10.0625,10.0,10.0,836800,10.02,,
1997-02-26,10.0,10.1875,10.0,10.125,2607200,10.1,,
1997-02-27,10.125,10.125,10.0,10.0,2115000,10.04,,
1997-02-28,10.0,10.0625,10.0,10.0625,188400,10.04,,
1997-03-03,10.0625,10.0625,10.0,10.0,2307000,10.02,,
1997-03-04,10.0,10.0625,9.375,9.5,1624600,9.65,,
1997-03-05,9.5,9.625,9.4375,9.5625,795800,9.54,,
1997-03-06,9.5625,9.6875,9.5625,9.6875,1049000,9.65,,
1997-03-07,9.625,9.8125,9.5625,9.8125,417000,9.73,,
1997-03-10,9.8125,10.0,9.75,9.8125,567000,9.85,,
1997-03-11,9.8125,9.8125,9.5625,9.625,438800,9.67,,
1997-03-12,9.6875,9.6875,9.5,9.5,72200,9.56,,
1997-03-13,9.5,9.5,8.75,8.8125,269200,9.02,,
1997-03-14,8.875,8.875,8.375,8.4375,322200,8.56,,
1997-03-17,8.5,8.5,8.3125,8.4375,445800,8.42,,
1997-03-18,8.4375,8.5,8.3125,8.3125,397200,8.38,,
1997-03-19,8.3125,8.4375,8.25,8.25,215800,8.31,,
1997-03-20,8.25,8.4375,8.25,8.4375,182600,8.38,,
1997-03-21,8.4375,8.4375,8.3125,8.3125,65400,8.35,,
1997-03-24,8.25,8.25,7.6875,8.125,825200,8.02,,
1997-03-25,8.0625,8.0625,7.6875,7.75,499600,7.83,,
1997-03-26,7.6875,7.9375,7.6875,7.8125,248200,7.81,,
1997-03-27,7.8125,7.8125,7.625,7.625,692000,7.69,,
1997-03-31,7.625,7.625,7.3125,7.5,745800,7.48,,
1997-04-01,7.5,7.5,7.1875,7.3125,1067800,7.33,,
1997-04-02,7.3125,7.3125,7.1875,7.3125,344000,7.27,,
1997-04-03,7.3125,7.4375,7.1875,7.4375,1059000,7.35,,
1997-04-04,7.375,7.5,7.25,7.5,338000,7.42,,
1997-04-07,7.5625,8.5,7.5625,8.0,750800,8.02,,
1997-04-08,7.6875,7.8125,7.5625,7.625,201000,7.67,,
1997-04-09,7.6875,7.6875,7.59375,7.625,219400,7.64,,
1997-04-10,7.625,7.6875,7.5625,7.625,74600,7.63,,
1997-04-11,7.625,7.625,7.5,7.5,301000,7.54,,
1997-04-14,7.5,7.5,7.3125,7.5,577000,7.44,,
1997-04-15,7.5,7.5625,7.3125,7.375,290200,7.42,,
1997-04-16,7.375,7.4375,7.375,7.4375,272000,7.42,,
1997-04-17,7.4375,7.5,7.375,7.5,432200,7.46,,
1997-04-18,7.5,7.5,7.25,7.25,337400,7.33,,
1997-04-21,7.1875,7.25,7.0,7.0625,482600,7.1,,
1997-04-22,7.0,7.0625,6.9375,7.0,246000,7.0,,
