Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1971-06-23,1.12,1.12,1.12,1.12,74160,1.12,,
1971-06-24,1.19,1.19,1.19,1.19,296687,1.19,,
1971-06-25,1.26,1.26,1.26,1.26,321413,1.26,,
1971-06-28,1.3,1.3,1.3,1.3,410424,1.3,,
1971-06-29,1.28,1.28,1.28,1.28,202731,1.28,,
1971-06-30,1.31,1.31,1.31,1.31,143391,1.31,,
1971-07-01,1.35,1.35,1.35,1.35,123610,1.35,,
1971-07-02,1.43,1.43,1.43,1.43,509323,1.43,,
1971-07-06,1.44,1.44,1.44,1.44,247237,1.44,,
1971-07-07,1.48,1.48,1.48,1.48,791191,1.48,,
1971-07-08,1.53,1.53,1.53,1.53,326358,1.53,,
1971-07-09,1.54,1.54,1.54,1.54,202731,1.54,,
1971-07-12,1.5,1.5,1.5,1.5,187896,1.5,,
1971-07-13,1.44,1.44,1.44,1.44,499432,1.44,,
1971-07-14,1.46,1.46,1.46,1.46,306578,1.46,,
1971-07-15,1.3,1.3,1.3,1.3,1364813,1.3,,
1971-07-16,1.21,1.21,1.21,1.21,885145,1.21,,
1971-07-19,1.25,1.25,1.25,1.25,420314,1.25,,
1971-07-20,1.26,1.26,1.26,1.26,197786,1.26,,
1971-07-21,1.26,1.26,1.26,1.26,93940,1.26,,
1971-07-22,1.25,1.25,1.25,1.25,88995,1.25,,
1971-07-23,1.25,1.25,1.25,1.25,64270,1.25,,
1971-07-26,1.24,1.24,1.24,1.24,49435,1.24,,
1971-07-27,1.14,1.14,1.14,1.14,395589,1.14,,
1971-07-28,1.08,1.08,1.08,1.08,509323,1.08,,
1971-07-29,1.09,1.09,1.09,1.09,608224,1.09,,
1971-07-30,1.06,1.06,1.06,1.06,232402,1.06,,
1971-08-02,1.08,1.08,1.08,1.08,103830,1.08,,
1971-08-03,1.01,1.01,1.01,1.01,321413,1.01,,
1971-08-04,0.9909,0.9909,0.9909,0.9909,390643,0.9909,,
1971-08-05,0.99848,0.99848,0.99848,0.99848,88995,0.99848,,
1971-08-06,1.01,1.01,1.01,1.01,19764,1.01,,
1971-08-09,0.99342,0.99342,0.99342,0.99342,34599,0.99342,,
1971-08-10,0.99596,0.99596,0.99596,0.99596,79105,0.99596,,
1971-08-11,1.02,1.02,1.02,1.02,59325,1.02,,
1971-08-12,1.06,1.06,1.06,1.06,286797,1.06,,
1971-08-13,1.07,1.07,1.07,1.07,39545,1.07,,
1971-08-16,1.17,1.17,1.17,1.17,474707,1.17,,
1971-08-17,1.21,1.21,1.21,1.21,257127,1.21,,
1971-08-18,1.23,1.23,1.23,1.23,365918,1.23,,
1971-08-19,1.24,1.24,1.24,1.24,267017,1.24,,
1971-08-20,1.25,1.25,1.25,1.25,158226,1.25,,
1971-08-23,1.29,1.29,1.29,1.29,84050,1.29,,
1971-08-24,1.28,1.28,1.28,1.28,178006,1.28,,
1971-08-25,1.25,1.25,1.25,1.25,79105,1.25,,
1971-08-26,1.27,1.27,1.27,1.27,242292,1.27,,
1971-08-27,1.26,1.26,1.26,1.26,88995,1.26,,
1971-08-30,1.23,1.23,1.23,1.23,138446,1.23,,
1971-08-31,1.22,1.22,1.22,1.22,74160,1.22,,
1971-09-01,1.25,1.25,1.25,1.25,93940,1.25,,
1971-09-02,1.26,1.26,1.26,1.26,14819,1.26,,
1971-09-03,1.32,1.32,1.32,1.32,257127,1.32,,
1971-09-07,1.37,1.37,1.37,1.37,207676,1.37,,
1971-09-08,1.5,1.5,1.5,1.5,459872,1.5,,
1971-09-09,1.49,1.49,1.49,1.49,262072,1.49,,
1971-09-10,1.52,1.52,1.52,1.52,163171,1.52,,
1971-09-13,1.47,1.47,1.47,1.47,128556,1.47,,
1971-09-14,1.47,1.47,1.47,1.47,59325,1.47,,
1971-09-15,1.49,1.49,1.49,1.49,178006,1.49,,
1971-09-16,1.62,1.62,1.62,1.62,247237,1.62,,
1971-09-17,1.64,1.64,1.64,1.64,341193,1.64,,
1971-09-20,1.68,1.68,1.68,1.68,49435,1.68,,
1971-09-21,1.69,1.69,1.69,1.69,84050,1.69,,
1971-09-22,1.64,1.64,1.64,1.64,346138,1.64,,
1971-09-23,1.67,1.67,1.67,1.67,207676,1.67,,
1971-09-24,1.69,1.69,1.69,1.69,187896,1.69,,
1971-09-27,1.69,1.69,1.69,1.69,113720,1.69,,
1971-09-28,1.73,1.73,1.73,1.73,267017,1.73,,
1971-09-29,1.73,1.73,1.73,1.73,49435,1.73,,
1971-09-30,1.74,1.74,1.74,1.74,158226,1.74,,
1971-10-01,1.78,1.78,1.78,1.78,178006,1.78,,
1971-10-04,1.9,1.9,1.9,1.9,380753,1.9,,
1971-10-05,1.97,1.97,1.97,1.97,267017,1.97,,
1971-10-06,1.95,1.95,1.95,1.95,217567,1.95,,
1971-10-07,2.1,2.1,2.1,2.1,321413,2.1,,
1971-10-08,2.2,2.2,2.2,2.2,400534,2.2,,
1971-10-11,2.26,2.26,2.26,2.26,395589,2.26,,
1971-10-12,2.26,2.26,2.26,2.26,182951,2.26,,
1971-10-13,2.18,2.18,2.18,2.18,79105,2.18,,
1971-10-14,1.98,1.98,1.98,1.98,291742,1.98,,
1971-10-15,2.08,2.08,2.08,2.08,242292,2.08,,
1971-10-18,2.08,2.08,2.08,2.08,173061,2.08,,
1971-10-19,2.14,2.14,2.14,2.14,153281,2.14,,
1971-10-20,2.02,2.02,2.02,2.02,326358,2.02,,
1971-10-21,2.16,2.16,2.16,2.16,300643,2.16,,
1971-10-22,2.14,2.14,2.14,2.14,431193,2.14,,
1971-10-25,2.06,2.06,2.06,2.06,253171,2.06,,
1971-10-26,2.0,2.0,2.0,2.0,259105,2.0,,
1971-10-27,1.82,1.82,1.82,1.82,753608,1.82,,
1971-10-28,1.95,1.95,1.95,1.95,526136,1.95,,
1971-10-29,2.08,2.08,2.08,2.08,348116,2.08,,
1971-11-01,2.02,2.02,2.02,2.02,413391,2.02,,
1971-11-02,2.18,2.18,2.18,2.18,407457,2.18,,
1971-11-03,2.4,2.4,2.4,2.4,1354923,2.4,,
1971-11-04,2.36,2.36,2.36,2.36,874268,2.36,,
1971-11-05,2.42,2.42,2.42,2.42,401523,2.42,,
1971-11-08,2.44,2.44,2.44,2.44,539982,2.44,,
1971-11-09,2.32,2.32,2.32,2.32,508334,2.32,,
1971-11-10,2.2,2.2,2.2,2.2,464817,2.2,,
1971-11-11,2.22,2.22,2.22,2.22,502399,2.22,,
1971-11-12,2.32,2.32,2.32,2.32,478663,2.32,,
1971-11-15,2.2,2.2,2.2,2.2,233391,2.2,,
1971-11-16,2.32,2.32,2.32,2.32,267017,2.32,,
1971-11-17,2.28,2.28,2.28,2.28,569652,2.28,,
1971-11-18,2.14,2.14,2.14,2.14,415369,2.14,,
1971-11-19,2.04,2.04,2.04,2.04,674487,2.04,,
1971-11-22,1.76,1.76,1.76,1.76,1032507,1.76,,
1971-11-23,1.83,1.83,1.83,1.83,799103,1.83,,
1971-11-24,1.78,1.78,1.78,1.78,387676,1.78,,
1971-11-26,1.93,1.93,1.93,1.93,354050,1.93,,
1971-11-29,2.0,2.0,2.0,2.0,795147,2.0,,
1971-11-30,2.02,2.02,2.02,2.02,415369,2.02,,
1971-12-01,1.94,1.94,1.94,1.94,579542,1.94,,
1971-12-02,1.85,1.85,1.85,1.85,229435,1.85,,
1971-12-03,1.95,1.95,1.95,1.95,191852,1.95,,
1971-12-06,1.93,1.93,1.93,1.93,365918,1.93,,
1971-12-07,1.93,1.93,1.93,1.93,233391,1.93,,
1971-12-08,1.88,1.88,1.88,1.88,494487,1.88,,
1971-12-09,1.91,1.91,1.91,1.91,138446,1.91,,
1971-12-10,1.81,1.81,1.81,1.81,263061,1.81,,
1971-12-13,1.88,1.88,1.88,1.88,221523,1.88,,
1971-12-14,1.81,1.81,1.81,1.81,199764,1.81,,
1971-12-15,1.86,1.86,1.86,1.86,108775,1.86,,
1971-12-16,1.86,1.86,1.86,1.86,104819,1.86,,
1971-12-17,1.86,1.86,1.86,1.86,102841,1.86,,
1971-12-20,1.74,1.74,1.74,1.74,405479,1.74,,
1971-12-21,1.67,1.67,1.67,1.67,700202,1.67,,
1971-12-22,1.64,1.64,1.64,1.64,223501,1.64,,
1971-12-23,1.59,1.59,1.59,1.59,320424,1.59,,
1971-12-27,1.67,1.67,1.67,1.67,197786,1.67,,
1971-12-28,1.79,1.79,1.79,1.79,197786,1.79,,
1971-12-29,1.79,1.79,1.79,1.79,261083,1.79,,
1971-12-30,1.74,1.74,1.74,1.74,73171,1.74,,
1971-12-31,1.77,1.77,1.77,1.77,144380,1.77,,
1972-01-03,1.76,1.76,1.76,1.76,98885,1.76,,
1972-01-04,1.78,1.78,1.78,1.78,158226,1.78,,
1972-01-05,1.83,1.83,1.83,1.83,225479,1.83,,
1972-01-06,1.79,1.79,1.79,1.79,142402,1.79,,
1972-01-07,1.71,1.71,1.71,1.71,126578,1.71,,
1972-01-10,1.73,1.73,1.73,1.73,85039,1.73,,
1972-01-11,1.76,1.76,1.76,1.76,150314,1.76,,
1972-01-12,1.76,1.76,1.76,1.76,148336,1.76,,
1972-01-13,1.75,1.75,1.75,1.75,120643,1.75,,
1972-01-14,1.85,1.85,1.85,1.85,199764,1.85,,
1972-01-17,1.92,1.92,1.92,1.92,320424,1.92,,
1972-01-18,1.91,1.91,1.91,1.91,389654,1.91,,
1972-01-19,1.95,1.95,1.95,1.95,328336,1.95,,
1972-01-20,1.94,1.94,1.94,1.94,178006,1.94,,
1972-01-21,1.98,1.98,1.98,1.98,154270,1.98,,
1972-01-24,1.96,1.96,1.96,1.96,178006,1.96,,
1972-01-25,1.92,1.92,1.92,1.92,152292,1.92,,
1972-01-26,1.88,1.88,1.88,1.88,189874,1.88,,
1972-01-27,1.88,1.88,1.88,1.88,122621,1.88,,
1972-01-28,1.83,1.83,1.83,1.83,156248,1.83,,
1972-01-31,1.75,1.75,1.75,1.75,189874,1.75,,
1972-02-01,1.83,1.83,1.83,1.83,233391,1.83,,
1972-02-02,1.9,1.9,1.9,1.9,138446,1.9,,
1972-02-03,1.88,1.88,1.88,1.88,88995,1.88,,
1972-02-04,1.9,1.9,1.9,1.9,98885,1.9,,
1972-02-07,1.94,1.94,1.94,1.94,253171,1.94,,
1972-02-08,1.88,1.88,1.88,1.88,288775,1.88,,
1972-02-09,1.87,1.87,1.87,1.87,1095804,1.87,,
1972-02-10,1.81,1.81,1.81,1.81,423281,1.81,,
1972-02-11,1.79,1.79,1.79,1.79,405479,1.79,,
1972-02-14,1.76,1.76,1.76,1.76,282841,1.76,,
1972-02-15,1.84,1.84,1.84,1.84,371852,1.84,,
1972-02-16,1.78,1.78,1.78,1.78,326358,1.78,,
1972-02-17,1.74,1.74,1.74,1.74,233391,1.74,,
1972-02-18,1.72,1.72,1.72,1.72,1226353,1.72,,
1972-02-22,1.64,1.64,1.64,1.64,969210,1.64,,
1972-02-23,1.67,1.67,1.67,1.67,367896,1.67,,
1972-02-24,1.76,1.76,1.76,1.76,773389,1.76,,
1972-02-25,1.68,1.68,1.68,1.68,387676,1.68,,
1972-02-28,1.73,1.73,1.73,1.73,496465,1.73,,
1972-02-29,1.77,1.77,1.77,1.77,575586,1.77,,
1972-03-01,1.75,1.75,1.75,1.75,486575,1.75,,
1972-03-02,1.74,1.74,1.74,1.74,261083,1.74,,
1972-03-03,1.76,1.76,1.76,1.76,302621,1.76,,
1972-03-06,1.76,1.76,1.76,1.76,324380,1.76,,
1972-03-07,1.76,1.76,1.76,1.76,280863,1.76,,
1972-03-08,1.94,1.94,1.94,1.94,1481516,1.94,,
1972-03-09,1.91,1.91,1.91,1.91,1190749,1.91,,
1972-03-10,1.9,1.9,1.9,1.9,577564,1.9,,
1972-03-13,1.92,1.92,1.92,1.92,324380,1.92,,
1972-03-14,1.95,1.95,1.95,1.95,520202,1.95,,
1972-03-15,1.89,1.89,1.89,1.89,447015,1.89,,
1972-03-16,1.91,1.91,1.91,1.91,356028,1.91,,
1972-03-17,1.9,1.9,1.9,1.9,332292,1.9,,
1972-03-20,1.85,1.85,1.85,1.85,302621,1.85,,
1972-03-21,1.78,1.78,1.78,1.78,1143276,1.78,,
1972-03-22,1.78,1.78,1.78,1.78,621081,1.78,,
1972-03-23,1.79,1.79,1.79,1.79,427237,1.79,,
1972-03-24,1.83,1.83,1.83,1.83,255149,1.83,,
1972-03-27,1.82,1.82,1.82,1.82,205698,1.82,,
1972-03-28,1.8,1.8,1.8,1.8,172072,1.8,,
1972-03-29,1.76,1.76,1.76,1.76,140424,1.76,,
1972-03-30,1.78,1.78,1.78,1.78,166138,1.78,,
1972-04-03,1.73,1.73,1.73,1.73,411413,1.73,,
1972-04-04,1.79,1.79,1.79,1.79,427237,1.79,,
1972-04-05,1.81,1.81,1.81,1.81,674487,1.81,,
1972-04-06,1.86,1.86,1.86,1.86,545916,1.86,,
1972-04-07,1.83,1.83,1.83,1.83,336248,1.83,,
1972-04-10,1.83,1.83,1.83,1.83,328336,1.83,,
1972-04-11,1.79,1.79,1.79,1.79,415369,1.79,,
1972-04-12,1.77,1.77,1.77,1.77,456905,1.77,,
1972-04-13,1.73,1.73,1.73,1.73,229435,1.73,,
1972-04-14,1.71,1.71,1.71,1.71,290753,1.71,,
1972-04-17,1.75,1.75,1.75,1.75,215589,1.75,,
1972-04-18,1.74,1.74,1.74,1.74,166138,1.74,,
1972-04-19,1.66,1.66,1.66,1.66,518224,1.66,,
1972-04-20,1.66,1.66,1.66,1.66,476685,1.66,,
1972-04-21,1.62,1.62,1.62,1.62,245259,1.62,,
