Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1992-04-01,6.666667,7.0,6.666667,6.833333,4215825,6.83,-0.01,-683.3332999999999
1992-04-02,6.833333,7.0,6.777778,6.777778,439875,6.85,-0.01,-677.7778
1992-04-03,6.777778,6.888889,6.777778,6.777778,553275,6.81,-0.01,-677.7778
1992-04-06,6.777778,6.888889,6.777778,6.777778,389250,6.81,-0.01,-677.7778
1992-04-07,6.777778,7.0,6.777778,6.777778,497250,6.85,-0.01,-677.7778
1992-04-08,6.777778,6.777778,6.444444,6.444444,220950,6.56,-0.01,-644.4444
1992-04-09,6.444444,6.777778,6.444444,6.777778,284850,6.67,-0.01,-677.7778
1992-04-10,6.666667,6.777778,6.555556,6.777778,114300,6.7,-0.01,-677.7778
1992-04-13,6.666667,6.777778,6.666667,6.722222,38475,6.72,-0.01,-672.2222
1992-04-14,6.666667,6.888889,6.666667,6.888889,263250,6.81,-0.01,-688.8888999999999
1992-04-15,6.777778,7.0,6.777778,7.0,496800,6.93,-0.01,-700.0
1992-04-16,6.777778,7.222222,6.777778,7.0,262350,7.0,-0.01,-700.0
1992-04-20,7.0,7.222222,7.0,7.0,33975,7.07,-0.01,-700.0
1992-04-21,7.0,7.333333,7.0,7.222222,22725,7.19,-0.01,-722.2222
1992-04-22,7.0,7.444444,7.0,7.444444,142875,7.3,-0.01,-744.4444
1992-04-23,7.111111,7.444444,7.111111,7.222222,32400,7.26,-0.01,-722.2222
1992-04-24,7.222222,7.222222,7.111111,7.166667,84150,7.17,-0.01,-716.6667
1992-04-27,7.111111,7.111111,7.111111,7.111111,675,7.111111,-0.01,-711.1111
1992-04-28,7.111111,7.222222,7.111111,7.111111,51975,7.15,-0.01,-711.1111
1992-04-29,7.111111,7.111111,7.111111,7.111111,5625,7.111111,-0.01,-711.1111
1992-04-30,7.222222,7.222222,7.111111,7.111111,53100,7.15,-0.01,-711.1111
1992-05-01,7.166667,7.444444,7.111111,7.111111,39375,7.22,-0.01,-711.1111
1992-05-04,7.111111,7.388889,7.111111,7.388889,41400,7.3,-0.01,-738.8888999999999
1992-05-05,7.444444,7.444444,7.111111,7.111111,41625,7.22,-0.01,-711.1111
1992-05-06,7.111111,7.166667,7.111111,7.111111,45675,7.13,-0.01,-711.1111
1992-05-07,7.111111,7.444444,7.111111,7.166667,249075,7.24,-0.01,-716.6667
1992-05-08,7.111111,7.111111,7.111111,7.111111,900,7.111111,-0.01,-711.1111
1992-05-11,7.111111,7.444444,7.111111,7.388889,111600,7.31,-0.01,-738.8888999999999
1992-05-12,7.444444,7.444444,7.277778,7.333333,22950,7.35,-0.01,-733.3332999999999
1992-05-13,7.277778,7.333333,7.277778,7.333333,34875,7.31,-0.01,-733.3332999999999
