Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2013-01-18,25.1,25.49,24.16,24.79,17763549,24.96,0.64,38.734375
2013-01-22,25.0,27.355,24.85,26.95,2071934,26.2,0.64,42.109375
2013-01-23,28.0,28.86,26.491,27.49,1572111,27.1,0.64,42.953125
2013-01-24,27.17,27.9,26.64,27.345,508646,27.3,0.64,42.7265625
2013-01-25,27.5,27.9,26.275,27.35,870620,27.1,0.64,42.734375
2013-01-28,27.88,27.88,26.941,27.76,172175,27.42,0.64,43.375
2013-01-29,27.9,27.964,27.0,27.11,437357,27.45,0.64,42.359375
2013-01-30,26.69,27.225,26.17,26.29,816367,26.4,0.64,41.078125
2013-01-31,26.02,26.92,25.75,26.37,970389,26.16,0.64,41.203125
2013-02-01,26.47,27.8,26.18,27.65,1099294,26.63,0.64,43.203125
2013-02-04,27.71,29.08,27.6036,28.41,952099,28.33,0.64,44.390625
2013-02-05,28.96,28.96,27.9701,28.54,447164,28.65,0.64,44.59375
2013-02-06,28.1,28.7404,27.8,27.98,377202,28.05,0.64,43.71875
2013-02-07,27.93,28.0899,27.43,27.55,276266,27.68,0.64,43.046875
2013-02-08,27.6,28.31,27.32,27.91,380107,27.74,0.64,43.609375
2013-02-11,27.78,27.84,27.425,27.68,576836,27.68,0.64,43.25
2013-02-12,28.91,29.5,28.24,28.32,1876780,28.74,0.64,44.25
2013-02-13,28.81,29.54,28.29,28.92,772492,28.78,0.64,45.1875
2013-02-14,28.82,29.4,28.6,29.25,431874,28.92,0.64,45.703125
2013-02-15,29.48,30.41,29.48,30.27,1418622,30.08,0.64,47.296875
2013-02-19,30.47,31.33,30.445,31.188,497729,30.75,0.64,48.731249999999996
2013-02-20,31.19,31.905,30.56,30.8,612603,31.17,0.0059,5220.338983050848
2013-02-21,30.54,31.0,29.76,30.47,481358,30.33,0.0059,5164.406779661017
2013-02-22,30.95,31.31,29.464,29.99,571182,29.96,0.0059,5083.050847457627
2013-02-25,31.34,31.41,30.18,30.78,471692,30.86,0.0059,5216.949152542373
2013-02-26,30.81,31.08,29.79,30.21,418210,30.22,0.0059,5120.338983050848
2013-02-27,30.56,30.6999,29.83,30.26,294344,30.26,0.0059,5128.813559322034
2013-02-28,30.55,31.08,30.03,30.98,234810,30.86,0.0059,5250.847457627119
2013-03-01,30.5,31.68,30.26,30.99,688121,30.89,0.0059,5252.542372881356
2013-03-04,30.55,31.25,30.26,30.45,274401,30.55,0.0059,5161.016949152542
2013-03-05,30.12,30.74,29.85,30.03,365952,30.32,0.0059,5089.830508474576
2013-03-06,30.19,30.395,29.85,30.02,153019,30.11,0.0059,5088.135593220339
2013-03-07,29.85,30.42,29.85,30.29,306776,30.09,0.0059,5133.8983050847455
2013-03-08,30.98,30.98,29.12,30.3,679211,30.05,0.0059,5135.593220338983
2013-03-11,30.5,30.69,29.99,30.66,315923,30.34,0.0059,5196.610169491526
2013-03-12,30.33,31.0,30.33,30.85,770655,30.82,0.0059,5228.813559322034
2013-03-13,30.93,31.0,30.48,30.78,321593,30.78,0.0059,5216.949152542373
2013-03-14,30.73,30.9599,29.885,29.995,785477,30.21,0.0059,5083.898305084746
2013-03-15,29.6,30.09,29.55,29.82,769894,29.78,0.0059,5054.237288135593
2013-03-18,29.8,30.62,29.62,30.29,389523,30.27,0.0059,5133.8983050847455
2013-03-19,30.29,30.69,29.78,30.26,133403,30.19,0.0059,5128.813559322034
2013-03-20,30.27,30.99,30.25,30.502,162824,30.49,0.0059,5169.830508474576
2013-03-21,30.39,30.75,29.93,30.03,96880,30.14,0.0059,5089.830508474576
2013-03-22,30.03,30.26,29.91,30.18,112742,30.1,0.0059,5115.254237288135
2013-03-25,30.14,30.16,29.31,29.48,563117,29.76,0.0059,4996.610169491526
2013-03-26,29.93,30.0,29.02,29.54,410896,29.5,0.0059,5006.779661016949
2013-03-27,29.41,30.33,29.26,30.15,215385,29.82,0.0059,5110.169491525424
2013-03-28,30.01,30.44,29.43,29.65,2345693,29.7,0.0059,5025.423728813559
2013-04-01,29.79,29.95,29.34,29.93,640018,29.72,0.0059,5072.881355932203
2013-04-02,29.98,30.54,29.18,29.92,638973,29.93,0.0059,5071.186440677967
2013-04-03,29.82,30.39,28.57,29.19,1083653,29.23,0.0059,4947.457627118644
2013-04-04,29.1,29.36,28.5101,29.27,441956,29.04,0.0059,4961.016949152542
2013-04-05,29.02,29.39,28.59,29.3,334645,29.02,0.0059,4966.1016949152545
2013-04-08,29.41,30.16,29.12,29.99,246162,29.65,0.0059,5083.050847457627
2013-04-09,30.15,30.37,29.45,30.34,250154,30.11,0.0059,5142.372881355932
2013-04-10,30.46,30.947,29.8,30.53,265775,30.37,0.0059,5174.576271186441
2013-04-11,30.33,30.87,30.06,30.64,112666,30.57,0.0059,5193.220338983051
2013-04-12,30.51,30.85,29.76,30.5,115050,30.33,0.0059,5169.4915254237285
2013-04-15,30.41,30.52,29.94,30.07,144251,30.12,0.0059,5096.610169491526
2013-04-16,30.18,30.4799,29.0,30.0,451955,29.54,0.0059,5084.745762711865
2013-04-17,29.95,29.95,29.21,29.55,224220,29.54,0.0059,5008.474576271186
2013-04-18,29.65,29.85,29.33,29.34,175882,29.51,0.0059,4972.881355932203
2013-04-19,29.52,29.52,28.86,29.43,118352,29.34,0.0059,4988.135593220339
2013-04-22,29.42,29.71,29.01,29.38,210727,29.33,0.0059,4979.661016949152
2013-04-23,29.51,29.79,29.15,29.34,137140,29.41,0.0059,4972.881355932203
2013-04-24,29.4,29.4,28.75,28.9,197038,28.99,0.0059,4898.3050847457625
