Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1980-12-02,0.17969,0.17969,0.17969,0.17969,100710400,0.17969,,
1980-12-03,0.17578,0.17578,0.17578,0.17578,25177600,0.17578,,
1980-12-04,0.18164,0.18164,0.18164,0.18164,22694400,0.18164,,
1980-12-05,0.17188,0.17188,0.17188,0.17188,7590400,0.17188,,
1980-12-08,0.16211,0.16211,0.16211,0.16211,5414400,0.16211,,
1980-12-09,0.1582,0.1582,0.1582,0.1582,5824000,0.1582,,
1980-12-10,0.14844,0.14844,0.14844,0.14844,5875200,0.14844,,
1980-12-11,0.14063,0.14063,0.14063,0.14063,5440000,0.14063,,
1980-12-12,0.14648,0.14648,0.14648,0.14648,8153600,0.14648,,
1980-12-15,0.15234,0.15234,0.15234,0.15234,6643200,0.15234,,
1980-12-16,0.14844,0.14844,0.14844,0.14844,6630400,0.14844,,
1980-12-17,0.14258,0.14258,0.14258,0.14258,4672000,0.14258,,
1980-12-18,0.14648,0.14648,0.14648,0.14648,11251200,0.14648,,
1980-12-19,0.15234,0.15234,0.15234,0.15234,10035200,0.15234,,
1980-12-22,0.15234,0.15234,0.15234,0.15234,1856000,0.15234,,
1980-12-23,0.15625,0.15625,0.15625,0.15625,5696000,0.15625,,
1980-12-24,0.16211,0.16211,0.16211,0.16211,2444800,0.16211,,
1980-12-26,0.16406,0.16406,0.16406,0.16406,1459200,0.16406,,
1980-12-29,0.16211,0.16211,0.16211,0.16211,1740800,0.16211,,
1980-12-30,0.16602,0.16602,0.16602,0.16602,4364800,0.16602,,
1980-12-31,0.16406,0.16406,0.16406,0.16406,2918400,0.16406,,
1981-01-02,0.16797,0.16797,0.16797,0.16797,1574400,0.16797,,
1981-01-05,0.17481,0.17481,0.17481,0.17481,5824000,0.17481,,
1981-01-06,0.17578,0.17578,0.17578,0.17578,6950400,0.17578,,
1981-01-07,0.16602,0.16602,0.16602,0.16602,8806400,0.16602,,
1981-01-08,0.16211,0.16211,0.16211,0.16211,3302400,0.16211,,
1981-01-09,0.16016,0.16016,0.16016,0.16016,2470400,0.16016,,
1981-01-12,0.16211,0.16211,0.16211,0.16211,3353600,0.16211,,
1981-01-13,0.16602,0.16602,0.16602,0.16602,4467200,0.16602,,
1981-01-14,0.17188,0.17188,0.17188,0.17188,7923200,0.17188,,
1981-01-15,0.17188,0.17188,0.17188,0.17188,2521600,0.17188,,
1981-01-16,0.17188,0.17188,0.17188,0.17188,3328000,0.17188,,
1981-01-19,0.17188,0.17188,0.17188,0.17188,4032000,0.17188,,
1981-01-20,0.16602,0.16602,0.16602,0.16602,3507200,0.16602,,
1981-01-21,0.16406,0.16406,0.16406,0.16406,985600,0.16406,,
1981-01-22,0.15625,0.15625,0.15625,0.15625,1318400,0.15625,,
1981-01-23,0.16016,0.16016,0.16016,0.16016,1382400,0.16016,,
1981-01-26,0.15625,0.15625,0.15625,0.15625,1126400,0.15625,,
1981-01-27,0.15625,0.15625,0.15625,0.15625,857600,0.15625,,
1981-01-28,0.15625,0.15625,0.15625,0.15625,1164800,0.15625,,
1981-01-29,0.15625,0.15625,0.15625,0.15625,2521600,0.15625,,
1981-01-30,0.15039,0.15039,0.15039,0.15039,832000,0.15039,,
1981-02-02,0.14648,0.14648,0.14648,0.14648,2060800,0.14648,,
1981-02-03,0.14648,0.14648,0.14648,0.14648,1139200,0.14648,,
1981-02-04,0.14648,0.14648,0.14648,0.14648,2060800,0.14648,,
1981-02-05,0.15039,0.15039,0.15039,0.15039,3878400,0.15039,,
1981-02-06,0.15039,0.15039,0.15039,0.15039,1216000,0.15039,,
1981-02-09,0.14648,0.14648,0.14648,0.14648,1139200,0.14648,,
1981-02-10,0.14648,0.14648,0.14648,0.14648,2176000,0.14648,,
1981-02-11,0.14258,0.14258,0.14258,0.14258,1254400,0.14258,,
1981-02-12,0.14258,0.14258,0.14258,0.14258,217600,0.14258,,
1981-02-13,0.14063,0.14063,0.14063,0.14063,921600,0.14063,,
1981-02-17,0.14063,0.14063,0.14063,0.14063,806400,0.14063,,
1981-02-18,0.14453,0.14453,0.14453,0.14453,2201600,0.14453,,
1981-02-19,0.14844,0.14844,0.14844,0.14844,1881600,0.14844,,
1981-02-20,0.14648,0.14648,0.14648,0.14648,1536000,0.14648,,
1981-02-23,0.14648,0.14648,0.14648,0.14648,537600,0.14648,,
1981-02-24,0.14844,0.14844,0.14844,0.14844,2009600,0.14844,,
1981-02-25,0.14844,0.14844,0.14844,0.14844,537600,0.14844,,
1981-02-26,0.15039,0.15039,0.15039,0.15039,844800,0.15039,,
1981-02-27,0.15039,0.15039,0.15039,0.15039,755200,0.15039,,
1981-03-02,0.15039,0.15039,0.15039,0.15039,896000,0.15039,,
1981-03-03,0.1543,0.1543,0.1543,0.1543,3801600,0.1543,,
