Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1985-07-22,30.625,31.125,30.25,30.375,1036000,30.58,,
1985-07-23,30.625,30.75,30.0,30.125,41800,30.29,,
1985-07-24,30.0,30.125,29.25,29.5,16900,29.63,,
1985-07-25,29.25,30.0,29.25,30.0,42600,29.75,,
1985-07-26,29.75,29.875,29.625,29.875,27300,29.79,,
1985-07-29,29.875,29.875,29.5,29.625,37300,29.67,,
1985-07-30,29.375,29.625,29.0,29.0,23700,29.21,,
1985-07-31,28.875,29.0,28.0,28.125,26700,28.38,,
1985-08-01,28.125,28.5,28.125,28.25,7200,28.29,,
1985-08-02,28.375,28.75,28.125,28.625,29000,28.5,,
1985-08-05,28.625,28.75,28.5,28.75,14100,28.67,,
1985-08-06,28.875,29.0,28.625,28.625,24800,28.75,,
1985-08-07,28.625,28.75,28.5,28.5,7400,28.58,,
1985-08-08,28.375,28.625,28.25,28.625,4600,28.5,,
1985-08-09,28.5,28.625,28.375,28.375,1800,28.46,,
1985-08-12,28.25,28.5,28.25,28.25,2000,28.33,,
1985-08-13,28.125,28.25,28.0,28.25,54300,28.17,,
1985-08-14,28.25,28.25,28.125,28.25,900,28.21,,
1985-08-15,28.25,28.375,28.125,28.25,14400,28.25,,
1985-08-16,28.25,28.25,27.625,27.75,6600,27.88,,
1985-08-19,27.625,27.625,27.125,27.125,11600,27.29,,
1985-08-20,27.0,27.25,27.0,27.25,28200,27.17,,
1985-08-21,27.0,27.25,27.0,27.125,14400,27.13,,
1985-08-22,27.375,27.375,27.25,27.25,4600,27.29,,
1985-08-23,27.25,27.25,27.125,27.125,1800,27.17,,
1985-08-26,26.875,26.875,26.75,26.75,6300,26.79,,
1985-08-27,26.75,26.75,26.375,26.5,6200,26.54,,
1985-08-28,26.75,27.125,26.75,27.0,15800,26.96,,
1985-08-29,27.25,27.25,27.25,27.25,2500,27.25,,
1985-08-30,27.125,27.25,27.125,27.125,9800,27.17,,
1985-09-03,27.25,27.375,27.125,27.25,4100,27.25,,
1985-09-04,27.125,27.125,27.0,27.0,1800,27.04,,
1985-09-05,26.75,26.875,26.625,26.625,9100,26.71,,
1985-09-06,26.5,26.5,26.375,26.5,10500,26.46,,
1985-09-09,26.375,26.375,26.125,26.125,2800,26.21,,
1985-09-10,26.125,26.125,25.625,25.625,9800,25.79,,
1985-09-11,25.5,25.5,24.625,24.625,8400,24.92,,
1985-09-12,24.625,24.75,24.375,24.375,8300,24.5,,
1985-09-13,24.125,24.25,24.0,24.0,5700,24.08,,
1985-09-16,24.0,24.375,24.0,24.375,7700,24.25,,
1985-09-17,24.25,24.375,24.0,24.375,5900,24.25,,
1985-09-18,24.375,25.125,24.125,25.125,51500,24.79,,
1985-09-19,25.25,25.5,25.25,25.5,7300,25.42,,
1985-09-20,25.75,26.25,25.75,26.0,9200,26.0,,
1985-09-23,26.25,26.375,26.125,26.125,7000,26.21,,
1985-09-24,26.25,26.25,26.0,26.0,2900,26.08,,
1985-09-25,25.875,25.875,25.75,25.75,800,25.79,,
1985-09-26,25.625,25.75,25.625,25.75,700,25.71,,
1985-09-30,25.625,25.625,25.125,25.5,31400,25.42,,
1985-10-01,25.5,25.5,25.5,25.5,43700,25.5,,
1985-10-02,25.25,25.25,25.125,25.25,3800,25.21,,
1985-10-03,25.125,26.125,25.125,26.0,54100,25.75,,
1985-10-04,26.125,26.25,26.0,26.25,1700,26.17,,
1985-10-07,26.375,26.75,26.25,26.75,16200,26.58,,
1985-10-08,26.75,27.125,26.75,26.875,217100,26.92,,
1985-10-09,26.875,27.0,26.875,27.0,1000,26.96,,
1985-10-10,27.0,27.0,26.75,27.0,1300,26.92,,
1985-10-11,27.0,27.125,26.875,27.125,46000,27.04,,
1985-10-14,27.0,27.0,27.0,27.0,300,27.0,,
1985-10-15,26.875,26.875,26.5,26.5,4700,26.63,,
1985-10-16,26.5,27.75,26.5,27.75,53400,27.33,,
1985-10-17,27.5,27.625,27.125,27.375,40700,27.38,,
1985-10-18,27.25,27.25,26.875,26.875,15100,27.0,,
1985-10-21,26.875,27.75,26.875,27.25,16100,27.29,,
1985-10-22,26.5,27.25,26.5,27.25,16300,27.0,,
