Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.27516,0.27516,0.27516,0.27516,827867,0.27516,,
1968-01-03,0.2833,0.2833,0.2833,0.2833,1774238,0.2833,,
1968-01-04,0.28552,0.28552,0.28552,0.28552,709575,0.28552,,
1968-01-05,0.29439,0.29439,0.29439,0.29439,439182,0.29439,,
1968-01-08,0.30031,0.30031,0.30031,0.30031,1909433,0.30031,,
1968-01-09,0.29735,0.29735,0.29735,0.29735,1165854,0.29735,,
1968-01-10,0.29439,0.29439,0.29439,0.29439,794064,0.29439,,
1968-01-11,0.29291,0.29291,0.29291,0.29291,608182,0.29291,,
1968-01-12,0.30105,0.30105,0.30105,0.30105,726469,0.30105,,
1968-01-15,0.29809,0.29809,0.29809,0.29809,591268,0.29809,,
1968-01-16,0.29217,0.29217,0.29217,0.29217,794064,0.29217,,
1968-01-17,0.29365,0.29365,0.29365,0.29365,675788,0.29365,,
1968-01-18,0.28995,0.28995,0.28995,0.28995,1216564,0.28995,,
1968-01-19,0.28848,0.28848,0.28848,0.28848,929261,0.28848,,
1968-01-22,0.28848,0.28848,0.28848,0.28848,946175,0.28848,,
1968-01-23,0.28848,0.28848,0.28848,0.28848,472989,0.28848,,
1968-01-24,0.29069,0.29069,0.29069,0.29069,777171,0.29069,,
1968-01-25,0.27886,0.27886,0.27886,0.27886,354682,0.27886,,
1968-01-26,0.28108,0.28108,0.28108,0.28108,151888,0.28108,,
1968-01-29,0.2796,0.2796,0.2796,0.2796,506786,0.2796,,
1968-01-30,0.26998,0.26998,0.26998,0.26998,236390,0.26998,,
1968-01-31,0.26259,0.26259,0.26259,0.26259,574381,0.26259,,
1968-02-01,0.26629,0.26629,0.26629,0.26629,726469,0.26629,,
1968-02-02,0.27516,0.27516,0.27516,0.27516,540587,0.27516,,
1968-02-05,0.27442,0.27442,0.27442,0.27442,303985,0.27442,,
1968-02-06,0.27516,0.27516,0.27516,0.27516,489877,0.27516,,
1968-02-07,0.27294,0.27294,0.27294,0.27294,574381,0.27294,,
1968-02-08,0.26703,0.26703,0.26703,0.26703,287087,0.26703,,
1968-02-09,0.25889,0.25889,0.25889,0.25889,726469,0.25889,,
1968-02-13,0.25889,0.25889,0.25889,0.25889,658874,0.25889,,
1968-02-14,0.26185,0.26185,0.26185,0.26185,675788,0.26185,,
1968-02-15,0.25815,0.25815,0.25815,0.25815,472989,0.25815,,
