Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2015-06-24,51.63,51.63,51.57,51.57,4055,51.6,,
2015-06-25,51.18,51.18,50.36,50.36,4546,50.77,,
2015-06-29,49.57,49.57,49.47,49.47,368,49.52,,
2015-06-30,49.9,49.96,49.09,49.55,2231370,49.625,,
2015-07-01,49.42,50.77,49.33,50.77,236439,50.0725,,
2015-07-02,51.26,52.89,50.77,52.88,2144661,51.95,,
2015-07-06,52.98,54.03,51.25,51.87,2571471,52.5325,,
2015-07-07,52.0,52.06,50.07,50.83,3752418,51.24,,
2015-07-08,50.85,51.99,48.41,48.58,4651049,49.9575,,
2015-07-09,48.41,49.58,47.61,48.42,2807409,48.505,,
2015-07-10,48.79,50.12,48.33,49.96,2750229,49.3,,
2015-07-13,50.48,50.65,50.13,50.54,1535057,50.45,,
2015-07-14,50.53,51.3,49.99,50.6,1222659,50.605,,
2015-07-15,50.65,51.2,49.74,50.14,1486960,50.4325,,
2015-07-16,50.2,51.81,50.07,50.71,1678702,50.6975,,
2015-07-17,50.95,51.46,50.15,50.24,1491026,50.7,,
2015-07-20,50.45,51.2,50.04,50.08,2430768,50.4425,,
2015-07-21,50.32,51.15,48.51,48.7,2222451,49.67,,
2015-07-22,49.1,49.75,48.47,48.93,1106300,49.0625,,
2015-07-23,48.63,49.45,48.29,48.7,1382268,48.7675,,
2015-07-24,48.45,48.78,46.91,47.93,1419061,48.0175,,
2015-07-27,47.56,48.35,47.08,47.35,1542631,47.585,,
2015-07-28,47.61,48.62,46.78,48.28,2011530,47.8225,,
2015-07-29,47.91,48.6,47.26,48.32,2200234,48.0225,,
2015-07-30,49.93,51.41,49.66,51.12,4338683,50.53,,
2015-07-31,50.04,51.87,49.76,51.31,1997098,50.745,,
2015-08-03,51.56,52.68,50.76,51.4,2615455,51.6,,
2015-08-04,50.65,51.63,50.64,50.91,863968,50.9575,,
2015-08-05,51.5,52.04,50.62,51.06,1842845,51.305,,
2015-08-06,50.45,50.85,49.21,50.23,3117939,50.185,,
2015-08-07,50.19,50.94,49.62,50.9,2532955,50.4125,,
2015-08-10,51.25,51.67,50.36,51.24,1750240,51.13,,
2015-08-11,52.07,52.07,50.21,51.58,2122807,51.4825,,
