Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.177,0.177,0.177,0.177,921600,0.177,,
1968-01-03,0.18066,0.18066,0.18066,0.18066,757760,0.18066,,
1968-01-04,0.17944,0.17944,0.17944,0.17944,573440,0.17944,,
1968-01-05,0.17639,0.17639,0.17639,0.17639,491520,0.17639,,
1968-01-08,0.177,0.177,0.177,0.177,675840,0.177,,
1968-01-09,0.18066,0.18066,0.18066,0.18066,1597440,0.18066,,
1968-01-10,0.18311,0.18311,0.18311,0.18311,839680,0.18311,,
1968-01-11,0.19043,0.19043,0.19043,0.19043,1986560,0.19043,,
1968-01-12,0.1947,0.1947,0.1947,0.1947,3727360,0.1947,,
1968-01-15,0.19409,0.19409,0.19409,0.19409,3727360,0.19409,,
1968-01-16,0.19104,0.19104,0.19104,0.19104,1290240,0.19104,,
1968-01-17,0.18982,0.18982,0.18982,0.18982,839680,0.18982,,
1968-01-18,0.18982,0.18982,0.18982,0.18982,2662400,0.18982,,
1968-01-19,0.18982,0.18982,0.18982,0.18982,450560,0.18982,,
1968-01-22,0.18433,0.18433,0.18433,0.18433,2764800,0.18433,,
1968-01-23,0.18005,0.18005,0.18005,0.18005,1044480,0.18005,,
1968-01-24,0.17334,0.17334,0.17334,0.17334,1556480,0.17334,,
1968-01-25,0.177,0.177,0.177,0.177,3481600,0.177,,
1968-01-26,0.18799,0.18799,0.18799,0.18799,2764800,0.18799,,
1968-01-29,0.18555,0.18555,0.18555,0.18555,1515520,0.18555,,
1968-01-30,0.18372,0.18372,0.18372,0.18372,921600,0.18372,,
1968-01-31,0.18066,0.18066,0.18066,0.18066,819200,0.18066,,
1968-02-01,0.17944,0.17944,0.17944,0.17944,532480,0.17944,,
1968-02-02,0.17761,0.17761,0.17761,0.17761,512000,0.17761,,
1968-02-05,0.177,0.177,0.177,0.177,409600,0.177,,
1968-02-06,0.17761,0.17761,0.17761,0.17761,573440,0.17761,,
1968-02-07,0.17761,0.17761,0.17761,0.17761,409600,0.17761,,
1968-02-08,0.17578,0.17578,0.17578,0.17578,286720,0.17578,,
1968-02-09,0.177,0.177,0.177,0.177,921600,0.177,,
1968-02-13,0.1709,0.1709,0.1709,0.1709,1536000,0.1709,,
1968-02-14,0.1709,0.1709,0.1709,0.1709,389120,0.1709,,
1968-02-15,0.17029,0.17029,0.17029,0.17029,122880,0.17029,,
1968-02-16,0.17212,0.17212,0.17212,0.17212,839680,0.17212,,
1968-02-19,0.1709,0.1709,0.1709,0.1709,307200,0.1709,,
1968-02-20,0.17029,0.17029,0.17029,0.17029,962560,0.17029,,
1968-02-21,0.1709,0.1709,0.1709,0.1709,348160,0.1709,,
1968-02-23,0.17029,0.17029,0.17029,0.17029,901120,0.17029,,
1968-02-26,0.16785,0.16785,0.16785,0.16785,798720,0.16785,,
1968-02-27,0.16663,0.16663,0.16663,0.16663,143360,0.16663,,
1968-02-28,0.16785,0.16785,0.16785,0.16785,593920,0.16785,,
1968-02-29,0.16418,0.16418,0.16418,0.16418,2170880,0.16418,,
1968-03-01,0.16602,0.16602,0.16602,0.16602,1269760,0.16602,,
1968-03-04,0.16357,0.16357,0.16357,0.16357,3358720,0.16357,,
1968-03-05,0.15747,0.15747,0.15747,0.15747,491520,0.15747,,
1968-03-06,0.15137,0.15137,0.15137,0.15137,860160,0.15137,,
1968-03-07,0.15869,0.15869,0.15869,0.15869,1269760,0.15869,,
1968-03-08,0.15869,0.15869,0.15869,0.15869,184320,0.15869,,
1968-03-11,0.16785,0.16785,0.16785,0.16785,368640,0.16785,,
1968-03-12,0.16785,0.16785,0.16785,0.16785,430080,0.16785,,
1968-03-13,0.16846,0.16846,0.16846,0.16846,532480,0.16846,,
1968-03-14,0.15991,0.15991,0.15991,0.15991,450560,0.15991,,
1968-03-15,0.16602,0.16602,0.16602,0.16602,819200,0.16602,,
1968-03-18,0.17029,0.17029,0.17029,0.17029,1863680,0.17029,,
1968-03-19,0.16724,0.16724,0.16724,0.16724,491520,0.16724,,
1968-03-20,0.16479,0.16479,0.16479,0.16479,655360,0.16479,,
1968-03-21,0.16602,0.16602,0.16602,0.16602,368640,0.16602,,
1968-03-22,0.16296,0.16296,0.16296,0.16296,389120,0.16296,,
1968-03-25,0.16357,0.16357,0.16357,0.16357,225280,0.16357,,
1968-03-26,0.16113,0.16113,0.16113,0.16113,225280,0.16113,,
1968-03-27,0.16663,0.16663,0.16663,0.16663,532480,0.16663,,
1968-03-28,0.16968,0.16968,0.16968,0.16968,737280,0.16968,,
1968-03-29,0.1709,0.1709,0.1709,0.1709,266240,0.1709,,
1968-04-01,0.18066,0.18066,0.18066,0.18066,2641920,0.18066,,
1968-04-02,0.18249,0.18249,0.18249,0.18249,921600,0.18249,,
1968-04-03,0.18799,0.18799,0.18799,0.18799,6164480,0.18799,,
1968-04-04,0.1886,0.1886,0.1886,0.1886,1740800,0.1886,,
1968-04-05,0.18738,0.18738,0.18738,0.18738,573440,0.18738,,
1968-04-08,0.1886,0.1886,0.1886,0.1886,1331200,0.1886,,
1968-04-10,0.19287,0.19287,0.19287,0.19287,5324800,0.19287,,
1968-04-11,0.20264,0.20264,0.20264,0.20264,4362240,0.20264,,
1968-04-15,0.20874,0.20874,0.20874,0.20874,2519040,0.20874,,
1968-04-16,0.21118,0.21118,0.21118,0.21118,1986560,0.21118,,
1968-04-17,0.22095,0.22095,0.22095,0.22095,2990080,0.22095,,
1968-04-18,0.2124,0.2124,0.2124,0.2124,3747840,0.2124,,
1968-04-19,0.21362,0.21362,0.21362,0.21362,4874240,0.21362,,
1968-04-22,0.21728,0.21728,0.21728,0.21728,1290240,0.21728,,
1968-04-23,0.22217,0.22217,0.22217,0.22217,3235840,0.22217,,
1968-04-24,0.22156,0.22156,0.22156,0.22156,1024000,0.22156,,
1968-04-25,0.22156,0.22156,0.22156,0.22156,1372160,0.22156,,
1968-04-26,0.22217,0.22217,0.22217,0.22217,1597440,0.22217,,
1968-04-29,0.22705,0.22705,0.22705,0.22705,2211840,0.22705,,
1968-04-30,0.22705,0.22705,0.22705,0.22705,532480,0.22705,,
1968-05-01,0.22949,0.22949,0.22949,0.22949,7639040,0.22949,,
1968-05-02,0.22949,0.22949,0.22949,0.22949,4710400,0.22949,,
1968-05-03,0.22461,0.22461,0.22461,0.22461,1167360,0.22461,,
1968-05-06,0.22583,0.22583,0.22583,0.22583,655360,0.22583,,
1968-05-07,0.22705,0.22705,0.22705,0.22705,552960,0.22705,,
1968-05-08,0.23315,0.23315,0.23315,0.23315,737280,0.23315,,
1968-05-09,0.23804,0.23804,0.23804,0.23804,860160,0.23804,,
1968-05-10,0.23804,0.23804,0.23804,0.23804,2703360,0.23804,,
1968-05-13,0.23071,0.23071,0.23071,0.23071,1146880,0.23071,,
1968-05-14,0.224,0.224,0.224,0.224,3338240,0.224,,
