Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1983-07-07,0.51853,0.51853,0.51853,0.51853,32203575,0.51853,,
1983-07-08,0.51853,0.51853,0.51853,0.51853,8924175,0.51853,,
1983-07-11,0.52676,0.52676,0.52676,0.52676,2673000,0.52676,,
1983-07-12,0.53499,0.53499,0.53499,0.53499,4866075,0.53499,,
1983-07-13,0.54734,0.54734,0.54734,0.54734,2654775,0.54734,,
1983-07-14,0.54322,0.54322,0.54322,0.54322,1676700,0.54322,,
1983-07-15,0.53088,0.53088,0.53088,0.53088,4641300,0.53088,,
1983-07-18,0.52265,0.52265,0.52265,0.52265,3620700,0.52265,,
1983-07-19,0.52676,0.52676,0.52676,0.52676,2156625,0.52676,,
1983-07-20,0.53499,0.53499,0.53499,0.53499,874800,0.53499,,
1983-07-21,0.53499,0.53499,0.53499,0.53499,504225,0.53499,,
1983-07-22,0.53499,0.53499,0.53499,0.53499,492075,0.53499,,
1983-07-25,0.54322,0.54322,0.54322,0.54322,413100,0.54322,,
1983-07-26,0.54734,0.54734,0.54734,0.54734,230850,0.54734,,
1983-07-27,0.54734,0.54734,0.54734,0.54734,722925,0.54734,,
1983-07-28,0.53499,0.53499,0.53499,0.53499,321896,0.53499,,
1983-07-29,0.53499,0.53499,0.53499,0.53499,370575,0.53499,,
1983-08-01,0.52676,0.52676,0.52676,0.52676,801900,0.52676,,
1983-08-02,0.53499,0.53499,0.53499,0.53499,1269675,0.53499,,
1983-08-03,0.53499,0.53499,0.53499,0.53499,2278125,0.53499,,
1983-08-04,0.53088,0.53088,0.53088,0.53088,589275,0.53088,,
1983-08-05,0.52676,0.52676,0.52676,0.52676,905175,0.52676,,
1983-08-08,0.51853,0.51853,0.51853,0.51853,1069200,0.51853,,
1983-08-09,0.51853,0.51853,0.51853,0.51853,437400,0.51853,,
1983-08-10,0.51853,0.51853,0.51853,0.51853,461700,0.51853,,
1983-08-11,0.52676,0.52676,0.52676,0.52676,182250,0.52676,,
1983-08-12,0.52676,0.52676,0.52676,0.52676,157950,0.52676,,
