Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1976-12-30,0.24692,0.24692,0.24692,0.24692,32348,0.24692,,
1976-12-31,0.24074,0.24074,0.24074,0.24074,48548,0.24074,,
1977-01-06,0.24692,0.24692,0.24692,0.24692,145748,0.24692,,
1977-01-12,0.24074,0.24074,0.24074,0.24074,80948,0.24074,,
1977-01-14,0.24074,0.24074,0.24074,0.24074,32348,0.24074,,
1977-01-17,0.24074,0.24074,0.24074,0.24074,97148,0.24074,,
1977-01-18,0.24074,0.24074,0.24074,0.24074,64748,0.24074,,
1977-01-20,0.24074,0.24074,0.24074,0.24074,32348,0.24074,,
1977-01-21,0.24074,0.24074,0.24074,0.24074,178148,0.24074,,
1977-01-24,0.24074,0.24074,0.24074,0.24074,80948,0.24074,,
1977-01-27,0.24074,0.24074,0.24074,0.24074,113348,0.24074,,
1977-01-28,0.24074,0.24074,0.24074,0.24074,48548,0.24074,,
1977-02-01,0.23457,0.23457,0.23457,0.23457,194348,0.23457,,
1977-02-02,0.23457,0.23457,0.23457,0.23457,259148,0.23457,,
1977-02-04,0.23457,0.23457,0.23457,0.23457,80948,0.23457,,
1977-02-09,0.23457,0.23457,0.23457,0.23457,32348,0.23457,,
1977-02-10,0.2284,0.2284,0.2284,0.2284,97148,0.2284,,
1977-02-16,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-02-18,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-02-22,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-02-23,0.2284,0.2284,0.2284,0.2284,48548,0.2284,,
1977-02-25,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-03-01,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-03-02,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-03-03,0.2284,0.2284,0.2284,0.2284,48548,0.2284,,
1977-03-07,0.2284,0.2284,0.2284,0.2284,129548,0.2284,,
1977-03-09,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-03-11,0.2284,0.2284,0.2284,0.2284,80948,0.2284,,
1977-03-14,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-03-15,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-03-16,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-03-17,0.2284,0.2284,0.2284,0.2284,80948,0.2284,,
1977-03-18,0.21605,0.21605,0.21605,0.21605,291548,0.21605,,
1977-03-23,0.21605,0.21605,0.21605,0.21605,16148,0.21605,,
1977-03-24,0.21914,0.21914,0.21914,0.21914,502148,0.21914,,
1977-03-25,0.22222,0.22222,0.22222,0.22222,16148,0.22222,,
1977-03-30,0.22222,0.22222,0.22222,0.22222,48548,0.22222,,
1977-04-05,0.21605,0.21605,0.21605,0.21605,16148,0.21605,,
1977-04-07,0.21605,0.21605,0.21605,0.21605,64748,0.21605,,
1977-04-12,0.21605,0.21605,0.21605,0.21605,242948,0.21605,,
1977-04-14,0.22222,0.22222,0.22222,0.22222,161948,0.22222,,
1977-04-15,0.2284,0.2284,0.2284,0.2284,145748,0.2284,,
1977-04-20,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-04-25,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-04-27,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-04-28,0.2284,0.2284,0.2284,0.2284,97148,0.2284,,
1977-04-29,0.2284,0.2284,0.2284,0.2284,48548,0.2284,,
1977-05-03,0.2284,0.2284,0.2284,0.2284,80948,0.2284,,
1977-05-04,0.2284,0.2284,0.2284,0.2284,242948,0.2284,,
1977-05-06,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-05-09,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-05-10,0.22222,0.22222,0.22222,0.22222,48548,0.22222,,
1977-05-17,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-05-19,0.2284,0.2284,0.2284,0.2284,16148,0.2284,,
1977-05-23,0.2284,0.2284,0.2284,0.2284,32348,0.2284,,
1977-05-26,0.21296,0.21296,0.21296,0.21296,113348,0.21296,,
1977-05-27,0.20988,0.20988,0.20988,0.20988,80948,0.20988,,
1977-06-03,0.20988,0.20988,0.20988,0.20988,48548,0.20988,,
1977-06-06,0.20988,0.20988,0.20988,0.20988,242948,0.20988,,
1977-06-14,0.20988,0.20988,0.20988,0.20988,16148,0.20988,,
1977-06-24,0.20988,0.20988,0.20988,0.20988,80948,0.20988,,
1977-06-28,0.20988,0.20988,0.20988,0.20988,64748,0.20988,,
1977-07-06,0.20988,0.20988,0.20988,0.20988,64748,0.20988,,
1977-07-15,0.20988,0.20988,0.20988,0.20988,16148,0.20988,,
1977-07-18,0.20988,0.20988,0.20988,0.20988,80948,0.20988,,
1977-07-19,0.20988,0.20988,0.20988,0.20988,80948,0.20988,,
1977-07-22,0.20988,0.20988,0.20988,0.20988,16148,0.20988,,
1977-07-27,0.20988,0.20988,0.20988,0.20988,32348,0.20988,,
1977-07-28,0.20988,0.20988,0.20988,0.20988,161948,0.20988,,
1977-08-02,0.20988,0.20988,0.20988,0.20988,32348,0.20988,,
1977-08-08,0.20988,0.20988,0.20988,0.20988,64748,0.20988,,
1977-08-11,0.20988,0.20988,0.20988,0.20988,32348,0.20988,,
1977-08-16,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1977-08-22,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1977-08-24,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-08-26,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1977-08-31,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-09-06,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1977-09-07,0.20371,0.20371,0.20371,0.20371,64748,0.20371,,
1977-09-08,0.20371,0.20371,0.20371,0.20371,64748,0.20371,,
1977-09-13,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-09-15,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-09-20,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-09-23,0.20371,0.20371,0.20371,0.20371,64748,0.20371,,
1977-09-26,0.20371,0.20371,0.20371,0.20371,64748,0.20371,,
1977-09-30,0.20371,0.20371,0.20371,0.20371,48548,0.20371,,
1977-10-03,0.20371,0.20371,0.20371,0.20371,97148,0.20371,,
1977-10-04,0.20371,0.20371,0.20371,0.20371,80948,0.20371,,
1977-10-06,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1977-10-12,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-10-25,0.20371,0.20371,0.20371,0.20371,64748,0.20371,,
1977-10-27,0.20371,0.20371,0.20371,0.20371,275348,0.20371,,
1977-10-31,0.20371,0.20371,0.20371,0.20371,48548,0.20371,,
1977-11-03,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-11-10,0.19136,0.19136,0.19136,0.19136,291548,0.19136,,
1977-11-11,0.19136,0.19136,0.19136,0.19136,664148,0.19136,,
1977-11-14,0.19136,0.19136,0.19136,0.19136,291548,0.19136,,
1977-11-15,0.19136,0.19136,0.19136,0.19136,194348,0.19136,,
1977-11-17,0.19753,0.19753,0.19753,0.19753,97148,0.19753,,
1977-11-22,0.19753,0.19753,0.19753,0.19753,97148,0.19753,,
1977-11-25,0.19753,0.19753,0.19753,0.19753,16148,0.19753,,
1977-12-01,0.20371,0.20371,0.20371,0.20371,97148,0.20371,,
1977-12-02,0.20371,0.20371,0.20371,0.20371,48548,0.20371,,
1977-12-05,0.20371,0.20371,0.20371,0.20371,64748,0.20371,,
1977-12-06,0.20371,0.20371,0.20371,0.20371,64748,0.20371,,
1977-12-13,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-12-16,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-12-23,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-12-27,0.20371,0.20371,0.20371,0.20371,80948,0.20371,,
1977-12-28,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1977-12-29,0.20371,0.20371,0.20371,0.20371,80948,0.20371,,
1977-12-30,0.20371,0.20371,0.20371,0.20371,226748,0.20371,,
1978-01-04,0.20679,0.20679,0.20679,0.20679,97148,0.20679,,
1978-01-05,0.20679,0.20679,0.20679,0.20679,161948,0.20679,,
1978-01-06,0.20679,0.20679,0.20679,0.20679,32348,0.20679,,
1978-01-09,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1978-01-12,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1978-01-17,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1978-01-24,0.20062,0.20062,0.20062,0.20062,291548,0.20062,,
1978-01-26,0.20062,0.20062,0.20062,0.20062,113348,0.20062,,
1978-01-27,0.20062,0.20062,0.20062,0.20062,16148,0.20062,,
1978-01-30,0.20062,0.20062,0.20062,0.20062,80948,0.20062,,
1978-02-03,0.20062,0.20062,0.20062,0.20062,113348,0.20062,,
1978-02-06,0.20062,0.20062,0.20062,0.20062,48548,0.20062,,
1978-02-09,0.20062,0.20062,0.20062,0.20062,16148,0.20062,,
1978-02-10,0.20062,0.20062,0.20062,0.20062,161948,0.20062,,
1978-02-13,0.20062,0.20062,0.20062,0.20062,16148,0.20062,,
1978-02-15,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1978-02-16,0.20371,0.20371,0.20371,0.20371,80948,0.20371,,
1978-02-22,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1978-02-27,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1978-03-03,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1978-03-06,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1978-03-09,0.20371,0.20371,0.20371,0.20371,113348,0.20371,,
1978-03-13,0.20371,0.20371,0.20371,0.20371,161948,0.20371,,
1978-03-15,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1978-03-16,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1978-03-17,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1978-03-20,0.20371,0.20371,0.20371,0.20371,80948,0.20371,,
1978-03-21,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1978-03-27,0.20371,0.20371,0.20371,0.20371,32348,0.20371,,
1978-03-28,0.20371,0.20371,0.20371,0.20371,16148,0.20371,,
1978-03-31,0.20062,0.20062,0.20062,0.20062,32348,0.20062,,
1978-04-04,0.20371,0.20371,0.20371,0.20371,129548,0.20371,,
1978-04-05,0.20988,0.20988,0.20988,0.20988,178148,0.20988,,
1978-04-07,0.21296,0.21296,0.21296,0.21296,16148,0.21296,,
1978-04-12,0.21296,0.21296,0.21296,0.21296,32348,0.21296,,
1978-04-13,0.21296,0.21296,0.21296,0.21296,32348,0.21296,,
1978-04-17,0.21296,0.21296,0.21296,0.21296,48548,0.21296,,
1978-04-18,0.21296,0.21296,0.21296,0.21296,64748,0.21296,,
1978-04-19,0.21296,0.21296,0.21296,0.21296,16148,0.21296,,
1978-04-20,0.21296,0.21296,0.21296,0.21296,16148,0.21296,,
1978-04-25,0.21296,0.21296,0.21296,0.21296,64748,0.21296,,
1978-04-26,0.21296,0.21296,0.21296,0.21296,48548,0.21296,,
1978-04-27,0.21296,0.21296,0.21296,0.21296,32348,0.21296,,
1978-05-04,0.21605,0.21605,0.21605,0.21605,307748,0.21605,,
1978-05-08,0.21605,0.21605,0.21605,0.21605,16148,0.21605,,
1978-05-09,0.21605,0.21605,0.21605,0.21605,32348,0.21605,,
1978-05-10,0.21605,0.21605,0.21605,0.21605,32348,0.21605,,
1978-05-12,0.21296,0.21296,0.21296,0.21296,64748,0.21296,,
1978-05-15,0.21296,0.21296,0.21296,0.21296,97148,0.21296,,
1978-05-16,0.20988,0.20988,0.20988,0.20988,32348,0.20988,,
1978-05-17,0.20679,0.20679,0.20679,0.20679,64748,0.20679,,
1978-05-18,0.20679,0.20679,0.20679,0.20679,129548,0.20679,,
1978-05-22,0.20679,0.20679,0.20679,0.20679,97148,0.20679,,
1978-05-23,0.20679,0.20679,0.20679,0.20679,32348,0.20679,,
