Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-08-01,1.79,1.79,1.79,1.79,160000,1.79,,
1968-08-02,1.79,1.79,1.79,1.79,152000,1.79,,
1968-08-05,1.8,1.8,1.8,1.8,112000,1.8,,
1968-08-06,1.8,1.8,1.8,1.8,52800,1.8,,
1968-08-08,1.79,1.79,1.79,1.79,99200,1.79,,
1968-08-09,1.8,1.8,1.8,1.8,30400,1.8,,
1968-08-12,1.79,1.79,1.79,1.79,43200,1.79,,
1968-08-13,1.81,1.81,1.81,1.81,84800,1.81,,
1968-08-15,1.8,1.8,1.8,1.8,156800,1.8,,
1968-08-16,1.8,1.8,1.8,1.8,46400,1.8,,
1968-08-19,1.8,1.8,1.8,1.8,60800,1.8,,
1968-08-20,1.77,1.77,1.77,1.77,158400,1.77,,
1968-08-22,1.78,1.78,1.78,1.78,120000,1.78,,
1968-08-23,1.76,1.76,1.76,1.76,52800,1.76,,
1968-08-26,1.76,1.76,1.76,1.76,46400,1.76,,
1968-08-27,1.74,1.74,1.74,1.74,89600,1.74,,
1968-08-29,1.73,1.73,1.73,1.73,92800,1.73,,
1968-08-30,1.69,1.69,1.69,1.69,94400,1.69,,
1968-09-03,1.63,1.63,1.63,1.63,78400,1.63,,
1968-09-04,1.59,1.59,1.59,1.59,100800,1.59,,
1968-09-05,1.59,1.59,1.59,1.59,105600,1.59,,
1968-09-06,1.62,1.62,1.62,1.62,40000,1.62,,
1968-09-09,1.66,1.66,1.66,1.66,56000,1.66,,
1968-09-10,1.64,1.64,1.64,1.64,80000,1.64,,
1968-09-12,1.66,1.66,1.66,1.66,48000,1.66,,
1968-09-13,1.7,1.7,1.7,1.7,91200,1.7,,
1968-09-16,1.73,1.73,1.73,1.73,52800,1.73,,
1968-09-17,1.74,1.74,1.74,1.74,83200,1.74,,
1968-09-19,1.78,1.78,1.78,1.78,156800,1.78,,
1968-09-20,1.78,1.78,1.78,1.78,150400,1.78,,
1968-09-23,1.77,1.77,1.77,1.77,54400,1.77,,
1968-09-24,1.77,1.77,1.77,1.77,128000,1.77,,
1968-09-26,1.72,1.72,1.72,1.72,80000,1.72,,
1968-09-27,1.67,1.67,1.67,1.67,89600,1.67,,
1968-09-30,1.69,1.69,1.69,1.69,51200,1.69,,
1968-10-01,1.66,1.66,1.66,1.66,40000,1.66,,
1968-10-03,1.69,1.69,1.69,1.69,585600,1.69,,
1968-10-04,1.7,1.7,1.7,1.7,147200,1.7,,
1968-10-07,1.72,1.72,1.72,1.72,136000,1.72,,
1968-10-08,1.79,1.79,1.79,1.79,187200,1.79,,
1968-10-10,1.87,1.87,1.87,1.87,177600,1.87,,
1968-10-11,1.91,1.91,1.91,1.91,158400,1.91,,
1968-10-14,1.85,1.85,1.85,1.85,235200,1.85,,
1968-10-15,1.84,1.84,1.84,1.84,65600,1.84,,
1968-10-17,1.84,1.84,1.84,1.84,64000,1.84,,
1968-10-18,1.86,1.86,1.86,1.86,54400,1.86,,
1968-10-21,1.85,1.85,1.85,1.85,161600,1.85,,
1968-10-22,1.86,1.86,1.86,1.86,76800,1.86,,
1968-10-24,1.85,1.85,1.85,1.85,92800,1.85,,
1968-10-25,1.83,1.83,1.83,1.83,129600,1.83,,
1968-10-28,1.8,1.8,1.8,1.8,273600,1.8,,
1968-10-29,1.81,1.81,1.81,1.81,32000,1.81,,
1968-10-31,1.81,1.81,1.81,1.81,120000,1.81,,
1968-11-01,1.75,1.75,1.75,1.75,464000,1.75,,
1968-11-04,1.72,1.72,1.72,1.72,40000,1.72,,
1968-11-06,1.69,1.69,1.69,1.69,84800,1.69,,
1968-11-07,1.69,1.69,1.69,1.69,33600,1.69,,
1968-11-08,1.68,1.68,1.68,1.68,112000,1.68,,
1968-11-12,1.67,1.67,1.67,1.67,92800,1.67,,
1968-11-13,1.7,1.7,1.7,1.7,73600,1.7,,
1968-11-14,1.67,1.67,1.67,1.67,20800,1.67,,
1968-11-15,1.69,1.69,1.69,1.69,40000,1.69,,
1968-11-18,1.7,1.7,1.7,1.7,225600,1.7,,
1968-11-19,1.69,1.69,1.69,1.69,68800,1.69,,
1968-11-21,1.66,1.66,1.66,1.66,96000,1.66,,
1968-11-22,1.68,1.68,1.68,1.68,57600,1.68,,
1968-11-25,1.72,1.72,1.72,1.72,617600,1.72,,
1968-11-26,1.7,1.7,1.7,1.7,644800,1.7,,
1968-11-27,1.72,1.72,1.72,1.72,209600,1.72,,
1968-11-29,1.83,1.83,1.83,1.83,289600,1.83,,
1968-12-02,1.81,1.81,1.81,1.81,192000,1.81,,
1968-12-03,1.81,1.81,1.81,1.81,147200,1.81,,
1968-12-05,1.81,1.81,1.81,1.81,331200,1.81,,
1968-12-06,1.81,1.81,1.81,1.81,91200,1.81,,
1968-12-09,1.81,1.81,1.81,1.81,78400,1.81,,
1968-12-10,1.8,1.8,1.8,1.8,70400,1.8,,
1968-12-12,1.76,1.76,1.76,1.76,97600,1.76,,
1968-12-13,1.81,1.81,1.81,1.81,144000,1.81,,
1968-12-16,1.86,1.86,1.86,1.86,264000,1.86,,
1968-12-17,1.81,1.81,1.81,1.81,57600,1.81,,
1968-12-19,1.78,1.78,1.78,1.78,142400,1.78,,
1968-12-20,1.79,1.79,1.79,1.79,124800,1.79,,
1968-12-23,1.75,1.75,1.75,1.75,105600,1.75,,
1968-12-24,1.83,1.83,1.83,1.83,638400,1.83,,
1968-12-26,1.78,1.78,1.78,1.78,112000,1.78,,
