Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,1.71,1.71,1.71,1.71,114058,1.71,,
1968-01-03,1.72,1.72,1.72,1.72,85543,1.72,,
1968-01-04,1.73,1.73,1.73,1.73,127476,1.73,,
1968-01-05,1.73,1.73,1.73,1.73,249921,1.73,,
1968-01-08,1.73,1.73,1.73,1.73,367334,1.73,,
1968-01-09,1.74,1.74,1.74,1.74,538421,1.74,,
1968-01-10,1.74,1.74,1.74,1.74,254953,1.74,,
1968-01-11,1.83,1.83,1.83,1.83,197924,1.83,,
1968-01-12,1.84,1.84,1.84,1.84,189537,1.84,,
1968-01-15,1.82,1.82,1.82,1.82,154313,1.82,,
1968-01-16,1.84,1.84,1.84,1.84,144249,1.84,,
1968-01-17,1.81,1.81,1.81,1.81,169409,1.81,,
1968-01-18,1.8,1.8,1.8,1.8,103994,1.8,,
1968-01-19,1.76,1.76,1.76,1.76,155991,1.76,,
1968-01-22,1.74,1.74,1.74,1.74,85543,1.74,,
1968-01-23,1.74,1.74,1.74,1.74,105671,1.74,,
1968-01-24,1.74,1.74,1.74,1.74,77156,1.74,,
1968-01-25,1.77,1.77,1.77,1.77,275081,1.77,,
1968-01-26,1.74,1.74,1.74,1.74,102316,1.74,,
1968-01-29,1.7,1.7,1.7,1.7,110703,1.7,,
1968-01-30,1.71,1.71,1.71,1.71,127476,1.71,,
1968-01-31,1.7,1.7,1.7,1.7,62061,1.7,,
1968-02-01,1.68,1.68,1.68,1.68,60383,1.68,,
1968-02-02,1.68,1.68,1.68,1.68,43610,1.68,,
1968-02-05,1.68,1.68,1.68,1.68,43610,1.68,,
1968-02-06,1.65,1.65,1.65,1.65,60383,1.65,,
1968-02-07,1.65,1.65,1.65,1.65,73802,1.65,,
1968-02-08,1.65,1.65,1.65,1.65,48642,1.65,,
1968-02-09,1.62,1.62,1.62,1.62,206310,1.62,,
1968-02-13,1.66,1.66,1.66,1.66,65415,1.66,,
1968-02-14,1.66,1.66,1.66,1.66,82188,1.66,,
1968-02-15,1.64,1.64,1.64,1.64,62061,1.64,,
1968-02-16,1.63,1.63,1.63,1.63,68770,1.63,,
1968-02-19,1.61,1.61,1.61,1.61,48642,1.61,,
1968-02-20,1.61,1.61,1.61,1.61,162700,1.61,,
1968-02-21,1.6,1.6,1.6,1.6,88898,1.6,,
1968-02-23,1.59,1.59,1.59,1.59,102316,1.59,,
1968-02-26,1.58,1.58,1.58,1.58,120767,1.58,,
1968-02-27,1.61,1.61,1.61,1.61,87220,1.61,,
1968-02-28,1.68,1.68,1.68,1.68,231470,1.68,,
1968-02-29,1.75,1.75,1.75,1.75,184505,1.75,,
1968-03-01,1.79,1.79,1.79,1.79,251598,1.79,,
1968-03-04,1.8,1.8,1.8,1.8,330432,1.8,,
1968-03-05,1.73,1.73,1.73,1.73,134185,1.73,,
1968-03-06,1.75,1.75,1.75,1.75,145927,1.75,,
1968-03-07,1.73,1.73,1.73,1.73,33546,1.73,,
1968-03-08,1.71,1.71,1.71,1.71,31869,1.71,,
1968-03-11,1.69,1.69,1.69,1.69,46965,1.69,,
1968-03-12,1.65,1.65,1.65,1.65,253276,1.65,,
1968-03-13,1.65,1.65,1.65,1.65,87220,1.65,,
1968-03-14,1.65,1.65,1.65,1.65,65415,1.65,,
1968-03-15,1.65,1.65,1.65,1.65,288499,1.65,,
1968-03-18,1.68,1.68,1.68,1.68,115735,1.68,,
1968-03-19,1.67,1.67,1.67,1.67,50319,1.67,,
1968-03-20,1.68,1.68,1.68,1.68,51997,1.68,,
1968-03-21,1.65,1.65,1.65,1.65,253276,1.65,,
1968-03-22,1.65,1.65,1.65,1.65,46965,1.65,,
1968-03-25,1.65,1.65,1.65,1.65,268371,1.65,,
1968-03-26,1.66,1.66,1.66,1.66,38578,1.66,,
1968-03-27,1.69,1.69,1.69,1.69,82188,1.69,,
1968-03-28,1.73,1.73,1.73,1.73,187860,1.73,,
1968-03-29,1.75,1.75,1.75,1.75,95607,1.75,,
1968-04-01,1.77,1.77,1.77,1.77,199601,1.77,,
1968-04-02,1.75,1.75,1.75,1.75,206310,1.75,,
1968-04-03,1.74,1.74,1.74,1.74,145927,1.74,,
1968-04-04,1.72,1.72,1.72,1.72,144249,1.72,,
1968-04-05,1.7,1.7,1.7,1.7,152636,1.7,,
1968-04-08,1.74,1.74,1.74,1.74,105671,1.74,,
1968-04-10,1.76,1.76,1.76,1.76,315337,1.76,,
1968-04-11,1.74,1.74,1.74,1.74,320369,1.74,,
1968-04-15,1.74,1.74,1.74,1.74,105671,1.74,,
1968-04-16,1.85,1.85,1.85,1.85,793374,1.85,,
1968-04-17,1.84,1.84,1.84,1.84,379075,1.84,,
1968-04-18,1.83,1.83,1.83,1.83,1205996,1.83,,
1968-04-19,1.8,1.8,1.8,1.8,494810,1.8,,
1968-04-22,1.78,1.78,1.78,1.78,85543,1.78,,
1968-04-23,1.77,1.77,1.77,1.77,350560,1.77,,
1968-04-24,1.73,1.73,1.73,1.73,171087,1.73,,
1968-04-25,1.81,1.81,1.81,1.81,204633,1.81,,
1968-04-26,1.8,1.8,1.8,1.8,124122,1.8,,
1968-04-29,1.84,1.84,1.84,1.84,103994,1.84,,
1968-04-30,1.85,1.85,1.85,1.85,249921,1.85,,
1968-05-01,1.89,1.89,1.89,1.89,1474368,1.89,,
1968-05-02,1.89,1.89,1.89,1.89,244889,1.89,,
1968-05-03,1.83,1.83,1.83,1.83,228116,1.83,,
1968-05-06,1.85,1.85,1.85,1.85,109026,1.85,,
1968-05-07,1.84,1.84,1.84,1.84,155991,1.84,,
1968-05-08,1.82,1.82,1.82,1.82,90575,1.82,,
1968-05-09,1.8,1.8,1.8,1.8,109026,1.8,,
1968-05-10,1.8,1.8,1.8,1.8,83866,1.8,,
1968-05-13,1.89,1.89,1.89,1.89,177796,1.89,,
1968-05-14,1.89,1.89,1.89,1.89,150959,1.89,,
1968-05-15,1.97,1.97,1.97,1.97,467973,1.97,,
1968-05-16,1.98,1.98,1.98,1.98,496488,1.98,,
1968-05-17,2.01,2.01,2.01,2.01,352238,2.01,,
1968-05-20,2.0,2.0,2.0,2.0,243212,2.0,,
1968-05-21,2.0,2.0,2.0,2.0,444491,2.0,,
1968-05-22,1.97,1.97,1.97,1.97,238180,1.97,,
1968-05-23,2.0,2.0,2.0,2.0,124122,2.0,,
1968-05-24,2.0,2.0,2.0,2.0,164377,2.0,,
1968-05-27,1.97,1.97,1.97,1.97,68770,1.97,,
1968-05-28,2.0,2.0,2.0,2.0,181151,2.0,,
1968-05-29,2.01,2.01,2.01,2.01,342174,2.01,,
1968-05-31,2.03,2.03,2.03,2.03,130831,2.03,,
1968-06-03,2.05,2.05,2.05,2.05,194569,2.05,,
1968-06-04,2.01,2.01,2.01,2.01,110703,2.01,,
1968-06-05,1.94,1.94,1.94,1.94,280113,1.94,,
1968-06-06,1.99,1.99,1.99,1.99,109026,1.99,,
1968-06-07,1.98,1.98,1.98,1.98,209665,1.98,,
1968-06-10,2.0,2.0,2.0,2.0,72124,2.0,,
1968-06-11,2.03,2.03,2.03,2.03,218052,2.03,,
1968-06-13,1.98,1.98,1.98,1.98,214697,1.98,,
1968-06-14,2.01,2.01,2.01,2.01,127476,2.01,,
1968-06-17,2.01,2.01,2.01,2.01,115735,2.01,,
1968-06-18,1.98,1.98,1.98,1.98,77156,1.98,,
1968-06-20,2.0,2.0,2.0,2.0,149281,2.0,,
1968-06-21,1.98,1.98,1.98,1.98,196246,1.98,,
1968-06-24,1.95,1.95,1.95,1.95,278435,1.95,,
1968-06-25,1.96,1.96,1.96,1.96,120767,1.96,,
1968-06-27,1.93,1.93,1.93,1.93,161023,1.93,,
1968-06-28,1.93,1.93,1.93,1.93,127476,1.93,,
1968-07-01,1.91,1.91,1.91,1.91,73802,1.91,,
1968-07-02,1.9,1.9,1.9,1.9,100639,1.9,,
1968-07-03,1.97,1.97,1.97,1.97,127476,1.97,,
1968-07-08,2.02,2.02,2.02,2.02,233148,2.02,,
1968-07-09,2.0,2.0,2.0,2.0,159345,2.0,,
1968-07-11,2.0,2.0,2.0,2.0,395848,2.0,,
1968-07-12,2.0,2.0,2.0,2.0,83866,2.0,,
1968-07-15,2.0,2.0,2.0,2.0,87220,2.0,,
1968-07-16,1.94,1.94,1.94,1.94,119090,1.94,,
1968-07-18,1.89,1.89,1.89,1.89,271726,1.89,,
1968-07-19,1.79,1.79,1.79,1.79,395848,1.79,,
1968-07-22,1.79,1.79,1.79,1.79,169409,1.79,,
1968-07-23,1.78,1.78,1.78,1.78,62061,1.78,,
1968-07-25,1.77,1.77,1.77,1.77,167732,1.77,,
1968-07-26,1.76,1.76,1.76,1.76,132508,1.76,,
1968-07-29,1.69,1.69,1.69,1.69,142572,1.69,,
1968-07-30,1.68,1.68,1.68,1.68,152636,1.68,,
1968-08-01,1.69,1.69,1.69,1.69,169409,1.69,,
1968-08-02,1.7,1.7,1.7,1.7,57029,1.7,,
1968-08-05,1.7,1.7,1.7,1.7,67092,1.7,,
1968-08-06,1.71,1.71,1.71,1.71,73802,1.71,,
1968-08-08,1.69,1.69,1.69,1.69,105671,1.69,,
1968-08-09,1.68,1.68,1.68,1.68,80511,1.68,,
1968-08-12,1.68,1.68,1.68,1.68,135863,1.68,,
1968-08-13,1.67,1.67,1.67,1.67,192892,1.67,,
1968-08-15,1.67,1.67,1.67,1.67,105671,1.67,,
1968-08-16,1.66,1.66,1.66,1.66,201278,1.66,,
1968-08-19,1.67,1.67,1.67,1.67,95607,1.67,,
1968-08-20,1.66,1.66,1.66,1.66,145927,1.66,,
1968-08-22,1.65,1.65,1.65,1.65,80511,1.65,,
1968-08-23,1.65,1.65,1.65,1.65,110703,1.65,,
1968-08-26,1.72,1.72,1.72,1.72,109026,1.72,,
1968-08-27,1.79,1.79,1.79,1.79,261662,1.79,,
1968-08-29,1.79,1.79,1.79,1.79,137540,1.79,,
1968-08-30,1.77,1.77,1.77,1.77,57029,1.77,,
1968-09-03,1.75,1.75,1.75,1.75,58706,1.75,,
1968-09-04,1.77,1.77,1.77,1.77,70447,1.77,,
1968-09-05,1.74,1.74,1.74,1.74,110703,1.74,,
1968-09-06,1.73,1.73,1.73,1.73,144249,1.73,,
1968-09-09,1.73,1.73,1.73,1.73,134185,1.73,,
1968-09-10,1.72,1.72,1.72,1.72,107348,1.72,,
1968-09-12,1.73,1.73,1.73,1.73,259985,1.73,,
1968-09-13,1.7,1.7,1.7,1.7,644092,1.7,,
1968-09-16,1.74,1.74,1.74,1.74,150959,1.74,,
1968-09-17,1.77,1.77,1.77,1.77,295209,1.77,,
1968-09-19,1.76,1.76,1.76,1.76,196246,1.76,,
1968-09-20,1.77,1.77,1.77,1.77,124122,1.77,,
1968-09-23,1.77,1.77,1.77,1.77,102316,1.77,,
1968-09-24,1.77,1.77,1.77,1.77,179473,1.77,,
1968-09-26,1.77,1.77,1.77,1.77,473005,1.77,,
1968-09-27,1.76,1.76,1.76,1.76,238180,1.76,,
1968-09-30,1.77,1.77,1.77,1.77,164377,1.77,,
1968-10-01,1.8,1.8,1.8,1.8,161023,1.8,,
1968-10-03,1.82,1.82,1.82,1.82,204633,1.82,,
1968-10-04,1.83,1.83,1.83,1.83,199601,1.83,,
1968-10-07,1.84,1.84,1.84,1.84,90575,1.84,,
1968-10-08,1.86,1.86,1.86,1.86,162700,1.86,,
1968-10-10,1.84,1.84,1.84,1.84,1147290,1.84,,
1968-10-11,1.82,1.82,1.82,1.82,166055,1.82,,
1968-10-14,1.82,1.82,1.82,1.82,105671,1.82,,
1968-10-15,1.8,1.8,1.8,1.8,422685,1.8,,
1968-10-17,1.8,1.8,1.8,1.8,150959,1.8,,
1968-10-18,1.79,1.79,1.79,1.79,145927,1.79,,
1968-10-21,1.8,1.8,1.8,1.8,150959,1.8,,
1968-10-22,1.8,1.8,1.8,1.8,318691,1.8,,
1968-10-24,1.82,1.82,1.82,1.82,271726,1.82,,
1968-10-25,1.79,1.79,1.79,1.79,117412,1.79,,
1968-10-28,1.77,1.77,1.77,1.77,105671,1.77,,
1968-10-29,1.73,1.73,1.73,1.73,1085229,1.73,,
1968-10-31,1.71,1.71,1.71,1.71,248244,1.71,,
1968-11-01,1.71,1.71,1.71,1.71,271726,1.71,,
1968-11-04,1.71,1.71,1.71,1.71,385784,1.71,,
1968-11-06,1.77,1.77,1.77,1.77,192892,1.77,,
1968-11-07,1.77,1.77,1.77,1.77,244889,1.77,,
1968-11-08,1.79,1.79,1.79,1.79,140895,1.79,,
1968-11-12,1.85,1.85,1.85,1.85,206310,1.85,,
1968-11-13,1.87,1.87,1.87,1.87,263339,1.87,,
1968-11-14,1.88,1.88,1.88,1.88,155991,1.88,,
1968-11-15,1.94,1.94,1.94,1.94,328755,1.94,,
1968-11-18,1.89,1.89,1.89,1.89,157668,1.89,,
1968-11-19,1.89,1.89,1.89,1.89,184505,1.89,,
1968-11-21,1.94,1.94,1.94,1.94,682671,1.94,,
1968-11-22,1.94,1.94,1.94,1.94,135863,1.94,,
1968-11-25,1.92,1.92,1.92,1.92,145927,1.92,,
1968-11-26,1.95,1.95,1.95,1.95,234825,1.95,,
1968-11-27,1.94,1.94,1.94,1.94,87220,1.94,,
1968-11-29,1.98,1.98,1.98,1.98,181151,1.98,,
1968-12-02,2.0,2.0,2.0,2.0,541775,2.0,,
1968-12-03,2.0,2.0,2.0,2.0,246566,2.0,,
1968-12-05,1.98,1.98,1.98,1.98,155991,1.98,,
1968-12-06,1.97,1.97,1.97,1.97,311982,1.97,,
1968-12-09,1.95,1.95,1.95,1.95,92252,1.95,,
1968-12-10,1.89,1.89,1.89,1.89,110703,1.89,,
1968-12-12,1.89,1.89,1.89,1.89,77156,1.89,,
1968-12-13,1.87,1.87,1.87,1.87,73802,1.87,,
1968-12-16,1.85,1.85,1.85,1.85,122444,1.85,,
1968-12-17,1.85,1.85,1.85,1.85,120767,1.85,,
1968-12-19,1.84,1.84,1.84,1.84,73802,1.84,,
1968-12-20,1.86,1.86,1.86,1.86,73802,1.86,,
1968-12-23,1.88,1.88,1.88,1.88,83866,1.88,,
1968-12-24,1.91,1.91,1.91,1.91,58706,1.91,,
1968-12-26,1.9,1.9,1.9,1.9,129153,1.9,,
1968-12-27,1.9,1.9,1.9,1.9,119090,1.9,,
1968-12-30,1.9,1.9,1.9,1.9,72124,1.9,,
1968-12-31,1.9,1.9,1.9,1.9,226438,1.9,,
1969-01-02,1.9,1.9,1.9,1.9,73802,1.9,,
1969-01-03,1.88,1.88,1.88,1.88,239857,1.88,,
1969-01-06,1.88,1.88,1.88,1.88,77156,1.88,,
1969-01-07,1.85,1.85,1.85,1.85,77156,1.85,,
1969-01-08,1.8,1.8,1.8,1.8,114058,1.8,,
1969-01-09,1.8,1.8,1.8,1.8,238180,1.8,,
1969-01-10,1.8,1.8,1.8,1.8,566935,1.8,,
1969-01-13,1.79,1.79,1.79,1.79,73802,1.79,,
1969-01-14,1.8,1.8,1.8,1.8,53674,1.8,,
1969-01-15,1.8,1.8,1.8,1.8,187860,1.8,,
1969-01-16,1.77,1.77,1.77,1.77,181151,1.77,,
1969-01-17,1.77,1.77,1.77,1.77,202956,1.77,,
1969-01-20,1.77,1.77,1.77,1.77,124122,1.77,,
