Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1995-11-17,8.63,8.72,8.09,8.63,35659204,8.5175,0.09,95.8888888888889
1995-11-20,8.59,8.81,8.19,8.31,8434400,8.475,0.09,92.33333333333334
1995-11-21,8.25,8.28,7.94,8.16,6440000,8.1575,0.09,90.66666666666667
1995-11-22,8.13,8.53,8.13,8.41,3480800,8.3,0.09,93.44444444444444
1995-11-24,8.47,8.72,8.44,8.72,1279200,8.5875,0.09,96.8888888888889
1995-11-27,8.72,8.91,8.63,8.75,2403200,8.7525,0.09,97.22222222222223
1995-11-28,8.75,8.78,8.5,8.63,1054800,8.665,0.09,95.8888888888889
1995-11-29,8.59,8.97,8.56,8.75,1331200,8.7175,0.09,97.22222222222223
1995-11-30,8.84,9.19,8.81,9.09,2426000,8.9825,0.09,101.0
1995-12-01,9.09,9.13,8.94,9.0,978400,9.04,0.09,100.0
1995-12-04,9.03,9.09,8.84,8.91,594000,8.9675,0.09,99.0
1995-12-05,8.91,8.91,8.63,8.78,1148800,8.8075,0.09,97.55555555555556
1995-12-06,8.75,9.0,8.75,8.81,1216000,8.8275,0.09,97.8888888888889
1995-12-07,8.88,8.91,8.69,8.75,641200,8.8075,0.09,97.22222222222223
1995-12-08,8.72,8.97,8.63,8.97,668800,8.8225,0.09,99.66666666666667
1995-12-11,9.0,9.09,8.97,9.09,660000,9.0375,0.09,101.0
1995-12-12,9.03,9.06,8.72,8.75,971600,8.89,0.09,97.22222222222223
1995-12-13,8.81,8.81,8.53,8.69,528400,8.71,0.09,96.55555555555556
1995-12-14,8.72,8.72,8.44,8.44,639200,8.58,0.09,93.77777777777777
1995-12-15,8.5,8.56,8.34,8.38,1366400,8.445,0.09,93.11111111111113
1995-12-18,8.38,8.41,8.25,8.28,741600,8.33,0.09,92.0
1995-12-19,8.25,8.53,8.22,8.44,643600,8.36,0.09,93.77777777777777
1995-12-20,8.47,8.69,8.47,8.63,360400,8.565,0.09,95.8888888888889
1995-12-21,8.59,8.78,8.56,8.69,301600,8.655,0.09,96.55555555555556
1995-12-22,8.72,8.75,8.63,8.75,208400,8.7125,0.09,97.22222222222223
1995-12-26,8.72,8.72,8.5,8.53,240000,8.6175,0.09,94.77777777777777
1995-12-27,8.63,8.84,8.63,8.84,351600,8.735,0.09,98.22222222222223
1995-12-28,8.88,8.91,8.78,8.81,344400,8.845,0.09,97.8888888888889
1995-12-29,8.78,8.84,8.66,8.72,219200,8.75,0.09,96.8888888888889
1996-01-02,8.72,8.78,8.66,8.75,169200,8.7275,0.12,72.91666666666667
1996-01-03,8.78,8.94,8.66,8.72,682000,8.775,0.12,72.66666666666667
1996-01-04,8.75,8.81,8.53,8.66,414800,8.6875,0.12,72.16666666666667
