Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.89107,0.89107,0.89107,0.89107,143252,0.89107,,
1968-01-03,0.90076,0.90076,0.90076,0.90076,158740,0.90076,,
1968-01-04,0.89107,0.89107,0.89107,0.89107,158740,0.89107,,
1968-01-05,0.88139,0.88139,0.88139,0.88139,398788,0.88139,,
1968-01-08,0.89753,0.89753,0.89753,0.89753,317480,0.89753,,
1968-01-09,0.92013,0.92013,0.92013,0.92013,402660,0.92013,,
1968-01-10,0.93627,0.93627,0.93627,0.93627,352328,0.93627,,
1968-01-11,0.93627,0.93627,0.93627,0.93627,174228,0.93627,,
1968-01-12,0.94273,0.94273,0.94273,0.94273,92920,0.94273,,
1968-01-15,0.94918,0.94918,0.94918,0.94918,116152,0.94918,,
1968-01-16,0.94596,0.94596,0.94596,0.94596,147124,0.94596,,
1968-01-17,0.93627,0.93627,0.93627,0.93627,185840,0.93627,,
1968-01-18,0.95241,0.95241,0.95241,0.95241,181972,0.95241,,
1968-01-19,1.0,1.0,1.0,1.0,325224,1.0,,
1968-01-22,0.9621,0.9621,0.9621,0.9621,189712,0.9621,,
1968-01-23,0.94596,0.94596,0.94596,0.94596,236176,0.94596,,
1968-01-24,0.95564,0.95564,0.95564,0.95564,154868,0.95564,,
1968-01-25,0.95241,0.95241,0.95241,0.95241,50332,0.95241,,
1968-01-26,0.95241,0.95241,0.95241,0.95241,170356,0.95241,,
1968-01-29,0.93627,0.93627,0.93627,0.93627,181972,0.93627,,
1968-01-30,0.94596,0.94596,0.94596,0.94596,69688,0.94596,,
1968-01-31,0.9621,0.9621,0.9621,0.9621,317480,0.9621,,
1968-02-01,0.98147,0.98147,0.98147,0.98147,178100,0.98147,,
1968-02-02,0.95887,0.95887,0.95887,0.95887,73560,0.95887,,
1968-02-05,0.94596,0.94596,0.94596,0.94596,131636,0.94596,,
1968-02-06,0.95564,0.95564,0.95564,0.95564,154868,0.95564,,
1968-02-07,0.95564,0.95564,0.95564,0.95564,224560,0.95564,,
1968-02-08,0.98147,0.98147,0.98147,0.98147,414276,0.98147,,
1968-02-09,0.95564,0.95564,0.95564,0.95564,232304,0.95564,,
1968-02-13,0.95564,0.95564,0.95564,0.95564,220688,0.95564,,
1968-02-14,0.95564,0.95564,0.95564,0.95564,189712,0.95564,,
1968-02-15,0.96856,0.96856,0.96856,0.96856,290380,0.96856,,
1968-02-16,0.95241,0.95241,0.95241,0.95241,108408,0.95241,,
1968-02-19,0.9621,0.9621,0.9621,0.9621,181972,0.9621,,
1968-02-20,0.95241,0.95241,0.95241,0.95241,92920,0.95241,,
1968-02-21,0.97824,0.97824,0.97824,0.97824,135508,0.97824,,
1968-02-23,0.98793,0.98793,0.98793,0.98793,452992,0.98793,,
1968-02-26,0.96856,0.96856,0.96856,0.96856,243920,0.96856,,
1968-02-27,0.96533,0.96533,0.96533,0.96533,123892,0.96533,,
1968-02-28,0.95241,0.95241,0.95241,0.95241,127764,0.95241,,
1968-02-29,0.94918,0.94918,0.94918,0.94918,96792,0.94918,,
1968-03-01,0.91044,0.91044,0.91044,0.91044,460736,0.91044,,
1968-03-04,0.91044,0.91044,0.91044,0.91044,181972,0.91044,,
1968-03-05,0.9169,0.9169,0.9169,0.9169,120024,0.9169,,
1968-03-06,0.92981,0.92981,0.92981,0.92981,592376,0.92981,,
1968-03-07,0.9169,0.9169,0.9169,0.9169,201328,0.9169,,
1968-03-08,0.92013,0.92013,0.92013,0.92013,201328,0.92013,,
1968-03-11,0.92658,0.92658,0.92658,0.92658,375556,0.92658,,
1968-03-12,0.92658,0.92658,0.92658,0.92658,147124,0.92658,,
1968-03-13,0.92336,0.92336,0.92336,0.92336,104536,0.92336,,
1968-03-14,0.90398,0.90398,0.90398,0.90398,387172,0.90398,,
