Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1975-05-19,0.12891,0.12891,0.12891,0.12891,25600,0.12891,,
1975-05-20,0.12891,0.12891,0.12793,0.12891,153600,0.12866,,
1975-05-22,0.12891,0.12891,0.12891,0.12891,51200,0.12891,,
1975-05-23,0.12891,0.12891,0.12793,0.12793,128000,0.12842,,
1975-05-27,0.12793,0.12793,0.12695,0.12695,89600,0.12744,,
1975-05-28,0.12793,0.12793,0.12793,0.12793,25600,0.12793,,
1975-06-02,0.12793,0.12891,0.12598,0.12891,64000,0.12793,,
1975-06-04,0.12891,0.12891,0.12891,0.12891,51200,0.12891,,
1975-06-05,0.13086,0.13086,0.13086,0.13086,12800,0.13086,,
1975-06-09,0.13281,0.13281,0.13281,0.13281,38400,0.13281,,
1975-06-11,0.13086,0.13086,0.13086,0.13086,12800,0.13086,,
1975-06-12,0.13086,0.13086,0.12891,0.12891,38400,0.12989,,
1975-06-13,0.12695,0.12695,0.12598,0.12598,51200,0.12647,,
1975-06-16,0.12793,0.12891,0.12793,0.12891,25600,0.12842,,
1975-06-18,0.12695,0.12695,0.12695,0.12695,25600,0.12695,,
1975-06-19,0.12695,0.12695,0.12598,0.12598,89600,0.12647,,
1975-06-20,0.12598,0.12793,0.12598,0.12695,102400,0.12671,,
1975-06-25,0.12598,0.12598,0.12598,0.12598,25600,0.12598,,
1975-06-27,0.12695,0.12695,0.12695,0.12695,25600,0.12695,,
1975-07-02,0.12891,0.12891,0.12891,0.12891,12800,0.12891,,
1975-07-03,0.12891,0.12891,0.12695,0.12891,76800,0.12842,,
1975-07-07,0.12695,0.12695,0.12598,0.12598,64000,0.12647,,
1975-07-08,0.12598,0.12793,0.12598,0.12598,115200,0.12647,,
1975-07-10,0.12793,0.12793,0.12793,0.12793,38400,0.12793,,
1975-07-11,0.12891,0.12891,0.12891,0.12891,12800,0.12891,,
1975-07-15,0.12891,0.12891,0.12695,0.12891,76800,0.12842,,
1975-07-16,0.12988,0.12988,0.12988,0.12988,25600,0.12988,,
1975-07-17,0.12988,0.12988,0.12988,0.12988,25600,0.12988,,
1975-07-18,0.12793,0.12793,0.12695,0.12695,64000,0.12744,,
1975-07-21,0.12695,0.12695,0.12695,0.12695,51200,0.12695,,
1975-07-24,0.12695,0.12695,0.12695,0.12695,76800,0.12695,,
1975-07-30,0.12695,0.12695,0.12695,0.12695,64000,0.12695,,
1975-07-31,0.12695,0.12695,0.12695,0.12695,12800,0.12695,,
1975-08-04,0.12695,0.12695,0.12402,0.12402,76800,0.12549,,
1975-08-06,0.125,0.125,0.125,0.125,25600,0.125,,
1975-08-13,0.125,0.125,0.125,0.125,89600,0.125,,
1975-08-14,0.12402,0.12402,0.12402,0.12402,12800,0.12402,,
1975-08-15,0.12207,0.12207,0.12109,0.12109,51200,0.12158,,
1975-08-18,0.12305,0.12305,0.12305,0.12305,12800,0.12305,,
1975-08-19,0.12305,0.12305,0.12305,0.12305,51200,0.12305,,
1975-08-21,0.12305,0.12305,0.12305,0.12305,153600,0.12305,,
1975-08-25,0.12207,0.12207,0.12207,0.12207,12800,0.12207,,
1975-08-26,0.12109,0.12109,0.12012,0.12012,64000,0.12061,,
1975-08-28,0.12207,0.12305,0.12207,0.12305,38400,0.12256,,
1975-09-02,0.125,0.125,0.125,0.125,89600,0.125,,
1975-09-04,0.12305,0.12305,0.12305,0.12305,12800,0.12305,,
1975-09-05,0.12305,0.12305,0.12305,0.12305,102400,0.12305,,
1975-09-08,0.12207,0.12207,0.12109,0.12109,25600,0.12158,,
1975-09-09,0.12109,0.12109,0.12109,0.12109,12800,0.12109,,
1975-09-12,0.12109,0.12109,0.12012,0.12012,64000,0.12061,,
1975-09-24,0.12207,0.12598,0.12207,0.12598,192000,0.12403,,
1975-09-25,0.12598,0.12598,0.12598,0.12598,12800,0.12598,,
1975-09-26,0.12695,0.12793,0.12695,0.12793,166400,0.12744,,
1975-09-29,0.12598,0.12598,0.12598,0.12598,38400,0.12598,,
1975-09-30,0.12695,0.12695,0.12695,0.12695,25600,0.12695,,
1975-10-01,0.12598,0.12598,0.12598,0.12598,89600,0.12598,,
1975-10-02,0.12598,0.12598,0.12598,0.12598,12800,0.12598,,
1975-10-07,0.12695,0.12695,0.12695,0.12695,12800,0.12695,,
1975-10-08,0.12598,0.12598,0.12598,0.12598,76800,0.12598,,
1975-10-10,0.12598,0.12598,0.125,0.125,89600,0.12549,,
1975-10-17,0.125,0.12695,0.12305,0.12695,89600,0.12549,,
1975-10-20,0.125,0.125,0.125,0.125,153600,0.125,,
1975-10-21,0.12695,0.12695,0.12695,0.12695,25600,0.12695,,
1975-10-22,0.125,0.125,0.12402,0.12402,64000,0.12451,,
1975-10-24,0.12598,0.12598,0.12598,0.12598,12800,0.12598,,
1975-10-27,0.12793,0.12793,0.12793,0.12793,51200,0.12793,,
1975-10-29,0.12598,0.12598,0.125,0.125,64000,0.12549,,
1975-10-31,0.12695,0.12695,0.12695,0.12695,12800,0.12695,,
1975-11-03,0.12793,0.12988,0.12793,0.12891,140800,0.12866,,
1975-11-04,0.12793,0.12793,0.12793,0.12793,12800,0.12793,,
1975-11-05,0.12598,0.12598,0.12598,0.12598,25600,0.12598,,
1975-11-06,0.125,0.125,0.12305,0.12305,140800,0.12403,,
1975-11-07,0.125,0.125,0.125,0.125,64000,0.125,,
1975-11-10,0.125,0.12598,0.125,0.12598,38400,0.12549,,
1975-11-11,0.12402,0.12402,0.12402,0.12402,51200,0.12402,,
1975-11-12,0.12598,0.12988,0.12598,0.12988,102400,0.12793,,
1975-11-13,0.13086,0.13281,0.13086,0.13281,192000,0.13184,,
1975-11-14,0.13086,0.13086,0.13086,0.13086,25600,0.13086,,
1975-11-17,0.13086,0.13086,0.13086,0.13086,25600,0.13086,,
1975-11-18,0.13086,0.13086,0.13086,0.13086,12800,0.13086,,
1975-11-19,0.13086,0.13086,0.13086,0.13086,12800,0.13086,,
1975-11-20,0.12988,0.12988,0.12988,0.12988,51200,0.12988,,
1975-11-21,0.12988,0.12988,0.12988,0.12988,12800,0.12988,,
1975-11-24,0.13086,0.13281,0.13086,0.13281,89600,0.13184,,
1975-11-25,0.13379,0.13379,0.13379,0.13379,12800,0.13379,,
1975-11-26,0.13379,0.13379,0.13379,0.13379,12800,0.13379,,
1975-11-28,0.13477,0.13867,0.13477,0.13867,179200,0.13672,,
1975-12-01,0.13867,0.13867,0.13867,0.13867,25600,0.13867,,
1975-12-02,0.13672,0.13672,0.13672,0.13672,115200,0.13672,,
1975-12-04,0.13672,0.13672,0.13672,0.13672,51200,0.13672,,
1975-12-08,0.1377,0.13867,0.1377,0.1377,76800,0.13794,,
1975-12-10,0.13965,0.13965,0.13965,0.13965,12800,0.13965,,
1975-12-11,0.13965,0.13965,0.1377,0.13867,51200,0.13892,,
1975-12-15,0.13867,0.13867,0.13867,0.13867,38400,0.13867,,
1975-12-16,0.1377,0.1377,0.1377,0.1377,25600,0.1377,,
1975-12-17,0.13672,0.13672,0.13672,0.13672,25600,0.13672,,
1975-12-18,0.13672,0.13867,0.13672,0.13867,38400,0.1377,,
1975-12-19,0.13867,0.13867,0.13867,0.13867,12800,0.13867,,
1975-12-22,0.13672,0.13672,0.13672,0.13672,38400,0.13672,,
1975-12-23,0.13672,0.1377,0.13574,0.1377,25600,0.13697,,
1975-12-24,0.1377,0.13867,0.13672,0.13867,76800,0.13794,,
