Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,1.04,1.04,1.04,1.04,62400,1.04,,
1968-01-03,1.1,1.1,1.1,1.1,67200,1.1,,
1968-01-04,1.1,1.1,1.1,1.1,74400,1.1,,
1968-01-05,1.11,1.11,1.11,1.11,69600,1.11,,
1968-01-08,1.11,1.11,1.11,1.11,91200,1.11,,
1968-01-09,1.11,1.11,1.11,1.11,86400,1.11,,
1968-01-10,1.1,1.1,1.1,1.1,62400,1.1,,
1968-01-11,1.11,1.11,1.11,1.11,40800,1.11,,
1968-01-12,1.1,1.1,1.1,1.1,62400,1.1,,
1968-01-15,1.1,1.1,1.1,1.1,38400,1.1,,
1968-01-16,1.12,1.12,1.12,1.12,45600,1.12,,
1968-01-17,1.12,1.12,1.12,1.12,26400,1.12,,
1968-01-18,1.12,1.12,1.12,1.12,31200,1.12,,
1968-01-19,1.13,1.13,1.13,1.13,55200,1.13,,
1968-01-22,1.12,1.12,1.12,1.12,100800,1.12,,
1968-01-23,1.12,1.12,1.12,1.12,105600,1.12,,
1968-01-24,1.12,1.12,1.12,1.12,81600,1.12,,
1968-01-25,1.1,1.1,1.1,1.1,40800,1.1,,
1968-01-26,1.11,1.11,1.11,1.11,33600,1.11,,
1968-01-29,1.11,1.11,1.11,1.11,33600,1.11,,
1968-01-30,1.13,1.13,1.13,1.13,40800,1.13,,
1968-01-31,1.17,1.17,1.17,1.17,276000,1.17,,
1968-02-01,1.17,1.17,1.17,1.17,28800,1.17,,
1968-02-02,1.17,1.17,1.17,1.17,43200,1.17,,
1968-02-05,1.16,1.16,1.16,1.16,67200,1.16,,
1968-02-06,1.16,1.16,1.16,1.16,19200,1.16,,
1968-02-07,1.16,1.16,1.16,1.16,50400,1.16,,
1968-02-08,1.15,1.15,1.15,1.15,69600,1.15,,
1968-02-09,1.12,1.12,1.12,1.12,38400,1.12,,
1968-02-13,1.09,1.09,1.09,1.09,110400,1.09,,
1968-02-14,1.1,1.1,1.1,1.1,9600,1.1,,
1968-02-15,1.12,1.12,1.12,1.12,72000,1.12,,
1968-02-16,1.11,1.11,1.11,1.11,28800,1.11,,
1968-02-19,1.11,1.11,1.11,1.11,33600,1.11,,
1968-02-20,1.1,1.1,1.1,1.1,36000,1.1,,
1968-02-21,1.12,1.12,1.12,1.12,105600,1.12,,
1968-02-23,1.1,1.1,1.1,1.1,24000,1.1,,
1968-02-26,1.11,1.11,1.11,1.11,21600,1.11,,
1968-02-27,1.11,1.11,1.11,1.11,48000,1.11,,
1968-02-28,1.07,1.07,1.07,1.07,88800,1.07,,
1968-02-29,1.08,1.08,1.08,1.08,31200,1.08,,
1968-03-01,1.09,1.09,1.09,1.09,16800,1.09,,
1968-03-04,1.08,1.08,1.08,1.08,24000,1.08,,
1968-03-05,1.05,1.05,1.05,1.05,57600,1.05,,
1968-03-06,1.07,1.07,1.07,1.07,40800,1.07,,
1968-03-07,1.06,1.06,1.06,1.06,12000,1.06,,
1968-03-08,1.07,1.07,1.07,1.07,21600,1.07,,
1968-03-11,1.08,1.08,1.08,1.08,31200,1.08,,
1968-03-12,1.08,1.08,1.08,1.08,28800,1.08,,
1968-03-13,1.07,1.07,1.07,1.07,31200,1.07,,
1968-03-14,1.08,1.08,1.08,1.08,7200,1.08,,
1968-03-15,1.09,1.09,1.09,1.09,12000,1.09,,
1968-03-18,1.07,1.07,1.07,1.07,52800,1.07,,
1968-03-19,1.08,1.08,1.08,1.08,38400,1.08,,
1968-03-20,1.07,1.07,1.07,1.07,16800,1.07,,
1968-03-21,1.07,1.07,1.07,1.07,21600,1.07,,
1968-03-22,1.08,1.08,1.08,1.08,9600,1.08,,
1968-03-25,1.07,1.07,1.07,1.07,9600,1.07,,
1968-03-26,1.06,1.06,1.06,1.06,88800,1.06,,
1968-03-27,1.07,1.07,1.07,1.07,67200,1.07,,
1968-03-28,1.07,1.07,1.07,1.07,26400,1.07,,
1968-03-29,1.05,1.05,1.05,1.05,36000,1.05,,
1968-04-01,1.06,1.06,1.06,1.06,31200,1.06,,
1968-04-02,1.07,1.07,1.07,1.07,19200,1.07,,
1968-04-03,1.06,1.06,1.06,1.06,14400,1.06,,
1968-04-04,1.07,1.07,1.07,1.07,21600,1.07,,
1968-04-05,1.08,1.08,1.08,1.08,24000,1.08,,
1968-04-08,1.09,1.09,1.09,1.09,141600,1.09,,
1968-04-10,1.09,1.09,1.09,1.09,194400,1.09,,
1968-04-11,1.1,1.1,1.1,1.1,98400,1.1,,
1968-04-15,1.09,1.09,1.09,1.09,52800,1.09,,
1968-04-16,1.09,1.09,1.09,1.09,79200,1.09,,
1968-04-17,1.11,1.11,1.11,1.11,55200,1.11,,
1968-04-18,1.11,1.11,1.11,1.11,31200,1.11,,
1968-04-19,1.1,1.1,1.1,1.1,45600,1.1,,
1968-04-22,1.09,1.09,1.09,1.09,55200,1.09,,
1968-04-23,1.08,1.08,1.08,1.08,19200,1.08,,
1968-04-24,1.09,1.09,1.09,1.09,153600,1.09,,
1968-04-25,1.08,1.08,1.08,1.08,43200,1.08,,
1968-04-26,1.07,1.07,1.07,1.07,26400,1.07,,
1968-04-29,1.08,1.08,1.08,1.08,100800,1.08,,
1968-04-30,1.08,1.08,1.08,1.08,38400,1.08,,
1968-05-01,1.07,1.07,1.07,1.07,43200,1.07,,
1968-05-02,1.08,1.08,1.08,1.08,72000,1.08,,
1968-05-03,1.08,1.08,1.08,1.08,62400,1.08,,
1968-05-06,1.06,1.06,1.06,1.06,72000,1.06,,
1968-05-07,1.08,1.08,1.08,1.08,36000,1.08,,
1968-05-08,1.09,1.09,1.09,1.09,38400,1.09,,
1968-05-09,1.11,1.11,1.11,1.11,136800,1.11,,
1968-05-10,1.15,1.15,1.15,1.15,165600,1.15,,
1968-05-13,1.16,1.16,1.16,1.16,88800,1.16,,
1968-05-14,1.17,1.17,1.17,1.17,67200,1.17,,
1968-05-15,1.21,1.21,1.21,1.21,309600,1.21,,
1968-05-16,1.25,1.25,1.25,1.25,424804,1.25,,
1968-05-17,1.23,1.23,1.23,1.23,208800,1.23,,
1968-05-20,1.19,1.19,1.19,1.19,213600,1.19,,
1968-05-21,1.22,1.22,1.22,1.22,129600,1.22,,
1968-05-22,1.26,1.26,1.26,1.26,372000,1.26,,
1968-05-23,1.28,1.28,1.28,1.28,184800,1.28,,
1968-05-24,1.29,1.29,1.29,1.29,213600,1.29,,
1968-05-27,1.29,1.29,1.29,1.29,91200,1.29,,
1968-05-28,1.26,1.26,1.26,1.26,81600,1.26,,
1968-05-29,1.23,1.23,1.23,1.23,76800,1.23,,
1968-05-31,1.2,1.2,1.2,1.2,57600,1.2,,
1968-06-03,1.23,1.23,1.23,1.23,72000,1.23,,
1968-06-04,1.27,1.27,1.27,1.27,55200,1.27,,
1968-06-05,1.31,1.31,1.31,1.31,201600,1.31,,
1968-06-06,1.4,1.4,1.4,1.4,264000,1.4,,
1968-06-07,1.36,1.36,1.36,1.36,252000,1.36,,
1968-06-10,1.34,1.34,1.34,1.34,100800,1.34,,
1968-06-11,1.32,1.32,1.32,1.32,129600,1.32,,
1968-06-13,1.31,1.31,1.31,1.31,91200,1.31,,
1968-06-14,1.29,1.29,1.29,1.29,81600,1.29,,
1968-06-17,1.25,1.25,1.25,1.25,57600,1.25,,
1968-06-18,1.23,1.23,1.23,1.23,55200,1.23,,
1968-06-20,1.22,1.22,1.22,1.22,57600,1.22,,
1968-06-21,1.23,1.23,1.23,1.23,60000,1.23,,
1968-06-24,1.25,1.25,1.25,1.25,91200,1.25,,
1968-06-25,1.27,1.27,1.27,1.27,26400,1.27,,
1968-06-27,1.29,1.29,1.29,1.29,64800,1.29,,
1968-06-28,1.28,1.28,1.28,1.28,28800,1.28,,
1968-07-01,1.27,1.27,1.27,1.27,55200,1.27,,
1968-07-02,1.26,1.26,1.26,1.26,52800,1.26,,
1968-07-03,1.27,1.27,1.27,1.27,33600,1.27,,
1968-07-08,1.27,1.27,1.27,1.27,43200,1.27,,
1968-07-09,1.26,1.26,1.26,1.26,50400,1.26,,
1968-07-11,1.22,1.22,1.22,1.22,108000,1.22,,
1968-07-12,1.24,1.24,1.24,1.24,55200,1.24,,
1968-07-15,1.24,1.24,1.24,1.24,40800,1.24,,
1968-07-16,1.26,1.26,1.26,1.26,36000,1.26,,
1968-07-18,1.25,1.25,1.25,1.25,60000,1.25,,
1968-07-19,1.24,1.24,1.24,1.24,19200,1.24,,
1968-07-22,1.21,1.21,1.21,1.21,31200,1.21,,
1968-07-23,1.17,1.17,1.17,1.17,48000,1.17,,
1968-07-25,1.17,1.17,1.17,1.17,45600,1.17,,
1968-07-26,1.17,1.17,1.17,1.17,31200,1.17,,
1968-07-29,1.17,1.17,1.17,1.17,43200,1.17,,
1968-07-30,1.16,1.16,1.16,1.16,12000,1.16,,
1968-08-01,1.16,1.16,1.16,1.16,36000,1.16,,
1968-08-02,1.17,1.17,1.17,1.17,19200,1.17,,
