Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2015-07-06,71.0,74.29,71.0,72.96,3809713,72.3125,0.73,99.94520547945204
2015-07-07,73.73,74.71,72.96,74.63,5794811,74.0075,0.73,102.23287671232876
2015-07-08,74.3,75.5,74.04,75.4,4277461,74.81,0.73,103.28767123287672
2015-07-09,76.47,77.07,74.5,74.8,4267100,75.71,0.73,102.46575342465754
2015-07-10,75.05,77.8,75.0,77.31,4983000,76.29,0.73,105.9041095890411
2015-07-13,79.5,79.7,77.91,78.83,9078901,78.985,0.73,107.98630136986301
2015-07-14,79.45,79.5,77.65,78.0,18746119,78.65,0.73,106.84931506849315
2015-07-15,77.65,78.17,76.4,76.71,6330500,77.2325,0.73,105.08219178082192
2015-07-16,76.97,78.84,76.95,78.75,5634100,77.8775,0.73,107.87671232876713
2015-07-17,79.43,79.69,77.26,79.63,6100900,79.0025,0.73,109.08219178082192
2015-07-20,79.95,81.2,79.13,80.11,10284545,80.0975,0.73,109.73972602739727
2015-07-21,79.97,80.68,79.4,80.22,6123210,80.0675,0.73,109.89041095890411
2015-07-22,80.83,80.9,78.58,78.64,5201248,79.7375,0.73,107.72602739726028
2015-07-23,78.42,78.57,76.64,76.74,2975649,77.5925,0.73,105.12328767123287
2015-07-24,76.92,77.43,75.95,76.41,3116008,76.6775,0.73,104.67123287671232
2015-07-27,76.63,77.98,76.29,77.38,5774342,77.07,0.73,106.0
2015-07-28,78.44,78.65,77.5,78.32,1895916,78.2275,0.73,107.2876712328767
2015-07-29,78.26,78.3,77.0,77.91,2278600,77.8675,0.73,106.72602739726027
2015-07-30,78.21,79.69,77.6,79.21,3247000,78.6775,0.73,108.5068493150685
2015-07-31,79.94,79.94,78.86,79.47,2685520,79.5525,0.73,108.86301369863014
2015-08-03,80.0,81.03,79.91,80.37,2681801,80.3275,0.73,110.09589041095892
2015-08-04,80.57,81.0,79.67,79.81,2429632,80.2625,0.73,109.32876712328768
2015-08-05,80.01,81.0,79.85,80.48,4324721,80.335,0.73,110.24657534246576
2015-08-06,81.05,81.19,79.51,79.76,3708640,80.3775,0.73,109.26027397260275
2015-08-07,79.14,79.38,77.29,78.46,3274134,78.5675,0.73,107.47945205479452
2015-08-10,79.43,79.8,78.57,78.81,3252300,79.1525,0.93,84.74193548387096
2015-08-11,77.63,80.48,77.07,77.97,3889100,78.2875,0.93,83.83870967741935
2015-08-12,77.83,78.31,76.09,76.69,3688888,77.23,0.93,82.46236559139784
2015-08-13,77.01,77.07,75.8,75.99,2917500,76.4675,0.93,81.70967741935483
2015-08-14,76.07,76.74,75.12,76.42,2573375,76.0875,0.93,82.17204301075269
2015-08-17,75.86,76.41,75.51,75.8,2260346,75.895,0.93,81.50537634408602
2015-08-18,75.72,75.95,75.06,75.19,2009700,75.48,0.93,80.84946236559139
2015-08-19,75.0,75.29,73.92,74.78,3026467,74.7475,0.93,80.40860215053763
2015-08-20,74.02,74.76,73.78,74.25,2207000,74.2025,0.93,79.83870967741935
2015-08-21,73.31,74.25,72.26,72.27,5564549,73.0225,0.93,77.70967741935483
2015-08-24,68.24,72.24,61.42,70.87,9844600,68.1925,0.93,76.20430107526882
2015-08-25,71.54,72.4,70.0,70.21,4423400,71.0375,0.93,75.49462365591397
2015-08-26,71.72,74.11,69.53,73.91,5356315,72.3175,0.93,79.47311827956989
2015-08-27,73.17,75.25,73.12,75.18,5937800,74.18,0.93,80.83870967741936
2015-08-28,74.4,75.19,73.82,74.69,2150122,74.525,0.93,80.31182795698923
2015-08-31,74.21,74.43,72.57,72.66,2688401,73.4675,0.93,78.12903225806451
2015-09-01,71.23,72.54,69.64,70.12,4671422,70.8825,0.93,75.3978494623656
2015-09-02,70.84,72.07,70.31,72.07,2986500,71.3225,0.93,77.49462365591397
2015-09-03,72.56,73.89,71.79,72.16,2595300,72.6,0.93,77.59139784946235
2015-09-04,71.14,71.69,70.13,70.57,2997042,70.8825,0.93,75.88172043010752
2015-09-08,71.85,74.33,70.81,74.07,4450700,72.765,0.93,79.64516129032256
2015-09-09,74.45,74.5,71.98,72.17,2936421,73.275,0.93,77.6021505376344
2015-09-10,72.13,73.05,71.78,72.16,3619700,72.28,0.93,77.59139784946235
2015-09-11,72.25,73.93,71.6,73.76,2146733,72.885,0.93,79.31182795698925
2015-09-14,73.5,74.71,72.56,74.55,2927415,73.83,0.93,80.16129032258064
2015-09-15,74.94,75.52,73.76,75.39,3393323,74.9025,0.93,81.06451612903226
2015-09-16,75.2,76.71,74.3,76.37,2302883,75.645,0.93,82.11827956989248
2015-09-17,76.58,77.76,76.0,76.43,3142630,76.6925,0.93,82.18279569892474
2015-09-18,75.55,76.5,75.01,75.44,7231726,75.625,0.93,81.11827956989247
2015-09-21,75.69,76.19,74.96,75.2,3256338,75.51,0.93,80.86021505376344
2015-09-22,74.15,74.87,73.66,74.31,2628741,74.2475,0.93,79.90322580645162
2015-09-23,74.17,74.6,73.26,73.31,3713200,73.835,0.93,78.82795698924731
2015-09-24,73.0,73.14,71.7,72.92,4416111,72.69,0.93,78.40860215053763
2015-09-25,73.8,73.85,72.78,73.35,3517027,73.445,0.93,78.87096774193547
2015-09-28,72.81,73.27,69.99,69.99,5006600,71.515,0.93,75.25806451612902
2015-09-29,70.16,70.98,68.65,69.2,3870926,69.7475,0.93,74.40860215053763
2015-09-30,69.67,70.8,69.46,70.58,3132800,70.1275,0.93,75.89247311827957
2015-10-01,71.27,71.97,69.77,70.83,2519700,70.96,0.93,76.16129032258064
2015-10-02,70.19,71.46,69.37,71.41,2593109,70.6075,0.93,76.78494623655914
2015-10-05,72.0,73.25,71.35,72.24,6323500,72.21,0.93,77.6774193548387
2015-10-06,72.29,73.05,71.89,72.47,2819787,72.425,0.93,77.9247311827957
2015-10-07,72.74,73.74,72.48,73.15,2325233,73.0275,0.93,78.65591397849462
2015-10-08,73.16,74.47,72.74,74.43,2239703,73.7,0.93,80.03225806451613
2015-10-09,74.41,75.22,73.99,74.39,2938100,74.5025,0.93,79.98924731182795
2015-10-12,74.41,74.41,73.31,73.72,2081888,73.9625,0.93,79.26881720430107
2015-10-13,73.61,73.93,73.18,73.38,2147545,73.525,0.93,78.9032258064516
2015-10-14,73.12,74.3,73.0,73.77,1956846,73.5475,0.93,79.32258064516128
2015-10-15,74.15,75.22,73.92,75.22,2135700,74.6275,0.93,80.88172043010752
2015-10-16,75.68,78.0,74.87,77.39,3435205,76.485,0.93,83.21505376344085
2015-10-19,76.89,77.2,76.29,76.8,1951906,76.795,0.93,82.58064516129032
2015-10-20,76.2,77.16,76.11,76.87,1922100,76.585,0.93,82.65591397849462
2015-10-21,77.0,77.74,76.63,77.05,2371767,77.105,0.93,82.84946236559139
2015-10-22,77.22,79.94,77.22,79.94,3951738,78.58,0.93,85.95698924731182
2015-10-23,79.15,79.89,77.43,77.98,3179036,78.6125,0.93,83.84946236559139
2015-10-26,78.18,78.18,76.48,76.81,2563812,77.4125,0.93,82.59139784946237
2015-10-27,76.21,77.48,76.21,77.17,2435227,76.7675,0.93,82.9784946236559
2015-10-28,77.15,79.2,76.34,79.18,2382026,77.9675,0.93,85.13978494623656
2015-10-29,78.84,79.0,77.85,78.65,1788502,78.585,0.93,84.56989247311829
2015-10-30,78.37,78.99,77.86,77.97,2053021,78.2975,0.93,83.83870967741935
2015-11-02,78.43,78.93,77.72,78.27,1536530,78.3375,0.93,84.16129032258064
2015-11-03,77.83,78.0,75.88,76.43,4489805,77.035,0.93,82.18279569892474
2015-11-04,76.32,76.67,75.24,75.82,2631285,76.0125,0.93,81.5268817204301
2015-11-05,76.2,76.5,74.75,75.42,3347202,75.7175,0.93,81.09677419354838
2015-11-06,73.75,74.5,71.58,72.01,8819900,72.96,-0.11,-654.6363636363636
2015-11-09,72.0,72.68,70.85,71.24,4231011,71.6925,-0.11,-647.6363636363636
2015-11-10,71.75,72.22,71.15,72.08,3470418,71.8,-0.11,-655.2727272727273
2015-11-11,72.7,72.86,71.36,72.11,3537798,72.2575,-0.11,-655.5454545454545
2015-11-12,71.18,71.38,70.25,70.9,3931505,70.9275,-0.11,-644.5454545454546
2015-11-13,70.62,71.71,70.58,70.77,3008004,70.92,-0.11,-643.3636363636364
2015-11-16,71.02,72.11,70.94,71.66,2398441,71.4325,-0.11,-651.4545454545454
2015-11-17,72.1,72.13,70.64,71.45,4247437,71.58,-0.11,-649.5454545454546
2015-11-18,71.84,73.04,71.17,72.58,3780235,72.1575,-0.11,-659.8181818181818
2015-11-19,73.25,73.73,72.34,73.34,2828700,73.165,-0.11,-666.7272727272727
2015-11-20,74.17,75.57,73.4,73.65,4003244,74.1975,-0.11,-669.5454545454546
2015-11-23,74.03,74.54,73.9,74.07,2706173,74.135,-0.11,-673.3636363636363
2015-11-24,73.73,74.51,73.68,74.47,2863937,74.0975,-0.11,-677.0
2015-11-25,74.45,74.92,73.85,74.64,2384100,74.465,-0.11,-678.5454545454545
2015-11-27,74.57,75.0,74.22,74.61,777321,74.6,-0.11,-678.2727272727273
2015-11-30,74.52,74.86,73.5,73.69,4200100,74.1425,-0.11,-669.9090909090909
2015-12-01,74.23,75.0,73.8,74.47,3749325,74.375,-0.11,-677.0
2015-12-02,74.21,74.62,72.92,73.04,2568705,73.6975,-0.11,-664.0
2015-12-03,73.3,73.68,71.09,71.46,3019136,72.3825,-0.11,-649.6363636363636
2015-12-04,71.4,72.73,71.07,72.22,4495900,71.855,-0.11,-656.5454545454545
2015-12-07,71.92,72.2,70.85,71.43,3323628,71.6,-0.11,-649.3636363636364
2015-12-08,71.0,71.65,70.59,71.53,4520579,71.1925,-0.11,-650.2727272727273
2015-12-09,71.16,72.17,70.5,70.9,3940800,71.1825,-0.11,-644.5454545454546
2015-12-10,70.83,71.33,70.51,70.84,2733737,70.8775,-0.11,-644.0
2015-12-11,70.09,70.69,69.39,69.69,3756000,69.965,-0.11,-633.5454545454545
2015-12-14,70.07,71.08,69.77,70.97,3895009,70.4725,-0.11,-645.1818181818181
2015-12-15,71.73,72.75,71.65,72.01,4168700,72.035,-0.11,-654.6363636363636
2015-12-16,72.61,73.2,71.89,73.01,2176900,72.6775,-0.11,-663.7272727272727
2015-12-17,72.95,73.3,71.9,71.92,2402721,72.5175,-0.11,-653.8181818181819
2015-12-18,71.42,71.94,70.63,70.67,6568343,71.165,-0.11,-642.4545454545455
2015-12-21,70.52,71.66,70.37,71.38,5466900,70.9825,-0.11,-648.9090909090909
2015-12-22,71.64,73.19,71.32,72.93,5053300,72.27,-0.11,-663.0000000000001
2015-12-23,73.3,74.78,72.99,74.51,4193443,73.895,-0.11,-677.3636363636364
2015-12-24,74.81,74.81,73.88,73.96,1962511,74.365,-0.11,-672.3636363636363
2015-12-28,73.71,73.78,72.89,73.42,5421800,73.45,-0.11,-667.4545454545455
2015-12-29,73.65,74.86,73.4,74.69,4351737,74.15,-0.11,-679.0
2015-12-30,74.65,74.96,73.71,73.75,1779981,74.2675,-0.11,-670.4545454545455
2015-12-31,73.37,73.5,72.63,72.76,1857100,73.065,-0.11,-661.4545454545455
2016-01-04,71.38,72.85,71.35,72.7,5209447,72.07,-0.11,-660.9090909090909
2016-01-05,72.74,73.58,72.28,73.39,3858575,72.9975,-0.11,-667.1818181818181
2016-01-06,72.2,73.68,72.03,73.53,3294730,72.86,-0.11,-668.4545454545455
2016-01-07,72.01,72.99,71.85,71.9,4050321,72.1875,-0.11,-653.6363636363637
2016-01-08,72.19,72.47,71.1,71.18,3092105,71.735,-0.11,-647.0909090909091
2016-01-11,71.35,72.53,70.77,72.27,3329473,71.73,-0.11,-657.0
2016-01-12,72.85,73.35,72.13,73.23,2924618,72.89,-0.11,-665.7272727272727
2016-01-13,73.19,73.44,70.64,70.81,3448500,72.02,-0.11,-643.7272727272727
2016-01-14,70.96,71.53,70.3,70.74,4610603,70.8825,-0.11,-643.090909090909
2016-01-15,68.9,70.15,68.18,69.2,6551215,69.1075,-0.11,-629.0909090909091
2016-01-19,70.01,70.52,69.55,70.17,5107100,70.0625,-0.11,-637.9090909090909
2016-01-20,69.28,71.58,68.74,71.17,4607000,70.1925,-0.11,-647.0
2016-01-21,72.0,73.33,71.33,73.05,6208213,72.4275,-0.11,-664.090909090909
2016-01-22,73.6,74.5,72.51,74.39,3111765,73.75,-0.11,-676.2727272727273
2016-01-25,73.7,74.67,73.34,74.03,4123100,73.935,-0.11,-673.0
2016-01-26,73.37,76.0,73.37,75.98,3851300,74.68,-0.11,-690.7272727272727
2016-01-27,75.87,77.15,75.15,75.97,5348200,76.035,-0.11,-690.6363636363636
2016-01-28,76.27,76.99,75.48,76.16,3542405,76.225,-0.11,-692.3636363636364
2016-01-29,76.9,78.22,76.4,78.06,4508248,77.395,-0.11,-709.6363636363636
2016-02-01,77.37,77.48,75.67,77.01,3564201,76.8825,-0.11,-700.0909090909091
2016-02-02,75.97,76.8,75.72,75.97,5631636,76.115,-0.11,-690.6363636363636
2016-02-03,76.37,76.37,73.83,74.89,6239700,75.365,-0.11,-680.8181818181819
2016-02-04,75.04,75.2,72.92,74.15,7077139,74.3275,-0.11,-674.0909090909091
2016-02-05,74.28,74.56,72.14,72.78,9351600,73.44,-0.11,-661.6363636363636
