Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,3.36,3.36,3.36,3.36,37353,3.36,,
1968-01-03,3.35,3.35,3.35,3.35,44144,3.35,,
1968-01-04,3.39,3.39,3.39,3.39,49239,3.39,,
1968-01-05,3.42,3.42,3.42,3.42,208842,3.42,,
1968-01-08,3.47,3.47,3.47,3.47,115456,3.47,,
1968-01-09,3.51,3.51,3.51,3.51,115456,3.51,,
1968-01-10,3.51,3.51,3.51,3.51,74706,3.51,,
1968-01-11,3.55,3.55,3.55,3.55,137529,3.55,,
1968-01-12,3.53,3.53,3.53,3.53,30561,3.53,,
1968-01-15,3.5,3.5,3.5,3.5,37353,3.5,,
1968-01-16,3.42,3.42,3.42,3.42,50936,3.42,,
1968-01-17,3.42,3.42,3.42,3.42,28863,3.42,,
1968-01-18,3.41,3.41,3.41,3.41,69613,3.41,,
1968-01-19,3.47,3.47,3.47,3.47,66217,3.47,,
1968-01-22,3.43,3.43,3.43,3.43,35655,3.43,,
1968-01-23,3.39,3.39,3.39,3.39,83196,3.39,,
1968-01-24,3.36,3.36,3.36,3.36,91686,3.36,,
1968-01-25,3.32,3.32,3.32,3.32,61123,3.32,,
1968-01-26,3.32,3.32,3.32,3.32,10187,3.32,,
1968-01-29,3.33,3.33,3.33,3.33,57727,3.33,,
1968-01-30,3.33,3.33,3.33,3.33,67915,3.33,,
1968-01-31,3.33,3.33,3.33,3.33,62822,3.33,,
1968-02-01,3.36,3.36,3.36,3.36,61123,3.36,,
1968-02-02,3.35,3.35,3.35,3.35,42447,3.35,,
1968-02-05,3.31,3.31,3.31,3.31,32259,3.31,,
1968-02-06,3.3,3.3,3.3,3.3,16978,3.3,,
1968-02-07,3.28,3.28,3.28,3.28,25467,3.28,,
1968-02-08,3.25,3.25,3.25,3.25,45843,3.25,,
1968-02-09,3.21,3.21,3.21,3.21,118852,3.21,,
1968-02-13,3.17,3.17,3.17,3.17,81499,3.17,,
1968-02-14,3.12,3.12,3.12,3.12,40749,3.12,,
1968-02-15,3.16,3.16,3.16,3.16,28863,3.16,,
1968-02-16,3.11,3.11,3.11,3.11,47540,3.11,,
1968-02-19,3.11,3.11,3.11,3.11,15280,3.11,,
1968-02-20,3.14,3.14,3.14,3.14,78103,3.14,,
1968-02-21,3.05,3.05,3.05,3.05,88290,3.05,,
1968-02-23,2.96,2.96,2.96,2.96,74706,2.96,,
1968-02-26,2.94,2.94,2.94,2.94,95082,2.94,,
1968-02-27,2.94,2.94,2.94,2.94,47540,2.94,,
1968-02-28,2.92,2.92,2.92,2.92,71311,2.92,,
1968-02-29,2.92,2.92,2.92,2.92,54332,2.92,,
1968-03-01,2.89,2.89,2.89,2.89,56030,2.89,,
1968-03-04,2.89,2.89,2.89,2.89,42447,2.89,,
1968-03-05,2.87,2.87,2.87,2.87,30561,2.87,,
1968-03-06,2.9,2.9,2.9,2.9,66217,2.9,,
1968-03-07,2.91,2.91,2.91,2.91,28863,2.91,,
1968-03-08,2.93,2.93,2.93,2.93,13583,2.93,,
1968-03-11,3.0,3.0,3.0,3.0,44144,3.0,,
1968-03-12,3.0,3.0,3.0,3.0,74706,3.0,,
1968-03-13,2.97,2.97,2.97,2.97,71311,2.97,,
1968-03-14,2.96,2.96,2.96,2.96,54332,2.96,,
1968-03-15,3.02,3.02,3.02,3.02,37353,3.02,,
1968-03-18,3.08,3.08,3.08,3.08,47540,3.08,,
1968-03-19,3.1,3.1,3.1,3.1,33957,3.1,,
1968-03-20,3.07,3.07,3.07,3.07,23770,3.07,,
1968-03-21,3.03,3.03,3.03,3.03,39050,3.03,,
1968-03-22,3.05,3.05,3.05,3.05,93384,3.05,,
1968-03-25,3.01,3.01,3.01,3.01,95082,3.01,,
1968-03-26,3.04,3.04,3.04,3.04,91686,3.04,,
1968-03-27,3.03,3.03,3.03,3.03,25467,3.03,,
1968-03-28,3.11,3.11,3.11,3.11,42447,3.11,,
1968-03-29,3.14,3.14,3.14,3.14,56030,3.14,,
1968-04-01,3.21,3.21,3.21,3.21,93384,3.21,,
1968-04-02,3.13,3.13,3.13,3.13,62822,3.13,,
1968-04-03,3.07,3.07,3.07,3.07,73009,3.07,,
1968-04-04,3.15,3.15,3.15,3.15,69613,3.15,,
1968-04-05,3.17,3.17,3.17,3.17,100175,3.17,,
1968-04-08,3.27,3.27,3.27,3.27,105269,3.27,,
1968-04-10,3.31,3.31,3.31,3.31,71311,3.31,,
1968-04-11,3.37,3.37,3.37,3.37,95082,3.37,,
1968-04-15,3.32,3.32,3.32,3.32,62822,3.32,,
1968-04-16,3.25,3.25,3.25,3.25,33957,3.25,,
1968-04-17,3.28,3.28,3.28,3.28,57727,3.28,,
1968-04-18,3.31,3.31,3.31,3.31,39050,3.31,,
1968-04-19,3.22,3.22,3.22,3.22,76405,3.22,,
1968-04-22,3.21,3.21,3.21,3.21,33957,3.21,,
1968-04-23,3.25,3.25,3.25,3.25,76405,3.25,,
1968-04-24,3.27,3.27,3.27,3.27,39050,3.27,,
1968-04-25,3.27,3.27,3.27,3.27,353163,3.27,,
1968-04-26,3.25,3.25,3.25,3.25,66217,3.25,,
1968-04-29,3.3,3.3,3.3,3.3,33957,3.3,,
1968-04-30,3.3,3.3,3.3,3.3,84895,3.3,,
1968-05-01,3.33,3.33,3.33,3.33,103571,3.33,,
1968-05-02,3.36,3.36,3.36,3.36,73009,3.36,,
1968-05-03,3.3,3.3,3.3,3.3,52634,3.3,,
1968-05-06,3.28,3.28,3.28,3.28,123946,3.28,,
1968-05-07,3.28,3.28,3.28,3.28,139227,3.28,,
1968-05-08,3.28,3.28,3.28,3.28,132435,3.28,,
1968-05-09,3.26,3.26,3.26,3.26,95082,3.26,,
1968-05-10,3.27,3.27,3.27,3.27,39050,3.27,,
1968-05-13,3.31,3.31,3.31,3.31,27166,3.31,,
1968-05-14,3.28,3.28,3.28,3.28,30561,3.28,,
1968-05-15,3.37,3.37,3.37,3.37,42447,3.37,,
1968-05-16,3.36,3.36,3.36,3.36,52634,3.36,,
1968-05-17,3.42,3.42,3.42,3.42,117155,3.42,,
1968-05-20,3.41,3.41,3.41,3.41,106967,3.41,,
