Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,0.9336,0.95313,0.91797,0.92969,153600,0.93359,,
1962-01-03,0.92969,0.94922,0.92578,0.94922,131200,0.94141,,
1962-01-04,0.94922,0.94922,0.9375,0.94531,99200,0.94271,,
1962-01-05,0.94531,0.94531,0.90625,0.92188,182400,0.92057,,
1962-01-08,0.92188,0.92188,0.89063,0.91797,208000,0.91016,,
1962-01-09,0.91797,0.91797,0.89844,0.89844,204800,0.90495,,
1962-01-10,0.89844,0.91406,0.89063,0.90625,121600,0.90365,,
1962-01-11,0.90625,0.90625,0.89063,0.89063,131200,0.89453,,
1962-01-12,0.89063,0.90234,0.88281,0.90234,76800,0.89583,,
1962-01-15,0.90234,0.90625,0.89063,0.89453,166400,0.89714,,
1962-01-16,0.89453,0.90625,0.89063,0.90234,80000,0.89974,,
1962-01-17,0.90234,0.91016,0.89063,0.89453,182400,0.89844,,
1962-01-18,0.89453,0.90234,0.88281,0.90234,188800,0.89583,,
1962-01-19,0.90234,0.92578,0.89063,0.89063,163200,0.90234,,
1962-01-22,0.89063,0.91797,0.89063,0.89844,169600,0.90234,,
1962-01-23,0.89844,0.91406,0.88672,0.88672,262400,0.89583,,
1962-01-24,0.88672,0.89063,0.875,0.88281,198400,0.88281,,
1962-01-25,0.88281,0.89453,0.875,0.875,112000,0.88151,,
1962-01-26,0.875,0.88281,0.875,0.88281,208000,0.88021,,
1962-01-29,0.88281,0.89063,0.875,0.87891,195200,0.88151,,
1962-01-30,0.87891,0.89453,0.875,0.89063,182400,0.88672,,
1962-01-31,0.89063,0.89453,0.87891,0.88281,67200,0.88542,,
1962-02-01,0.88281,0.90234,0.88281,0.89844,86400,0.89583,,
1962-02-02,0.89844,0.89844,0.87891,0.89063,179200,0.88802,,
1962-02-05,0.89063,0.91016,0.89063,0.89063,118400,0.89714,,
1962-02-06,0.89063,0.91016,0.89063,0.91016,134400,0.90365,,
1962-02-07,0.91016,0.91406,0.89453,0.89453,217600,0.90104,,
1962-02-08,0.89453,0.90234,0.89063,0.89063,211200,0.89453,,
1962-02-09,0.89063,0.89844,0.875,0.87891,195200,0.88411,,
1962-02-12,0.87891,0.87891,0.875,0.875,204800,0.8763,,
1962-02-13,0.875,0.87891,0.86719,0.87109,387200,0.8724,,
1962-02-14,0.87109,0.87109,0.86328,0.86719,124800,0.86719,,
1962-02-15,0.86719,0.875,0.86328,0.86328,214400,0.86719,,
1962-02-16,0.86328,0.86719,0.85938,0.85938,464000,0.86198,,
1962-02-19,0.85938,0.86328,0.85547,0.85547,169600,0.85807,,
1962-02-20,0.85547,0.85547,0.83984,0.84375,310400,0.84505,,
1962-02-21,0.84375,0.85156,0.83594,0.83594,192000,0.84115,,
1962-02-23,0.83594,0.84375,0.83594,0.83984,112000,0.83984,,
1962-02-26,0.83984,0.84375,0.82813,0.84375,169600,0.83854,,
1962-02-27,0.84375,0.84375,0.82813,0.82813,281600,0.83333,,
1962-02-28,0.82813,0.83984,0.82813,0.83594,169600,0.83464,,
1962-03-01,0.83594,0.83984,0.83203,0.83984,214400,0.83724,,
1962-03-02,0.83984,0.84375,0.83594,0.84375,99200,0.84115,,
1962-03-05,0.84375,0.84375,0.82813,0.83594,150400,0.83464,,
1962-03-06,0.83594,0.83984,0.82813,0.83594,275200,0.83464,,
1962-03-07,0.83594,0.84375,0.83203,0.84375,534400,0.83984,,
1962-03-08,0.84375,0.84375,0.83594,0.84375,112000,0.84115,,
1962-03-09,0.84375,0.85156,0.83984,0.85156,163200,0.84766,,
1962-03-12,0.85156,0.85547,0.84766,0.85156,131200,0.85156,,
1962-03-13,0.85156,0.85547,0.84375,0.84766,236800,0.84896,,
1962-03-14,0.84766,0.84766,0.83594,0.83594,476800,0.83984,,
1962-03-15,0.83594,0.85156,0.83203,0.85156,128000,0.84505,,
1962-03-16,0.85156,0.85938,0.84766,0.85547,96000,0.85417,,
1962-03-19,0.85547,0.86328,0.84375,0.84375,163200,0.85026,,
1962-03-20,0.84375,0.85156,0.82813,0.83203,396800,0.83724,,
1962-03-21,0.83203,0.83594,0.82813,0.83594,112000,0.83333,,
1962-03-22,0.83594,0.83984,0.82813,0.83203,118400,0.83333,,
1962-03-23,0.83203,0.83984,0.82813,0.83203,134400,0.83333,,
1962-03-26,0.83203,0.83594,0.82422,0.83594,137600,0.83203,,
1962-03-27,0.83594,0.83594,0.82422,0.83594,115200,0.83203,,
1962-03-28,0.83594,0.83594,0.82031,0.83203,134400,0.82943,,
1962-03-29,0.83203,0.83594,0.82813,0.83203,99200,0.83203,,
1962-03-30,0.83203,0.84375,0.82031,0.84375,108800,0.83594,,
1962-04-02,0.84375,0.84375,0.82813,0.82813,118400,0.83203,,
1962-04-03,0.82813,0.85547,0.82813,0.83203,131200,0.83984,,
1962-04-04,0.83203,0.83594,0.82813,0.82813,96000,0.83073,,
1962-04-05,0.82813,0.83594,0.81641,0.83594,118400,0.82943,,
1962-04-06,0.83594,0.84375,0.83203,0.83203,108800,0.83594,,
1962-04-09,0.83203,0.83984,0.82031,0.82422,99200,0.82813,,
1962-04-10,0.82422,0.84766,0.81641,0.84375,304000,0.83594,,
1962-04-11,0.84375,0.84375,0.8125,0.82031,163200,0.82161,,
1962-04-12,0.82031,0.82422,0.8125,0.8125,70400,0.81641,,
1962-04-13,0.8125,0.82031,0.8125,0.82031,185600,0.81771,,
1962-04-16,0.82031,0.82422,0.78516,0.80078,249600,0.80339,,
1962-04-17,0.80078,0.8125,0.78906,0.8125,166400,0.80469,,
1962-04-18,0.8125,0.82813,0.80469,0.82813,195200,0.82031,,
1962-04-19,0.82813,0.82813,0.80078,0.80078,144000,0.8099,,
1962-04-23,0.80078,0.8125,0.79688,0.80859,76800,0.80599,,
1962-04-24,0.80859,0.82031,0.80859,0.8125,163200,0.8151,,
1962-04-25,0.8125,0.82031,0.80078,0.80469,233600,0.80859,,
1962-04-26,0.80469,0.82422,0.80469,0.81641,115200,0.81771,,
1962-04-27,0.81641,0.81641,0.79688,0.80469,211200,0.80339,,
1962-04-30,0.80469,0.80469,0.78125,0.78125,128000,0.78906,,
1962-05-01,0.78125,0.79688,0.75781,0.79688,361600,0.78385,,
1962-05-02,0.79688,0.82031,0.78516,0.78906,140800,0.79818,,
1962-05-03,0.78906,0.80859,0.78906,0.80859,57600,0.80208,,
1962-05-04,0.80859,0.8125,0.79688,0.79688,96000,0.80208,,
1962-05-07,0.79688,0.80469,0.79297,0.79297,70400,0.79688,,
1962-05-08,0.79297,0.80469,0.78125,0.78516,182400,0.79036,,
1962-05-09,0.78516,0.79688,0.76563,0.76953,179200,0.77734,,
1962-05-10,0.76953,0.77734,0.75,0.77734,147200,0.76823,,
1962-05-11,0.77734,0.79297,0.75781,0.76563,105600,0.77214,,
1962-05-14,0.76563,0.77344,0.75,0.76953,99200,0.76432,,
1962-05-15,0.76953,0.78125,0.75781,0.77734,153600,0.77214,,
1962-05-16,0.77734,0.77734,0.75781,0.75781,105600,0.76302,,
1962-05-17,0.75781,0.77734,0.75781,0.76563,89600,0.76693,,
1962-05-18,0.76563,0.76953,0.75391,0.76953,112000,0.76432,,
1962-05-21,0.76953,0.76953,0.75,0.75391,121600,0.75651,,
1962-05-22,0.75391,0.76172,0.70703,0.71875,115200,0.72917,,
1962-05-23,0.71875,0.73047,0.70313,0.71484,252800,0.71615,,
1962-05-24,0.71484,0.71875,0.69922,0.70313,169600,0.70703,,
1962-05-25,0.70313,0.71875,0.69922,0.69922,160000,0.70573,,
1962-05-28,0.69922,0.71094,0.6875,0.6875,172800,0.69531,,
1962-05-29,0.6875,0.74219,0.6875,0.69922,313600,0.70964,,
1962-05-31,0.69922,0.75,0.69922,0.73438,323200,0.73307,,
1962-06-01,0.73438,0.76563,0.73047,0.74609,156800,0.7474,,
1962-06-04,0.74609,0.74609,0.72266,0.73828,217600,0.73438,,
1962-06-05,0.73828,0.75,0.71875,0.71875,176000,0.72917,,
1962-06-06,0.71875,0.76172,0.71875,0.73438,99200,0.73958,,
1962-06-07,0.73438,0.74609,0.73438,0.74609,41600,0.74219,,
1962-06-08,0.74609,0.74609,0.72266,0.72656,144000,0.73047,,
1962-06-11,0.72656,0.73438,0.71875,0.72266,76800,0.72526,,
1962-06-12,0.72266,0.72656,0.71875,0.72656,147200,0.72396,,
1962-06-13,0.72656,0.72656,0.67969,0.69141,668800,0.69792,,
1962-06-14,0.69141,0.71875,0.69141,0.69922,115200,0.70313,,
1962-06-15,0.69922,0.73047,0.69922,0.71875,86400,0.72005,,
1962-06-18,0.71875,0.73047,0.70313,0.71875,108800,0.71745,,
1962-06-19,0.71875,0.73828,0.71875,0.73438,35200,0.73047,,
1962-06-20,0.73438,0.74609,0.72266,0.74219,169600,0.73698,,
1962-06-21,0.74219,0.74219,0.72266,0.73047,76800,0.73047,,
1962-06-22,0.73047,0.73047,0.67578,0.68359,396800,0.69531,,
1962-06-25,0.68359,0.68359,0.625,0.64844,576000,0.65234,,
1962-06-26,0.64844,0.67578,0.64844,0.67188,281600,0.66536,,
