Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2023-05-04,25.53,26.98,25.25,26.9,77004200,26.165,0.27,99.62962962962962
2023-05-05,26.66,27.03,26.21,26.5,11291975,26.6,0.27,98.14814814814814
2023-05-08,26.33,26.85,25.91,26.51,6308300,26.4,0.27,98.18518518518519
2023-05-09,26.51,26.84,26.07,26.28,4684394,26.425,0.27,97.33333333333333
2023-05-10,26.28,26.77,26.01,26.25,9602428,26.3275,0.27,97.22222222222221
2023-05-11,26.03,26.33,26.0,26.0,5687334,26.09,0.27,96.29629629629629
2023-05-12,26.02,26.62,25.9,26.5,5433845,26.26,0.27,98.14814814814814
2023-05-15,26.5,27.8,26.5,27.5,7083230,27.075,0.27,101.85185185185185
2023-05-16,27.54,27.77,26.99,27.03,3820087,27.3325,0.27,100.11111111111111
2023-05-17,27.3,27.7,26.6,27.22,3392263,27.205,0.27,100.81481481481481
2023-05-18,27.22,27.35,26.7,27.04,2648100,27.0775,0.27,100.14814814814814
2023-05-19,27.04,27.26,26.69,27.23,1794414,27.055,0.27,100.85185185185185
2023-05-22,27.33,27.43,25.96,26.07,7509571,26.6975,0.27,96.55555555555556
2023-05-23,26.01,26.26,25.81,26.0,2485156,26.02,0.27,96.29629629629629
2023-05-24,26.01,26.55,25.86,26.45,1953645,26.2175,0.27,97.96296296296295
2023-05-25,26.5,26.64,25.9,26.33,2139400,26.3425,0.27,97.5185185185185
2023-05-26,26.43,26.43,26.2,26.3,844146,26.34,0.27,97.4074074074074
2023-05-30,26.28,26.5,25.13,25.73,6340200,25.91,0.27,95.29629629629629
2023-05-31,25.62,25.62,24.99,25.09,6347800,25.33,0.27,92.92592592592592
2023-06-01,25.3,25.64,24.75,25.28,6072717,25.2425,0.27,93.62962962962963
2023-06-02,25.26,25.7,24.97,25.55,2329438,25.37,0.27,94.62962962962962
2023-06-05,25.58,25.77,24.83,25.15,4799086,25.3325,0.27,93.14814814814814
2023-06-06,25.0,25.39,24.9,25.17,1315152,25.115,0.27,93.22222222222223
2023-06-07,25.1,25.26,24.91,25.08,1626684,25.0875,0.27,92.88888888888887
2023-06-08,24.99,25.16,24.81,25.11,2712896,25.0175,0.27,92.99999999999999
2023-06-09,25.05,25.16,24.85,25.1,1874183,25.04,0.27,92.96296296296296
2023-06-12,25.01,25.2,24.75,25.02,2619908,24.995,0.27,92.66666666666666
2023-06-13,24.99,25.22,24.96,25.13,2039885,25.075,0.27,93.07407407407406
2023-06-14,25.13,25.49,25.12,25.34,2412020,25.27,0.27,93.85185185185185
2023-06-15,25.4,25.95,25.18,25.75,1442937,25.57,0.27,95.37037037037037
2023-06-16,25.85,26.26,25.7,26.25,2333040,26.015,0.27,97.22222222222221
2023-06-20,25.95,26.38,25.94,26.06,1487500,26.0825,0.27,96.5185185185185
2023-06-21,26.19,26.7,25.77,26.2,3606079,26.215,0.27,97.03703703703702
2023-06-22,26.2,26.6,26.2,26.55,1130722,26.3875,0.27,98.33333333333333
2023-06-23,26.55,26.74,26.27,26.48,2793408,26.51,0.27,98.07407407407408
2023-06-26,26.59,26.6,26.02,26.15,2507300,26.34,0.27,96.85185185185183
2023-06-27,26.02,26.07,25.19,25.89,2904635,25.7925,0.27,95.88888888888889
2023-06-28,25.9,26.02,25.67,25.8,1807900,25.8475,0.27,95.55555555555556
2023-06-29,25.74,26.22,25.71,25.99,1353900,25.915,0.27,96.25925925925925
2023-06-30,26.04,26.66,25.97,26.42,3936600,26.2725,0.22,120.0909090909091
2023-07-03,26.31,26.6,25.8,26.04,7558600,26.1875,0.22,118.36363636363636
2023-07-05,25.91,26.25,25.62,25.7,1990827,25.87,0.22,116.81818181818181
2023-07-06,25.55,25.81,25.38,25.62,4856965,25.59,0.22,116.45454545454545
2023-07-07,25.62,25.65,25.21,25.22,1793704,25.425,0.22,114.63636363636363
2023-07-10,25.31,25.53,25.1,25.25,2121200,25.2975,0.22,114.77272727272727
2023-07-11,25.48,25.55,25.01,25.08,1942721,25.28,0.22,113.99999999999999
2023-07-12,25.27,25.37,24.96,25.25,2320900,25.2125,0.22,114.77272727272727
2023-07-13,25.42,25.5,24.88,25.4,2477990,25.3,0.22,115.45454545454545
2023-07-14,25.53,25.61,24.72,24.94,3830357,25.2,0.22,113.36363636363637
2023-07-17,24.9,25.06,24.74,24.89,1709357,24.8975,0.22,113.13636363636364
2023-07-18,24.75,25.03,24.75,24.81,1713515,24.835,0.22,112.77272727272727
2023-07-19,24.88,25.04,24.5,25.0,2870800,24.855,0.22,113.63636363636364
2023-07-20,23.95,24.62,22.49,24.51,36675606,23.8925,0.22,111.40909090909092
2023-07-21,24.65,24.88,23.78,24.01,14587910,24.33,0.22,109.13636363636364
2023-07-24,23.17,24.41,23.12,24.16,22641618,23.715,0.22,109.81818181818181
2023-07-25,24.34,25.12,24.15,25.12,15018140,24.6825,0.22,114.18181818181819
2023-07-26,25.09,25.23,24.29,24.69,10716442,24.825,0.22,112.22727272727273
2023-07-27,24.95,25.0,23.96,24.24,11476343,24.5375,0.22,110.18181818181817
2023-07-28,24.23,24.43,24.05,24.4,13217823,24.2775,0.22,110.9090909090909
2023-07-31,24.01,24.08,23.5,23.68,14634905,23.8175,0.22,107.63636363636364
2023-08-01,23.51,23.77,23.38,23.65,14687140,23.5775,0.22,107.5
2023-08-02,23.55,23.92,23.37,23.9,16233758,23.685,0.22,108.63636363636363
2023-08-03,24.03,24.44,23.75,23.99,16111000,24.0525,0.22,109.04545454545453
2023-08-04,24.02,24.02,23.27,23.53,20999546,23.71,0.22,106.95454545454545
2023-08-07,23.67,23.68,23.32,23.54,15379100,23.5525,0.22,107.0
2023-08-08,23.55,23.55,23.21,23.38,20150645,23.4225,0.22,106.27272727272727
2023-08-09,23.3,23.44,23.06,23.35,40849128,23.2875,0.22,106.13636363636364
2023-08-10,23.75,23.89,23.11,23.37,51365500,23.53,0.22,106.22727272727273
2023-08-11,23.3,23.8,23.25,23.72,46063248,23.5175,0.22,107.81818181818181
2023-08-14,23.6,23.7,22.85,22.94,89481200,23.2725,0.22,104.27272727272728
2023-08-15,22.92,23.77,22.64,23.26,105996543,23.1475,0.22,105.72727272727273
2023-08-16,23.49,23.55,22.81,22.93,86179200,23.195,0.22,104.22727272727272
2023-08-17,23.12,23.29,22.55,22.78,71709344,22.935,0.22,103.54545454545455
2023-08-18,22.96,23.0,22.36,22.87,93537450,22.7975,0.22,103.95454545454545
2023-08-21,23.17,23.69,22.81,22.9,178017500,23.1425,0.22,104.09090909090908
2023-08-22,23.24,23.82,23.12,23.74,90558800,23.48,0.22,107.9090909090909
2023-08-23,23.85,24.05,23.62,23.62,119406822,23.785,0.22,107.36363636363637
2023-08-24,23.96,24.1,23.14,23.66,372341300,23.715,0.22,107.54545454545455
2023-08-25,23.2,23.29,22.82,22.97,86974649,23.07,0.22,104.4090909090909
2023-08-28,22.92,23.2,22.61,22.97,39395000,22.925,0.22,104.4090909090909
2023-08-29,22.73,23.13,22.57,22.86,59445836,22.8225,0.22,103.9090909090909
2023-08-30,22.84,23.14,22.65,23.07,36094000,22.925,0.22,104.86363636363636
2023-08-31,23.09,23.33,23.01,23.05,36119737,23.12,0.22,104.77272727272728
2023-09-01,23.2,23.33,22.87,22.96,27566397,23.09,0.22,104.36363636363637
2023-09-05,22.92,22.98,22.59,22.61,28465015,22.775,0.22,102.77272727272727
2023-09-06,22.66,22.71,22.3,22.38,24727734,22.5125,0.22,101.72727272727272
2023-09-07,22.44,22.58,20.96,20.99,102648329,21.7425,0.22,95.4090909090909
2023-09-08,20.86,21.43,20.38,21.3,59636110,20.9925,0.22,96.81818181818183
2023-09-11,22.13,22.18,21.6,22.07,42830617,21.995,0.22,100.31818181818181
2023-09-12,22.08,22.12,21.01,21.06,43697200,21.5675,0.22,95.72727272727272
2023-09-13,21.09,21.91,21.08,21.6,35434531,21.42,0.22,98.18181818181819
2023-09-14,21.83,21.83,21.5,21.74,22195700,21.725,0.22,98.81818181818181
2023-09-15,21.72,21.87,21.2,21.22,32265181,21.5025,0.22,96.45454545454545
2023-09-18,21.35,21.35,20.83,21.08,18035300,21.1525,0.22,95.81818181818181
2023-09-19,20.91,21.1,20.69,21.06,21146004,20.94,0.22,95.72727272727272
2023-09-20,21.25,21.4,20.88,20.89,15624589,21.105,0.22,94.95454545454545
2023-09-21,20.92,21.26,20.71,20.84,20602784,20.9325,0.22,94.72727272727272
2023-09-22,20.95,21.03,20.5,20.55,14866415,20.7575,0.22,93.4090909090909
2023-09-25,20.51,20.85,20.47,20.83,16272155,20.665,0.22,94.68181818181817
