Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,1.23,1.23,1.23,1.23,81846,1.23,,
1968-01-03,1.25,1.25,1.25,1.25,105718,1.25,,
1968-01-04,1.26,1.26,1.26,1.26,180746,1.26,,
1968-01-05,1.26,1.26,1.26,1.26,187566,1.26,,
1968-01-08,1.29,1.29,1.29,1.29,323980,1.29,,
1968-01-09,1.31,1.31,1.31,1.31,364902,1.31,,
1968-01-10,1.32,1.32,1.32,1.32,296696,1.32,,
1968-01-11,1.31,1.31,1.31,1.31,197798,1.31,,
1968-01-12,1.32,1.32,1.32,1.32,105718,1.32,,
1968-01-15,1.31,1.31,1.31,1.31,139822,1.31,,
1968-01-16,1.31,1.31,1.31,1.31,57974,1.31,,
1968-01-17,1.31,1.31,1.31,1.31,136412,1.31,,
1968-01-18,1.31,1.31,1.31,1.31,344442,1.31,,
1968-01-19,1.31,1.31,1.31,1.31,40922,1.31,,
1968-01-22,1.26,1.26,1.26,1.26,95488,1.26,,
1968-01-23,1.23,1.23,1.23,1.23,272824,1.23,,
1968-01-24,1.25,1.25,1.25,1.25,81846,1.25,,
1968-01-25,1.22,1.22,1.22,1.22,105718,1.22,,
1968-01-26,1.2,1.2,1.2,1.2,167104,1.2,,
1968-01-29,1.22,1.22,1.22,1.22,150052,1.22,,
1968-01-30,1.2,1.2,1.2,1.2,71616,1.2,,
1968-01-31,1.23,1.23,1.23,1.23,194388,1.23,,
1968-02-01,1.25,1.25,1.25,1.25,665010,1.25,,
1968-02-02,1.27,1.27,1.27,1.27,75026,1.27,,
1968-02-05,1.29,1.29,1.29,1.29,262594,1.29,,
1968-02-06,1.29,1.29,1.29,1.29,139822,1.29,,
1968-02-07,1.29,1.29,1.29,1.29,85256,1.29,,
1968-02-08,1.27,1.27,1.27,1.27,47744,1.27,,
1968-02-09,1.27,1.27,1.27,1.27,98898,1.27,,
1968-02-13,1.22,1.22,1.22,1.22,64796,1.22,,
1968-02-14,1.2,1.2,1.2,1.2,289876,1.2,,
1968-02-15,1.23,1.23,1.23,1.23,61384,1.23,,
1968-02-16,1.25,1.25,1.25,1.25,98898,1.25,,
1968-02-19,1.26,1.26,1.26,1.26,47744,1.26,,
1968-02-20,1.25,1.25,1.25,1.25,399006,1.25,,
