Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,0.19011,0.19184,0.18924,0.18924,345600,0.1901,,
1962-01-03,0.18924,0.18924,0.1849,0.18576,1209600,0.18562,,
1962-01-04,0.18576,0.1875,0.18446,0.18707,2592000,0.18634,,
1962-01-05,0.18707,0.19531,0.18403,0.18924,2937600,0.18953,,
1962-01-08,0.18924,0.18924,0.18663,0.18793,1382400,0.18793,,
1962-01-09,0.18793,0.18924,0.18446,0.18446,460800,0.18605,,
1962-01-10,0.18446,0.18663,0.18099,0.18359,4089600,0.18374,,
1962-01-11,0.18359,0.18359,0.18142,0.18316,691200,0.18258,,
1962-01-12,0.18316,0.18403,0.18316,0.18359,460800,0.18374,,
1962-01-15,0.18359,0.18403,0.18229,0.18229,633600,0.18287,,
1962-01-16,0.18229,0.18229,0.17188,0.17448,2592000,0.17564,,
1962-01-17,0.17448,0.17578,0.17188,0.17361,1382400,0.17376,,
1962-01-18,0.17361,0.17491,0.17361,0.17361,1094400,0.17405,,
1962-01-19,0.17361,0.17708,0.17361,0.17708,748800,0.17607,,
1962-01-22,0.17708,0.18012,0.17665,0.17708,1497600,0.17795,,
1962-01-23,0.17708,0.17752,0.17361,0.17405,576000,0.17506,,
1962-01-24,0.17405,0.17405,0.17274,0.17361,518400,0.17332,,
1962-01-25,0.17361,0.17708,0.17274,0.17687,633600,0.17556,,
1962-01-26,0.17687,0.17708,0.17535,0.17535,230400,0.17593,,
1962-01-29,0.17535,0.17535,0.17296,0.17296,403200,0.17347,,
1962-01-30,0.17296,0.17622,0.17296,0.17622,518400,0.17513,,
1962-01-31,0.17622,0.17622,0.17405,0.17622,1152000,0.17549,,
1962-02-01,0.17622,0.17773,0.17622,0.17773,979200,0.17723,,
1962-02-02,0.17773,0.17795,0.17578,0.17708,1094400,0.17694,,
1962-02-05,0.17708,0.18012,0.17708,0.17795,864000,0.17867,,
1962-02-06,0.17795,0.17925,0.17752,0.17752,518400,0.1781,,
1962-02-07,0.17752,0.1786,0.17622,0.1786,518400,0.17781,,
1962-02-08,0.1786,0.17925,0.17795,0.17839,633600,0.17853,,
1962-02-09,0.17839,0.17882,0.17622,0.1786,864000,0.17788,,
1962-02-12,0.1786,0.17882,0.17708,0.17882,345600,0.17824,,
1962-02-13,0.17882,0.17882,0.17622,0.17795,518400,0.17737,,
1962-02-14,0.17795,0.17795,0.17622,0.17622,172800,0.1765,,
1962-02-15,0.17622,0.17795,0.17622,0.17795,403200,0.17752,,
1962-02-16,0.17795,0.18056,0.17795,0.17969,864000,0.17954,,
1962-02-19,0.17969,0.17969,0.17622,0.17708,460800,0.17737,,
1962-02-20,0.17708,0.17795,0.17708,0.17708,230400,0.17737,,
1962-02-21,0.17708,0.17969,0.17708,0.17708,691200,0.17795,,
1962-02-23,0.17708,0.17795,0.17622,0.17795,403200,0.17737,,
1962-02-26,0.17795,0.17795,0.17622,0.17622,403200,0.1765,,
1962-02-27,0.17622,0.17622,0.17535,0.17535,345600,0.17549,,
1962-02-28,0.17535,0.17622,0.17405,0.17405,288000,0.17477,,
1962-03-01,0.17405,0.17448,0.17361,0.17405,288000,0.17405,,
1962-03-02,0.17405,0.17491,0.17318,0.1747,979200,0.17426,,
1962-03-05,0.1747,0.17491,0.17014,0.17188,921600,0.17231,,
1962-03-06,0.17188,0.17188,0.1684,0.17101,864000,0.17043,,
1962-03-07,0.17101,0.17101,0.16971,0.16971,1440000,0.16985,,
1962-03-08,0.16971,0.17188,0.16971,0.17188,864000,0.17115,,
1962-03-09,0.17188,0.17188,0.17014,0.17036,1497600,0.17079,,
1962-03-12,0.17036,0.17057,0.16927,0.16971,518400,0.16985,,
1962-03-13,0.16971,0.16971,0.1684,0.16927,748800,0.16913,,
1962-03-14,0.16927,0.17274,0.16927,0.17101,1497600,0.17101,,
1962-03-15,0.17101,0.17144,0.17057,0.17057,172800,0.17086,,
1962-03-16,0.17057,0.17101,0.17014,0.17014,576000,0.17043,,
1962-03-19,0.17014,0.17101,0.16971,0.16971,691200,0.17014,,
1962-03-20,0.16971,0.17014,0.16971,0.17014,460800,0.16999,,
1962-03-21,0.17014,0.17014,0.16971,0.17014,576000,0.16999,,
1962-03-22,0.17014,0.17014,0.16971,0.16971,691200,0.16985,,
1962-03-23,0.16971,0.16971,0.16884,0.16884,921600,0.16913,,
1962-03-26,0.16884,0.16884,0.15972,0.16016,2361600,0.16262,,
1962-03-27,0.16016,0.16016,0.15213,0.15647,7545600,0.15553,,
1962-03-28,0.15647,0.15712,0.15582,0.1569,3513600,0.15661,,
1962-03-29,0.1569,0.15799,0.15668,0.15668,2016000,0.15712,,
1962-03-30,0.15668,0.15668,0.1556,0.15625,2649600,0.15618,,
1962-04-02,0.15625,0.15625,0.15495,0.15495,1152000,0.15538,,
1962-04-03,0.15495,0.15495,0.15104,0.15148,2995200,0.15234,,
1962-04-04,0.15148,0.15148,0.14627,0.14713,3744000,0.14815,,
1962-04-05,0.14713,0.14757,0.14345,0.1467,4550400,0.14591,,
1962-04-06,0.1467,0.14887,0.1467,0.1467,2592000,0.14742,,
1962-04-09,0.1467,0.14692,0.14063,0.1467,3628800,0.14475,,
1962-04-10,0.1467,0.1467,0.13889,0.14605,7545600,0.14388,,
1962-04-11,0.14605,0.148,0.14497,0.14757,4262400,0.14685,,
1962-04-12,0.14757,0.14844,0.14627,0.1467,2476800,0.14714,,
1962-04-13,0.1467,0.14757,0.14605,0.1467,1324800,0.14677,,
1962-04-16,0.1467,0.148,0.1467,0.1467,864000,0.14713,,
1962-04-17,0.1467,0.14757,0.14627,0.14713,1382400,0.14699,,
1962-04-18,0.14713,0.14952,0.1467,0.14952,2304000,0.14858,,
1962-04-19,0.14952,0.15017,0.14844,0.15017,979200,0.1496,,
1962-04-23,0.15017,0.15365,0.15017,0.15278,1324800,0.15249,,
1962-04-24,0.15278,0.1543,0.15278,0.15321,806400,0.15357,,
1962-04-25,0.15321,0.15365,0.15017,0.15017,1785600,0.15133,,
1962-04-26,0.15017,0.15017,0.14583,0.14583,806400,0.14699,,
1962-04-27,0.14583,0.14583,0.14323,0.14366,1843200,0.14395,,
1962-04-30,0.14366,0.14583,0.14366,0.1441,864000,0.14453,,
1962-05-01,0.1441,0.14627,0.1441,0.14583,1036800,0.14554,,
1962-05-02,0.14583,0.14844,0.14583,0.14757,1267200,0.14757,,
1962-05-03,0.14757,0.15104,0.14757,0.15017,979200,0.14988,,
1962-05-04,0.15017,0.15104,0.15017,0.15061,864000,0.15061,,
1962-05-07,0.15061,0.15061,0.14931,0.15017,1209600,0.15003,,
1962-05-08,0.15017,0.15104,0.14887,0.14974,633600,0.14988,,
1962-05-09,0.14974,0.15017,0.14887,0.14909,1324800,0.14938,,
1962-05-10,0.14909,0.14974,0.14779,0.14779,1958400,0.14844,,
1962-05-11,0.14779,0.14844,0.14258,0.14258,2649600,0.14453,,
1962-05-14,0.14258,0.1441,0.13932,0.1441,2131200,0.14251,,
1962-05-15,0.1441,0.14931,0.1441,0.14909,1843200,0.14822,,
1962-05-16,0.14909,0.14952,0.1467,0.1467,691200,0.14764,,
1962-05-17,0.1467,0.1467,0.14366,0.14366,1728000,0.14468,,
1962-05-18,0.14366,0.14366,0.13759,0.13889,3398400,0.13997,,
1962-05-21,0.13889,0.13889,0.13563,0.13672,2361600,0.13708,,
1962-05-22,0.13672,0.13672,0.13542,0.13628,2880000,0.136,,
1962-05-23,0.13628,0.14106,0.13628,0.13715,2822400,0.13846,,
