Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.74766,0.74766,0.74766,0.74766,923414,0.74766,,
1968-01-03,0.75924,0.75924,0.75924,0.75924,939614,0.75924,,
1968-01-04,0.77081,0.77081,0.77081,0.77081,788412,0.77081,,
1968-01-05,0.75924,0.75924,0.75924,0.75924,469804,0.75924,,
1968-01-08,0.75924,0.75924,0.75924,0.75924,486004,0.75924,,
1968-01-09,0.7685,0.7685,0.7685,0.7685,977414,0.7685,,
1968-01-10,0.77775,0.77775,0.77775,0.77775,745212,0.77775,,
1968-01-11,0.80553,0.80553,0.80553,0.80553,820814,0.80553,,
1968-01-12,0.80553,0.80553,0.80553,0.80553,869414,0.80553,,
1968-01-15,0.77313,0.77313,0.77313,0.77313,977414,0.77313,,
1968-01-16,0.7685,0.7685,0.7685,0.7685,1177216,0.7685,,
1968-01-17,0.74998,0.74998,0.74998,0.74998,399602,0.74998,,
1968-01-18,0.74303,0.74303,0.74303,0.74303,680412,0.74303,,
1968-01-19,0.7384,0.7384,0.7384,0.7384,329402,0.7384,,
1968-01-22,0.7384,0.7384,0.7384,0.7384,621012,0.7384,,
1968-01-23,0.74072,0.74072,0.74072,0.74072,329402,0.74072,,
1968-01-24,0.74998,0.74998,0.74998,0.74998,426604,0.74998,,
1968-01-25,0.73609,0.73609,0.73609,0.73609,820814,0.73609,,
1968-01-26,0.74072,0.74072,0.74072,0.74072,880214,0.74072,,
1968-01-29,0.75229,0.75229,0.75229,0.75229,415804,0.75229,,
1968-01-30,0.7384,0.7384,0.7384,0.7384,572404,0.7384,,
1968-01-31,0.73146,0.73146,0.73146,0.73146,561604,0.73146,,
1968-02-01,0.74535,0.74535,0.74535,0.74535,577804,0.74535,,
1968-02-02,0.73377,0.73377,0.73377,0.73377,502204,0.73377,,
1968-02-05,0.72915,0.72915,0.72915,0.72915,388802,0.72915,,
1968-02-06,0.71294,0.71294,0.71294,0.71294,534604,0.71294,,
1968-02-07,0.70368,0.70368,0.70368,0.70368,459004,0.70368,,
1968-02-08,0.69442,0.69442,0.69442,0.69442,415804,0.69442,,
1968-02-09,0.69442,0.69442,0.69442,0.69442,361802,0.69442,,
1968-02-13,0.68979,0.68979,0.68979,0.68979,842414,0.68979,,
1968-02-14,0.69905,0.69905,0.69905,0.69905,826214,0.69905,,
1968-02-15,0.69442,0.69442,0.69442,0.69442,432004,0.69442,,
1968-02-16,0.69674,0.69674,0.69674,0.69674,761412,0.69674,,
1968-02-19,0.68517,0.68517,0.68517,0.68517,464404,0.68517,,
1968-02-20,0.68748,0.68748,0.68748,0.68748,405004,0.68748,,
1968-02-21,0.70368,0.70368,0.70368,0.70368,988214,0.70368,,
1968-02-23,0.69211,0.69211,0.69211,0.69211,518404,0.69211,,
