Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,1.57,1.57,1.57,1.57,6222,1.57,,
1968-01-03,1.57,1.62,1.57,1.62,174229,1.595,,
1968-01-04,1.62,1.64,1.62,1.64,88670,1.63,,
1968-01-05,1.64,1.66,1.64,1.66,17111,1.65,,
1968-01-08,1.66,1.66,1.62,1.62,9333,1.64,,
1968-01-09,1.62,1.66,1.62,1.66,3111,1.64,,
1968-01-10,1.66,1.66,1.66,1.66,1555,1.66,,
1968-01-11,1.66,1.7,1.66,1.7,6222,1.68,,
1968-01-12,1.7,1.74,1.7,1.74,18667,1.72,,
1968-01-15,1.74,1.77,1.74,1.77,6222,1.755,,
1968-01-16,1.77,1.82,1.77,1.82,18667,1.795,,
1968-01-17,1.82,1.86,1.82,1.86,32668,1.84,,
1968-01-18,1.86,1.94,1.86,1.94,26445,1.9,,
1968-01-19,1.94,1.96,1.94,1.96,9333,1.95,,
1968-01-22,1.96,1.96,1.93,1.93,12444,1.945,,
1968-01-23,1.93,1.93,1.93,1.93,23334,1.93,,
1968-01-24,1.93,1.93,1.91,1.91,20223,1.92,,
1968-01-25,1.91,1.91,1.9,1.9,6222,1.905,,
1968-01-26,1.9,1.9,1.9,1.9,7778,1.9,,
1968-01-29,1.9,1.9,1.9,1.9,3111,1.9,,
1968-01-31,1.9,1.9,1.88,1.88,4666,1.89,,
1968-02-01,1.88,1.88,1.88,1.88,9333,1.88,,
1968-02-02,1.88,1.9,1.88,1.9,17111,1.89,,
1968-02-05,1.9,1.9,1.88,1.88,1555,1.89,,
1968-02-06,1.88,1.88,1.87,1.87,9333,1.875,,
1968-02-07,1.87,1.9,1.87,1.9,12444,1.885,,
1968-02-08,1.9,1.93,1.9,1.93,21778,1.915,,
1968-02-09,1.93,1.93,1.93,1.93,18667,1.93,,
1968-02-14,1.93,1.93,1.93,1.93,149339,1.93,,
1968-02-15,1.93,1.93,1.9,1.9,3111,1.915,,
1968-02-16,1.9,1.9,1.9,1.9,15556,1.9,,
1968-02-19,1.9,1.9,1.9,1.9,4666,1.9,,
1968-02-20,1.9,1.93,1.9,1.93,7778,1.915,,
1968-02-21,1.93,1.93,1.86,1.86,23334,1.895,,
1968-02-23,1.86,1.87,1.86,1.87,12444,1.865,,
1968-02-26,1.87,1.88,1.87,1.88,4666,1.875,,
1968-02-27,1.88,1.89,1.88,1.89,12444,1.885,,
1968-02-28,1.89,1.91,1.89,1.91,3111,1.9,,
1968-02-29,1.91,1.91,1.9,1.9,15556,1.905,,
1968-03-01,1.9,1.9,1.89,1.89,9333,1.895,,
1968-03-04,1.89,1.9,1.89,1.9,6222,1.895,,
1968-03-05,1.9,1.91,1.9,1.91,12444,1.905,,
1968-03-06,1.91,1.91,1.88,1.88,3111,1.895,,
