Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1973-05-09,0.16406,0.16406,0.16406,0.16406,28800,0.16406,,
1973-05-10,0.1658,0.17448,0.1658,0.17448,172800,0.17014,,
1973-05-11,0.17622,0.18056,0.17622,0.18056,331200,0.17839,,
1973-05-14,0.17969,0.17969,0.17969,0.17969,0,0.17969,,
1973-05-15,0.17882,0.17882,0.17535,0.17535,316800,0.17709,,
1973-05-16,0.17361,0.17361,0.17014,0.17014,71872,0.17188,,
1973-05-17,0.1684,0.1684,0.1658,0.1658,86400,0.1671,,
1973-05-18,0.16406,0.16406,0.15972,0.15972,201600,0.16189,,
1973-05-21,0.15799,0.15799,0.15104,0.15104,100800,0.15452,,
1973-05-22,0.15278,0.15278,0.15278,0.15278,14272,0.15278,,
1973-05-23,0.14931,0.14931,0.14931,0.14931,0,0.14931,,
1973-05-24,0.14931,0.14931,0.14931,0.14931,0,0.14931,,
1973-05-25,0.15278,0.15278,0.15278,0.15278,14272,0.15278,,
1973-05-29,0.15452,0.15452,0.15452,0.15452,28800,0.15452,,
1973-05-30,0.15191,0.15191,0.15104,0.15104,129472,0.15148,,
1973-05-31,0.14931,0.14931,0.14931,0.14931,28800,0.14931,,
1973-06-01,0.1467,0.1467,0.14497,0.14584,216000,0.14605,,
1973-06-04,0.1441,0.1441,0.13542,0.13542,331200,0.13976,,
1973-06-05,0.13281,0.13281,0.11545,0.11545,403200,0.12413,,
1973-06-06,0.11545,0.13021,0.11111,0.13021,662400,0.12175,,
1973-06-07,0.13195,0.13195,0.13195,0.13195,57600,0.13195,,
1973-06-08,0.13368,0.13455,0.13368,0.13368,43200,0.1339,,
1973-06-11,0.12934,0.12934,0.12934,0.12934,0,0.12934,,
1973-06-12,0.13542,0.13542,0.13542,0.13542,14272,0.13542,,
1973-06-13,0.13715,0.13715,0.13715,0.13715,14272,0.13715,,
1973-06-14,0.13542,0.13542,0.13195,0.13195,115200,0.13369,,
1973-06-15,0.13021,0.13021,0.12761,0.12761,187072,0.12891,,
1973-06-18,0.125,0.125,0.12327,0.125,331200,0.12457,,
1973-06-19,0.12413,0.12413,0.12413,0.12413,14272,0.12413,,
