Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1975-06-12,15.25,15.25,15.25,15.25,680800,15.25,,
1975-06-13,15.44,15.44,15.44,15.44,434400,15.44,,
1975-06-16,15.25,15.25,15.25,15.25,195800,15.25,,
1975-06-17,14.94,14.94,14.94,14.94,278800,14.94,,
1975-06-18,15.38,15.38,15.38,15.38,178200,15.38,,
1975-06-19,15.63,15.63,15.63,15.63,190400,15.63,,
1975-06-20,15.69,15.69,15.69,15.69,304800,15.69,,
1975-06-23,15.56,15.56,15.56,15.56,119400,15.56,,
1975-06-24,15.25,15.25,15.25,15.25,240000,15.25,,
1975-06-25,15.13,15.13,15.13,15.13,158400,15.13,,
1975-06-26,15.0,15.0,15.0,15.0,121200,15.0,,
1975-06-27,14.94,14.94,14.94,14.94,88000,14.94,,
1975-06-30,15.25,15.25,15.25,15.25,123200,15.25,,
1975-07-01,15.06,15.06,15.06,15.06,87200,15.06,,
1975-07-02,14.94,14.94,14.94,14.94,139400,14.94,,
1975-07-03,15.56,15.56,15.56,15.56,158600,15.56,,
1975-07-07,15.19,15.19,15.19,15.19,112400,15.19,,
1975-07-08,15.13,15.13,15.13,15.13,144000,15.13,,
1975-07-09,15.5,15.5,15.5,15.5,223000,15.5,,
1975-07-10,15.44,15.44,15.44,15.44,227600,15.44,,
1975-07-11,16.0,16.0,16.0,16.0,293400,16.0,,
1975-07-14,16.81,16.81,16.81,16.81,371800,16.81,,
1975-07-15,16.75,16.75,16.75,16.75,281600,16.75,,
1975-07-16,16.69,16.69,16.69,16.69,364600,16.69,,
1975-07-17,16.94,16.94,16.94,16.94,222000,16.94,,
1975-07-18,17.75,17.75,17.75,17.75,351000,17.75,,
1975-07-21,17.56,17.56,17.56,17.56,204800,17.56,,
1975-07-22,16.94,16.94,16.94,16.94,234000,16.94,,
1975-07-23,16.63,16.63,16.63,16.63,176800,16.63,,
1975-07-24,16.38,16.38,16.38,16.38,143400,16.38,,
1975-07-25,15.94,15.94,15.94,15.94,102600,15.94,,
1975-07-28,15.88,15.88,15.88,15.88,96000,15.88,,
1975-07-29,15.38,15.38,15.38,15.38,160200,15.38,,
1975-07-30,15.56,15.56,15.56,15.56,118600,15.56,,
1975-07-31,15.25,15.25,15.25,15.25,88400,15.25,,
1975-08-01,14.94,14.94,14.94,14.94,101600,14.94,,
1975-08-04,14.94,14.94,14.94,14.94,0,14.94,,
1975-08-05,15.44,15.44,15.44,15.44,120200,15.44,,
1975-08-06,16.06,16.06,16.06,16.06,109800,16.06,,
1975-08-07,15.38,15.38,15.38,15.38,127200,15.38,,
1975-08-08,14.81,14.81,14.81,14.81,144600,14.81,,
1975-08-11,15.13,15.13,15.13,15.13,111400,15.13,,
1975-08-12,15.06,15.06,15.06,15.06,81600,15.06,,
1975-08-13,14.25,14.25,14.25,14.25,112400,14.25,,
1975-08-14,14.25,14.25,14.25,14.25,104200,14.25,,
1975-08-15,14.0,14.0,14.0,14.0,73600,14.0,,
1975-08-18,13.38,13.38,13.38,13.38,78400,13.38,,
1975-08-19,13.38,13.38,13.38,13.38,69800,13.38,,
1975-08-20,13.81,13.81,13.81,13.81,83600,13.81,,
