Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1969-09-08,0.73176,0.73176,0.73176,0.73176,297600,0.73176,,
1969-09-09,0.73958,0.73958,0.73958,0.73958,129600,0.73958,,
1969-09-10,0.73697,0.73697,0.73697,0.73697,120000,0.73697,,
1969-09-11,0.74739,0.74739,0.74739,0.74739,110400,0.74739,,
1969-09-12,0.73958,0.73958,0.73958,0.73958,52800,0.73958,,
1969-09-15,0.73697,0.73697,0.73697,0.73697,120000,0.73697,,
1969-09-16,0.76041,0.76041,0.76041,0.76041,201600,0.76041,,
1969-09-17,0.80468,0.80468,0.80468,0.80468,753604,0.80468,,
1969-09-18,0.82812,0.82812,0.82812,0.82812,230400,0.82812,,
1969-09-19,0.82551,0.82551,0.82551,0.82551,182400,0.82551,,
1969-09-22,0.82291,0.82291,0.82291,0.82291,139200,0.82291,,
1969-09-23,0.80208,0.80208,0.80208,0.80208,182400,0.80208,,
1969-09-24,0.80208,0.80208,0.80208,0.80208,76800,0.80208,,
1969-09-25,0.79426,0.79426,0.79426,0.79426,748804,0.79426,,
1969-09-26,0.78645,0.78645,0.78645,0.78645,484804,0.78645,,
1969-09-29,0.78124,0.78124,0.78124,0.78124,38400,0.78124,,
1969-09-30,0.78645,0.78645,0.78645,0.78645,81600,0.78645,,
1969-10-01,0.79166,0.79166,0.79166,0.79166,76800,0.79166,,
1969-10-02,0.79166,0.79166,0.79166,0.79166,192000,0.79166,,
1969-10-03,0.79166,0.79166,0.79166,0.79166,129600,0.79166,,
1969-10-06,0.79687,0.79687,0.79687,0.79687,52800,0.79687,,
1969-10-07,0.79166,0.79166,0.79166,0.79166,24000,0.79166,,
1969-10-08,0.78645,0.78645,0.78645,0.78645,91200,0.78645,,
1969-10-09,0.78385,0.78385,0.78385,0.78385,230400,0.78385,,
1969-10-10,0.78385,0.78385,0.78385,0.78385,134400,0.78385,,
1969-10-13,0.79166,0.79166,0.79166,0.79166,96000,0.79166,,
1969-10-14,0.80208,0.80208,0.80208,0.80208,201600,0.80208,,
1969-10-15,0.82291,0.82291,0.82291,0.82291,369600,0.82291,,
1969-10-16,0.82812,0.82812,0.82812,0.82812,403204,0.82812,,
1969-10-17,0.84114,0.84114,0.84114,0.84114,72000,0.84114,,
1969-10-20,0.83593,0.83593,0.83593,0.83593,91200,0.83593,,
1969-10-21,0.83593,0.83593,0.83593,0.83593,105600,0.83593,,
1969-10-22,0.83853,0.83853,0.83853,0.83853,72000,0.83853,,
1969-10-23,0.84374,0.84374,0.84374,0.84374,158400,0.84374,,
1969-10-24,0.84895,0.84895,0.84895,0.84895,52800,0.84895,,
1969-10-27,0.85937,0.85937,0.85937,0.85937,76800,0.85937,,
1969-10-28,0.85676,0.85676,0.85676,0.85676,43200,0.85676,,
1969-10-29,0.86197,0.86197,0.86197,0.86197,168000,0.86197,,
1969-10-30,0.85676,0.85676,0.85676,0.85676,76800,0.85676,,
1969-10-31,0.86197,0.86197,0.86197,0.86197,86400,0.86197,,
1969-11-03,0.86458,0.86458,0.86458,0.86458,14400,0.86458,,
1969-11-04,0.86458,0.86458,0.86458,0.86458,62400,0.86458,,
1969-11-05,0.89582,0.89582,0.89582,0.89582,177600,0.89582,,
1969-11-06,0.90624,0.90624,0.90624,0.90624,1795216,0.90624,,
1969-11-07,0.91145,0.91145,0.91145,0.91145,72000,0.91145,,
1969-11-10,0.93228,0.93228,0.93228,0.93228,72000,0.93228,,
1969-11-11,0.95832,0.95832,0.95832,0.95832,76800,0.95832,,
1969-11-12,0.93228,0.93228,0.93228,0.93228,292800,0.93228,,
1969-11-13,0.85416,0.85416,0.85416,0.85416,676804,0.85416,,
1969-11-14,0.85937,0.85937,0.85937,0.85937,86400,0.85937,,
1969-11-17,0.8802,0.8802,0.8802,0.8802,336000,0.8802,,
1969-11-18,0.87499,0.87499,0.87499,0.87499,43200,0.87499,,
1969-11-19,0.87499,0.87499,0.87499,0.87499,62400,0.87499,,
1969-11-20,0.86458,0.86458,0.86458,0.86458,475204,0.86458,,
1969-11-21,0.86458,0.86458,0.86458,0.86458,43200,0.86458,,
1969-11-24,0.85676,0.85676,0.85676,0.85676,1214412,0.85676,,
1969-11-25,0.85416,0.85416,0.85416,0.85416,124800,0.85416,,
1969-11-26,0.84895,0.84895,0.84895,0.84895,268800,0.84895,,
1969-11-28,0.85416,0.85416,0.85416,0.85416,62400,0.85416,,
1969-12-01,0.85416,0.85416,0.85416,0.85416,105600,0.85416,,
1969-12-02,0.84635,0.84635,0.84635,0.84635,33600,0.84635,,
1969-12-03,0.78124,0.78124,0.78124,0.78124,216000,0.78124,,
1969-12-04,0.79426,0.79426,0.79426,0.79426,72000,0.79426,,
1969-12-05,0.80728,0.80728,0.80728,0.80728,91200,0.80728,,
1969-12-08,0.79687,0.79687,0.79687,0.79687,163200,0.79687,,
1969-12-09,0.78906,0.78906,0.78906,0.78906,326400,0.78906,,
1969-12-10,0.78645,0.78645,0.78645,0.78645,28800,0.78645,,
1969-12-11,0.78124,0.78124,0.78124,0.78124,62400,0.78124,,
1969-12-12,0.78124,0.78124,0.78124,0.78124,48000,0.78124,,
1969-12-15,0.77603,0.77603,0.77603,0.77603,115200,0.77603,,
1969-12-16,0.76041,0.76041,0.76041,0.76041,369600,0.76041,,
1969-12-17,0.72916,0.72916,0.72916,0.72916,1204812,0.72916,,
1969-12-18,0.72916,0.72916,0.72916,0.72916,105600,0.72916,,
1969-12-19,0.74478,0.74478,0.74478,0.74478,33600,0.74478,,
1969-12-22,0.73176,0.73176,0.73176,0.73176,28800,0.73176,,
1969-12-23,0.72916,0.72916,0.72916,0.72916,124800,0.72916,,
1969-12-24,0.73958,0.73958,0.73958,0.73958,96000,0.73958,,
1969-12-26,0.74739,0.74739,0.74739,0.74739,57600,0.74739,,
1969-12-29,0.70833,0.70833,0.70833,0.70833,158400,0.70833,,
1969-12-30,0.70572,0.70572,0.70572,0.70572,316800,0.70572,,
1969-12-31,0.71874,0.71874,0.71874,0.71874,177600,0.71874,,
1970-01-02,0.71093,0.71093,0.71093,0.71093,28800,0.71093,,
1970-01-05,0.70833,0.70833,0.70833,0.70833,24000,0.70833,,
1970-01-06,0.71093,0.71093,0.71093,0.71093,9600,0.71093,,
1970-01-07,0.72135,0.72135,0.72135,0.72135,28800,0.72135,,
1970-01-08,0.71354,0.71354,0.71354,0.71354,52800,0.71354,,
1970-01-09,0.70833,0.70833,0.70833,0.70833,28800,0.70833,,
1970-01-12,0.69531,0.69531,0.69531,0.69531,129600,0.69531,,
1970-01-13,0.70833,0.70833,0.70833,0.70833,144000,0.70833,,
1970-01-14,0.72395,0.72395,0.72395,0.72395,96000,0.72395,,
1970-01-15,0.72916,0.72916,0.72916,0.72916,24000,0.72916,,
1970-01-16,0.72916,0.72916,0.72916,0.72916,211200,0.72916,,
1970-01-19,0.72916,0.72916,0.72916,0.72916,57600,0.72916,,
1970-01-20,0.71354,0.71354,0.71354,0.71354,182400,0.71354,,
1970-01-21,0.70312,0.70312,0.70312,0.70312,48000,0.70312,,
1970-01-22,0.70833,0.70833,0.70833,0.70833,28800,0.70833,,
1970-01-23,0.69791,0.69791,0.69791,0.69791,24000,0.69791,,
1970-01-26,0.69791,0.69791,0.69791,0.69791,182400,0.69791,,
1970-01-27,0.69531,0.69531,0.69531,0.69531,177600,0.69531,,
1970-01-28,0.69791,0.69791,0.69791,0.69791,38400,0.69791,,
1970-01-29,0.6927,0.6927,0.6927,0.6927,115200,0.6927,,
1970-01-30,0.67968,0.67968,0.67968,0.67968,43200,0.67968,,
1970-02-02,0.66926,0.66926,0.66926,0.66926,177600,0.66926,,
1970-02-03,0.67968,0.67968,0.67968,0.67968,57600,0.67968,,
1970-02-04,0.68229,0.68229,0.68229,0.68229,76800,0.68229,,
1970-02-05,0.65624,0.65624,0.65624,0.65624,134400,0.65624,,
1970-02-06,0.65364,0.65364,0.65364,0.65364,52800,0.65364,,
1970-02-09,0.65885,0.65885,0.65885,0.65885,91200,0.65885,,
1970-02-10,0.65885,0.65885,0.65885,0.65885,57600,0.65885,,
1970-02-11,0.65885,0.65885,0.65885,0.65885,48000,0.65885,,
1970-02-12,0.66666,0.66666,0.66666,0.66666,28800,0.66666,,
1970-02-13,0.66666,0.66666,0.66666,0.66666,235200,0.66666,,
1970-02-16,0.65885,0.65885,0.65885,0.65885,148800,0.65885,,
1970-02-17,0.65624,0.65624,0.65624,0.65624,230400,0.65624,,
1970-02-18,0.65624,0.65624,0.65624,0.65624,57600,0.65624,,
1970-02-19,0.66145,0.66145,0.66145,0.66145,110400,0.66145,,
1970-02-20,0.66145,0.66145,0.66145,0.66145,86400,0.66145,,
1970-02-24,0.66145,0.66145,0.66145,0.66145,388800,0.66145,,
1970-02-25,0.65885,0.65885,0.65885,0.65885,28800,0.65885,,
1970-02-26,0.66145,0.66145,0.66145,0.66145,9600,0.66145,,
1970-02-27,0.66406,0.66406,0.66406,0.66406,33600,0.66406,,
1970-03-02,0.66145,0.66145,0.66145,0.66145,129600,0.66145,,
1970-03-03,0.66406,0.66406,0.66406,0.66406,9600,0.66406,,
1970-03-04,0.66666,0.66666,0.66666,0.66666,100800,0.66666,,
1970-03-05,0.68229,0.68229,0.68229,0.68229,177600,0.68229,,
1970-03-06,0.67708,0.67708,0.67708,0.67708,115200,0.67708,,
1970-03-09,0.67708,0.67708,0.67708,0.67708,148800,0.67708,,
1970-03-10,0.67708,0.67708,0.67708,0.67708,24000,0.67708,,
1970-03-11,0.67708,0.67708,0.67708,0.67708,480004,0.67708,,
1970-03-12,0.67708,0.67708,0.67708,0.67708,120000,0.67708,,
1970-03-13,0.67708,0.67708,0.67708,0.67708,163200,0.67708,,
1970-03-16,0.67187,0.67187,0.67187,0.67187,153600,0.67187,,
1970-03-17,0.66926,0.66926,0.66926,0.66926,86400,0.66926,,
1970-03-18,0.68229,0.68229,0.68229,0.68229,129600,0.68229,,
1970-03-19,0.67708,0.67708,0.67708,0.67708,52800,0.67708,,
1970-03-20,0.66926,0.66926,0.66926,0.66926,312000,0.66926,,
1970-03-23,0.65624,0.65624,0.65624,0.65624,235200,0.65624,,
1970-03-24,0.65624,0.65624,0.65624,0.65624,422404,0.65624,,
1970-03-25,0.67447,0.67447,0.67447,0.67447,206400,0.67447,,
1970-03-26,0.67708,0.67708,0.67708,0.67708,43200,0.67708,,
1970-03-30,0.67708,0.67708,0.67708,0.67708,33600,0.67708,,
1970-03-31,0.68749,0.68749,0.68749,0.68749,76800,0.68749,,
