Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1987-04-06,13.04,13.3,12.86,13.04,224285,13.06,,
1987-04-07,13.04,13.04,12.6,12.6,422285,12.82,,
1987-04-08,12.78,13.21,12.78,13.13,685285,12.975,,
1987-04-09,13.13,13.13,12.51,12.51,1215428,12.82,,
1987-04-10,12.51,12.78,12.51,12.69,320000,12.6225,,
1987-04-13,12.69,12.69,12.25,12.34,435285,12.4925,,
1987-04-14,12.25,12.25,11.11,11.29,240428,11.725,,
1987-04-15,11.46,12.25,11.46,12.25,605571,11.855,,
1987-04-16,12.43,12.69,12.43,12.6,330571,12.5375,,
1987-04-20,12.6,12.6,12.43,12.43,199000,12.515,,
1987-04-21,12.43,12.51,12.25,12.34,410285,12.3825,,
1987-04-22,12.34,12.43,11.81,12.08,415000,12.165,,
1987-04-23,12.08,12.34,12.08,12.16,329571,12.165,,
1987-04-24,12.16,12.25,11.81,11.81,204714,12.0075,,
1987-04-27,11.73,11.73,11.2,11.55,666428,11.5525,,
1987-04-28,11.55,12.25,11.55,11.99,388857,11.835,,
1987-04-29,12.08,12.25,12.08,12.08,535000,12.1225,,
1987-04-30,12.08,12.6,12.08,12.6,1208285,12.34,,
1987-05-01,12.6,12.86,12.51,12.6,1019714,12.6425,,
1987-05-04,12.6,13.04,12.6,12.95,303142,12.7975,,
1987-05-05,12.95,13.56,12.6,13.56,1495142,13.1675,,
1987-05-06,13.56,14.53,13.48,14.53,1482571,14.025,,
1987-05-07,15.31,15.66,15.31,15.58,2112571,15.465,,
1987-05-08,15.49,15.49,15.14,15.31,522000,15.3575,,
1987-05-11,15.31,16.36,15.31,15.75,1164285,15.6825,,
1987-05-12,15.75,15.84,15.58,15.75,604142,15.73,,
1987-05-13,15.75,15.84,15.14,15.31,330428,15.51,,
1987-05-14,15.31,15.4,15.05,15.23,487857,15.2475,,
1987-05-15,15.23,15.4,14.79,14.96,583857,15.095,,
1987-05-18,14.79,14.79,14.35,14.7,551714,14.6575,,
1987-05-19,14.7,14.7,14.44,14.53,386000,14.5925,,
1987-05-20,14.44,14.44,14.09,14.09,440142,14.265,,
1987-05-21,14.09,14.35,13.83,14.26,369857,14.1325,,
1987-05-22,14.26,14.53,14.18,14.53,365285,14.375,,
1987-05-26,14.53,15.4,14.44,15.23,572285,14.9,,
1987-05-27,15.23,15.31,15.05,15.14,302142,15.1825,,
1987-05-28,15.14,15.14,14.35,15.05,235714,14.92,,
1987-05-29,15.05,15.31,14.88,15.31,411571,15.1375,,
1987-06-01,15.31,15.49,15.23,15.31,518714,15.335,,
1987-06-02,15.31,15.31,15.05,15.14,307857,15.2025,,
1987-06-03,15.14,15.31,15.05,15.23,631428,15.1825,,
1987-06-04,15.23,15.4,15.23,15.4,823000,15.315,,
1987-06-05,15.4,15.49,15.23,15.31,420142,15.3575,,
1987-06-08,15.31,15.58,15.31,15.58,443142,15.445,,
1987-06-09,15.58,15.66,15.31,15.4,1219714,15.4875,,
1987-06-10,15.4,15.93,15.4,15.4,486714,15.5325,,
1987-06-11,15.4,15.49,15.23,15.23,127285,15.3375,,
1987-06-12,15.23,15.23,14.79,14.88,541000,15.0325,,
1987-06-15,14.88,15.4,14.88,15.23,385000,15.0975,,
1987-06-16,15.23,15.31,15.14,15.31,229000,15.2475,,
1987-06-17,15.31,15.4,15.23,15.23,394428,15.2925,,
1987-06-18,15.14,15.14,14.88,14.96,84714,15.03,,
1987-06-19,14.96,15.31,14.96,15.31,406428,15.135,,
1987-06-22,15.31,15.58,15.23,15.4,778285,15.38,,
1987-06-23,15.4,15.4,15.14,15.4,631428,15.335,,
1987-06-24,15.31,15.31,15.05,15.23,345428,15.225,,
1987-06-25,15.23,15.4,15.14,15.31,256428,15.27,,
1987-06-26,15.31,15.4,15.05,15.05,556000,15.2025,,
1987-06-29,15.31,15.75,15.31,15.66,1458285,15.5075,,
1987-06-30,15.75,16.36,15.75,15.93,990571,15.9475,,
1987-07-01,16.1,16.98,16.1,16.89,800857,16.5175,,
1987-07-02,16.98,17.41,16.98,17.24,907285,17.1525,,
1987-07-06,17.33,17.68,17.33,17.68,1123571,17.505,,
1987-07-07,17.68,18.46,17.68,18.38,1560428,18.05,,
1987-07-08,18.38,18.55,17.76,18.02,1451857,18.1775,,
1987-07-09,18.11,18.73,18.11,18.73,1417428,18.42,,
1987-07-10,18.64,18.64,18.2,18.38,667000,18.465,,
1987-07-13,18.38,18.64,17.94,18.2,631142,18.29,,
1987-07-14,18.2,18.29,17.85,18.29,1219285,18.1575,,
1987-07-15,18.29,18.81,18.02,18.46,1169714,18.395,,
1987-07-16,18.46,18.81,18.38,18.81,560571,18.615,,
1987-07-17,18.81,19.08,18.64,19.08,1541428,18.9025,,
1987-07-20,19.08,19.08,18.81,18.9,576142,18.9675,,
1987-07-21,18.9,18.9,18.29,18.29,712714,18.595,,
1987-07-22,18.11,18.11,17.59,17.76,962428,17.8925,,
1987-07-23,17.68,17.68,16.8,16.98,699000,17.285,,
1987-07-24,16.98,17.41,16.98,17.06,533428,17.1075,,
1987-07-27,17.06,18.11,17.06,18.02,616428,17.5625,,
1987-07-28,18.02,18.38,17.85,18.38,726428,18.1575,,
1987-07-29,18.46,18.99,18.46,18.73,1373142,18.66,,
1987-07-30,18.73,18.9,18.38,18.64,501285,18.6625,,
1987-07-31,18.64,18.64,17.94,18.38,464714,18.4,,
1987-08-03,18.64,19.16,18.64,18.73,1188714,18.7925,,
1987-08-04,18.73,18.73,18.29,18.64,480428,18.5975,,
1987-08-05,18.64,18.64,17.76,18.02,711714,18.265,,
1987-08-06,18.02,18.29,17.85,18.2,458285,18.09,,
1987-08-07,18.2,18.55,18.2,18.29,326000,18.31,,
1987-08-10,18.29,18.46,18.11,18.46,475000,18.33,,
1987-08-11,18.46,18.55,18.38,18.55,623857,18.485,,
1987-08-12,18.55,18.55,18.02,18.11,470000,18.3075,,
1987-08-13,18.11,18.2,17.76,18.11,514857,18.045,,
1987-08-14,18.11,18.2,17.85,17.94,671571,18.025,,
1987-08-17,17.94,17.94,17.33,17.5,632000,17.6775,,
1987-08-18,16.98,16.98,16.54,16.8,1236571,16.825,,
1987-08-19,16.8,16.89,16.54,16.8,713000,16.7575,,
1987-08-20,16.8,17.24,16.71,16.98,847571,16.9325,,
1987-08-21,16.98,17.33,16.98,17.06,621857,17.0875,,
1987-08-24,16.71,16.71,16.36,16.45,425714,16.5575,,
1987-08-25,16.45,16.63,15.75,16.19,1365571,16.255,,
1987-08-26,16.19,16.45,16.19,16.36,948857,16.2975,,
1987-08-27,16.45,17.24,16.45,17.24,2187428,16.845,,
1987-08-28,17.24,17.5,16.89,16.98,354285,17.1525,,
1987-08-31,16.98,17.68,16.98,17.68,611142,17.33,,
1987-09-01,17.68,18.02,17.24,17.24,814000,17.545,,
1987-09-02,17.24,17.41,16.98,17.24,366285,17.2175,,
1987-09-03,17.24,17.33,16.71,17.06,416285,17.085,,
1987-09-04,17.06,17.06,16.8,16.8,412285,16.93,,
1987-09-08,16.8,17.15,16.63,17.06,1018714,16.91,,
1987-09-09,17.06,17.06,16.71,16.8,378714,16.9075,,
1987-09-10,16.8,17.24,16.8,17.15,393428,16.9975,,
1987-09-11,17.15,17.85,17.15,17.85,1052000,17.5,,
1987-09-14,17.85,18.11,17.33,17.59,483142,17.72,,
1987-09-15,17.59,17.68,17.33,17.59,157857,17.5475,,
1987-09-16,17.59,17.94,17.24,17.24,337714,17.5025,,
1987-09-17,17.24,17.68,17.24,17.24,425571,17.35,,
1987-09-18,17.33,17.5,17.33,17.41,438857,17.3925,,
1987-09-21,17.41,17.59,17.24,17.24,591142,17.37,,
1987-09-22,17.24,17.76,17.24,17.76,576428,17.5,,
1987-09-23,17.76,17.85,16.89,17.5,432714,17.5,,
1987-09-24,17.5,17.5,17.24,17.24,205714,17.37,,
1987-09-25,17.24,17.41,16.98,17.41,616571,17.26,,
1987-09-28,17.5,17.94,17.5,17.76,421428,17.675,,
1987-09-29,17.76,17.85,17.5,17.5,195714,17.6525,,
1987-09-30,17.33,17.33,16.89,17.24,397285,17.1975,,
1987-10-01,17.41,17.76,17.41,17.5,291428,17.52,,
1987-10-02,17.59,18.02,17.59,18.02,364428,17.805,,
1987-10-05,18.02,18.29,17.94,18.2,1246571,18.1125,,
1987-10-06,18.2,18.38,17.33,17.33,486142,17.81,,
1987-10-07,17.24,17.24,16.45,16.98,716714,16.9775,,
1987-10-08,16.98,17.06,15.84,16.45,737000,16.5825,,
1987-10-09,16.45,16.54,16.1,16.36,197000,16.3625,,
1987-10-12,16.36,16.36,15.93,16.1,186142,16.1875,,
1987-10-13,16.1,16.19,15.75,15.84,241714,15.97,,
1987-10-14,15.84,15.84,15.58,15.58,510714,15.71,,
1987-10-15,15.58,16.1,15.23,15.93,576285,15.71,,
1987-10-16,15.93,15.93,14.61,14.61,853857,15.27,,
1987-10-19,14.09,14.09,9.28,9.28,1530571,11.685,,
1987-10-20,9.28,10.76,8.14,9.28,2760142,9.365,,
1987-10-21,10.5,12.34,10.5,11.9,2437714,11.31,,
1987-10-22,11.9,11.9,10.15,11.55,1124000,11.375,,
1987-10-23,11.38,11.38,10.33,10.85,479142,10.985,,
1987-10-26,10.24,10.24,8.84,8.93,692285,9.5625,,
1987-10-27,9.54,10.15,9.54,9.98,793142,9.8025,,
1987-10-28,9.63,9.63,9.1,9.45,1321571,9.4525,,
1987-10-29,9.45,10.85,9.28,10.76,528571,10.085,,
1987-10-30,11.2,12.16,11.2,11.81,782857,11.5925,,
1987-11-02,11.81,12.34,11.38,11.99,314571,11.88,,
1987-11-03,11.99,12.08,11.29,11.64,468714,11.75,,
1987-11-04,11.2,11.2,10.5,10.5,323142,10.85,,
1987-11-05,10.5,11.2,10.24,10.76,492714,10.675,,
1987-11-06,10.76,10.85,10.5,10.68,460428,10.6975,,
1987-11-09,10.41,10.41,10.06,10.24,414285,10.28,,
1987-11-10,9.89,9.89,9.28,9.45,484857,9.6275,,
1987-11-11,9.71,9.89,9.71,9.71,530714,9.755,,
1987-11-12,9.98,10.59,9.98,10.06,532714,10.1525,,
1987-11-13,10.06,10.33,9.98,9.98,258142,10.0875,,
1987-11-16,10.06,10.41,10.06,10.15,182571,10.17,,
1987-11-17,10.15,10.24,9.89,9.98,320000,10.065,,
1987-11-18,9.89,9.89,9.45,9.8,784142,9.7575,,
1987-11-19,9.71,9.71,9.01,9.1,966000,9.3825,,
1987-11-20,8.75,8.75,8.31,8.75,2047000,8.64,,
1987-11-23,8.75,9.19,8.75,9.19,340714,8.97,,
1987-11-24,9.19,9.36,9.1,9.1,389142,9.1875,,
1987-11-25,9.1,9.45,9.01,9.1,557285,9.165,,
1987-11-27,9.1,9.1,8.75,8.84,159857,8.9475,,
1987-11-30,8.49,8.49,7.79,8.14,705000,8.2275,,
1987-12-01,8.23,8.49,8.23,8.23,460428,8.295,,
1987-12-02,8.23,8.75,8.14,8.66,1186714,8.445,,
1987-12-03,8.66,8.84,8.31,8.49,726571,8.575,,
1987-12-04,8.49,8.57,8.31,8.57,227571,8.485,,
1987-12-07,8.57,8.75,8.4,8.66,306428,8.595,,
1987-12-08,8.66,9.28,8.57,9.1,1052428,8.9025,,
1987-12-09,9.1,9.63,9.01,9.36,435714,9.275,,
1987-12-10,9.36,9.45,9.01,9.1,406142,9.23,,
1987-12-11,9.1,9.45,9.1,9.36,308142,9.2525,,
1987-12-14,9.36,9.45,8.93,9.19,867142,9.2325,,
1987-12-15,9.1,9.1,8.49,8.75,2051857,8.86,,
1987-12-16,8.75,9.01,8.49,9.01,1039285,8.815,,
1987-12-17,9.01,9.19,8.93,8.93,860571,9.015,,
1987-12-18,8.93,9.19,8.75,9.19,1197571,9.015,,
1987-12-21,9.19,9.36,9.01,9.1,989571,9.165,,
1987-12-22,9.1,9.71,9.01,9.54,1091000,9.34,,
1987-12-23,9.54,10.41,9.45,10.33,920142,9.9325,,
1987-12-24,10.33,10.41,10.24,10.24,152285,10.305,,
1987-12-28,10.06,10.06,9.89,10.06,168857,10.0175,,
1987-12-29,10.06,10.06,9.45,9.45,199285,9.755,,
