Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,0.0,3.3,3.24,3.3,105840,3.28,,
1962-01-03,3.3,3.3,3.27,3.29,127680,3.29,,
1962-01-04,3.29,3.29,3.26,3.26,75600,3.27,,
1962-01-05,3.26,3.27,3.18,3.18,201600,3.21,,
1962-01-08,3.18,3.19,3.14,3.16,126000,3.16,,
1962-01-09,3.16,3.21,3.13,3.21,183120,3.18,,
1962-01-10,3.21,3.21,3.16,3.21,72240,3.19,,
1962-01-11,3.21,3.3,3.19,3.29,112560,3.26,,
1962-01-12,3.29,3.3,3.25,3.28,124320,3.28,,
1962-01-15,3.28,3.29,3.23,3.23,92400,3.25,,
1962-01-16,3.23,3.25,3.2,3.24,99120,3.23,,
1962-01-17,3.24,3.27,3.21,3.21,151200,3.23,,
1962-01-18,3.21,3.26,3.19,3.26,147840,3.24,,
1962-01-19,3.26,3.27,3.22,3.24,124320,3.24,,
1962-01-22,3.24,3.26,3.23,3.26,102480,3.25,,
1962-01-23,3.26,3.26,3.23,3.24,122640,3.24,,
1962-01-24,3.24,3.24,3.22,3.22,102480,3.23,,
1962-01-25,3.22,3.27,3.22,3.23,136080,3.24,,
1962-01-26,3.23,3.27,3.23,3.25,114240,3.25,,
1962-01-29,3.25,3.27,3.21,3.23,194880,3.24,,
1962-01-30,3.23,3.27,3.23,3.24,156240,3.25,,
1962-01-31,3.24,3.27,3.19,3.22,226800,3.23,,
1962-02-01,3.22,3.3,3.22,3.3,327600,3.28,,
1962-02-02,3.3,3.45,3.28,3.45,509040,3.4,,
1962-02-05,3.45,3.45,3.38,3.39,208320,3.4,,
1962-02-06,3.39,3.39,3.33,3.36,146160,3.36,,
1962-02-07,3.36,3.47,3.36,3.43,294000,3.42,,
1962-02-08,3.43,3.46,3.43,3.44,87360,3.45,,
1962-02-09,3.44,3.48,3.44,3.47,159600,3.46,,
1962-02-12,3.47,3.53,3.47,3.51,127680,3.51,,
1962-02-13,3.51,3.51,3.47,3.5,240240,3.49,,
1962-02-14,3.5,3.5,3.46,3.5,117600,3.48,,
1962-02-15,3.5,3.53,3.49,3.51,142800,3.51,,
1962-02-16,3.51,3.55,3.5,3.54,156240,3.53,,
1962-02-19,3.54,3.58,3.54,3.55,273840,3.56,,
1962-02-20,3.55,3.56,3.53,3.55,188160,3.54,,
1962-02-21,3.55,3.55,3.51,3.52,215040,3.52,,
1962-02-23,3.52,3.52,3.5,3.5,173040,3.51,,
1962-02-26,3.5,3.52,3.48,3.48,159600,3.49,,
1962-02-27,3.48,3.51,3.46,3.51,295680,3.49,,
1962-02-28,3.51,3.52,3.48,3.48,176400,3.49,,
1962-03-01,3.48,3.5,3.42,3.5,162960,3.47,,
1962-03-02,3.5,3.5,3.49,3.5,110880,3.5,,
1962-03-05,3.5,3.5,3.45,3.5,107520,3.48,,
1962-03-06,3.5,3.5,3.46,3.47,97440,3.47,,
1962-03-07,3.47,3.51,3.46,3.46,204960,3.48,,
1962-03-08,3.46,3.48,3.45,3.45,105840,3.46,,
1962-03-09,3.45,3.49,3.44,3.45,132720,3.46,,
1962-03-12,3.45,3.48,3.45,3.48,89040,3.47,,
1962-03-13,3.48,3.5,3.47,3.47,105840,3.48,,
1962-03-14,3.47,3.5,3.47,3.47,146160,3.48,,
1962-03-15,3.47,3.51,3.47,3.5,144480,3.49,,
1962-03-16,3.5,3.52,3.49,3.52,95760,3.51,,
1962-03-19,3.52,3.53,3.5,3.53,99120,3.52,,
1962-03-20,3.53,3.55,3.52,3.54,141120,3.54,,
1962-03-21,3.54,3.54,3.51,3.53,92400,3.52,,
1962-03-22,3.53,3.53,3.46,3.5,179760,3.5,,
1962-03-23,3.5,3.56,3.5,3.53,137760,3.53,,
1962-03-26,3.53,3.53,3.46,3.46,102480,3.48,,
1962-03-27,3.46,3.47,3.42,3.47,82320,3.46,,
1962-03-28,3.47,3.5,3.47,3.5,60480,3.49,,
1962-03-29,3.5,3.51,3.49,3.49,55440,3.5,,
1962-03-30,3.49,3.52,3.49,3.5,77280,3.5,,
1962-04-02,3.5,3.52,3.47,3.47,84000,3.49,,
1962-04-03,3.47,3.5,3.44,3.45,68880,3.47,,
1962-04-04,3.45,3.47,3.42,3.45,90720,3.45,,
1962-04-05,3.45,3.45,3.41,3.45,55440,3.44,,
1962-04-06,3.45,3.5,3.45,3.5,84000,3.49,,
1962-04-09,3.5,3.5,3.44,3.49,94080,3.48,,
1962-04-10,3.49,3.51,3.46,3.5,60480,3.49,,
1962-04-11,3.5,3.53,3.48,3.48,119280,3.5,,
1962-04-12,3.48,3.49,3.46,3.47,70560,3.47,,
1962-04-13,3.47,3.47,3.44,3.47,112560,3.46,,
1962-04-16,3.47,3.47,3.44,3.45,89040,3.46,,
1962-04-17,3.45,3.54,3.44,3.54,169680,3.51,,
1962-04-18,3.54,3.57,3.53,3.54,218400,3.55,,
1962-04-19,3.54,3.56,3.53,3.56,112560,3.55,,
1962-04-23,3.56,3.58,3.55,3.56,119280,3.56,,
1962-04-24,3.56,3.58,3.55,3.58,132720,3.57,,
1962-04-25,3.58,3.58,3.55,3.58,162960,3.57,,
1962-04-26,3.58,3.58,3.52,3.52,141120,3.54,,
1962-04-27,3.52,3.53,3.48,3.51,154560,3.51,,
1962-04-30,3.51,3.53,3.47,3.47,226800,3.49,,
1962-05-01,3.47,3.52,3.47,3.5,196560,3.5,,
1962-05-02,3.5,3.56,3.5,3.53,161280,3.53,,
1962-05-03,3.53,3.59,3.53,3.58,225120,3.57,,
1962-05-04,3.58,3.59,3.56,3.59,147840,3.58,,
1962-05-07,3.59,3.59,3.56,3.57,129360,3.58,,
1962-05-08,3.57,3.58,3.54,3.55,129360,3.56,,
1962-05-09,3.55,3.56,3.53,3.55,178080,3.55,,
1962-05-10,3.55,3.55,3.39,3.47,391440,3.46,,
1962-05-11,3.47,3.5,3.43,3.44,243600,3.46,,
1962-05-14,3.44,3.47,3.36,3.46,241920,3.43,,
1962-05-15,3.46,3.53,3.46,3.47,233520,3.49,,
1962-05-16,3.47,3.52,3.47,3.48,157920,3.49,,
1962-05-17,3.48,3.52,3.45,3.49,132720,3.49,,
1962-05-18,3.49,3.51,3.47,3.49,99120,3.49,,
1962-05-21,3.49,3.51,3.49,3.51,70560,3.5,,
1962-05-22,3.51,3.51,3.44,3.45,92400,3.47,,
1962-05-23,3.45,3.45,3.39,3.42,193200,3.42,,
1962-05-24,3.42,3.42,3.39,3.39,280560,3.4,,
1962-05-25,3.39,3.42,3.27,3.27,362880,3.32,,
1962-05-28,3.27,3.27,3.01,3.07,540960,3.12,,
1962-05-29,3.07,3.27,2.98,3.27,750960,3.17,,
1962-05-31,3.27,3.38,3.21,3.24,362880,3.28,,
1962-06-01,3.24,3.29,3.22,3.29,173040,3.27,,
1962-06-04,3.29,3.3,3.2,3.2,134400,3.23,,
1962-06-05,3.2,3.27,3.18,3.21,164640,3.22,,
1962-06-06,3.21,3.32,3.2,3.24,159600,3.25,,
1962-06-07,3.24,3.25,3.22,3.24,85680,3.24,,
1962-06-08,3.24,3.24,3.17,3.2,126000,3.2,,
1962-06-11,3.2,3.21,3.17,3.18,136080,3.19,,
1962-06-12,3.18,3.21,3.14,3.14,238560,3.16,,
1962-06-13,3.14,3.14,3.08,3.08,294000,3.1,,
1962-06-14,3.08,3.09,3.04,3.06,329280,3.06,,
1962-06-15,3.06,3.15,3.02,3.13,290640,3.1,,
1962-06-18,3.13,3.22,3.07,3.22,204960,3.17,,
1962-06-19,3.22,3.22,3.16,3.18,68880,3.18,,
1962-06-20,3.18,3.19,3.14,3.18,147840,3.17,,
1962-06-21,3.18,3.19,3.13,3.13,152880,3.15,,
1962-06-22,3.13,3.14,3.07,3.07,231840,3.1,,
1962-06-25,3.07,3.1,3.04,3.1,312480,3.08,,
1962-06-26,3.1,3.13,3.08,3.11,208320,3.11,,
1962-06-27,3.11,3.12,3.08,3.11,141120,3.1,,
1962-06-28,3.11,3.17,3.11,3.17,136080,3.15,,
1962-06-29,3.17,3.21,3.15,3.18,117600,3.18,,
1962-07-02,3.18,3.27,3.18,3.27,178080,3.24,,
1962-07-03,3.27,3.27,3.25,3.27,174720,3.27,,
1962-07-05,3.27,3.29,3.25,3.29,136080,3.28,,
1962-07-06,3.29,3.29,3.26,3.27,104160,3.27,,
1962-07-09,3.27,3.29,3.25,3.27,80640,3.27,,
1962-07-10,3.27,3.36,3.27,3.3,203280,3.32,,
1962-07-11,3.3,3.33,3.28,3.3,129360,3.31,,
1962-07-12,3.3,3.33,3.28,3.33,107520,3.31,,
1962-07-13,3.33,3.35,3.3,3.33,97440,3.33,,
1962-07-16,3.33,3.35,3.33,3.35,120960,3.34,,
1962-07-17,3.35,3.37,3.26,3.27,131040,3.3,,
