Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2012-03-30,7.5,8.24,7.06,7.34,5049113,7.61,-0.14,-52.42857142857142
2012-04-02,7.65,8.2,7.4,7.81,495411,7.77,-0.14,-55.78571428571428
2012-04-03,7.75,7.8,7.5,7.64,316629,7.59,-0.14,-54.57142857142856
2012-04-04,7.77,7.77,7.31,7.45,165098,7.47,-0.14,-53.21428571428571
2012-04-05,7.48,7.55,7.37,7.43,104300,7.44,-0.14,-53.07142857142856
2012-04-09,7.89,7.89,6.62,6.98,123211,7.05,-0.14,-49.857142857142854
2012-04-10,7.09,7.23,6.97,7.07,247217,7.05,-0.14,-50.5
2012-04-11,7.25,7.53,7.0,7.13,161810,7.22,-0.14,-50.92857142857142
2012-04-12,7.56,7.56,7.08,7.3,41686,7.29,-0.14,-52.14285714285714
2012-04-13,7.69,7.69,7.0001,7.1,92175,7.2,-0.14,-50.71428571428571
2012-04-16,7.15,7.16,6.73,7.16,70145,7.0,-0.14,-51.14285714285714
2012-04-17,7.15,7.15,6.8,7.0,108533,6.91,-0.14,-49.99999999999999
2012-04-18,6.96,7.3,6.82,7.29,54240,7.06,-0.14,-52.07142857142857
2012-04-19,7.21,7.29,7.0,7.04,23093,7.05,-0.14,-50.285714285714285
2012-04-20,7.05,7.189,7.02,7.02,32403,7.07,-0.14,-50.14285714285713
2012-04-23,7.0,7.197,6.85,6.98,15577,6.96,-0.14,-49.857142857142854
2012-04-24,7.09,7.12,6.84,6.91,86002,6.91,-0.14,-49.357142857142854
2012-04-25,6.94,6.9608,6.84,6.88,21363,6.9,-0.14,-49.14285714285714
2012-04-26,6.8999,6.9,6.8,6.86,14997,6.88,-0.14,-49.0
2012-04-27,6.84,6.85,6.75,6.75,24107,6.81,-0.14,-48.21428571428571
2012-04-30,7.2,7.45,7.09,7.28,259773,7.22,-0.14,-52.0
2012-05-01,7.5,8.1,7.1778,7.92,362394,7.61,-0.14,-56.57142857142856
2012-05-02,8.0,8.0,7.75,8.0,65625,7.91,-0.14,-57.14285714285714
2012-05-03,8.09,9.57,7.9545,8.82,278870,8.66,-0.14,-62.99999999999999
2012-05-04,8.79,9.445,7.57,8.36,171009,8.49,-0.14,-59.7142857142857
2012-05-07,8.37,8.4,7.73,8.34,87416,8.11,-0.14,-59.57142857142856
2012-05-08,8.3,8.71,8.038,8.48,87228,8.32,-0.14,-60.57142857142857
2012-05-09,8.61,8.89,8.22,8.65,116808,8.6,-0.14,-61.785714285714285
