Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.45708,0.45708,0.45708,0.45708,446264,0.45708,,
1968-01-03,0.45708,0.45708,0.45708,0.45708,513215,0.45708,,
1968-01-04,0.45877,0.45877,0.45877,0.45877,498338,0.45877,,
1968-01-05,0.46885,0.46885,0.46885,0.46885,282615,0.46885,,
1968-01-08,0.47053,0.47053,0.47053,0.47053,498338,0.47053,,
1968-01-09,0.48397,0.48397,0.48397,0.48397,290057,0.48397,,
1968-01-10,0.48901,0.48901,0.48901,0.48901,118966,0.48901,,
1968-01-11,0.48061,0.48061,0.48061,0.48061,290057,0.48061,,
1968-01-12,0.48397,0.48397,0.48397,0.48397,409075,0.48397,,
1968-01-15,0.48901,0.48901,0.48901,0.48901,59457,0.48901,,
1968-01-16,0.49069,0.49069,0.49069,0.49069,148720,0.49069,,
1968-01-17,0.49237,0.49237,0.49237,0.49237,59457,0.49237,,
1968-01-18,0.49237,0.49237,0.49237,0.49237,37145,0.49237,,
1968-01-19,0.49574,0.49574,0.49574,0.49574,52022,0.49574,,
1968-01-22,0.49574,0.49574,0.49574,0.49574,89211,0.49574,,
1968-01-23,0.49405,0.49405,0.49405,0.49405,104089,0.49405,,
1968-01-24,0.49069,0.49069,0.49069,0.49069,52022,0.49069,,
1968-01-25,0.48565,0.48565,0.48565,0.48565,215671,0.48565,,
1968-01-26,0.49405,0.49405,0.49405,0.49405,44580,0.49405,,
1968-01-29,0.49237,0.49237,0.49237,0.49237,59457,0.49237,,
1968-01-30,0.49405,0.49405,0.49405,0.49405,52022,0.49405,,
1968-01-31,0.49069,0.49069,0.49069,0.49069,44580,0.49069,,
1968-02-01,0.49069,0.49069,0.49069,0.49069,14825,0.49069,,
1968-02-02,0.48565,0.48565,0.48565,0.48565,74334,0.48565,,
1968-02-05,0.47725,0.47725,0.47725,0.47725,74334,0.47725,,
1968-02-06,0.47893,0.47893,0.47893,0.47893,215671,0.47893,,
1968-02-07,0.48397,0.48397,0.48397,0.48397,81776,0.48397,,
1968-02-08,0.47893,0.47893,0.47893,0.47893,59457,0.47893,,
1968-02-09,0.47557,0.47557,0.47557,0.47557,37145,0.47557,,
1968-02-13,0.47221,0.47221,0.47221,0.47221,44580,0.47221,,
1968-02-14,0.46885,0.46885,0.46885,0.46885,118966,0.46885,,
1968-02-15,0.47053,0.47053,0.47053,0.47053,52022,0.47053,,
