Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,1.32,1.32,1.32,1.32,264000,1.32,,
1968-01-03,1.31,1.31,1.31,1.31,470400,1.31,,
1968-01-04,1.29,1.29,1.29,1.29,345600,1.29,,
1968-01-05,1.32,1.32,1.32,1.32,235200,1.32,,
1968-01-08,1.33,1.33,1.33,1.33,312000,1.33,,
1968-01-09,1.37,1.37,1.37,1.37,988808,1.37,,
1968-01-10,1.36,1.36,1.36,1.36,451200,1.36,,
1968-01-11,1.36,1.36,1.36,1.36,542400,1.36,,
1968-01-12,1.36,1.36,1.36,1.36,432000,1.36,,
1968-01-15,1.38,1.38,1.38,1.38,681600,1.38,,
1968-01-16,1.4,1.4,1.4,1.4,480000,1.4,,
1968-01-17,1.42,1.42,1.42,1.42,451200,1.42,,
1968-01-18,1.41,1.41,1.41,1.41,379200,1.41,,
1968-01-19,1.4,1.4,1.4,1.4,768000,1.4,,
1968-01-22,1.36,1.36,1.36,1.36,513600,1.36,,
1968-01-23,1.36,1.36,1.36,1.36,264000,1.36,,
1968-01-24,1.38,1.38,1.38,1.38,537600,1.38,,
1968-01-25,1.36,1.36,1.36,1.36,465600,1.36,,
1968-01-26,1.37,1.37,1.37,1.37,172800,1.37,,
1968-01-29,1.39,1.39,1.39,1.39,288000,1.39,,
1968-01-30,1.37,1.37,1.37,1.37,244800,1.37,,
1968-01-31,1.4,1.4,1.4,1.4,441600,1.4,,
1968-02-01,1.4,1.4,1.4,1.4,201600,1.4,,
1968-02-02,1.4,1.4,1.4,1.4,283200,1.4,,
1968-02-05,1.4,1.4,1.4,1.4,254400,1.4,,
1968-02-06,1.4,1.4,1.4,1.4,129600,1.4,,
1968-02-07,1.41,1.41,1.41,1.41,374400,1.41,,
1968-02-08,1.36,1.36,1.36,1.36,696000,1.36,,
1968-02-09,1.33,1.33,1.33,1.33,412800,1.33,,
1968-02-13,1.31,1.31,1.31,1.31,364800,1.31,,
1968-02-14,1.33,1.33,1.33,1.33,288000,1.33,,
1968-02-15,1.36,1.36,1.36,1.36,288000,1.36,,
1968-02-16,1.36,1.36,1.36,1.36,172800,1.36,,
1968-02-19,1.35,1.35,1.35,1.35,100800,1.35,,
1968-02-20,1.37,1.37,1.37,1.37,220800,1.37,,
1968-02-21,1.37,1.37,1.37,1.37,182400,1.37,,
1968-02-23,1.37,1.37,1.37,1.37,225600,1.37,,
