Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1969-06-23,8.57,8.57,8.57,8.57,18276,8.57,,
1969-06-24,7.77,7.77,7.77,7.77,61140,7.77,,
1969-06-25,8.55,8.55,8.55,8.55,306987,8.55,,
1969-06-26,8.65,8.65,8.65,8.65,114721,8.65,,
1969-06-27,8.82,8.82,8.82,8.82,12600,8.82,,
1969-06-30,8.92,8.92,8.92,8.92,28986,8.92,,
1969-07-01,9.28,9.28,9.28,9.28,27102,9.28,,
1969-07-02,9.6,9.6,9.6,9.6,185953,9.6,,
1969-07-03,9.68,9.68,9.68,9.68,77532,9.68,,
1969-07-08,9.48,9.48,9.48,9.48,43488,9.48,,
1969-07-09,9.48,9.48,9.48,9.48,22686,9.48,,
1969-07-10,9.14,9.14,9.14,9.14,36552,9.14,,
1969-07-11,9.12,9.12,9.12,9.12,30246,9.12,,
1969-07-14,8.96,8.96,8.96,8.96,37812,8.96,,
1969-07-15,8.69,8.69,8.69,8.69,291224,8.69,,
1969-07-16,8.78,8.78,8.78,8.78,424240,8.78,,
1969-07-17,8.8,8.8,8.8,8.8,36552,8.8,,
1969-07-18,8.72,8.72,8.72,8.72,22686,8.72,,
1969-07-23,8.39,8.39,8.39,8.39,35928,8.39,,
1969-07-24,8.25,8.25,8.25,8.25,25842,8.25,,
1969-07-25,8.25,8.25,8.25,8.25,28362,8.25,,
1969-07-28,7.95,7.95,7.95,7.95,36552,7.95,,
1969-07-29,7.71,7.71,7.71,7.71,81942,7.71,,
1969-07-30,7.5,7.5,7.5,7.5,75006,7.5,,
1969-07-31,7.79,7.79,7.79,7.79,230084,7.79,,
1969-08-01,8.09,8.09,8.09,8.09,180913,8.09,,
1969-08-04,8.13,8.13,8.13,8.13,18900,8.13,,
1969-08-05,8.33,8.33,8.33,8.33,25842,8.33,,
1969-08-06,8.43,8.43,8.43,8.43,29622,8.43,,
1969-08-07,8.8,8.8,8.8,8.8,269792,8.8,,
1969-08-08,8.57,8.57,8.57,8.57,49794,8.57,,
1969-08-11,8.43,8.43,8.43,8.43,10074,8.43,,
1969-08-12,8.31,8.31,8.31,8.31,11970,8.31,,
1969-08-13,7.89,7.89,7.89,7.89,2126895,7.89,,
1969-08-14,7.89,7.89,7.89,7.89,35928,7.89,,
1969-08-15,7.93,7.93,7.93,7.93,76896,7.93,,
1969-08-18,7.95,7.95,7.95,7.95,21426,7.95,,
1969-08-19,8.03,8.03,8.03,8.03,88878,8.03,,
1969-08-20,7.93,7.93,7.93,7.93,44118,7.93,,
1969-08-21,7.93,7.93,7.93,7.93,191623,7.93,,
1969-08-22,7.93,7.93,7.93,7.93,129223,7.93,,
1969-08-25,7.73,7.73,7.73,7.73,15120,7.73,,
1969-08-26,7.69,7.69,7.69,7.69,52944,7.69,,
1969-08-27,7.71,7.71,7.71,7.71,24576,7.71,,
1969-08-28,7.73,7.73,7.73,7.73,34662,7.73,,
1969-08-29,7.77,7.77,7.77,7.77,43488,7.77,,
1969-09-02,7.54,7.54,7.54,7.54,105265,7.54,,
1969-09-03,7.1,7.1,7.1,7.1,342915,7.1,,
1969-09-04,7.0,7.0,7.0,7.0,153805,7.0,,
1969-09-08,6.98,6.98,6.98,6.98,159481,6.98,,
1969-09-09,6.98,6.98,6.98,6.98,77532,6.98,,
1969-09-10,6.82,6.82,6.82,6.82,239534,6.82,,
1969-09-11,7.06,7.06,7.06,7.06,516905,7.06,,
1969-09-12,6.94,6.94,6.94,6.94,267272,6.94,,
1969-09-15,7.0,7.0,7.0,7.0,153175,7.0,,
1969-09-16,7.08,7.08,7.08,7.08,54834,7.08,,
1969-09-17,7.12,7.12,7.12,7.12,87618,7.12,,
1969-09-18,7.1,7.1,7.1,7.1,59880,7.1,,
1969-09-19,7.24,7.24,7.24,7.24,608310,7.24,,
1969-09-22,7.48,7.48,7.48,7.48,387675,7.48,,
1969-09-23,7.61,7.61,7.61,7.61,182803,7.61,,
1969-09-24,7.71,7.71,7.71,7.71,165781,7.71,,
1969-09-25,7.3,7.3,7.3,7.3,85092,7.3,,
1969-09-26,7.02,7.02,7.02,7.02,253406,7.02,,
1969-09-29,6.74,6.74,6.74,6.74,189739,6.74,,
1969-09-30,6.5,6.5,6.5,6.5,439996,6.5,,
1969-10-02,5.73,5.73,5.73,5.73,584357,5.73,,
1969-10-03,5.83,5.83,5.83,5.83,320223,5.83,,
1969-10-06,5.89,5.89,5.89,5.89,126067,5.89,,
1969-10-07,6.05,6.05,6.05,6.05,168931,6.05,,
1969-10-08,5.85,5.85,5.85,5.85,131743,5.85,,
1969-10-09,5.85,5.85,5.85,5.85,129223,5.85,,
1969-10-10,5.79,5.79,5.79,5.79,273578,5.79,,
1969-10-13,5.87,5.87,5.87,5.87,92028,5.87,,
1969-10-14,5.87,5.87,5.87,5.87,110935,5.87,,
1969-10-15,5.77,5.77,5.77,5.77,46638,5.77,,
1969-10-16,5.75,5.75,5.75,5.75,117877,5.75,,
1969-10-17,5.71,5.71,5.71,5.71,60504,5.71,,
1969-10-20,5.67,5.67,5.67,5.67,107155,5.67,,
1969-10-21,5.65,5.65,5.65,5.65,204866,5.65,,
1969-10-22,5.63,5.63,5.63,5.63,86982,5.63,,
1969-10-23,5.71,5.71,5.71,5.71,117877,5.71,,
1969-10-24,5.87,5.87,5.87,5.87,284294,5.87,,
1969-10-27,5.89,5.89,5.89,5.89,369393,5.89,,
1969-10-28,5.99,5.99,5.99,5.99,123547,5.99,,
