Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2011-02-11,31.7,32.14,30.75,31.05,50613504,31.41,0.0536,579.2910447761194
2011-02-14,31.05,31.3,30.7,30.7,6276285,30.9375,0.0536,572.7611940298507
2011-02-15,30.9,31.15,30.73,30.94,4337801,30.93,0.0536,577.2388059701493
2011-02-16,31.05,31.44,30.66,30.72,4627488,30.9675,0.0536,573.1343283582089
2011-02-17,30.68,31.09,30.51,30.55,3290700,30.7075,0.0536,569.9626865671642
2011-02-18,30.65,31.39,30.4,31.37,6936547,30.9525,0.0536,585.2611940298508
2011-02-22,31.14,31.43,30.71,30.72,2454300,31.0,0.0536,573.1343283582089
2011-02-23,30.76,30.9,30.25,30.42,2671200,30.5825,0.0536,567.5373134328358
2011-02-24,30.55,30.65,30.3,30.46,1698000,30.49,0.0536,568.2835820895523
2011-02-25,30.53,30.75,30.3,30.5,2225900,30.52,0.0536,569.0298507462686
2011-02-28,30.57,30.79,30.42,30.5,2380400,30.57,0.0536,569.0298507462686
2011-03-01,30.65,30.78,30.23,30.45,1908000,30.5275,0.0536,568.0970149253731
2011-03-02,30.57,30.69,30.26,30.57,2197000,30.5225,0.32,95.53125
2011-03-03,30.68,30.77,30.53,30.77,1901800,30.6875,0.32,96.15625
2011-03-04,30.8,30.94,30.66,30.85,892300,30.8125,0.32,96.40625
2011-03-07,30.94,31.04,30.7,30.9,1049600,30.895,0.32,96.5625
2011-03-08,30.8,31.04,30.8,30.97,827400,30.9025,0.32,96.78125
2011-03-09,30.9,30.98,30.74,30.75,294100,30.8425,0.32,96.09375
2011-03-10,30.71,30.71,29.75,30.1,2715286,30.3175,0.32,94.0625
2011-03-11,30.1,30.48,29.97,30.1,1896900,30.1625,0.32,94.0625
2011-03-14,30.0,30.22,29.8,29.99,1967700,30.0025,0.32,93.71875
2011-03-15,29.81,30.2,29.6,29.88,1968400,29.8725,0.32,93.375
2011-03-16,29.89,30.16,29.76,30.05,2062200,29.965,0.32,93.90625
2011-03-17,30.2,30.41,30.06,30.15,1511400,30.205,0.32,94.21875
2011-03-18,30.21,30.5,30.08,30.5,1906733,30.3225,0.32,95.3125
2011-03-21,30.53,31.0,30.4,30.82,1253000,30.6875,0.32,96.3125
2011-03-22,30.9,30.98,30.57,30.7,1014700,30.7875,0.32,95.9375
2011-03-23,30.53,30.67,29.95,30.02,2570690,30.2925,0.32,93.8125
2011-03-24,30.1,30.25,29.9,30.05,1411600,30.075,0.32,93.90625
2011-03-25,30.01,30.09,29.5,29.52,2687100,29.78,0.32,92.25
2011-03-28,29.74,29.93,29.56,29.62,1552900,29.7125,0.32,92.5625
2011-03-29,29.75,29.88,29.54,29.79,1313800,29.74,0.32,93.09375
2011-03-30,29.87,29.89,29.58,29.69,770023,29.7575,0.32,92.78125
2011-03-31,29.8,29.87,29.51,29.64,884400,29.705,0.32,92.625
2011-04-01,29.79,29.85,29.49,29.5,1869200,29.6575,0.32,92.1875
2011-04-04,29.44,29.7,29.25,29.44,1177900,29.4575,0.32,92.0
2011-04-05,29.49,29.64,29.0,29.44,1021281,29.3925,0.32,92.0
2011-04-06,29.46,29.49,29.21,29.46,725100,29.405,0.32,92.0625
2011-04-07,29.52,29.56,29.13,29.22,1226100,29.3575,0.32,91.3125
2011-04-08,29.22,29.42,29.12,29.33,934800,29.2725,0.32,91.65624999999999
2011-04-11,29.3,29.41,29.07,29.25,1160900,29.2575,0.32,91.40625
2011-04-12,29.1,29.24,28.27,28.73,1278100,28.835,0.32,89.78125
2011-04-13,28.74,29.02,28.66,28.83,2766900,28.8125,0.32,90.09374999999999
2011-04-14,28.79,29.16,28.57,29.12,785800,28.91,0.32,91.0
2011-04-15,29.11,29.15,28.69,28.88,863900,28.9575,0.32,90.25
2011-04-18,28.79,28.84,28.23,28.52,882400,28.595,0.32,89.125
2011-04-19,28.59,28.86,28.53,28.78,1122101,28.69,0.32,89.9375
2011-04-20,28.98,29.6,28.79,29.45,2054000,29.205,0.32,92.03125
2011-04-21,29.32,29.93,29.07,29.63,1516900,29.4875,0.32,92.59375
2011-04-25,29.81,29.81,29.07,29.36,604100,29.5125,0.32,91.75
2011-04-26,29.54,29.59,29.05,29.12,1115700,29.325,0.32,91.0
2011-04-27,29.3,29.49,28.75,28.86,1479600,29.1,0.32,90.1875
2011-04-28,28.84,28.95,28.69,28.83,1041000,28.8275,0.32,90.09374999999999
2011-04-29,29.04,29.29,28.35,28.58,1843400,28.815,0.32,89.31249999999999
2011-05-02,28.73,28.99,28.38,28.82,1036693,28.73,0.32,90.0625
2011-05-03,28.84,28.89,28.05,28.19,1158700,28.4925,0.32,88.09375
2011-05-04,28.2,28.36,27.31,27.96,2537800,27.9575,0.32,87.375
2011-05-05,28.02,28.26,27.41,27.98,1618300,27.9175,0.32,87.4375
2011-05-06,28.08,28.41,27.85,28.0,653600,28.085,0.22,127.27272727272727
2011-05-09,28.11,28.45,28.01,28.29,752100,28.215,0.22,128.5909090909091
2011-05-10,28.27,28.69,28.08,28.52,778065,28.39,0.22,129.63636363636363
2011-05-11,28.53,28.63,28.01,28.31,1400358,28.37,0.22,128.6818181818182
2011-05-12,28.2,28.45,27.82,28.45,1800000,28.23,0.22,129.3181818181818
2011-05-13,28.37,28.37,27.75,27.93,1344100,28.105,0.22,126.95454545454545
2011-05-16,28.06,28.48,27.4,27.54,1737600,27.87,0.22,125.18181818181817
2011-05-17,27.6,27.71,26.87,27.5,2404600,27.42,0.22,125.0
2011-05-18,27.77,27.88,27.42,27.56,895200,27.6575,0.22,125.27272727272727
2011-05-19,27.68,28.34,27.53,28.29,1096500,27.96,0.22,128.5909090909091
2011-05-20,28.25,28.9,27.97,28.5,1535400,28.405,0.22,129.54545454545453
2011-05-23,28.41,28.57,28.19,28.33,2927600,28.375,0.22,128.77272727272725
2011-05-24,28.53,29.06,28.47,29.06,2587700,28.78,0.22,132.0909090909091
2011-05-25,28.98,29.28,28.8,29.02,3304700,29.02,0.22,131.9090909090909
2011-05-26,29.1,29.22,28.61,28.69,1507097,28.905,0.22,130.4090909090909
2011-05-27,28.9,29.18,28.5,29.18,1896600,28.94,0.22,132.63636363636363
2011-05-31,29.53,29.76,29.0,29.29,5489900,29.395,0.22,133.13636363636363
2011-06-01,29.4,29.47,28.85,29.0,1042800,29.18,0.22,131.8181818181818
2011-06-02,29.15,29.38,28.44,29.38,978400,29.0875,0.22,133.54545454545453
2011-06-03,29.06,29.76,28.73,29.75,1566400,29.325,0.22,135.22727272727272
2011-06-06,29.6,29.77,29.25,29.52,1402100,29.535,0.22,134.1818181818182
2011-06-07,29.58,29.97,29.42,29.79,1980996,29.69,0.22,135.4090909090909
2011-06-08,29.58,29.86,29.46,29.73,766800,29.6575,0.22,135.13636363636363
2011-06-09,29.72,29.89,29.64,29.69,1215900,29.735,0.22,134.95454545454547
2011-06-10,29.74,29.85,29.43,29.53,895800,29.6375,0.22,134.22727272727272
2011-06-13,29.62,29.93,29.2,29.45,901900,29.55,0.22,133.86363636363635
2011-06-14,29.41,29.86,29.06,29.5,760200,29.4575,0.22,134.0909090909091
2011-06-15,29.42,29.65,28.89,29.36,1149000,29.33,0.22,133.45454545454544
2011-06-16,29.4,29.44,29.07,29.21,792100,29.28,0.22,132.77272727272728
2011-06-17,29.36,29.74,29.15,29.7,2448200,29.4875,0.22,135.0
2011-06-20,29.61,29.67,29.4,29.61,866700,29.5725,0.22,134.5909090909091
2011-06-21,29.7,29.7,29.34,29.62,631300,29.59,0.22,134.63636363636363
2011-06-22,29.62,29.97,29.45,29.62,1587992,29.665,0.22,134.63636363636363
2011-06-23,29.59,29.59,28.91,29.1,1963100,29.2975,0.22,132.27272727272728
2011-06-24,29.19,29.3,28.59,28.6,11554800,28.92,0.22,130.0
2011-06-27,28.68,28.79,28.22,28.26,1889000,28.4875,0.22,128.45454545454547
2011-06-28,28.39,28.67,28.1,28.3,2235400,28.365,0.22,128.63636363636363
2011-06-29,28.48,28.8,28.32,28.4,1592100,28.5,0.22,129.0909090909091
2011-06-30,28.43,28.78,28.31,28.73,809500,28.5625,0.22,130.5909090909091
2011-07-01,28.67,29.28,28.37,29.27,846600,28.8975,0.22,133.04545454545453
2011-07-05,29.22,29.39,29.04,29.26,505800,29.2275,0.22,133.0
2011-07-06,29.17,29.24,28.92,29.11,1239500,29.11,0.22,132.3181818181818
2011-07-07,29.26,29.45,28.86,28.98,876300,29.1375,0.22,131.72727272727272
2011-07-08,28.8,29.33,28.69,28.92,757500,28.935,0.22,131.45454545454547
2011-07-11,28.7,28.74,28.16,28.36,725400,28.49,0.22,128.9090909090909
2011-07-12,28.25,28.37,28.1,28.17,665900,28.2225,0.22,128.04545454545456
2011-07-13,28.34,28.48,28.06,28.19,556800,28.2675,0.22,128.13636363636365
2011-07-14,28.3,28.41,28.02,28.03,799600,28.19,0.22,127.40909090909092
2011-07-15,28.24,28.63,28.0,28.59,785100,28.365,0.22,129.95454545454544
2011-07-18,28.4,28.41,27.98,28.19,695200,28.245,0.22,128.13636363636365
2011-07-19,28.41,28.49,28.24,28.35,390100,28.3725,0.22,128.86363636363637
2011-07-20,28.57,28.93,28.25,28.5,579000,28.5625,0.22,129.54545454545453
2011-07-21,28.68,28.87,28.22,28.51,1277300,28.57,0.22,129.5909090909091
2011-07-22,28.55,28.63,28.24,28.36,1017700,28.445,0.22,128.9090909090909
2011-07-25,28.3,28.39,27.48,27.5,2753000,27.9175,0.22,125.0
2011-07-26,27.61,27.74,27.36,27.57,2921300,27.57,0.22,125.31818181818181
2011-07-27,27.27,28.4,27.1,28.18,3648100,27.7375,0.22,128.0909090909091
2011-07-28,27.9,28.24,27.64,28.16,985200,27.985,0.22,128.0
2011-07-29,27.96,28.3,27.8,28.23,999300,28.0725,0.22,128.3181818181818
2011-08-01,28.42,28.5,28.12,28.23,612300,28.3175,0.22,128.3181818181818
2011-08-02,28.06,28.17,27.64,27.85,893471,27.93,0.22,126.5909090909091
2011-08-03,27.82,27.87,27.25,27.72,1392600,27.665,0.22,126.0
2011-08-04,27.6,27.6,26.33,26.47,1813800,27.0,0.19,139.3157894736842
2011-08-05,26.47,26.79,24.96,25.92,3006600,26.035,0.19,136.42105263157896
2011-08-08,25.21,25.59,23.66,23.66,2019525,24.53,0.19,124.52631578947368
2011-08-09,24.05,25.96,24.0,25.92,1689300,24.9825,0.19,136.42105263157896
2011-08-10,25.58,27.08,25.24,26.05,1909695,25.9875,0.19,137.10526315789474
2011-08-11,26.2,27.81,26.18,27.45,1372400,26.91,0.19,144.4736842105263
2011-08-12,27.83,27.99,26.53,26.77,1136200,27.28,0.19,140.89473684210526
2011-08-15,27.19,27.3,26.86,27.08,676900,27.1075,0.19,142.52631578947367
2011-08-16,26.89,26.9,26.38,26.5,646000,26.6675,0.19,139.4736842105263
2011-08-17,26.66,26.66,26.22,26.28,672000,26.455,0.19,138.31578947368422
2011-08-18,25.99,25.99,24.63,24.82,3587900,25.3575,0.19,130.6315789473684
2011-08-19,24.66,25.07,23.78,23.82,1913900,24.3325,0.19,125.36842105263158
2011-08-22,24.35,25.3,23.59,23.76,1543600,24.25,0.19,125.05263157894737
2011-08-23,23.93,24.54,23.51,24.54,1153000,24.13,0.19,129.1578947368421
2011-08-24,24.42,24.72,24.07,24.45,686600,24.415,0.19,128.68421052631578
2011-08-25,24.6,24.97,24.45,24.45,570200,24.6175,0.19,128.68421052631578
2011-08-26,24.48,24.93,24.01,24.78,570800,24.55,0.19,130.42105263157896
2011-08-29,24.96,25.61,24.7,25.31,530600,25.145,0.19,133.21052631578945
2011-08-30,25.22,25.51,24.92,25.37,437500,25.255,0.19,133.5263157894737
2011-08-31,25.61,26.34,25.44,25.85,1786100,25.81,0.19,136.05263157894737
2011-09-01,25.98,26.06,25.61,25.72,553700,25.8425,0.19,135.36842105263156
2011-09-02,25.43,25.47,25.06,25.19,567100,25.2875,0.19,132.57894736842107
