Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2011-06-23,19.0,19.5,18.25,19.5,5097542,19.0625,0.75,26.0
2011-06-24,19.38,19.57,18.42,18.63,1675400,19.0,0.75,24.84
2011-06-27,18.35,18.98,18.3,18.82,895200,18.6125,0.75,25.093333333333334
2011-06-28,19.17,20.0,18.85,19.35,4151800,19.3425,0.75,25.8
2011-06-29,19.5,20.49,19.35,20.04,3695200,19.845,0.75,26.72
2011-06-30,20.34,21.0,20.09,20.7,3025792,20.5325,0.75,27.599999999999998
2011-07-01,20.6,23.71,20.5,21.1,8334200,21.4775,0.75,28.133333333333336
2011-07-05,21.11,21.5,20.82,21.11,11823000,21.135,0.75,28.146666666666665
2011-07-06,20.8,21.13,20.5,20.95,10983000,20.845,0.75,27.933333333333334
2011-07-07,21.1,21.63,20.85,20.89,16707602,21.1175,0.75,27.853333333333335
2011-07-08,20.4,21.3,20.26,20.71,16417000,20.6675,0.75,27.613333333333333
2011-07-11,20.39,20.39,19.75,20.05,9495200,20.145,0.75,26.733333333333334
2011-07-12,19.93,20.5,19.72,20.24,8011200,20.0975,0.75,26.986666666666665
2011-07-13,20.26,20.62,19.62,19.98,11642800,20.12,0.75,26.64
2011-07-14,19.99,20.01,19.11,19.32,11532688,19.6075,0.75,25.76
2011-07-15,19.5,19.74,19.05,19.58,9938774,19.4675,0.75,26.106666666666666
2011-07-18,19.36,19.8,18.88,19.56,8311600,19.4,0.75,26.08
2011-07-19,19.63,19.97,19.57,19.87,6423000,19.76,0.75,26.493333333333336
2011-07-20,19.89,19.97,19.7,19.77,5449000,19.8325,0.75,26.36
2011-07-21,19.77,20.12,19.56,20.05,7249604,19.875,0.75,26.733333333333334
2011-07-22,20.14,20.41,19.95,20.29,6645600,20.1975,0.75,27.05333333333333
2011-07-25,20.63,21.06,20.32,20.69,8899062,20.675,0.75,27.58666666666667
2011-07-26,20.7,21.86,20.64,21.53,11324200,21.1825,0.75,28.706666666666667
2011-07-27,21.51,21.65,20.99,21.03,6998400,21.295,0.75,28.040000000000003
2011-07-28,21.21,21.47,21.1,21.39,6654600,21.2925,0.75,28.52
2011-07-29,21.18,22.31,20.99,21.89,10709600,21.5925,0.75,29.186666666666667
2011-08-01,22.52,22.69,22.0,22.49,11521570,22.425,0.75,29.986666666666665
2011-08-02,22.27,22.45,21.13,21.17,10995600,21.755,0.75,28.22666666666667
2011-08-03,21.64,22.7,19.51,20.71,13413800,21.14,0.75,27.613333333333333
2011-08-04,20.36,20.36,18.61,19.21,15377930,19.635,0.75,25.613333333333333
2011-08-05,19.45,19.61,16.72,18.66,12348600,18.61,0.75,24.88
2011-08-08,17.62,18.0,14.74,16.17,16543000,16.6325,0.75,21.560000000000002
2011-08-09,16.54,18.2,16.21,18.05,12054200,17.25,1.13,15.973451327433631
2011-08-10,17.77,18.42,17.06,17.56,9682600,17.7025,1.13,15.539823008849558
2011-08-11,17.95,19.3,17.71,18.67,8756400,18.4075,1.13,16.52212389380531
2011-08-12,18.8,19.56,18.45,18.7,5906800,18.8775,1.13,16.548672566371682
2011-08-15,18.95,19.82,18.95,19.55,5365400,19.3175,1.13,17.300884955752213
2011-08-16,19.18,19.72,19.06,19.43,6532400,19.3475,1.13,17.194690265486727
2011-08-17,19.82,19.98,19.41,19.55,5627600,19.69,1.13,17.300884955752213
2011-08-18,19.06,19.25,17.7,18.31,7501524,18.58,1.13,16.20353982300885
2011-08-19,17.89,18.34,17.32,17.5,9878600,17.7625,1.13,15.486725663716816
2011-08-22,17.91,18.0,16.18,16.29,10774062,17.095,1.13,14.415929203539823
2011-08-23,16.32,17.35,16.02,17.13,10360000,16.705,1.13,15.15929203539823
2011-08-24,17.2,18.02,16.86,17.92,6723400,17.5,1.13,15.858407079646021
2011-08-25,18.1,18.45,16.96,17.19,6376000,17.675,1.13,15.212389380530976
2011-08-26,17.2,18.38,17.04,17.43,5880400,17.5125,1.13,15.424778761061948
2011-08-29,17.64,18.18,17.52,18.0,4175000,17.835,1.13,15.92920353982301
2011-08-30,17.95,18.19,17.38,18.02,4385200,17.885,1.13,15.946902654867257
2011-08-31,18.25,18.73,18.25,18.53,5731000,18.44,1.13,16.398230088495577
2011-09-01,18.71,19.11,18.45,18.5,4515400,18.6925,1.13,16.371681415929206
2011-09-02,17.92,18.5,17.56,17.71,3594200,17.9225,1.13,15.672566371681418
2011-09-06,17.11,17.7,16.64,17.5,5723798,17.2375,1.13,15.486725663716816
2011-09-07,17.79,18.46,17.63,18.14,5212430,18.005,1.13,16.053097345132745
2011-09-08,18.08,19.07,17.79,18.86,4086600,18.45,1.13,16.690265486725664
2011-09-09,18.31,18.89,17.96,18.18,5889000,18.335,1.13,16.08849557522124
2011-09-12,17.67,18.44,17.45,18.33,3919200,17.9725,1.13,16.221238938053098
2011-09-13,18.2,18.31,17.22,17.67,7147000,17.85,1.13,15.637168141592923
2011-09-14,17.62,17.66,17.23,17.52,7640694,17.5075,1.13,15.504424778761063
2011-09-15,17.94,18.48,17.61,17.71,6081400,17.935,1.13,15.672566371681418
2011-09-16,17.77,17.84,17.43,17.55,7195400,17.6475,1.13,15.530973451327435
2011-09-19,17.09,17.28,16.55,16.77,5096530,16.9225,1.13,14.840707964601771
2011-09-20,16.79,17.11,16.75,16.85,3859200,16.875,1.13,14.911504424778764
2011-09-21,16.68,17.23,16.17,16.2,4013026,16.57,1.13,14.336283185840708
2011-09-22,15.58,15.7,14.42,14.74,11073600,15.11,1.13,13.04424778761062
2011-09-23,14.59,15.16,14.53,14.77,6768000,14.7625,1.13,13.070796460176991
2011-09-26,14.95,15.18,14.75,15.05,7971000,14.9825,1.13,13.318584070796462
2011-09-27,15.42,15.91,14.85,14.92,9412400,15.275,1.13,13.203539823008851
2011-09-28,14.99,15.32,14.46,14.49,8844400,14.815,1.13,12.823008849557523
2011-09-29,14.84,14.93,13.18,13.92,10516800,14.2175,1.13,12.318584070796462
2011-09-30,13.69,13.96,13.42,13.53,9626800,13.65,1.13,11.97345132743363
2011-10-03,13.46,13.9,13.31,13.57,8648200,13.56,1.13,12.008849557522126
2011-10-04,13.4,14.41,13.34,14.38,10289390,13.8825,1.13,12.72566371681416
2011-10-05,14.54,15.89,14.27,15.74,10463800,15.11,1.13,13.92920353982301
2011-10-06,15.76,16.68,15.55,16.64,7978400,16.1575,1.13,14.72566371681416
2011-10-07,16.86,16.99,15.63,15.8,8532800,16.32,1.13,13.982300884955754
2011-10-10,16.14,16.74,16.04,16.49,5005200,16.3525,1.13,14.5929203539823
2011-10-11,16.34,16.81,16.21,16.57,6615000,16.4825,1.13,14.663716814159294
2011-10-12,16.71,17.07,16.64,16.79,7544200,16.8025,1.13,14.858407079646017
2011-10-13,16.67,16.95,16.42,16.89,6341200,16.7325,1.13,14.946902654867259
2011-10-14,17.21,18.1,17.18,18.07,6739600,17.64,1.13,15.991150442477878
2011-10-17,18.02,18.24,17.43,17.47,4717600,17.79,1.13,15.460176991150442
2011-10-18,17.38,18.27,17.09,18.1,4533600,17.71,1.13,16.017699115044252
2011-10-19,18.1,18.53,17.73,17.8,6033800,18.04,1.13,15.752212389380533
2011-10-20,17.8,18.33,17.64,18.25,4675400,18.005,1.13,16.15044247787611
2011-10-21,18.45,18.84,18.25,18.68,6436200,18.555,1.13,16.530973451327434
2011-10-24,18.77,19.24,17.77,17.93,6574200,18.4275,1.13,15.867256637168143
2011-10-25,17.32,17.32,15.71,16.49,18550600,16.71,1.13,14.5929203539823
2011-10-26,16.91,17.48,16.6,17.36,7477000,17.0875,1.13,15.36283185840708
2011-10-27,17.64,18.86,17.64,18.67,7726000,18.2025,1.13,16.52212389380531
2011-10-28,18.59,18.81,18.13,18.66,7260000,18.5475,1.13,16.51327433628319
2011-10-31,18.5,18.5,17.71,17.95,6581200,18.165,1.13,15.88495575221239
2011-11-01,17.75,19.06,17.15,18.0,13191226,17.99,1.13,15.92920353982301
2011-11-02,18.45,19.21,18.38,19.17,9171400,18.8025,1.13,16.964601769911507
