Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2012-04-12,33.25,34.21,32.0,34.0,654700,33.365,3.14,10.828025477707007
2012-04-13,34.0,37.45,33.91,37.0,1685119,35.59,3.14,11.78343949044586
2012-04-16,37.0,37.0,35.99,36.55,550200,36.635,3.14,11.64012738853503
2012-04-17,36.4,36.75,36.0,36.0,179600,36.2875,3.14,11.464968152866241
2012-04-18,36.0,36.44,34.5,36.0,207100,35.735,3.14,11.464968152866241
2012-04-19,36.0,37.22,35.8,36.0,598100,36.255,3.14,11.464968152866241
2012-04-20,36.1,37.0,36.1,36.32,149700,36.38,3.14,11.566878980891719
2012-04-23,36.24,36.24,35.42,35.68,95700,35.895,3.14,11.363057324840764
2012-04-24,36.0,36.0,34.68,34.75,124500,35.3575,3.14,11.066878980891719
2012-04-25,34.8,35.5,34.5,34.75,266200,34.8875,3.14,11.066878980891719
2012-04-26,34.61,34.99,34.44,34.95,183900,34.7475,3.14,11.130573248407643
2012-04-27,35.25,35.25,33.97,34.11,536000,34.645,3.14,10.863057324840764
2012-04-30,34.34,34.9,34.0,34.05,4105700,34.3225,3.14,10.843949044585987
2012-05-01,33.74,34.1,32.58,32.76,6879137,33.295,3.14,10.43312101910828
2012-05-02,32.6,32.66,31.63,32.0,11287820,32.2225,3.14,10.19108280254777
2012-05-03,31.93,31.98,31.05,31.39,11800000,31.5875,3.14,9.996815286624203
2012-05-04,30.85,31.09,30.12,30.16,10881000,30.555,3.14,9.605095541401274
2012-05-07,30.1,30.55,29.25,29.35,12257200,29.8125,3.14,9.347133757961783
2012-05-08,29.09,30.41,28.75,30.1,14602516,29.5875,3.14,9.585987261146498
2012-05-09,29.81,32.89,29.73,32.49,13991379,31.23,3.14,10.347133757961783
2012-05-10,33.05,33.35,31.52,32.48,8862449,32.6,3.14,10.343949044585987
2012-05-11,31.73,32.15,31.4,31.83,4462785,31.7775,3.14,10.136942675159235
2012-05-14,31.19,31.58,30.77,31.32,6398344,31.215,3.14,9.97452229299363
2012-05-15,31.35,32.32,31.06,31.67,6362800,31.6,3.14,10.085987261146498
2012-05-16,31.46,32.39,31.25,32.1,6119699,31.8,0.99,32.42424242424243
2012-05-17,31.89,32.0,31.2,31.26,5850848,31.5875,0.99,31.575757575757578
2012-05-18,31.43,31.69,30.99,31.38,7940800,31.3725,0.99,31.696969696969695
2012-05-21,31.23,32.34,30.95,32.19,5481258,31.6775,0.99,32.515151515151516
2012-05-22,31.88,32.27,31.33,31.63,5415172,31.7775,0.99,31.949494949494948
2012-05-23,31.35,31.49,30.88,31.41,5268900,31.2825,0.99,31.727272727272727
2012-05-24,31.42,31.44,30.75,31.13,4210400,31.185,0.99,31.444444444444443
2012-05-25,31.01,31.41,30.83,31.3,3217900,31.1375,0.99,31.616161616161616
2012-05-29,31.28,31.72,30.86,31.01,3980088,31.2175,0.99,31.323232323232325
2012-05-30,30.79,30.83,30.18,30.44,6000600,30.56,0.99,30.747474747474747
2012-05-31,30.26,30.35,29.72,30.03,8098328,30.09,0.99,30.333333333333336
2012-06-01,29.5,30.17,29.38,29.92,5701781,29.7425,0.99,30.222222222222225
2012-06-04,29.3,30.19,29.25,29.53,4845297,29.5675,0.99,29.82828282828283
2012-06-05,29.37,30.1,29.31,29.9,4046996,29.67,0.99,30.2020202020202
2012-06-06,30.03,32.0,29.82,31.53,8609773,30.845,0.99,31.84848484848485
2012-06-07,32.07,32.75,31.74,31.83,7694516,32.0975,0.99,32.15151515151515
