Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.21111,0.21111,0.21111,0.21111,234000,0.21111,,
1968-01-03,0.21111,0.21111,0.21111,0.21111,162000,0.21111,,
1968-01-04,0.21666,0.21666,0.21666,0.21666,171000,0.21666,,
1968-01-05,0.21528,0.21528,0.21528,0.21528,405000,0.21528,,
1968-01-08,0.21666,0.21666,0.21666,0.21666,261000,0.21666,,
1968-01-09,0.2125,0.2125,0.2125,0.2125,135000,0.2125,,
1968-01-10,0.22083,0.22083,0.22083,0.22083,351000,0.22083,,
1968-01-11,0.2375,0.2375,0.2375,0.2375,1521016,0.2375,,
1968-01-12,0.23194,0.23194,0.23194,0.23194,729000,0.23194,,
1968-01-15,0.23194,0.23194,0.23194,0.23194,432000,0.23194,,
1968-01-16,0.22778,0.22778,0.22778,0.22778,135000,0.22778,,
1968-01-17,0.22916,0.22916,0.22916,0.22916,99000,0.22916,,
1968-01-18,0.22778,0.22778,0.22778,0.22778,135000,0.22778,,
1968-01-19,0.22222,0.22222,0.22222,0.22222,270000,0.22222,,
1968-01-22,0.21805,0.21805,0.21805,0.21805,135000,0.21805,,
1968-01-23,0.21666,0.21666,0.21666,0.21666,108000,0.21666,,
1968-01-24,0.21528,0.21528,0.21528,0.21528,99000,0.21528,,
1968-01-25,0.21389,0.21389,0.21389,0.21389,144000,0.21389,,
1968-01-26,0.21528,0.21528,0.21528,0.21528,90000,0.21528,,
1968-01-29,0.2125,0.2125,0.2125,0.2125,36000,0.2125,,
1968-01-30,0.20972,0.20972,0.20972,0.20972,135000,0.20972,,
1968-01-31,0.21111,0.21111,0.21111,0.21111,72000,0.21111,,
1968-02-01,0.20694,0.20694,0.20694,0.20694,63000,0.20694,,
1968-02-02,0.20972,0.20972,0.20972,0.20972,108000,0.20972,,
1968-02-05,0.21111,0.21111,0.21111,0.21111,63000,0.21111,,
1968-02-06,0.21944,0.21944,0.21944,0.21944,342000,0.21944,,
1968-02-07,0.22361,0.22361,0.22361,0.22361,180000,0.22361,,
1968-02-08,0.21528,0.21528,0.21528,0.21528,81000,0.21528,,
1968-02-09,0.20694,0.20694,0.20694,0.20694,171000,0.20694,,
1968-02-13,0.20833,0.20833,0.20833,0.20833,90000,0.20833,,
1968-02-14,0.20694,0.20694,0.20694,0.20694,36000,0.20694,,
1968-02-15,0.20694,0.20694,0.20694,0.20694,81000,0.20694,,
1968-02-16,0.20694,0.20694,0.20694,0.20694,27000,0.20694,,
1968-02-19,0.20694,0.20694,0.20694,0.20694,45000,0.20694,,
1968-02-20,0.21944,0.21944,0.21944,0.21944,234000,0.21944,,
1968-02-21,0.22083,0.22083,0.22083,0.22083,369000,0.22083,,
1968-02-23,0.22083,0.22083,0.22083,0.22083,54000,0.22083,,
1968-02-26,0.21666,0.21666,0.21666,0.21666,135000,0.21666,,
1968-02-27,0.20972,0.20972,0.20972,0.20972,63000,0.20972,,
1968-02-28,0.20694,0.20694,0.20694,0.20694,27000,0.20694,,
1968-02-29,0.20555,0.20555,0.20555,0.20555,18000,0.20555,,
1968-03-01,0.20555,0.20555,0.20555,0.20555,18000,0.20555,,
1968-03-04,0.20555,0.20555,0.20555,0.20555,63000,0.20555,,
1968-03-05,0.2,0.2,0.2,0.2,162000,0.2,,
1968-03-06,0.2,0.2,0.2,0.2,144000,0.2,,
1968-03-07,0.19861,0.19861,0.19861,0.19861,108000,0.19861,,
1968-03-08,0.2,0.2,0.2,0.2,171000,0.2,,
1968-03-11,0.2,0.2,0.2,0.2,45000,0.2,,
1968-03-12,0.19722,0.19722,0.19722,0.19722,99000,0.19722,,
1968-03-13,0.19722,0.19722,0.19722,0.19722,135000,0.19722,,
1968-03-14,0.19444,0.19444,0.19444,0.19444,90000,0.19444,,
1968-03-15,0.19722,0.19722,0.19722,0.19722,189000,0.19722,,
1968-03-18,0.20278,0.20278,0.20278,0.20278,180000,0.20278,,
1968-03-19,0.2,0.2,0.2,0.2,153000,0.2,,
1968-03-20,0.19722,0.19722,0.19722,0.19722,63000,0.19722,,
1968-03-21,0.19305,0.19305,0.19305,0.19305,117000,0.19305,,
1968-03-22,0.19722,0.19722,0.19722,0.19722,2277017,0.19722,,
1968-03-25,0.19722,0.19722,0.19722,0.19722,63000,0.19722,,
1968-03-26,0.19028,0.19028,0.19028,0.19028,711000,0.19028,,
1968-03-27,0.19444,0.19444,0.19444,0.19444,189000,0.19444,,
1968-03-28,0.19861,0.19861,0.19861,0.19861,108000,0.19861,,
1968-03-29,0.19583,0.19583,0.19583,0.19583,72000,0.19583,,
1968-04-01,0.19305,0.19305,0.19305,0.19305,342000,0.19305,,
1968-04-02,0.19583,0.19583,0.19583,0.19583,333000,0.19583,,
1968-04-03,0.19583,0.19583,0.19583,0.19583,117000,0.19583,,
1968-04-04,0.19722,0.19722,0.19722,0.19722,108000,0.19722,,
1968-04-05,0.2,0.2,0.2,0.2,405000,0.2,,
1968-04-08,0.20139,0.20139,0.20139,0.20139,162000,0.20139,,
1968-04-10,0.21389,0.21389,0.21389,0.21389,1143001,0.21389,,
1968-04-11,0.23611,0.23611,0.23611,0.23611,2178017,0.23611,,
1968-04-15,0.25139,0.25139,0.25139,0.25139,2520017,0.25139,,
1968-04-16,0.24861,0.24861,0.24861,0.24861,1836016,0.24861,,
1968-04-17,0.26666,0.26666,0.26666,0.26666,2547017,0.26666,,
1968-04-18,0.27639,0.27639,0.27639,0.27639,2511017,0.27639,,
1968-04-19,0.2625,0.2625,0.2625,0.2625,1575016,0.2625,,
1968-04-22,0.26389,0.26389,0.26389,0.26389,954000,0.26389,,
1968-04-23,0.29861,0.29861,0.29861,0.29861,2871017,0.29861,,
1968-04-24,0.29444,0.29444,0.29444,0.29444,1908016,0.29444,,
1968-04-25,0.28889,0.28889,0.28889,0.28889,981000,0.28889,,
1968-04-26,0.28472,0.28472,0.28472,0.28472,738000,0.28472,,
1968-04-29,0.28055,0.28055,0.28055,0.28055,882000,0.28055,,
1968-04-30,0.28055,0.28055,0.28055,0.28055,522000,0.28055,,
1968-05-01,0.28194,0.28194,0.28194,0.28194,495000,0.28194,,
1968-05-02,0.28055,0.28055,0.28055,0.28055,297000,0.28055,,
1968-05-03,0.28472,0.28472,0.28472,0.28472,1080001,0.28472,,
1968-05-06,0.3,0.3,0.3,0.3,1260001,0.3,,
1968-05-07,0.3125,0.3125,0.3125,0.3125,3069033,0.3125,,
1968-05-08,0.30833,0.30833,0.30833,0.30833,1143001,0.30833,,
1968-05-09,0.29166,0.29166,0.29166,0.29166,378000,0.29166,,
1968-05-10,0.3,0.3,0.3,0.3,387000,0.3,,
1968-05-13,0.30833,0.30833,0.30833,0.30833,675000,0.30833,,
1968-05-14,0.30139,0.30139,0.30139,0.30139,315000,0.30139,,
1968-05-15,0.30139,0.30139,0.30139,0.30139,297000,0.30139,,
1968-05-16,0.29583,0.29583,0.29583,0.29583,234000,0.29583,,
1968-05-17,0.29166,0.29166,0.29166,0.29166,270000,0.29166,,
1968-05-20,0.28611,0.28611,0.28611,0.28611,117000,0.28611,,
1968-05-21,0.28333,0.28333,0.28333,0.28333,189000,0.28333,,
1968-05-22,0.28611,0.28611,0.28611,0.28611,225000,0.28611,,
1968-05-23,0.30277,0.30277,0.30277,0.30277,378000,0.30277,,
1968-05-24,0.28889,0.28889,0.28889,0.28889,261000,0.28889,,
1968-05-27,0.28611,0.28611,0.28611,0.28611,171000,0.28611,,
1968-05-28,0.27916,0.27916,0.27916,0.27916,243000,0.27916,,
1968-05-29,0.28055,0.28055,0.28055,0.28055,252000,0.28055,,
1968-05-31,0.28333,0.28333,0.28333,0.28333,81000,0.28333,,
1968-06-03,0.28889,0.28889,0.28889,0.28889,171000,0.28889,,
1968-06-04,0.28333,0.28333,0.28333,0.28333,189000,0.28333,,
1968-06-05,0.27916,0.27916,0.27916,0.27916,189000,0.27916,,
1968-06-06,0.27916,0.27916,0.27916,0.27916,117000,0.27916,,
1968-06-07,0.30694,0.30694,0.30694,0.30694,1350001,0.30694,,
1968-06-10,0.32639,0.32639,0.32639,0.32639,2682017,0.32639,,
1968-06-11,0.33194,0.33194,0.33194,0.33194,522000,0.33194,,
1968-06-13,0.325,0.325,0.325,0.325,846000,0.325,,
1968-06-14,0.33333,0.33333,0.33333,0.33333,531000,0.33333,,
1968-06-17,0.31805,0.31805,0.31805,0.31805,180000,0.31805,,
1968-06-18,0.32639,0.32639,0.32639,0.32639,198000,0.32639,,
1968-06-20,0.31944,0.31944,0.31944,0.31944,252000,0.31944,,
1968-06-21,0.31805,0.31805,0.31805,0.31805,216000,0.31805,,
1968-06-24,0.30833,0.30833,0.30833,0.30833,225000,0.30833,,
1968-06-25,0.31111,0.31111,0.31111,0.31111,216000,0.31111,,
1968-06-27,0.31111,0.31111,0.31111,0.31111,117000,0.31111,,
1968-06-28,0.31666,0.31666,0.31666,0.31666,252000,0.31666,,
1968-07-01,0.30833,0.30833,0.30833,0.30833,207000,0.30833,,
1968-07-02,0.30555,0.30555,0.30555,0.30555,108000,0.30555,,
1968-07-03,0.30416,0.30416,0.30416,0.30416,126000,0.30416,,
1968-07-08,0.31389,0.31389,0.31389,0.31389,270000,0.31389,,
1968-07-09,0.30833,0.30833,0.30833,0.30833,81000,0.30833,,
1968-07-11,0.29583,0.29583,0.29583,0.29583,126000,0.29583,,
1968-07-12,0.32083,0.32083,0.32083,0.32083,891000,0.32083,,
1968-07-15,0.31111,0.31111,0.31111,0.31111,459000,0.31111,,
1968-07-16,0.30972,0.30972,0.30972,0.30972,216000,0.30972,,
1968-07-18,0.3,0.3,0.3,0.3,180000,0.3,,
1968-07-19,0.3,0.3,0.3,0.3,144000,0.3,,
1968-07-22,0.31666,0.31666,0.31666,0.31666,342000,0.31666,,
1968-07-23,0.31666,0.31666,0.31666,0.31666,720000,0.31666,,
1968-07-25,0.30833,0.30833,0.30833,0.30833,297000,0.30833,,
1968-07-26,0.30972,0.30972,0.30972,0.30972,180000,0.30972,,
1968-07-29,0.3,0.3,0.3,0.3,126000,0.3,,
1968-07-30,0.29444,0.29444,0.29444,0.29444,126000,0.29444,,
1968-08-01,0.29027,0.29027,0.29027,0.29027,72000,0.29027,,
1968-08-02,0.29027,0.29027,0.29027,0.29027,45000,0.29027,,
1968-08-05,0.29166,0.29166,0.29166,0.29166,117000,0.29166,,
1968-08-06,0.29722,0.29722,0.29722,0.29722,126000,0.29722,,
1968-08-08,0.29444,0.29444,0.29444,0.29444,72000,0.29444,,
1968-08-09,0.29166,0.29166,0.29166,0.29166,99000,0.29166,,
1968-08-12,0.29166,0.29166,0.29166,0.29166,99000,0.29166,,
1968-08-13,0.29444,0.29444,0.29444,0.29444,63000,0.29444,,
1968-08-15,0.2875,0.2875,0.2875,0.2875,108000,0.2875,,
1968-08-16,0.28333,0.28333,0.28333,0.28333,63000,0.28333,,
1968-08-19,0.29444,0.29444,0.29444,0.29444,108000,0.29444,,
1968-08-20,0.29166,0.29166,0.29166,0.29166,162000,0.29166,,
1968-08-22,0.29166,0.29166,0.29166,0.29166,18000,0.29166,,
1968-08-23,0.28889,0.28889,0.28889,0.28889,171000,0.28889,,
1968-08-26,0.28055,0.28055,0.28055,0.28055,261000,0.28055,,
1968-08-27,0.28333,0.28333,0.28333,0.28333,198000,0.28333,,
1968-08-29,0.26944,0.26944,0.26944,0.26944,99000,0.26944,,
1968-08-30,0.26944,0.26944,0.26944,0.26944,135000,0.26944,,
1968-09-03,0.27083,0.27083,0.27083,0.27083,27000,0.27083,,
1968-09-04,0.26944,0.26944,0.26944,0.26944,81000,0.26944,,
1968-09-05,0.26944,0.26944,0.26944,0.26944,153000,0.26944,,
1968-09-06,0.27639,0.27639,0.27639,0.27639,414000,0.27639,,
1968-09-09,0.28472,0.28472,0.28472,0.28472,333000,0.28472,,
1968-09-10,0.28194,0.28194,0.28194,0.28194,279000,0.28194,,
1968-09-12,0.27777,0.27777,0.27777,0.27777,225000,0.27777,,
1968-09-13,0.27222,0.27222,0.27222,0.27222,108000,0.27222,,
1968-09-16,0.27083,0.27083,0.27083,0.27083,54000,0.27083,,
1968-09-17,0.28055,0.28055,0.28055,0.28055,63000,0.28055,,
1968-09-19,0.28333,0.28333,0.28333,0.28333,54000,0.28333,,
1968-09-20,0.27777,0.27777,0.27777,0.27777,171000,0.27777,,
1968-09-23,0.28055,0.28055,0.28055,0.28055,45000,0.28055,,
1968-09-24,0.28194,0.28194,0.28194,0.28194,36000,0.28194,,
1968-09-26,0.27916,0.27916,0.27916,0.27916,270000,0.27916,,
1968-09-27,0.28055,0.28055,0.28055,0.28055,99000,0.28055,,
1968-09-30,0.27916,0.27916,0.27916,0.27916,144000,0.27916,,
